,COUNTY,VAP,NAME,WVAP,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV18PDNone,GOV18PD_BJ_pct,GOV18PD_JS_pct,GOV18PD_KV_pct,GOV18PD_RM_pct,GOV18PD_RB_pct,GOV18PDNone_pct
341,Calvert,2692,Calvert Precinct 02-003,2313,43,11,24,9,45,379,2692,1,0.8592124814264487,0.14078751857355126,2560,0.015973254086181277,0.004086181277860327,0.008915304606240713,0.0033432392273402673,0.016716196136701337,0.950965824665676
342,Calvert,2653,Calvert Precinct 02-006,2176,64,13,20,12,64,477,2653,1,0.8202035431586883,0.17979645684131174,2480,0.02412363362231436,0.004900113079532605,0.007538635506973238,0.004523181304183943,0.02412363362231436,0.9347908028646815
343,Calvert,3474,Calvert Precinct 02-008,2865,76,15,27,13,79,609,3474,1,0.8246977547495682,0.17530224525043178,3264,0.021876799078871616,0.004317789291882556,0.007772020725388601,0.003742084052964882,0.02274035693724813,0.9395509499136442
344,Calvert,3228,Calvert Precinct 03-003,2225,80,19,26,15,103,1003,3228,1,0.6892812887236679,0.3107187112763321,2985,0.024783147459727387,0.005885997521685254,0.0080545229244114,0.004646840148698885,0.03190830235439901,0.9247211895910781
345,Calvert,1651,Calvert Precinct 02-007,1552,53,8,38,14,75,99,1651,1,0.9400363416111448,0.05996365838885524,1463,0.03210175651120533,0.004845548152634767,0.02301635372501514,0.008479709267110842,0.04542701393095094,0.886129618413083
346,Calvert,2880,Calvert Precinct 03-005,2457,114,12,32,11,96,423,2880,1,0.853125,0.146875,2615,0.03958333333333333,0.004166666666666667,0.011111111111111112,0.0038194444444444443,0.03333333333333333,0.9079861111111112
347,Calvert,2230,Calvert Precinct 03-007,1946,88,16,21,11,70,284,2230,1,0.8726457399103139,0.1273542600896861,2024,0.039461883408071746,0.007174887892376682,0.009417040358744395,0.004932735426008968,0.03139013452914798,0.9076233183856502
348,Calvert,3074,Calvert Precinct 03-004,2642,69,8,26,12,60,432,3074,1,0.8594664931685101,0.1405335068314899,2899,0.022446324007807418,0.002602472348731295,0.008458035133376708,0.003903708523096942,0.01951854261548471,0.943070917371503
349,Calvert,2683,Calvert Precinct 03-008,2217,77,12,31,8,97,466,2683,1,0.8263138278046962,0.17368617219530377,2458,0.0286992172940738,0.004472605292582929,0.011554230339172567,0.002981736861721953,0.03615355944837868,0.9161386507640701
385,Calvert,3560,Calvert Precinct 02-002,2532,69,14,21,11,81,1028,3560,1,0.7112359550561798,0.28876404494382024,3364,0.019382022471910114,0.003932584269662922,0.005898876404494382,0.003089887640449438,0.022752808988764046,0.9449438202247191
386,Calvert,3011,Calvert Precinct 02-001,2414,83,20,20,6,83,597,3011,1,0.8017270009963468,0.19827299900365328,2799,0.027565592826303553,0.006642311524410495,0.006642311524410495,0.0019926934573231483,0.027565592826303553,0.9295914978412487
393,Calvert,2367,Calvert Precinct 03-006,2018,68,8,36,5,89,349,2367,1,0.8525559780312632,0.1474440219687368,2161,0.0287283481199831,0.0033798056611744824,0.015209125475285171,0.0021123785382340513,0.03760033798056612,0.912970004224757
902,Calvert,2365,Calvert Precinct 01-004,1979,78,7,30,11,71,386,2365,1,0.8367864693446089,0.16321353065539113,2168,0.03298097251585624,0.002959830866807611,0.012684989429175475,0.004651162790697674,0.030021141649048625,0.9167019027484143
903,Calvert,2363,Calvert Precinct 02-004,1630,81,17,32,12,90,733,2363,1,0.6898011002962336,0.3101988997037664,2131,0.03427845958527296,0.007194244604316547,0.013542107490478206,0.0050782903089293275,0.03808717731696995,0.901819720694033
904,Calvert,2969,Calvert Precinct 01-003,2481,73,14,29,10,67,488,2969,1,0.8356348939036713,0.16436510609632873,2776,0.024587403166049175,0.004715392388009431,0.009767598518019536,0.003368137420006736,0.02256652071404513,0.9349949477938699
905,Calvert,3541,Calvert Precinct 01-006,2855,76,13,35,10,78,686,3541,1,0.806269415419373,0.19373058458062695,3329,0.021462863597853713,0.0036712792996328723,0.009884213499011578,0.002824060999717594,0.02202767579779723,0.940129906805987
