,COUNTY,VAP,NAME,WVAP,SEN12D,SEN12R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN12None,SEN12D_pct,SEN12R_pct,SEN12None_pct
341,Calvert,2692,Calvert Precinct 02-003,2313,604,842,379,2692,1,0.8592124814264487,0.14078751857355126,1246,0.22436849925705796,0.312778603268945,0.46285289747399705
342,Calvert,2653,Calvert Precinct 02-006,2176,629,753,477,2653,1,0.8202035431586883,0.17979645684131174,1271,0.23709008669430834,0.2838296268375424,0.47908028646814926
343,Calvert,3474,Calvert Precinct 02-008,2865,853,770,609,3474,1,0.8246977547495682,0.17530224525043178,1851,0.245538284398388,0.22164651698330454,0.5328151986183074
344,Calvert,3228,Calvert Precinct 03-003,2225,988,732,1003,3228,1,0.6892812887236679,0.3107187112763321,1508,0.30607187112763323,0.22676579925650558,0.46716232961586124
345,Calvert,1651,Calvert Precinct 02-007,1552,443,654,99,1651,1,0.9400363416111448,0.05996365838885524,554,0.2683222289521502,0.3961235614778922,0.33555420956995763
346,Calvert,2880,Calvert Precinct 03-005,2457,810,852,423,2880,1,0.853125,0.146875,1218,0.28125,0.29583333333333334,0.42291666666666666
347,Calvert,2230,Calvert Precinct 03-007,1946,575,742,284,2230,1,0.8726457399103139,0.1273542600896861,913,0.257847533632287,0.3327354260089686,0.4094170403587444
348,Calvert,3074,Calvert Precinct 03-004,2642,779,769,432,3074,1,0.8594664931685101,0.1405335068314899,1526,0.2534157449577098,0.2501626545217957,0.49642160052049444
349,Calvert,2683,Calvert Precinct 03-008,2217,809,696,466,2683,1,0.8263138278046962,0.17368617219530377,1178,0.3015281401416325,0.2594111069698099,0.43906075288855756
385,Calvert,3560,Calvert Precinct 02-002,2532,936,801,1028,3560,1,0.7112359550561798,0.28876404494382024,1823,0.26292134831460673,0.225,0.5120786516853932
386,Calvert,3011,Calvert Precinct 02-001,2414,843,781,597,3011,1,0.8017270009963468,0.19827299900365328,1387,0.27997343075390235,0.2593822650282298,0.46064430421786784
393,Calvert,2367,Calvert Precinct 03-006,2018,598,852,349,2367,1,0.8525559780312632,0.1474440219687368,917,0.2526404731727926,0.35994930291508237,0.38741022391212504
902,Calvert,2365,Calvert Precinct 01-004,1979,650,734,386,2365,1,0.8367864693446089,0.16321353065539113,981,0.2748414376321353,0.3103594080338266,0.4147991543340381
903,Calvert,2363,Calvert Precinct 02-004,1630,729,489,733,2363,1,0.6898011002962336,0.3101988997037664,1145,0.3085061362674566,0.20694033008887008,0.4845535336436733
904,Calvert,2969,Calvert Precinct 01-003,2481,722,756,488,2969,1,0.8356348939036713,0.16436510609632873,1491,0.24317952172448637,0.25463118895250925,0.5021892893230043
905,Calvert,3541,Calvert Precinct 01-006,2855,812,851,686,3541,1,0.806269415419373,0.19373058458062695,1878,0.22931375317706862,0.24032759107596724,0.5303586557469642
906,Calvert,2965,Calvert Precinct 02-005,2571,767,971,394,2965,1,0.8671163575042159,0.13288364249578416,1227,0.2586846543001686,0.32748735244519395,0.4138279932546374
907,Calvert,3099,Calvert Precinct 03-002,2465,917,732,634,3099,1,0.7954178767344304,0.20458212326556954,1450,0.29590190383994835,0.2362052274927396,0.46789286866731206
908,Calvert,2398,Calvert Precinct 03-001,2042,613,472,356,2398,1,0.8515429524603837,0.14845704753961636,1313,0.2556296914095079,0.19683069224353628,0.5475396163469558
955,Calvert,2874,Calvert Precinct 01-001,2444,773,719,430,2874,1,0.8503827418232429,0.14961725817675714,1382,0.26896311760612385,0.2501739735560195,0.48086290883785665
956,Calvert,2535,Calvert Precinct 01-007,2065,681,733,470,2535,1,0.814595660749507,0.1854043392504931,1121,0.2686390532544379,0.28915187376725837,0.44220907297830375
957,Calvert,3483,Calvert Precinct 01-005,2710,831,848,773,3483,1,0.7780648865920183,0.22193511340798164,1804,0.23858742463393626,0.24346827447602643,0.5179443008900373
958,Calvert,3411,Calvert Precinct 01-002,2504,920,710,907,3411,1,0.7340955731457051,0.26590442685429494,1781,0.2697156259161536,0.20815010260920552,0.5221342714746409
