,COUNTY,VAP,NAME,WVAP,SEN16PD_CV,SEN16PD_DE,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN16PDNone,SEN16PD_CV_pct,SEN16PD_DE_pct,SEN16PDNone_pct
341,Calvert,2692,Calvert Precinct 02-003,2313,187,83,379,2692,1,0.8592124814264487,0.14078751857355126,2422,0.06946508172362556,0.030832095096582468,0.899702823179792
342,Calvert,2653,Calvert Precinct 02-006,2176,200,117,477,2653,1,0.8202035431586883,0.17979645684131174,2336,0.07538635506973237,0.044101017715793445,0.8805126272144742
343,Calvert,3474,Calvert Precinct 02-008,2865,189,145,609,3474,1,0.8246977547495682,0.17530224525043178,3140,0.054404145077720206,0.04173862982153138,0.9038572251007484
344,Calvert,3228,Calvert Precinct 03-003,2225,243,149,1003,3228,1,0.6892812887236679,0.3107187112763321,2836,0.07527881040892194,0.046158612143742256,0.8785625774473358
345,Calvert,1651,Calvert Precinct 02-007,1552,209,79,99,1651,1,0.9400363416111448,0.05996365838885524,1363,0.1265899454875833,0.04784978800726832,0.8255602665051484
346,Calvert,2880,Calvert Precinct 03-005,2457,261,158,423,2880,1,0.853125,0.146875,2461,0.090625,0.05486111111111111,0.8545138888888889
347,Calvert,2230,Calvert Precinct 03-007,1946,224,113,284,2230,1,0.8726457399103139,0.1273542600896861,1893,0.10044843049327354,0.050672645739910316,0.8488789237668162
348,Calvert,3074,Calvert Precinct 03-004,2642,165,100,432,3074,1,0.8594664931685101,0.1405335068314899,2809,0.053675992192582955,0.03253090435914118,0.9137931034482759
349,Calvert,2683,Calvert Precinct 03-008,2217,263,164,466,2683,1,0.8263138278046962,0.17368617219530377,2256,0.0980245993291092,0.06112560566530004,0.8408497950055908
385,Calvert,3560,Calvert Precinct 02-002,2532,195,153,1028,3560,1,0.7112359550561798,0.28876404494382024,3212,0.054775280898876406,0.04297752808988764,0.902247191011236
386,Calvert,3011,Calvert Precinct 02-001,2414,236,146,597,3011,1,0.8017270009963468,0.19827299900365328,2629,0.07837927598804384,0.048488874128196614,0.8731318498837596
393,Calvert,2367,Calvert Precinct 03-006,2018,211,111,349,2367,1,0.8525559780312632,0.1474440219687368,2045,0.08914237431347698,0.046894803548795945,0.8639628221377271
902,Calvert,2365,Calvert Precinct 01-004,1979,187,107,386,2365,1,0.8367864693446089,0.16321353065539113,2071,0.07906976744186046,0.045243128964059194,0.8756871035940803
903,Calvert,2363,Calvert Precinct 02-004,1630,217,162,733,2363,1,0.6898011002962336,0.3101988997037664,1984,0.09183241641980533,0.06855691917054592,0.8396106644096487
904,Calvert,2969,Calvert Precinct 01-003,2481,162,123,488,2969,1,0.8356348939036713,0.16436510609632873,2684,0.05456382620410913,0.04142809026608286,0.904008083529808
905,Calvert,3541,Calvert Precinct 01-006,2855,180,137,686,3541,1,0.806269415419373,0.19373058458062695,3224,0.05083309799491669,0.038689635696131035,0.9104772663089523
906,Calvert,2965,Calvert Precinct 02-005,2571,211,120,394,2965,1,0.8671163575042159,0.13288364249578416,2634,0.07116357504215852,0.04047217537942664,0.8883642495784149
907,Calvert,3099,Calvert Precinct 03-002,2465,201,147,634,3099,1,0.7954178767344304,0.20458212326556954,2751,0.06485963213939981,0.04743465634075508,0.8877057115198451
908,Calvert,2398,Calvert Precinct 03-001,2042,194,120,356,2398,1,0.8515429524603837,0.14845704753961636,2084,0.08090075062552127,0.05004170141784821,0.8690575479566305
955,Calvert,2874,Calvert Precinct 01-001,2444,262,130,430,2874,1,0.8503827418232429,0.14961725817675714,2482,0.09116214335421016,0.04523312456506611,0.8636047320807237
956,Calvert,2535,Calvert Precinct 01-007,2065,211,132,470,2535,1,0.814595660749507,0.1854043392504931,2192,0.08323471400394478,0.05207100591715976,0.8646942800788955
957,Calvert,3483,Calvert Precinct 01-005,2710,170,144,773,3483,1,0.7780648865920183,0.22193511340798164,3169,0.04880849842090152,0.041343669250646,0.9098478323284525
958,Calvert,3411,Calvert Precinct 01-002,2504,173,154,907,3411,1,0.7340955731457051,0.26590442685429494,3084,0.05071826443858106,0.04514805042509528,0.9041336851363236
