,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN16D,SEN16R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN16None,SEN16D_pct,SEN16R_pct,SEN16None_pct
341,Calvert,2692,Calvert Precinct 02-003,2313,227,42,648,1126,110,2692,1.0,0.8592124814264487,0.08432392273402675,0.015601783060921248,0.04086181277860327,918,0.24071322436849926,0.4182763744427935,0.3410104011887073
342,Calvert,2653,Calvert Precinct 02-006,2176,315,54,679,993,108,2653,1.0,0.8202035431586883,0.11873350923482849,0.020354315868827744,0.04070863173765549,981,0.2559366754617414,0.3742932529212213,0.36977007161703734
343,Calvert,3474,Calvert Precinct 02-008,2865,436,57,766,1142,116,3474,1.0,0.8246977547495682,0.12550374208405296,0.016407599309153715,0.0333909038572251,1566,0.2204951065054692,0.32872769142199193,0.45077720207253885
344,Calvert,3228,Calvert Precinct 03-003,2225,859,68,842,1052,76,3228,1.0,0.6892812887236679,0.2661090458488228,0.021065675340768277,0.023543990086741014,1334,0.26084262701363076,0.32589838909541513,0.41325898389095417
345,Calvert,1719,Calvert Precinct 02-007,1614,41,32,593,1123,32,1719,1.0393700787401574,0.9389179755671903,0.02385107620709715,0.01861547411285631,0.01861547411285631,3,0.3449680046538685,0.6532867946480512,0.0017452006980802793
346,Calvert,2880,Calvert Precinct 03-005,2457,277,50,953,1131,96,2880,1.0,0.853125,0.09618055555555556,0.017361111111111112,0.03333333333333333,796,0.33090277777777777,0.3927083333333333,0.2763888888888889
347,Calvert,2230,Calvert Precinct 03-007,1946,154,27,779,1352,103,2230,1.0,0.8726457399103139,0.06905829596412556,0.01210762331838565,0.04618834080717489,99,0.3493273542600897,0.6062780269058295,0.04439461883408072
348,Calvert,3074,Calvert Precinct 03-004,2642,258,71,757,1140,103,3074,1.0,0.8594664931685101,0.08392973324658426,0.02309694209499024,0.03350683148991542,1177,0.24625894599869877,0.3708523096942095,0.38288874430709174
349,Calvert,2683,Calvert Precinct 03-008,2217,296,68,1117,1308,102,2683,1.0,0.8263138278046962,0.11032426388371226,0.0253447633246366,0.0380171449869549,258,0.4163250093179277,0.4875139768915393,0.09616101379053299
385,Calvert,3560,Calvert Precinct 02-002,2532,851,66,843,1071,111,3560,1.0,0.7112359550561798,0.23904494382022473,0.01853932584269663,0.031179775280898877,1646,0.23679775280898877,0.3008426966292135,0.4623595505617977
386,Calvert,3011,Calvert Precinct 02-001,2414,454,74,859,1173,69,3011,1.0,0.8017270009963468,0.15078047160411823,0.02457655264031883,0.022915974759216206,979,0.28528727997343073,0.38957157090667555,0.3251411491198937
393,Calvert,2367,Calvert Precinct 03-006,2018,200,42,730,1209,107,2367,1.0,0.8525559780312632,0.08449514152936206,0.017743979721166033,0.0452049007182087,428,0.30840726658217155,0.5107731305449936,0.1808196028728348
902,Calvert,2365,Calvert Precinct 01-004,1979,302,41,646,1109,43,2365,1.0,0.8367864693446089,0.1276955602536998,0.01733615221987315,0.01818181818181818,610,0.2731501057082452,0.4689217758985201,0.25792811839323465
903,Calvert,2363,Calvert Precinct 02-004,1630,617,52,918,1007,64,2363,1.0,0.6898011002962336,0.26110876005078293,0.022005924672027083,0.027084214980956412,438,0.38848920863309355,0.42615319509098604,0.18535759627592044
904,Calvert,2969,Calvert Precinct 01-003,2481,341,81,697,1002,66,2969,1.0,0.8356348939036713,0.11485348602222971,0.027281913102054564,0.02222970697204446,1270,0.2347591781744695,0.33748736948467495,0.4277534523408555
905,Calvert,3541,Calvert Precinct 01-006,2855,415,127,803,1226,144,3541,1.0,0.806269415419373,0.11719853148828015,0.035865574696413445,0.040666478395933355,1512,0.22677209827732278,0.346229878565377,0.4269980231573002
906,Calvert,2965,Calvert Precinct 02-005,2571,223,65,747,1252,106,2965,1.0,0.8671163575042159,0.07521079258010117,0.021922428330522766,0.0357504215851602,966,0.25193929173693086,0.42225969645868466,0.3258010118043845
907,Calvert,3099,Calvert Precinct 03-002,2465,488,57,861,866,89,3099,1.0,0.7954178767344304,0.1574701516618264,0.018393030009680542,0.028718941594062602,1372,0.27783155856727976,0.2794449822523395,0.44272345918038075
908,Calvert,2398,Calvert Precinct 03-001,2042,218,62,747,801,76,2398,1.0,0.8515429524603837,0.09090909090909091,0.02585487906588824,0.0316930775646372,850,0.31150959132610506,0.3340283569641368,0.35446205170975814
955,Calvert,2874,Calvert Precinct 01-001,2444,317,44,956,1069,69,2874,1.0,0.8503827418232429,0.11029923451635351,0.015309672929714684,0.024008350730688934,849,0.3326374391092554,0.371955462769659,0.2954070981210856
956,Calvert,2535,Calvert Precinct 01-007,2065,331,63,852,1222,76,2535,1.0,0.814595660749507,0.13057199211045364,0.02485207100591716,0.029980276134122286,461,0.336094674556213,0.48205128205128206,0.18185404339250494
957,Calvert,3483,Calvert Precinct 01-005,2710,501,139,846,1208,133,3483,1.0,0.7780648865920183,0.1438415159345392,0.03990812517944301,0.03818547229399943,1429,0.24289405684754523,0.3468274476026414,0.4102784955498134
958,Calvert,3411,Calvert Precinct 01-002,2504,727,79,886,838,101,3411,1.0,0.7340955731457051,0.21313397830548225,0.02316036352975667,0.029610085019055994,1687,0.2597478745236001,0.2456757549105834,0.4945763705658165
