,COUNTY,VAP,NAME,WVAP,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,AG14PDNone,AG14PD_BFR_pct,AG14PD_ABR_pct,AG14PD_JCA_pct,AG14PDNone_pct
132,Carroll,2986,Carroll Precinct 09-002,2814,49,7,31,172,2986,1,0.942397856664434,0.05760214333556597,2899,0.01640991292699263,0.002344273275284662,0.010381781647689216,0.9708640321500335
134,Carroll,1186,Carroll Precinct 12-001,1086,29,6,32,100,1186,1,0.9156829679595279,0.08431703204047218,1119,0.024451939291736932,0.00505902192242833,0.026981450252951095,0.9435075885328836
135,Carroll,2833,Carroll Precinct 11-001,2645,72,15,66,188,2833,1,0.9336392516766678,0.06636074832333215,2680,0.025414754677020826,0.005294740557712672,0.023296858453935757,0.9459936463113308
396,Carroll,1084,Carroll Precinct 10-001,1040,20,6,14,44,1084,1,0.959409594095941,0.04059040590405904,1044,0.01845018450184502,0.005535055350553505,0.012915129151291513,0.9630996309963099
397,Carroll,7012,Carroll Precinct 01-001,6558,151,28,117,454,7012,1,0.9352538505419281,0.06474614945807187,6716,0.021534512264689103,0.003993154592127781,0.016685681688533942,0.9577866514546491
398,Carroll,1424,Carroll Precinct 02-001,1389,58,6,36,35,1424,1,0.9754213483146067,0.02457865168539326,1324,0.04073033707865169,0.004213483146067416,0.025280898876404494,0.9297752808988764
399,Carroll,1786,Carroll Precinct 02-002,1731,44,12,32,55,1786,1,0.9692049272116461,0.030795072788353865,1698,0.02463605823068309,0.006718924972004479,0.01791713325867861,0.9507278835386338
927,Carroll,6623,Carroll Precinct 14-002,6214,184,33,109,409,6623,1,0.9382455080779103,0.061754491922089684,6297,0.027781971916050127,0.004982636267552468,0.01645779858070361,0.9507775932356938
928,Carroll,3192,Carroll Precinct 05-001,2872,117,17,97,320,3192,1,0.899749373433584,0.10025062656641603,2961,0.03665413533834586,0.005325814536340852,0.03038847117794486,0.9276315789473685
929,Carroll,647,Carroll Precinct 05-006,626,47,5,25,21,647,1,0.9675425038639877,0.03245749613601236,570,0.07264296754250386,0.0077279752704791345,0.03863987635239567,0.8809891808346213
931,Carroll,2786,Carroll Precinct 14-001,2611,110,19,81,175,2786,1,0.9371859296482412,0.06281407035175879,2576,0.03948312993539124,0.0068198133524766695,0.02907394113424264,0.9246231155778895
932,Carroll,2559,Carroll Precinct 05-005,2276,88,11,66,283,2559,1,0.889409925752247,0.11059007424775302,2394,0.03438843298163345,0.0042985541227041815,0.02579132473622509,0.9355216881594373
933,Carroll,2727,Carroll Precinct 09-001,2601,105,19,87,126,2727,1,0.9537953795379538,0.0462046204620462,2516,0.03850385038503851,0.006967363403006967,0.0319031903190319,0.9226255958929226
934,Carroll,5574,Carroll Precinct 07-007,5011,180,34,105,563,5574,1,0.8989953354861858,0.10100466451381414,5255,0.03229278794402583,0.006099748833871547,0.01883745963401507,0.9427700035880876
