,COUNTY,VAP,NAME,WVAP,AG18D,AG18R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,AG18None,AG18D_pct,AG18R_pct,AG18None_pct
132,Carroll,2986,Carroll Precinct 09-002,2814,343,776,172,2986,1,0.942397856664434,0.05760214333556597,1867,0.11486939048894843,0.25987943737441394,0.6252511721366376
134,Carroll,1186,Carroll Precinct 12-001,1086,201,388,100,1186,1,0.9156829679595279,0.08431703204047218,597,0.16947723440134907,0.327150084317032,0.5033726812816189
135,Carroll,2833,Carroll Precinct 11-001,2645,504,1103,188,2833,1,0.9336392516766678,0.06636074832333215,1226,0.17790328273914577,0.38933992234380516,0.43275679491704905
396,Carroll,1084,Carroll Precinct 10-001,1040,140,478,44,1084,1,0.959409594095941,0.04059040590405904,466,0.12915129151291513,0.44095940959409596,0.42988929889298894
397,Carroll,7012,Carroll Precinct 01-001,6558,1033,2303,454,7012,1,0.9352538505419281,0.06474614945807187,3676,0.14731888191671422,0.32843696520251,0.5242441528807759
398,Carroll,1424,Carroll Precinct 02-001,1389,290,661,35,1424,1,0.9754213483146067,0.02457865168539326,473,0.20365168539325842,0.46418539325842695,0.3321629213483146
399,Carroll,1786,Carroll Precinct 02-002,1731,317,835,55,1786,1,0.9692049272116461,0.030795072788353865,634,0.177491601343785,0.467525195968645,0.35498320268757
927,Carroll,6623,Carroll Precinct 14-002,6214,1204,2511,409,6623,1,0.9382455080779103,0.061754491922089684,2908,0.1817907292767628,0.37913332326740146,0.4390759474558357
928,Carroll,3192,Carroll Precinct 05-001,2872,910,1145,320,3192,1,0.899749373433584,0.10025062656641603,1137,0.2850877192982456,0.35870927318295737,0.35620300751879697
929,Carroll,647,Carroll Precinct 05-006,626,202,208,21,647,1,0.9675425038639877,0.03245749613601236,237,0.312210200927357,0.321483771251932,0.366306027820711
931,Carroll,2786,Carroll Precinct 14-001,2611,711,1180,175,2786,1,0.9371859296482412,0.06281407035175879,895,0.2552045944005743,0.4235463029432879,0.3212491026561378
932,Carroll,2559,Carroll Precinct 05-005,2276,774,958,283,2559,1,0.889409925752247,0.11059007424775302,827,0.30246189917936694,0.3743649863227823,0.32317311449785074
933,Carroll,2727,Carroll Precinct 09-001,2601,701,1587,126,2727,1,0.9537953795379538,0.0462046204620462,439,0.25705903923725704,0.581958195819582,0.160982764943161
934,Carroll,5574,Carroll Precinct 07-007,5011,1248,1814,563,5574,1,0.8989953354861858,0.10100466451381414,2512,0.2238966630785791,0.3254395407247937,0.4506637961966272
935,Carroll,1903,Carroll Precinct 07-008,1759,355,807,144,1903,1,0.9243300052548608,0.07566999474513926,741,0.18654755648975302,0.42406726221755126,0.3893851812926957
936,Carroll,960,Carroll Precinct 07-005,945,301,333,15,960,1,0.984375,0.015625,326,0.31354166666666666,0.346875,0.33958333333333335
937,Carroll,2365,Carroll Precinct 04-002,2282,491,1048,83,2365,1,0.9649048625792812,0.03509513742071882,826,0.2076109936575053,0.4431289640591966,0.3492600422832981
938,Carroll,2537,Carroll Precinct 07-006,2326,522,822,211,2537,1,0.9168309026409145,0.08316909735908554,1193,0.20575482853764288,0.32400472999605834,0.4702404414662988
939,Carroll,3647,Carroll Precinct 07-003,3100,712,777,547,3647,1,0.8500137098985467,0.14998629010145326,2158,0.19522895530573073,0.21305182341650672,0.5917192212777626
940,Carroll,2385,Carroll Precinct 07-001,2135,400,544,250,2385,1,0.8951781970649895,0.10482180293501048,1441,0.16771488469601678,0.2280922431865828,0.6041928721174005
941,Carroll,7644,Carroll Precinct 05-004,6509,2034,2878,1135,7644,1,0.8515175300889587,0.14848246991104133,2732,0.26609105180533754,0.37650444793301935,0.3574045002616431
943,Carroll,4313,Carroll Precinct 05-002,3922,1267,1982,391,4313,1,0.9093438441919778,0.09065615580802226,1064,0.29376304196614883,0.4595409227915604,0.24669603524229075
1170,Carroll,2549,Carroll Precinct 05-003,2418,680,1123,131,2549,1,0.9486072969792075,0.05139270302079247,746,0.266771282856022,0.4405649274225186,0.2926637897214594
1181,Carroll,6184,Carroll Precinct 04-001,5840,1247,2419,344,6184,1,0.944372574385511,0.055627425614489,2518,0.20164941785252263,0.39117076326002587,0.4071798188874515
