,COUNTY,VAP,NAME,WVAP,COMP14D,COMP14R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,COMP14None,COMP14D_pct,COMP14R_pct,COMP14None_pct
132,Carroll,2986,Carroll Precinct 09-002,2814,382,609,172,2986,1,0.942397856664434,0.05760214333556597,1995,0.12793034159410582,0.20395177494976557,0.6681178834561285
134,Carroll,1186,Carroll Precinct 12-001,1086,244,281,100,1186,1,0.9156829679595279,0.08431703204047218,661,0.2057335581787521,0.23693086003372682,0.5573355817875211
135,Carroll,2833,Carroll Precinct 11-001,2645,610,854,188,2833,1,0.9336392516766678,0.06636074832333215,1369,0.215319449346982,0.3014472290857748,0.4832333215672432
396,Carroll,1084,Carroll Precinct 10-001,1040,186,298,44,1084,1,0.959409594095941,0.04059040590405904,600,0.17158671586715868,0.27490774907749077,0.5535055350553506
397,Carroll,7012,Carroll Precinct 01-001,6558,1149,1576,454,7012,1,0.9352538505419281,0.06474614945807187,4287,0.1638619509412436,0.22475755847119225,0.6113804905875642
398,Carroll,1424,Carroll Precinct 02-001,1389,338,475,35,1424,1,0.9754213483146067,0.02457865168539326,611,0.23735955056179775,0.3335674157303371,0.42907303370786515
399,Carroll,1786,Carroll Precinct 02-002,1731,377,566,55,1786,1,0.9692049272116461,0.030795072788353865,843,0.2110862262038074,0.3169092945128779,0.4720044792833147
927,Carroll,6623,Carroll Precinct 14-002,6214,1399,2047,409,6623,1,0.9382455080779103,0.061754491922089684,3177,0.21123357994866374,0.3090744375660577,0.47969198248527856
928,Carroll,3192,Carroll Precinct 05-001,2872,814,906,320,3192,1,0.899749373433584,0.10025062656641603,1472,0.2550125313283208,0.28383458646616544,0.46115288220551376
929,Carroll,647,Carroll Precinct 05-006,626,199,156,21,647,1,0.9675425038639877,0.03245749613601236,292,0.3075734157650695,0.241112828438949,0.45131375579598143
931,Carroll,2786,Carroll Precinct 14-001,2611,705,921,175,2786,1,0.9371859296482412,0.06281407035175879,1160,0.25305096913137115,0.33058147882268485,0.416367552045944
932,Carroll,2559,Carroll Precinct 05-005,2276,626,762,283,2559,1,0.889409925752247,0.11059007424775302,1171,0.24462680734661976,0.2977725674091442,0.457600625244236
933,Carroll,2727,Carroll Precinct 09-001,2601,821,1257,126,2727,1,0.9537953795379538,0.0462046204620462,649,0.30106343967730104,0.46094609460946095,0.23799046571323798
934,Carroll,5574,Carroll Precinct 07-007,5011,1150,1340,563,5574,1,0.8989953354861858,0.10100466451381414,3084,0.20631503408683172,0.24040186580552567,0.5532831001076426
935,Carroll,1903,Carroll Precinct 07-008,1759,411,555,144,1903,1,0.9243300052548608,0.07566999474513926,937,0.2159747766684183,0.29164477141355755,0.49238045191802415
936,Carroll,960,Carroll Precinct 07-005,945,300,236,15,960,1,0.984375,0.015625,424,0.3125,0.24583333333333332,0.44166666666666665
937,Carroll,2365,Carroll Precinct 04-002,2282,515,790,83,2365,1,0.9649048625792812,0.03509513742071882,1060,0.21775898520084566,0.33403805496828753,0.44820295983086683
938,Carroll,2537,Carroll Precinct 07-006,2326,560,609,211,2537,1,0.9168309026409145,0.08316909735908554,1368,0.22073314938904218,0.24004729996058335,0.5392195506503744
939,Carroll,3647,Carroll Precinct 07-003,3100,580,534,547,3647,1,0.8500137098985467,0.14998629010145326,2533,0.15903482314230874,0.14642171647929805,0.6945434603783932
940,Carroll,2385,Carroll Precinct 07-001,2135,336,394,250,2385,1,0.8951781970649895,0.10482180293501048,1655,0.14088050314465408,0.16519916142557653,0.6939203354297694
941,Carroll,7644,Carroll Precinct 05-004,6509,1831,2244,1135,7644,1,0.8515175300889587,0.14848246991104133,3569,0.23953427524856097,0.29356357927786497,0.46690214547357406
943,Carroll,4313,Carroll Precinct 05-002,3922,1254,1601,391,4313,1,0.9093438441919778,0.09065615580802226,1458,0.2907488986784141,0.3712033387433341,0.3380477625782518
1170,Carroll,2549,Carroll Precinct 05-003,2418,712,858,131,2549,1,0.9486072969792075,0.05139270302079247,979,0.2793252255786583,0.33660258925068653,0.38407218517065517
1181,Carroll,6184,Carroll Precinct 04-001,5840,1388,1875,344,6184,1,0.944372574385511,0.055627425614489,2921,0.2244501940491591,0.3032018111254851,0.4723479948253558
1182,Carroll,4802,Carroll Precinct 08-001,4594,1011,1470,208,4802,1,0.9566847147022074,0.043315285297792584,2321,0.21053727613494377,0.30612244897959184,0.4833402748854644
1187,Carroll,7419,Carroll Precinct 07-004,6548,1269,1430,871,7419,1,0.8825987329828818,0.11740126701711821,4720,0.17104731095835018,0.19274834883407468,0.6362043402075751
1188,Carroll,4295,Carroll Precinct 03-001,4156,799,1345,139,4295,1,0.9676367869615833,0.032363213038416765,2151,0.1860302677532014,0.3131548311990687,0.50081490104773
1189,Carroll,3836,Carroll Precinct 07-002,3328,678,833,508,3836,1,0.867570385818561,0.132429614181439,2325,0.1767466110531804,0.21715328467153286,0.6061001042752867
1190,Carroll,5993,Carroll Precinct 06-001,5728,1108,1856,265,5993,1,0.9557817453695978,0.04421825463040214,3029,0.18488236275654932,0.3096946437510429,0.5054229934924078
1191,Carroll,3510,Carroll Precinct 08-002,3268,745,1038,242,3510,1,0.931054131054131,0.06894586894586895,1727,0.21225071225071226,0.29572649572649573,0.49202279202279203
1192,Carroll,2717,Carroll Precinct 08-003,2574,567,821,143,2717,1,0.9473684210526315,0.05263157894736842,1329,0.20868605079131394,0.3021715126978285,0.48914243651085754
1193,Carroll,4591,Carroll Precinct 06-002,4324,1003,1535,267,4591,1,0.9418427357874102,0.05815726421258985,2053,0.2184709213678937,0.33434981485515136,0.44717926377695494
1770,Carroll,7060,Carroll Precinct 13-001,6426,1485,2397,634,7060,1,0.9101983002832861,0.08980169971671388,3178,0.2103399433427762,0.3395184135977337,0.45014164305949006
1794,Carroll,4768,Carroll Precinct 04-003,4514,1069,1486,254,4768,1,0.9467281879194631,0.05327181208053691,2213,0.2242030201342282,0.31166107382550334,0.46413590604026844
