,COUNTY,VAP,NAME,WVAP,GOV14D,GOV14R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV14None,GOV14D_pct,GOV14R_pct,GOV14None_pct
132,Carroll,2986,Carroll Precinct 09-002,2814,126,883,172,2986,1,0.942397856664434,0.05760214333556597,1977,0.04219691895512391,0.2957133288680509,0.6620897521768252
134,Carroll,1186,Carroll Precinct 12-001,1086,94,441,100,1186,1,0.9156829679595279,0.08431703204047218,651,0.07925801011804384,0.3718381112984823,0.5489038785834739
135,Carroll,2833,Carroll Precinct 11-001,2645,223,1281,188,2833,1,0.9336392516766678,0.06636074832333215,1329,0.07871514295799506,0.4521708436286622,0.46911401341334275
396,Carroll,1084,Carroll Precinct 10-001,1040,46,456,44,1084,1,0.959409594095941,0.04059040590405904,582,0.042435424354243544,0.42066420664206644,0.5369003690036901
397,Carroll,7012,Carroll Precinct 01-001,6558,370,2417,454,7012,1,0.9352538505419281,0.06474614945807187,4225,0.05276668568168853,0.34469480889903026,0.6025385054192812
398,Carroll,1424,Carroll Precinct 02-001,1389,111,722,35,1424,1,0.9754213483146067,0.02457865168539326,591,0.07794943820224719,0.5070224719101124,0.41502808988764045
399,Carroll,1786,Carroll Precinct 02-002,1731,127,857,55,1786,1,0.9692049272116461,0.030795072788353865,802,0.07110862262038074,0.4798432250839866,0.4490481522956327
927,Carroll,6623,Carroll Precinct 14-002,6214,512,2974,409,6623,1,0.9382455080779103,0.061754491922089684,3137,0.07730635663596558,0.44904121999094065,0.47365242337309377
928,Carroll,3192,Carroll Precinct 05-001,2872,408,1293,320,3192,1,0.899749373433584,0.10025062656641603,1491,0.12781954887218044,0.4050751879699248,0.46710526315789475
929,Carroll,647,Carroll Precinct 05-006,626,111,240,21,647,1,0.9675425038639877,0.03245749613601236,296,0.17156105100463678,0.37094281298299847,0.4574961360123648
931,Carroll,2786,Carroll Precinct 14-001,2611,288,1352,175,2786,1,0.9371859296482412,0.06281407035175879,1146,0.10337401292175162,0.4852835606604451,0.4113424264178033
932,Carroll,2559,Carroll Precinct 05-005,2276,274,1118,283,2559,1,0.889409925752247,0.11059007424775302,1167,0.10707307542008597,0.43688940992575226,0.45603751465416176
933,Carroll,2727,Carroll Precinct 09-001,2601,292,1818,126,2727,1,0.9537953795379538,0.0462046204620462,617,0.10707737440410708,0.6666666666666666,0.22625595892922626
934,Carroll,5574,Carroll Precinct 07-007,5011,525,1947,563,5574,1,0.8989953354861858,0.10100466451381414,3102,0.09418729817007535,0.34930032292787944,0.5565123789020452
935,Carroll,1903,Carroll Precinct 07-008,1759,144,839,144,1903,1,0.9243300052548608,0.07566999474513926,920,0.07566999474513926,0.44088281660535994,0.4834471886495008
936,Carroll,960,Carroll Precinct 07-005,945,146,393,15,960,1,0.984375,0.015625,421,0.15208333333333332,0.409375,0.43854166666666666
937,Carroll,2365,Carroll Precinct 04-002,2282,171,1142,83,2365,1,0.9649048625792812,0.03509513742071882,1052,0.07230443974630021,0.4828752642706131,0.4448202959830867
