,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,PRES16D,PRES16R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,PRES16None,PRES16D_pct,PRES16R_pct,PRES16None_pct
132,Carroll,2986,Carroll Precinct 09-002,2814,45,69,378,1021,58,2986,1.0,0.942397856664434,0.01507032819825854,0.023107836570663093,0.01942397856664434,1587,0.12659075686537175,0.3419290020093771,0.5314802411252512
134,Carroll,1186,Carroll Precinct 12-001,1086,70,17,218,537,13,1186,1.0,0.9156829679595279,0.05902192242833052,0.01433389544688027,0.010961214165261383,431,0.18381112984822934,0.4527824620573356,0.3634064080944351
135,Carroll,2833,Carroll Precinct 11-001,2645,87,63,487,1509,38,2833,1.0,0.9336392516766678,0.030709495234733496,0.02223791034239322,0.013413342746205436,837,0.17190257677373807,0.5326509001058948,0.2954465231203671
396,Carroll,1084,Carroll Precinct 10-001,1040,12,15,151,597,17,1084,1.0,0.959409594095941,0.01107011070110701,0.013837638376383764,0.015682656826568265,336,0.1392988929889299,0.5507380073800738,0.30996309963099633
397,Carroll,7012,Carroll Precinct 01-001,6558,201,129,977,2934,124,7012,1.0,0.9352538505419281,0.028665145464917285,0.018397033656588704,0.017683970336565887,3101,0.13933257273245864,0.4184255561893896,0.4422418710781517
398,Carroll,1424,Carroll Precinct 02-001,1389,11,16,303,821,8,1424,1.0,0.9754213483146067,0.007724719101123595,0.011235955056179775,0.0056179775280898875,300,0.2127808988764045,0.5765449438202247,0.21067415730337077
399,Carroll,1786,Carroll Precinct 02-002,1731,9,19,326,1003,27,1786,1.0,0.9692049272116461,0.005039193729003359,0.010638297872340425,0.015117581187010079,457,0.18253079507278835,0.5615901455767077,0.2558790593505039
927,Carroll,6623,Carroll Precinct 14-002,6214,125,131,1354,3215,153,6623,1.0,0.9382455080779103,0.018873622225577532,0.019779556092405254,0.0231013136041069,2054,0.20443907594745583,0.48542956364185413,0.31013136041069
928,Carroll,3192,Carroll Precinct 05-001,2872,133,80,1017,1379,107,3192,1.0,0.899749373433584,0.041666666666666664,0.02506265664160401,0.03352130325814536,796,0.31860902255639095,0.43201754385964913,0.24937343358395989
929,Carroll,647,Carroll Precinct 05-006,626,5,6,206,242,10,647,1.0,0.9675425038639877,0.0077279752704791345,0.00927357032457496,0.015455950540958269,199,0.31839258114374036,0.3740340030911901,0.3075734157650695
931,Carroll,2786,Carroll Precinct 14-001,2611,70,52,729,1494,53,2786,1.0,0.9371859296482412,0.02512562814070352,0.01866475233309404,0.019023689877961235,563,0.26166547020818376,0.5362526920315865,0.20208183776022973
932,Carroll,2559,Carroll Precinct 05-005,2276,87,77,784,1155,119,2559,1.0,0.889409925752247,0.03399765533411489,0.03008987885892927,0.04650254005470887,620,0.3063696756545526,0.451348182883939,0.2422821414615084
933,Carroll,2782,Carroll Precinct 09-001,2653,50,41,745,2036,38,2782,1.0198019801980198,0.9536304816678648,0.017972681524083392,0.014737598849748382,0.013659237958303379,1,0.26779295470884257,0.7318475916606758,0.0003594536304816679
934,Carroll,5574,Carroll Precinct 07-007,5011,218,157,1308,2148,188,5574,1.0,0.8989953354861858,0.03911015428776462,0.0281664872622892,0.03372802296376032,2118,0.23466092572658773,0.38536060279870826,0.379978471474704
935,Carroll,1903,Carroll Precinct 07-008,1759,65,29,320,911,50,1903,1.0,0.9243300052548608,0.03415659485023647,0.015239096163951655,0.02627430373095113,672,0.16815554387808723,0.47871781397792956,0.3531266421439832
936,Carroll,960,Carroll Precinct 07-005,945,9,3,290,373,3,960,1.0,0.984375,0.009375,0.003125,0.003125,297,0.3020833333333333,0.3885416666666667,0.309375
937,Carroll,2365,Carroll Precinct 04-002,2282,28,19,486,1224,36,2365,1.0,0.9649048625792812,0.011839323467230444,0.008033826638477801,0.01522198731501057,655,0.20549682875264272,0.5175475687103595,0.2769556025369979
938,Carroll,2537,Carroll Precinct 07-006,2326,65,59,561,974,87,2537,1.0,0.9168309026409145,0.025620811982656682,0.023255813953488372,0.03429247142294048,1002,0.2211273157272369,0.3839180134016555,0.3949546708711076
939,Carroll,3647,Carroll Precinct 07-003,3100,264,178,760,939,105,3647,1.0,0.8500137098985467,0.07238826432684398,0.04880723882643268,0.028790786948176585,1948,0.20839045791061145,0.25747189470797915,0.5341376473814093
940,Carroll,2385,Carroll Precinct 07-001,2135,105,101,373,622,44,2385,1.0,0.8951781970649895,0.0440251572327044,0.042348008385744235,0.018448637316561847,1390,0.15639412997903565,0.2607966457023061,0.5828092243186582
941,Carroll,7644,Carroll Precinct 05-004,6509,725,141,2179,3434,269,7644,1.0,0.8515175300889587,0.09484563055991628,0.018445839874411302,0.03519099947671376,2031,0.2850601779173208,0.44924123495552065,0.26569858712715855
943,Carroll,4313,Carroll Precinct 05-002,3922,228,63,1339,2325,100,4313,1.0,0.9093438441919778,0.05286343612334802,0.014607002086714584,0.023185717597959656,649,0.3104567586366798,0.539067934152562,0.15047530721075816
1170,Carroll,2549,Carroll Precinct 05-003,2418,38,34,747,1337,59,2549,1.0,0.9486072969792075,0.01490780698313064,0.013338564142801098,0.02314633189486073,465,0.2930561004315418,0.5245194193801491,0.18242448018830915
1181,Carroll,6184,Carroll Precinct 04-001,5840,132,76,1246,2891,136,6184,1.0,0.944372574385511,0.021345407503234153,0.012289780077619664,0.02199223803363519,2047,0.20148771021992237,0.467496765847348,0.33101552393272965
1182,Carroll,4802,Carroll Precinct 08-001,4594,54,55,855,2402,99,4802,1.0,0.9566847147022074,0.011245314452311536,0.011453561016243232,0.020616409829237816,1545,0.17805081216159932,0.5002082465639317,0.32174094127446895
1187,Carroll,7419,Carroll Precinct 07-004,6548,335,265,1397,2345,271,7419,1.0,0.8825987329828818,0.045154333468122386,0.03571909960911174,0.03652783393988408,3677,0.1883003100148268,0.3160803342768567,0.4956193557083165
1188,Carroll,4295,Carroll Precinct 03-001,4156,43,42,597,2044,54,4295,1.0,0.9676367869615833,0.010011641443538999,0.009778812572759022,0.012572759022118742,1654,0.1389988358556461,0.4759022118742724,0.3850989522700815
1189,Carroll,3836,Carroll Precinct 07-002,3328,157,245,574,1409,106,3836,1.0,0.867570385818561,0.04092805005213764,0.06386861313868614,0.027632950990615225,1853,0.14963503649635038,0.36730969760166843,0.4830552659019812
1190,Carroll,5993,Carroll Precinct 06-001,5728,79,80,928,3093,106,5993,1.0,0.9557817453695978,0.013182045720006674,0.013348907058234607,0.017687301852160855,1972,0.15484732187552144,0.5161021191389955,0.3290505589854831
1191,Carroll,3510,Carroll Precinct 08-002,3268,78,103,629,1766,61,3510,1.0,0.931054131054131,0.022222222222222223,0.029344729344729346,0.017378917378917377,1115,0.1792022792022792,0.5031339031339032,0.3176638176638177
1192,Carroll,2717,Carroll Precinct 08-003,2574,40,61,575,1388,42,2717,1.0,0.9473684210526315,0.01472211998527788,0.022451232977548766,0.015458225984541774,754,0.21163047478836952,0.5108575634891425,0.27751196172248804
1193,Carroll,4591,Carroll Precinct 06-002,4324,106,96,835,2559,65,4591,1.0,0.9418427357874102,0.023088651709867132,0.020910477020257025,0.014158135482465693,1197,0.1818775865824439,0.5573949030712263,0.2607275103463298
1770,Carroll,7060,Carroll Precinct 13-001,6426,188,225,1914,3686,221,7060,1.0,0.9101983002832861,0.026628895184135977,0.03186968838526912,0.03130311614730878,1460,0.2711048158640227,0.5220963172804532,0.20679886685552407
1794,Carroll,4768,Carroll Precinct 04-003,4514,103,50,961,2387,101,4768,1.0,0.9467281879194631,0.02160234899328859,0.010486577181208054,0.02118288590604027,1420,0.20155201342281878,0.5006291946308725,0.2978187919463087
