,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN16D,SEN16R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN16None,SEN16D_pct,SEN16R_pct,SEN16None_pct
132,Carroll,2986,Carroll Precinct 09-002,2814,45,69,412,1021,58,2986,1.0,0.942397856664434,0.01507032819825854,0.023107836570663093,0.01942397856664434,1553,0.13797722705961152,0.3419290020093771,0.5200937709310114
134,Carroll,1186,Carroll Precinct 12-001,1086,70,17,248,529,13,1186,1.0,0.9156829679595279,0.05902192242833052,0.01433389544688027,0.010961214165261383,409,0.209106239460371,0.4460370994940978,0.3448566610455312
135,Carroll,2833,Carroll Precinct 11-001,2645,87,63,554,1521,38,2833,1.0,0.9336392516766678,0.030709495234733496,0.02223791034239322,0.013413342746205436,758,0.19555241793152137,0.536886692552065,0.2675608895164137
396,Carroll,1084,Carroll Precinct 10-001,1040,12,15,159,593,17,1084,1.0,0.959409594095941,0.01107011070110701,0.013837638376383764,0.015682656826568265,332,0.1466789667896679,0.5470479704797048,0.3062730627306273
397,Carroll,7012,Carroll Precinct 01-001,6558,201,129,1079,2943,124,7012,1.0,0.9352538505419281,0.028665145464917285,0.018397033656588704,0.017683970336565887,2990,0.15387906446092414,0.4197090701654307,0.42641186537364517
398,Carroll,1424,Carroll Precinct 02-001,1389,11,16,310,851,8,1424,1.0,0.9754213483146067,0.007724719101123595,0.011235955056179775,0.0056179775280898875,263,0.21769662921348315,0.5976123595505618,0.18469101123595505
399,Carroll,1786,Carroll Precinct 02-002,1731,9,19,338,1024,27,1786,1.0,0.9692049272116461,0.005039193729003359,0.010638297872340425,0.015117581187010079,424,0.18924972004479285,0.5733482642777156,0.2374020156774916
927,Carroll,6623,Carroll Precinct 14-002,6214,125,131,1365,3363,153,6623,1.0,0.9382455080779103,0.018873622225577532,0.019779556092405254,0.0231013136041069,1895,0.20609995470330666,0.507775932356938,0.28612411293975537
928,Carroll,3192,Carroll Precinct 05-001,2872,133,80,996,1459,107,3192,1.0,0.899749373433584,0.041666666666666664,0.02506265664160401,0.03352130325814536,737,0.31203007518796994,0.45708020050125314,0.23088972431077695
929,Carroll,647,Carroll Precinct 05-006,626,5,6,211,246,10,647,1.0,0.9675425038639877,0.0077279752704791345,0.00927357032457496,0.015455950540958269,190,0.3261205564142195,0.3802163833075734,0.2936630602782071
