,COUNTY,VAP,NAME,WVAP,SEN16D,SEN16R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN16None,SEN16D_pct,SEN16R_pct,SEN16None_pct
132,Carroll,2986,Carroll Precinct 09-002,2814,412,1021,172,2986,1.0,0.942397856664434,0.05760214333556597,1553,0.13797722705961152,0.3419290020093771,0.5200937709310114
134,Carroll,1186,Carroll Precinct 12-001,1086,248,529,100,1186,1.0,0.9156829679595279,0.08431703204047218,409,0.209106239460371,0.4460370994940978,0.3448566610455312
135,Carroll,2833,Carroll Precinct 11-001,2645,554,1521,188,2833,1.0,0.9336392516766678,0.06636074832333215,758,0.19555241793152137,0.536886692552065,0.2675608895164137
396,Carroll,1084,Carroll Precinct 10-001,1040,159,593,44,1084,1.0,0.959409594095941,0.04059040590405904,332,0.1466789667896679,0.5470479704797048,0.3062730627306273
397,Carroll,7012,Carroll Precinct 01-001,6558,1079,2943,454,7012,1.0,0.9352538505419281,0.06474614945807187,2990,0.15387906446092414,0.4197090701654307,0.42641186537364517
398,Carroll,1424,Carroll Precinct 02-001,1389,310,851,35,1424,1.0,0.9754213483146067,0.02457865168539326,263,0.21769662921348315,0.5976123595505618,0.18469101123595505
399,Carroll,1786,Carroll Precinct 02-002,1731,338,1024,55,1786,1.0,0.9692049272116461,0.030795072788353865,424,0.18924972004479285,0.5733482642777156,0.2374020156774916
927,Carroll,6623,Carroll Precinct 14-002,6214,1365,3363,409,6623,1.0,0.9382455080779103,0.061754491922089684,1895,0.20609995470330666,0.507775932356938,0.28612411293975537
928,Carroll,3192,Carroll Precinct 05-001,2872,996,1459,320,3192,1.0,0.899749373433584,0.10025062656641603,737,0.31203007518796994,0.45708020050125314,0.23088972431077695
929,Carroll,647,Carroll Precinct 05-006,626,211,246,21,647,1.0,0.9675425038639877,0.03245749613601236,190,0.3261205564142195,0.3802163833075734,0.2936630602782071
931,Carroll,2786,Carroll Precinct 14-001,2611,768,1534,175,2786,1.0,0.9371859296482412,0.06281407035175879,484,0.2756640344580043,0.5506101938262742,0.17372577171572146
932,Carroll,2559,Carroll Precinct 05-005,2276,789,1262,283,2559,1.0,0.889409925752247,0.11059007424775302,508,0.3083235638921454,0.49316139116842517,0.19851504493942945
933,Carroll,2851,Carroll Precinct 09-001,2719,792,2058,132,2851,1.045104510451045,0.9537004559803578,0.04629954401964223,1,0.2777972641178534,0.7218519817607857,0.00035075412136092597
934,Carroll,5574,Carroll Precinct 07-007,5011,1382,2242,563,5574,1.0,0.8989953354861858,0.10100466451381414,1950,0.24793684965913168,0.4022246142805884,0.34983853606027987
935,Carroll,1903,Carroll Precinct 07-008,1759,344,918,144,1903,1.0,0.9243300052548608,0.07566999474513926,641,0.18076720966894377,0.48239621650026276,0.33683657383079346
936,Carroll,960,Carroll Precinct 07-005,945,296,392,15,960,1.0,0.984375,0.015625,272,0.30833333333333335,0.4083333333333333,0.2833333333333333
937,Carroll,2365,Carroll Precinct 04-002,2282,499,1271,83,2365,1.0,0.9649048625792812,0.03509513742071882,595,0.21099365750528543,0.5374207188160677,0.25158562367864695
938,Carroll,2537,Carroll Precinct 07-006,2326,593,1019,211,2537,1.0,0.9168309026409145,0.08316909735908554,925,0.2337406385494679,0.40165549862041783,0.3646038628301143
939,Carroll,3647,Carroll Precinct 07-003,3100,813,964,547,3647,1.0,0.8500137098985467,0.14998629010145326,1870,0.22292295037016727,0.26432684398135453,0.5127502056484782
940,Carroll,2385,Carroll Precinct 07-001,2135,385,658,250,2385,1.0,0.8951781970649895,0.10482180293501048,1342,0.16142557651991615,0.2758909853249476,0.5626834381551362
941,Carroll,7644,Carroll Precinct 05-004,6509,2218,3657,1135,7644,1.0,0.8515175300889587,0.14848246991104133,1769,0.2901622187336473,0.478414442700157,0.2314233385661957
943,Carroll,4313,Carroll Precinct 05-002,3922,1331,2507,391,4313,1.0,0.9093438441919778,0.09065615580802226,475,0.308601901228843,0.5812659401808487,0.11013215859030837
1170,Carroll,2549,Carroll Precinct 05-003,2418,778,1389,131,2549,1.0,0.9486072969792075,0.05139270302079247,382,0.3052177324440957,0.5449195763044331,0.14986269125147117
