,COUNTY,VAP,NAME,WVAP,COMP14D,COMP14R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,COMP14None,COMP14D_pct,COMP14R_pct,COMP14None_pct
200,Charles,2592,Charles Precinct 03-001,1691,465,566,901,2592,1,0.652391975308642,0.34760802469135804,1561,0.17939814814814814,0.2183641975308642,0.6022376543209876
201,Charles,1606,Charles Precinct 02-001,1303,276,468,303,1606,1,0.811332503113325,0.18866749688667497,862,0.1718555417185554,0.29140722291407223,0.5367372353673724
202,Charles,3125,Charles Precinct 10-001,1544,699,526,1581,3125,1,0.49408,0.50592,1900,0.22368,0.16832,0.608
203,Charles,2755,Charles Precinct 07-002,1062,747,330,1693,2755,1,0.385480943738657,0.6145190562613431,1678,0.2711433756805808,0.11978221415607986,0.6090744101633394
204,Charles,3366,Charles Precinct 07-003,1393,982,401,1973,3366,1,0.4138443256090315,0.5861556743909685,1983,0.2917409387997623,0.11913250148544266,0.589126559714795
205,Charles,1655,Charles Precinct 07-001,1311,247,285,344,1655,1,0.7921450151057402,0.20785498489425983,1123,0.14924471299093656,0.17220543806646527,0.6785498489425982
206,Charles,2514,Charles Precinct 07-004,947,927,257,1567,2514,1,0.37669053301511535,0.6233094669848847,1330,0.36873508353221957,0.10222752585521082,0.5290373906125696
209,Charles,2440,Charles Precinct 01-002,1878,505,777,562,2440,1,0.769672131147541,0.230327868852459,1158,0.2069672131147541,0.31844262295081965,0.4745901639344262
210,Charles,1733,Charles Precinct 04-002,1449,263,595,284,1733,1,0.8361223312175419,0.16387766878245816,875,0.1517599538372764,0.34333525678015003,0.5049047893825735
211,Charles,2359,Charles Precinct 01-003,1637,555,671,722,2359,1,0.6939381093683764,0.3060618906316236,1133,0.23526918185671894,0.2844425604069521,0.48028825773632894
212,Charles,2485,Charles Precinct 01-004,1976,436,640,509,2485,1,0.7951710261569417,0.20482897384305834,1409,0.17545271629778672,0.2575452716297787,0.5670020120724346
213,Charles,3599,Charles Precinct 05-001,2920,651,874,679,3599,1,0.81133648235621,0.18866351764378994,2074,0.18088357877188108,0.24284523478744097,0.576271186440678
214,Charles,2563,Charles Precinct 04-001,2230,390,776,333,2563,1,0.870074131876707,0.12992586812329301,1397,0.15216543113538822,0.3027701911822083,0.5450643776824035
215,Charles,2392,Charles Precinct 08-001,1757,665,1005,635,2392,1,0.7345317725752508,0.2654682274247492,722,0.27801003344481606,0.42015050167224083,0.30183946488294316
216,Charles,2371,Charles Precinct 06-001,1797,486,657,574,2371,1,0.7579080556727119,0.24209194432728806,1228,0.20497680303669338,0.27709827077182625,0.5179249261914803
217,Charles,3623,Charles Precinct 06-014,1425,1146,477,2198,3623,1,0.3933204526635385,0.6066795473364615,2000,0.31631244824730886,0.1316588462600055,0.5520287054926856
378,Charles,2571,Charles Precinct 09-002,1957,459,689,614,2571,1,0.7611824192921043,0.23881758070789577,1423,0.17852975495915985,0.2679891092959938,0.5534811357448464
387,Charles,2356,Charles Precinct 09-001,1447,600,599,909,2356,1,0.6141765704584041,0.38582342954159593,1157,0.2546689303904924,0.25424448217317486,0.49108658743633277
454,Charles,3603,Charles Precinct 06-006,1784,843,461,1819,3603,1,0.49514293644185403,0.504857063558146,2299,0.23397169025811823,0.1279489314460172,0.6380793782958646
455,Charles,2547,Charles Precinct 06-018,447,1166,147,2100,2547,1,0.17550058892815076,0.8244994110718492,1234,0.45779348252846486,0.05771495877502945,0.4844915586965057
456,Charles,2806,Charles Precinct 06-009,1003,707,202,1803,2806,1,0.357448325017819,0.642551674982181,1897,0.25196008553100496,0.07198859586600143,0.6760513186029936
457,Charles,2084,Charles Precinct 06-008,812,563,198,1272,2084,1,0.3896353166986564,0.6103646833013435,1323,0.2701535508637236,0.09500959692898273,0.6348368522072937
458,Charles,2626,Charles Precinct 06-016,1097,513,234,1529,2626,1,0.41774562071591775,0.5822543792840823,1879,0.19535415079969534,0.0891089108910891,0.7155369383092155
459,Charles,3458,Charles Precinct 06-015,1025,712,168,2433,3458,1,0.2964141122035859,0.7035858877964141,2578,0.20589936379410065,0.048582995951417005,0.7455176402544823
460,Charles,1862,Charles Precinct 06-011,599,744,236,1263,1862,1,0.3216970998925886,0.6783029001074113,882,0.3995703544575725,0.1267454350161117,0.47368421052631576
461,Charles,3992,Charles Precinct 06-007,1423,840,284,2569,3992,1,0.3564629258517034,0.6435370741482966,2868,0.21042084168336672,0.07114228456913828,0.718436873747495
462,Charles,2617,Charles Precinct 06-005,575,1080,178,2042,2617,1,0.21971723347344288,0.7802827665265571,1359,0.4126862820022927,0.06801681314482232,0.5192969048528849
463,Charles,1743,Charles Precinct 06-017,855,441,196,888,1743,1,0.4905335628227194,0.5094664371772806,1106,0.25301204819277107,0.11244979919678715,0.6345381526104418
464,Charles,2599,Charles Precinct 06-022,659,583,124,1940,2599,1,0.2535590611773759,0.7464409388226241,1892,0.22431704501731436,0.0477106579453636,0.727972297037322
465,Charles,1568,Charles Precinct 06-012,649,433,155,919,1568,1,0.4139030612244898,0.5860969387755102,980,0.27614795918367346,0.09885204081632654,0.625
466,Charles,2347,Charles Precinct 08-004,1718,717,621,629,2347,1,0.731998295696634,0.268001704303366,1009,0.30549637835534726,0.26459309757136773,0.42991052407328506
467,Charles,1345,Charles Precinct 08-005,1032,58,136,313,1345,1,0.7672862453531598,0.23271375464684016,1151,0.04312267657992565,0.10111524163568773,0.8557620817843866
468,Charles,2167,Charles Precinct 08-003,1317,539,349,850,2167,1,0.6077526534379326,0.3922473465620674,1279,0.24873096446700507,0.16105214582371943,0.5902168897092755
469,Charles,2164,Charles Precinct 08-002,1349,584,486,815,2164,1,0.6233826247689463,0.3766173752310536,1094,0.2698706099815157,0.2245841035120148,0.5055452865064695
720,Charles,3857,Charles Precinct 01-001,2541,738,641,1316,3857,1,0.6588021778584392,0.3411978221415608,2478,0.19134042001555612,0.16619134042001554,0.6424682395644283
721,Charles,3570,Charles Precinct 06-002,2072,981,666,1498,3570,1,0.5803921568627451,0.4196078431372549,1923,0.2747899159663866,0.1865546218487395,0.5386554621848739
722,Charles,1581,Charles Precinct 06-003,476,758,183,1105,1581,1,0.3010752688172043,0.6989247311827957,640,0.4794433902593295,0.1157495256166983,0.40480708412397215
723,Charles,1855,Charles Precinct 06-019,983,629,376,872,1855,1,0.5299191374663073,0.47008086253369274,850,0.3390835579514825,0.20269541778975741,0.4582210242587601
724,Charles,2458,Charles Precinct 06-004,796,1052,225,1662,2458,1,0.32384052074857606,0.676159479251424,1181,0.42799023596419855,0.09153783563873068,0.4804719283970708
725,Charles,1494,Charles Precinct 06-020,801,387,218,693,1494,1,0.536144578313253,0.463855421686747,889,0.25903614457831325,0.1459170013386881,0.5950468540829986
726,Charles,1968,Charles Precinct 06-010,596,1173,273,1372,1968,1,0.30284552845528456,0.6971544715447154,522,0.5960365853658537,0.13871951219512196,0.2652439024390244
727,Charles,1478,Charles Precinct 06-021,501,499,170,977,1478,1,0.33897158322056836,0.6610284167794317,809,0.3376184032476319,0.11502029769959404,0.547361299052774
728,Charles,3773,Charles Precinct 06-013,1407,1081,451,2366,3773,1,0.37291280148423006,0.62708719851577,2241,0.28650940895838856,0.119533527696793,0.5939570633448185
