,COUNTY,VAP,NAME,WVAP,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV14PDNone,GOV14PD_AB_pct,GOV14PD_DG_pct,GOV14PD_HM_pct,GOV14PDNone_pct
200,Charles,2592,Charles Precinct 03-001,1691,169,77,55,901,2592,1,0.652391975308642,0.34760802469135804,2291,0.06520061728395062,0.02970679012345679,0.021219135802469136,0.8838734567901234
201,Charles,1606,Charles Precinct 02-001,1303,99,58,17,303,1606,1,0.811332503113325,0.18866749688667497,1432,0.06164383561643835,0.0361145703611457,0.010585305105853052,0.8916562889165629
202,Charles,3125,Charles Precinct 10-001,1544,257,95,45,1581,3125,1,0.49408,0.50592,2728,0.08224,0.0304,0.0144,0.87296
203,Charles,2755,Charles Precinct 07-002,1062,268,66,32,1693,2755,1,0.385480943738657,0.6145190562613431,2389,0.09727767695099819,0.023956442831215972,0.01161524500907441,0.8671506352087114
204,Charles,3366,Charles Precinct 07-003,1393,370,114,46,1973,3366,1,0.4138443256090315,0.5861556743909685,2836,0.10992275698158051,0.0338680926916221,0.013666072489601902,0.8425430778371955
205,Charles,1655,Charles Precinct 07-001,1311,72,56,20,344,1655,1,0.7921450151057402,0.20785498489425983,1507,0.04350453172205438,0.033836858006042296,0.012084592145015106,0.9105740181268882
206,Charles,2514,Charles Precinct 07-004,947,272,81,32,1567,2514,1,0.37669053301511535,0.6233094669848847,2129,0.10819411296738266,0.032219570405727926,0.012728719172633254,0.8468575974542562
209,Charles,2440,Charles Precinct 01-002,1878,142,136,28,562,2440,1,0.769672131147541,0.230327868852459,2134,0.05819672131147541,0.05573770491803279,0.011475409836065573,0.8745901639344262
210,Charles,1733,Charles Precinct 04-002,1449,65,80,13,284,1733,1,0.8361223312175419,0.16387766878245816,1575,0.03750721292556261,0.04616272360069244,0.0075014425851125215,0.9088286208886325
211,Charles,2359,Charles Precinct 01-003,1637,167,93,37,722,2359,1,0.6939381093683764,0.3060618906316236,2062,0.07079270877490462,0.039423484527342095,0.015684612123781264,0.874099194573972
212,Charles,2485,Charles Precinct 01-004,1976,155,97,29,509,2485,1,0.7951710261569417,0.20482897384305834,2204,0.06237424547283702,0.03903420523138833,0.011670020120724347,0.8869215291750503
213,Charles,3599,Charles Precinct 05-001,2920,193,170,52,679,3599,1,0.81133648235621,0.18866351764378994,3184,0.05362600722422895,0.04723534315087524,0.014448457904973604,0.8846901917199222
