,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,PRES16D,PRES16R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,PRES16None,PRES16D_pct,PRES16R_pct,PRES16None_pct
200,Charles,2592,Charles Precinct 03-001,1691,785,33,818,937,83,2592,1.0,0.652391975308642,0.3028549382716049,0.01273148148148148,0.03202160493827161,837,0.31558641975308643,0.36149691358024694,0.3229166666666667
201,Charles,1606,Charles Precinct 02-001,1303,240,25,398,722,38,1606,1.0,0.811332503113325,0.149439601494396,0.015566625155666251,0.023661270236612703,486,0.24782067247820672,0.44956413449564137,0.3026151930261519
202,Charles,3125,Charles Precinct 10-001,1544,1367,58,1215,820,156,3125,1.0,0.49408,0.43744,0.01856,0.04992,1090,0.3888,0.2624,0.3488
203,Charles,2755,Charles Precinct 07-002,1062,1428,75,1493,441,190,2755,1.0,0.385480943738657,0.5183303085299455,0.02722323049001815,0.06896551724137931,821,0.541923774954628,0.1600725952813067,0.29800362976406536
204,Charles,3366,Charles Precinct 07-003,1393,1646,77,1719,596,250,3366,1.0,0.4138443256090315,0.489007724301842,0.02287581699346405,0.07427213309566251,1051,0.5106951871657754,0.1770647653000594,0.3122400475341652
205,Charles,1655,Charles Precinct 07-001,1311,217,63,369,457,64,1655,1.0,0.7921450151057402,0.1311178247734139,0.038066465256797584,0.03867069486404834,829,0.2229607250755287,0.27613293051359517,0.5009063444108761
206,Charles,2514,Charles Precinct 07-004,947,1356,87,1671,400,124,2514,1.0,0.37669053301511535,0.5393794749403341,0.034606205250596656,0.049323786793953855,443,0.6646778042959427,0.15910898965791567,0.1762132060461416
209,Charles,2440,Charles Precinct 01-002,1878,409,43,733,1101,110,2440,1.0,0.769672131147541,0.16762295081967213,0.01762295081967213,0.045081967213114756,606,0.30040983606557375,0.4512295081967213,0.2483606557377049
210,Charles,1733,Charles Precinct 04-002,1449,198,27,377,911,59,1733,1.0,0.8361223312175419,0.1142527409117138,0.015579919215233698,0.034045008655510675,445,0.21754183496826313,0.5256780150028851,0.2567801500288517
211,Charles,2359,Charles Precinct 01-003,1637,577,62,930,939,83,2359,1.0,0.6939381093683764,0.24459516744383214,0.02628232301822806,0.035184400169563375,490,0.39423484527342095,0.39805002119542177,0.20771513353115728
212,Charles,2485,Charles Precinct 01-004,1976,352,62,641,907,95,2485,1.0,0.7951710261569417,0.14164989939637826,0.024949698189134808,0.03822937625754527,937,0.2579476861167002,0.36498993963782694,0.37706237424547284
213,Charles,3599,Charles Precinct 05-001,2920,525,42,857,1403,112,3599,1.0,0.81133648235621,0.14587385384829119,0.011669908307863295,0.031119755487635455,1339,0.23812170047235343,0.3898305084745763,0.3720477910530703
214,Charles,2563,Charles Precinct 04-001,2230,242,45,537,1277,46,2563,1.0,0.870074131876707,0.0944206008583691,0.017557549746390948,0.01794771751853297,749,0.2095200936402653,0.4982442450253609,0.2922356613343738
215,Charles,2604,Charles Precinct 08-001,1912,553,43,1120,1483,96,2604,1.0882107023411371,0.7342549923195084,0.21236559139784947,0.01651305683563748,0.03686635944700461,1,0.43010752688172044,0.5695084485407066,0.00038402457757296467
216,Charles,2371,Charles Precinct 06-001,1797,407,51,756,888,116,2371,1.0,0.7579080556727119,0.17165752846900043,0.021509911429776464,0.04892450442851118,727,0.3188528047237453,0.3745255166596373,0.3066216786166175
217,Charles,3623,Charles Precinct 06-014,1425,1808,137,1966,560,253,3623,1.0,0.3933204526635385,0.4990339497653878,0.03781396632624896,0.06983163124482474,1097,0.5426442174993099,0.15456803753795198,0.3027877449627381
378,Charles,2571,Charles Precinct 09-002,1957,462,47,722,1112,105,2571,1.0,0.7611824192921043,0.17969661610268378,0.018280824581874758,0.040840140023337225,737,0.2808245818747569,0.4325165305328666,0.2866588875923765
387,Charles,2356,Charles Precinct 09-001,1447,758,38,931,820,113,2356,1.0,0.6141765704584041,0.32173174872665533,0.016129032258064516,0.04796264855687606,605,0.3951612903225806,0.34804753820033957,0.2567911714770798
