,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN12D,SEN12R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN12None,SEN12D_pct,SEN12R_pct,SEN12None_pct
200,Charles,2592,Charles Precinct 03-001,1691,785,33,745,481,83,2592,1,0.652391975308642,0.3028549382716049,0.01273148148148148,0.03202160493827161,1366,0.28742283950617287,0.18557098765432098,0.5270061728395061
201,Charles,1606,Charles Precinct 02-001,1303,240,25,440,432,38,1606,1,0.811332503113325,0.149439601494396,0.015566625155666251,0.023661270236612703,734,0.273972602739726,0.26899128268991285,0.45703611457036114
202,Charles,3125,Charles Precinct 10-001,1544,1367,58,1194,456,156,3125,1,0.49408,0.43744,0.01856,0.04992,1475,0.38208,0.14592,0.472
203,Charles,2755,Charles Precinct 07-002,1062,1428,75,1286,252,190,2755,1,0.385480943738657,0.5183303085299455,0.02722323049001815,0.06896551724137931,1217,0.4667876588021779,0.09147005444646097,0.4417422867513612
204,Charles,3366,Charles Precinct 07-003,1393,1646,77,1511,357,250,3366,1,0.4138443256090315,0.489007724301842,0.02287581699346405,0.07427213309566251,1498,0.44890077243018417,0.10606060606060606,0.44503862150920975
205,Charles,1655,Charles Precinct 07-001,1311,217,63,346,239,64,1655,1,0.7921450151057402,0.1311178247734139,0.038066465256797584,0.03867069486404834,1070,0.20906344410876132,0.14441087613293052,0.6465256797583081
206,Charles,2514,Charles Precinct 07-004,947,1356,87,1321,233,124,2514,1,0.37669053301511535,0.5393794749403341,0.034606205250596656,0.049323786793953855,960,0.5254574383452665,0.09268098647573587,0.3818615751789976
209,Charles,2440,Charles Precinct 01-002,1878,409,43,695,800,110,2440,1,0.769672131147541,0.16762295081967213,0.01762295081967213,0.045081967213114756,945,0.2848360655737705,0.32786885245901637,0.38729508196721313
210,Charles,1733,Charles Precinct 04-002,1449,198,27,358,546,59,1733,1,0.8361223312175419,0.1142527409117138,0.015579919215233698,0.034045008655510675,829,0.20657818811309867,0.3150605885747259,0.4783612233121754
211,Charles,2359,Charles Precinct 01-003,1637,577,62,664,510,83,2359,1,0.6939381093683764,0.24459516744383214,0.02628232301822806,0.035184400169563375,1185,0.281475201356507,0.2161933022467147,0.5023314963967783
212,Charles,2485,Charles Precinct 01-004,1976,352,62,631,606,95,2485,1,0.7951710261569417,0.14164989939637826,0.024949698189134808,0.03822937625754527,1248,0.2539235412474849,0.24386317907444668,0.5022132796780684
213,Charles,3599,Charles Precinct 05-001,2920,525,42,838,851,112,3599,1,0.81133648235621,0.14587385384829119,0.011669908307863295,0.031119755487635455,1910,0.23284245623784386,0.23645457071408724,0.5307029730480689
214,Charles,2563,Charles Precinct 04-001,2230,242,45,475,762,46,2563,1,0.870074131876707,0.0944206008583691,0.017557549746390948,0.01794771751853297,1326,0.18532969176746,0.2973078423722201,0.51736246586032
215,Charles,2392,Charles Precinct 08-001,1757,508,39,743,702,88,2392,1,0.7345317725752508,0.21237458193979933,0.016304347826086956,0.03678929765886288,947,0.31061872909698995,0.29347826086956524,0.3959030100334448
216,Charles,2371,Charles Precinct 06-001,1797,407,51,677,600,116,2371,1,0.7579080556727119,0.17165752846900043,0.021509911429776464,0.04892450442851118,1094,0.2855335301560523,0.25305778152678193,0.46140868831716575
217,Charles,3623,Charles Precinct 06-014,1425,1808,137,1618,439,253,3623,1,0.3933204526635385,0.4990339497653878,0.03781396632624896,0.06983163124482474,1566,0.44659122274358265,0.1211703008556445,0.43223847640077284
378,Charles,2571,Charles Precinct 09-002,1957,462,47,660,614,105,2571,1,0.7611824192921043,0.17969661610268378,0.018280824581874758,0.040840140023337225,1297,0.25670945157526254,0.23881758070789577,0.5044729677168417
387,Charles,2356,Charles Precinct 09-001,1447,758,38,869,566,113,2356,1,0.6141765704584041,0.32173174872665533,0.016129032258064516,0.04796264855687606,921,0.36884550084889645,0.24023769100169778,0.39091680814940577
454,Charles,3603,Charles Precinct 06-006,1784,1375,224,1418,485,220,3603,1,0.49514293644185403,0.38162642242575634,0.062170413544268666,0.06106022758812101,1700,0.3935609214543436,0.13461004718290315,0.4718290313627533
455,Charles,2547,Charles Precinct 06-018,447,1703,133,1722,121,264,2547,1,0.17550058892815076,0.6686297605025521,0.05221829603455045,0.10365135453474676,704,0.6760895170789164,0.0475068708284256,0.276403612092658
456,Charles,2806,Charles Precinct 06-009,1003,1540,130,1227,175,133,2806,1,0.357448325017819,0.5488239486813971,0.04632929436920884,0.0473984319315752,1404,0.43727726300784037,0.0623663578047042,0.5003563791874555
457,Charles,2084,Charles Precinct 06-008,812,1024,129,976,195,119,2084,1,0.3896353166986564,0.491362763915547,0.06190019193857965,0.05710172744721689,913,0.46833013435700577,0.0935700575815739,0.43809980806142035
458,Charles,2626,Charles Precinct 06-016,1097,1162,173,753,222,194,2626,1,0.41774562071591775,0.4424980959634425,0.06587966488956588,0.07387661843107388,1651,0.28674790555978674,0.08453922315308454,0.6287128712871287
459,Charles,3458,Charles Precinct 06-015,1025,1939,211,1129,150,283,3458,1,0.2964141122035859,0.5607287449392713,0.06101792943898207,0.08183921341816079,2179,0.3264893001735107,0.04337767495662233,0.630133024869867
460,Charles,1862,Charles Precinct 06-011,599,994,68,1058,210,201,1862,1,0.3216970998925886,0.5338345864661654,0.036519871106337275,0.1079484425349087,594,0.5682062298603652,0.11278195488721804,0.31901181525241673
461,Charles,3992,Charles Precinct 06-007,1423,2073,239,1572,247,257,3992,1,0.3564629258517034,0.5192885771543087,0.05986973947895791,0.06437875751503006,2173,0.3937875751503006,0.06187374749498998,0.5443386773547094
462,Charles,2617,Charles Precinct 06-005,575,1689,135,1667,158,218,2617,1,0.21971723347344288,0.6453954910202522,0.051585785250286585,0.08330149025601834,792,0.6369889186090943,0.060374474589224306,0.3026366068016813
463,Charles,1743,Charles Precinct 06-017,855,725,64,723,206,99,1743,1,0.4905335628227194,0.4159495123350545,0.03671830177854274,0.05679862306368331,814,0.41480206540447506,0.11818703384968446,0.4670109007458405
464,Charles,2599,Charles Precinct 06-022,659,1546,211,1031,122,183,2599,1,0.2535590611773759,0.5948441708349365,0.08118507118122355,0.07041169680646403,1446,0.3966910350134667,0.04694113120430935,0.556367833782224
465,Charles,1568,Charles Precinct 06-012,649,712,110,690,147,97,1568,1,0.4139030612244898,0.45408163265306123,0.07015306122448979,0.06186224489795918,731,0.44005102040816324,0.09375,0.46619897959183676
466,Charles,2347,Charles Precinct 08-004,1718,432,78,1036,600,119,2347,1,0.731998295696634,0.18406476352790796,0.033233915636983385,0.05070302513847465,711,0.4414145717937793,0.2556455048998722,0.30293992330634856
467,Charles,1345,Charles Precinct 08-005,1032,252,23,321,284,38,1345,1,0.7672862453531598,0.18736059479553904,0.017100371747211896,0.02825278810408922,740,0.23866171003717473,0.21115241635687731,0.550185873605948
468,Charles,2167,Charles Precinct 08-003,1317,664,85,777,307,101,2167,1,0.6077526534379326,0.30641439778495616,0.03922473465620674,0.046608214120904476,1083,0.35856022150438394,0.14167051222888785,0.4997692662667282
469,Charles,2164,Charles Precinct 08-002,1349,637,71,849,483,107,2164,1,0.6233826247689463,0.294362292051756,0.032809611829944546,0.04944547134935305,832,0.3923290203327172,0.2231977818853974,0.3844731977818854
720,Charles,3857,Charles Precinct 01-001,2541,1001,121,1237,839,194,3857,1,0.6588021778584392,0.2595281306715064,0.031371532278973296,0.05029815919108115,1781,0.32071558205859474,0.2175265750583355,0.46175784288306976
721,Charles,3570,Charles Precinct 06-002,2072,1190,126,1397,581,182,3570,1,0.5803921568627451,0.3333333333333333,0.03529411764705882,0.050980392156862744,1592,0.39131652661064426,0.1627450980392157,0.4459383753501401
722,Charles,1581,Charles Precinct 06-003,476,903,56,1053,176,146,1581,1,0.3010752688172043,0.571157495256167,0.03542061986084757,0.09234661606578115,352,0.6660341555977229,0.11132194813409235,0.2226438962681847
723,Charles,1855,Charles Precinct 06-019,983,623,81,877,346,168,1855,1,0.5299191374663073,0.33584905660377357,0.04366576819407008,0.09056603773584905,632,0.47277628032345015,0.18652291105121294,0.3407008086253369
724,Charles,2458,Charles Precinct 06-004,796,1368,116,1542,231,178,2458,1,0.32384052074857606,0.5565500406834825,0.047192839707078924,0.07241659886086249,685,0.6273393002441009,0.09397884458909683,0.2786818551668023
725,Charles,1494,Charles Precinct 06-020,801,526,71,546,208,96,1494,1,0.536144578313253,0.35207496653279785,0.04752342704149933,0.0642570281124498,740,0.3654618473895582,0.1392235609103079,0.49531459170013387
726,Charles,1968,Charles Precinct 06-010,596,1107,94,1602,235,171,1968,1,0.30284552845528456,0.5625,0.047764227642276426,0.08689024390243902,131,0.8140243902439024,0.11941056910569106,0.0665650406504065
727,Charles,1478,Charles Precinct 06-021,501,788,72,717,160,117,1478,1,0.33897158322056836,0.5331529093369418,0.04871447902571042,0.07916102841677942,601,0.4851150202976996,0.10825439783491204,0.4066305818673884
728,Charles,3773,Charles Precinct 06-013,1407,1870,157,1625,397,339,3773,1,0.37291280148423006,0.4956268221574344,0.04161144977471508,0.08984892658362047,1751,0.43069175722236946,0.10522130930294196,0.4640869334746886
