,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,PRES12D,PRES12R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,PRES12None,PRES12D_pct,PRES12R_pct,PRES12None_pct
100,Frederick,3630,Frederick Precinct 14-001,3427,67,63,1095,1761,73,3630,1,0.9440771349862259,0.018457300275482095,0.017355371900826446,0.020110192837465565,774,0.30165289256198347,0.48512396694214877,0.21322314049586777
101,Frederick,2062,Frederick Precinct 03-001,1930,31,47,644,902,54,2062,1,0.9359844810863239,0.015033947623666343,0.02279340446168768,0.026188166828322017,516,0.3123181377303589,0.43743937924345294,0.2502424830261882
102,Frederick,4117,Frederick Precinct 23-001,3207,344,306,1360,1403,260,4117,1,0.7789652659703667,0.08355598736944377,0.07432596550886568,0.06315278115132378,1354,0.33033762448384746,0.3407821229050279,0.3288802526111246
103,Frederick,674,Frederick Precinct 24-003,646,4,13,223,225,11,674,1,0.9584569732937686,0.005934718100890208,0.019287833827893175,0.016320474777448073,226,0.33086053412462907,0.33382789317507416,0.3353115727002967
104,Frederick,2134,Frederick Precinct 03-003,1924,47,67,662,998,96,2134,1,0.901593252108716,0.022024367385192128,0.03139643861293346,0.04498594189315839,474,0.31021555763823805,0.4676663542642924,0.22211808809746955
105,Frederick,1667,Frederick Precinct 24-001,1533,23,54,643,753,57,1667,1,0.9196160767846431,0.013797240551889621,0.03239352129574085,0.03419316136772645,271,0.3857228554289142,0.4517096580683863,0.16256748650269945
106,Frederick,3265,Frederick Precinct 02-015,2683,296,133,1256,974,153,3265,1,0.8217457886676875,0.09065849923430322,0.040735068912710566,0.046860643185298624,1035,0.38468606431852986,0.2983154670750383,0.3169984686064318
107,Frederick,3578,Frederick Precinct 26-001,3149,181,130,1227,1372,118,3578,1,0.8801006148686417,0.05058692006707658,0.03633314700950251,0.03297931805477921,979,0.34292901062045833,0.383454443823365,0.27361654555617665
112,Frederick,1799,Frederick Precinct 10-001,1737,20,29,317,786,13,1799,1,0.9655364091161757,0.011117287381878822,0.016120066703724293,0.007226236798221234,696,0.17620900500277933,0.4369093941078377,0.386881600889383
113,Frederick,2997,Frederick Precinct 15-001,2874,33,39,743,1319,51,2997,1,0.958958958958959,0.011011011011011011,0.013013013013013013,0.01701701701701702,935,0.24791458124791457,0.4401067734401068,0.31197864531197866
