,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN12PD_BC,SEN12PD_CM,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN12PDNone,SEN12PD_BC_pct,SEN12PD_CM_pct,SEN12PDNone_pct
100,Frederick,3630,Frederick Precinct 14-001,3427,67,63,195,6,73,3630,1,0.9440771349862259,0.018457300275482095,0.017355371900826446,0.020110192837465565,3429,0.05371900826446281,0.001652892561983471,0.9446280991735537
101,Frederick,2062,Frederick Precinct 03-001,1930,31,47,83,1,54,2062,1,0.9359844810863239,0.015033947623666343,0.02279340446168768,0.026188166828322017,1978,0.040252182347235696,0.00048496605237633366,0.9592628516003879
102,Frederick,4117,Frederick Precinct 23-001,3207,344,306,190,12,260,4117,1,0.7789652659703667,0.08355598736944377,0.07432596550886568,0.06315278115132378,3915,0.04615010930289046,0.002914743745445713,0.9509351469516638
103,Frederick,674,Frederick Precinct 24-003,646,4,13,60,0,11,674,1,0.9584569732937686,0.005934718100890208,0.019287833827893175,0.016320474777448073,614,0.08902077151335312,0.0,0.9109792284866469
104,Frederick,2134,Frederick Precinct 03-003,1924,47,67,99,2,96,2134,1,0.901593252108716,0.022024367385192128,0.03139643861293346,0.04498594189315839,2033,0.04639175257731959,0.0009372071227741331,0.9526710402999062
105,Frederick,1667,Frederick Precinct 24-001,1533,23,54,128,4,57,1667,1,0.9196160767846431,0.013797240551889621,0.03239352129574085,0.03419316136772645,1535,0.07678464307138572,0.0023995200959808036,0.9208158368326335
106,Frederick,3265,Frederick Precinct 02-015,2683,296,133,257,6,153,3265,1,0.8217457886676875,0.09065849923430322,0.040735068912710566,0.046860643185298624,3002,0.0787136294027565,0.0018376722817764165,0.919448698315467
107,Frederick,3578,Frederick Precinct 26-001,3149,181,130,203,3,118,3578,1,0.8801006148686417,0.05058692006707658,0.03633314700950251,0.03297931805477921,3372,0.05673560648406931,0.0008384572386808273,0.9424259362772499
112,Frederick,1799,Frederick Precinct 10-001,1737,20,29,53,0,13,1799,1,0.9655364091161757,0.011117287381878822,0.016120066703724293,0.007226236798221234,1746,0.029460811561978877,0.0,0.9705391884380211
113,Frederick,2997,Frederick Precinct 15-001,2874,33,39,126,2,51,2997,1,0.958958958958959,0.011011011011011011,0.013013013013013013,0.01701701701701702,2869,0.042042042042042045,0.000667334000667334,0.9572906239572906
114,Frederick,3794,Frederick Precinct 15-002,3627,24,72,106,6,71,3794,1,0.955983131259884,0.0063257775434897206,0.018977332630469163,0.01871375856615709,3682,0.0279388508170796,0.0015814443858724301,0.9704797047970479
115,Frederick,1007,Frederick Precinct 04-001,964,3,19,26,3,21,1007,1,0.9572989076464746,0.0029791459781529296,0.018867924528301886,0.020854021847070508,978,0.025819265143992055,0.0029791459781529296,0.971201588877855
116,Frederick,4025,Frederick Precinct 07-002,2268,408,411,184,13,938,4025,1,0.5634782608695652,0.1013664596273292,0.10211180124223602,0.23304347826086957,3828,0.045714285714285714,0.003229813664596273,0.951055900621118
117,Frederick,2425,Frederick Precinct 09-001,2177,79,73,121,2,96,2425,1,0.8977319587628866,0.03257731958762886,0.030103092783505155,0.03958762886597938,2302,0.04989690721649485,0.0008247422680412372,0.9492783505154639
118,Frederick,2868,Frederick Precinct 09-006,2447,162,114,164,4,145,2868,1,0.8532078103207811,0.056485355648535567,0.0397489539748954,0.050557880055788006,2700,0.05718270571827057,0.001394700139470014,0.9414225941422594
119,Frederick,3752,Frederick Precinct 13-001,3415,115,119,193,7,103,3752,1,0.910181236673774,0.030650319829424306,0.03171641791044776,0.027452025586353946,3552,0.05143923240938166,0.0018656716417910447,0.9466950959488273
120,Frederick,3625,Frederick Precinct 09-007,3267,86,156,195,6,116,3625,1,0.9012413793103449,0.02372413793103448,0.04303448275862069,0.032,3424,0.05379310344827586,0.0016551724137931034,0.944551724137931
121,Frederick,3137,Frederick Precinct 09-004,2926,42,96,139,4,73,3137,1,0.932738284985655,0.0133885878227606,0.030602486452024225,0.02327064073956009,2994,0.044309850175326744,0.001275103602167676,0.9544150462225056
122,Frederick,3312,Frederick Precinct 09-002,3071,42,99,154,4,100,3312,1,0.9272342995169082,0.012681159420289856,0.029891304347826088,0.030193236714975844,3154,0.0464975845410628,0.0012077294685990338,0.9522946859903382
123,Frederick,1427,Frederick Precinct 09-005,1331,21,38,67,5,37,1427,1,0.9327259985984583,0.014716187806587245,0.026629292221443588,0.02592852137351086,1355,0.046951646811492644,0.00350385423966363,0.9495444989488437
124,Frederick,3254,Frederick Precinct 26-002,2717,243,189,138,3,105,3254,1,0.8349723417332514,0.07467732022126614,0.05808236017209588,0.0322679778733866,3113,0.04240934234787953,0.0009219422249539029,0.9566687154271666
125,Frederick,2580,Frederick Precinct 11-001,2415,40,73,94,3,52,2580,1,0.936046511627907,0.015503875968992248,0.028294573643410852,0.020155038759689922,2483,0.03643410852713178,0.0011627906976744186,0.9624031007751938
126,Frederick,1877,Frederick Precinct 08-001,1780,39,30,92,2,28,1877,1,0.94832179009057,0.02077783697389451,0.015982951518380393,0.014917421417155035,1783,0.049014384656366546,0.0010655301012253596,0.9499200852424081
127,Frederick,1703,Frederick Precinct 17-001,1646,14,30,54,2,13,1703,1,0.9665296535525543,0.008220786846741044,0.017615971814445096,0.007633587786259542,1647,0.031708749266001174,0.0011743981209630064,0.9671168526130358
128,Frederick,4393,Frederick Precinct 18-001,3975,135,167,156,4,116,4393,1,0.9048486228090143,0.030730707944457092,0.03801502390166173,0.026405645344866835,4233,0.035511040291372635,0.0009105394946505805,0.9635784202139768
130,Frederick,2489,Frederick Precinct 18-002,2395,27,29,81,4,38,2489,1,0.9622338288469264,0.010847730012053034,0.011651265568501407,0.015267175572519083,2404,0.0325431900361591,0.0016070711128967456,0.9658497388509442
133,Frederick,1309,Frederick Precinct 19-001,1228,26,36,48,1,19,1309,1,0.9381207028265852,0.019862490450725745,0.02750190985485103,0.014514896867838044,1260,0.03666921313980138,0.0007639419404125286,0.9625668449197861
136,Frederick,1991,Frederick Precinct 24-002,1555,185,122,75,3,129,1991,1,0.7810145655449523,0.09291813159216473,0.06127574083375188,0.06479156202913108,1913,0.03766951280763436,0.0015067805123053742,0.9608237066800602
137,Frederick,3176,Frederick Precinct 03-002,3012,43,54,191,5,67,3176,1,0.9483627204030227,0.01353904282115869,0.01700251889168766,0.021095717884130984,2980,0.06013853904282116,0.0015743073047858943,0.9382871536523929
138,Frederick,3128,Frederick Precinct 16-001,2963,37,63,186,7,65,3128,1,0.9472506393861893,0.011828644501278773,0.02014066496163683,0.02078005115089514,2935,0.05946291560102302,0.002237851662404092,0.9382992327365729
139,Frederick,1661,Frederick Precinct 06-001,1618,8,16,59,2,19,1661,1,0.9741119807344973,0.00481637567730283,0.00963275135460566,0.011438892233594221,1600,0.03552077062010837,0.0012040939193257074,0.963275135460566
140,Frederick,2498,Frederick Precinct 21-001,2294,33,95,118,3,76,2498,1,0.9183346677341874,0.01321056845476381,0.038030424339471576,0.03042433947157726,2377,0.04723779023218575,0.0012009607686148918,0.9515612489991994
141,Frederick,1672,Frederick Precinct 02-014,1157,207,124,82,5,184,1672,1,0.6919856459330144,0.12380382775119617,0.07416267942583732,0.11004784688995216,1585,0.04904306220095694,0.0029904306220095694,0.9479665071770335
142,Frederick,2944,Frederick Precinct 02-006,2149,346,218,189,5,231,2944,1,0.7299592391304348,0.11752717391304347,0.07404891304347826,0.07846467391304347,2750,0.06419836956521739,0.0016983695652173913,0.9341032608695652
143,Frederick,2897,Frederick Precinct 01-002,1883,406,319,118,6,289,2897,1,0.64998274076631,0.1401449775629962,0.11011391094235416,0.09975837072833967,2773,0.04073179150845702,0.0020711080428028996,0.9571971004487401
144,Frederick,2912,Frederick Precinct 02-016,1692,660,291,117,7,269,2912,1,0.5810439560439561,0.22664835164835165,0.09993131868131869,0.09237637362637363,2788,0.04017857142857143,0.002403846153846154,0.9574175824175825
146,Frederick,92,Frederick Precinct 23-002,90,2,0,2,0,0,92,1,0.9782608695652174,0.021739130434782608,0.0,0.0,90,0.021739130434782608,0.0,0.9782608695652174
147,Frederick,2535,Frederick Precinct 02-017,1087,670,522,98,11,256,2535,1,0.4287968441814596,0.26429980276134124,0.20591715976331362,0.1009861932938856,2426,0.03865877712031558,0.004339250493096647,0.9570019723865878
148,Frederick,5267,Frederick Precinct 02-008,2880,856,1008,223,16,523,5267,1,0.5468008353901652,0.16252135940763243,0.19138029238655782,0.09929751281564458,5028,0.04233909246250237,0.003037782418834251,0.9546231251186634
149,Frederick,4053,Frederick Precinct 02-013,2109,902,641,179,17,401,4053,1,0.5203552923760177,0.22255119664446088,0.15815445349124105,0.09893905748828029,3857,0.04416481618554157,0.004194423883543055,0.9516407599309153
150,Frederick,3697,Frederick Precinct 02-001,2254,852,311,148,9,280,3697,1,0.6096835271842034,0.23045712740059507,0.08412226129294022,0.0757370841222613,3540,0.04003245875033811,0.002434406275358399,0.9575331349743035
151,Frederick,1499,Frederick Precinct 02-002,1162,217,77,77,2,43,1499,1,0.7751834556370913,0.1447631754503002,0.0513675783855904,0.028685790527018012,1420,0.0513675783855904,0.00133422281521014,0.9472981987991995
152,Frederick,3655,Frederick Precinct 02-011,2395,623,370,170,10,267,3655,1,0.655266757865937,0.1704514363885089,0.1012311901504788,0.07305061559507524,3475,0.046511627906976744,0.0027359781121751026,0.9507523939808481
153,Frederick,1931,Frederick Precinct 07-004,1435,112,139,94,5,245,1931,1,0.7431382703262558,0.05800103573278094,0.07198342827550493,0.12687726566545832,1832,0.04867944070429829,0.002589331952356292,0.9487312273433454
154,Frederick,1452,Frederick Precinct 09-003,1268,83,43,63,3,58,1452,1,0.8732782369146006,0.05716253443526171,0.029614325068870524,0.03994490358126722,1386,0.04338842975206612,0.002066115702479339,0.9545454545454546
