,COUNTY,VAP,NAME,WVAP,SEN12PD_BC,SEN12PD_CM,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN12PDNone,SEN12PD_BC_pct,SEN12PD_CM_pct,SEN12PDNone_pct
100,Frederick,3630,Frederick Precinct 14-001,3427,195,6,203,3630,1,0.9440771349862259,0.0559228650137741,3429,0.05371900826446281,0.001652892561983471,0.9446280991735537
101,Frederick,2062,Frederick Precinct 03-001,1930,83,1,132,2062,1,0.9359844810863239,0.06401551891367604,1978,0.040252182347235696,0.00048496605237633366,0.9592628516003879
102,Frederick,4117,Frederick Precinct 23-001,3207,190,12,910,4117,1,0.7789652659703667,0.22103473402963322,3915,0.04615010930289046,0.002914743745445713,0.9509351469516638
103,Frederick,674,Frederick Precinct 24-003,646,60,0,28,674,1,0.9584569732937686,0.04154302670623145,614,0.08902077151335312,0.0,0.9109792284866469
104,Frederick,2134,Frederick Precinct 03-003,1924,99,2,210,2134,1,0.901593252108716,0.09840674789128398,2033,0.04639175257731959,0.0009372071227741331,0.9526710402999062
105,Frederick,1667,Frederick Precinct 24-001,1533,128,4,134,1667,1,0.9196160767846431,0.08038392321535692,1535,0.07678464307138572,0.0023995200959808036,0.9208158368326335
106,Frederick,3265,Frederick Precinct 02-015,2683,257,6,582,3265,1,0.8217457886676875,0.1782542113323124,3002,0.0787136294027565,0.0018376722817764165,0.919448698315467
107,Frederick,3578,Frederick Precinct 26-001,3149,203,3,429,3578,1,0.8801006148686417,0.1198993851313583,3372,0.05673560648406931,0.0008384572386808273,0.9424259362772499
112,Frederick,1799,Frederick Precinct 10-001,1737,53,0,62,1799,1,0.9655364091161757,0.03446359088382435,1746,0.029460811561978877,0.0,0.9705391884380211
113,Frederick,2997,Frederick Precinct 15-001,2874,126,2,123,2997,1,0.958958958958959,0.04104104104104104,2869,0.042042042042042045,0.000667334000667334,0.9572906239572906
114,Frederick,3794,Frederick Precinct 15-002,3627,106,6,167,3794,1,0.955983131259884,0.04401686874011597,3682,0.0279388508170796,0.0015814443858724301,0.9704797047970479
