,COUNTY,VAP,NAME,WVAP,SEN18D,SEN18R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN18None,SEN18D_pct,SEN18R_pct,SEN18None_pct
100,Frederick,3630,Frederick Precinct 14-001,3427,1088,1491,203,3630,1,0.9440771349862259,0.0559228650137741,1051,0.2997245179063361,0.41074380165289254,0.2895316804407714
101,Frederick,2062,Frederick Precinct 03-001,1930,544,624,132,2062,1,0.9359844810863239,0.06401551891367604,894,0.2638215324927255,0.3026188166828322,0.4335596508244423
102,Frederick,4117,Frederick Precinct 23-001,3207,1743,1184,910,4117,1,0.7789652659703667,0.22103473402963322,1190,0.4233665290259898,0.28758804955064365,0.28904542142336653
103,Frederick,674,Frederick Precinct 24-003,646,222,195,28,674,1,0.9584569732937686,0.04154302670623145,257,0.3293768545994065,0.2893175074183976,0.38130563798219586
104,Frederick,2134,Frederick Precinct 03-003,1924,631,649,210,2134,1,0.901593252108716,0.09840674789128398,854,0.29568884723523897,0.30412371134020616,0.4001874414245548
105,Frederick,1667,Frederick Precinct 24-001,1533,603,595,134,1667,1,0.9196160767846431,0.08038392321535692,469,0.36172765446910615,0.35692861427714456,0.28134373125374923
106,Frederick,3265,Frederick Precinct 02-015,2683,1460,855,582,3265,1,0.8217457886676875,0.1782542113323124,950,0.44716692189892804,0.26186830015313933,0.29096477794793263
107,Frederick,3578,Frederick Precinct 26-001,3149,1159,1100,429,3578,1,0.8801006148686417,0.1198993851313583,1319,0.32392397987702626,0.3074343208496367,0.36864169927333706
112,Frederick,1799,Frederick Precinct 10-001,1737,258,654,62,1799,1,0.9655364091161757,0.03446359088382435,887,0.1434130072262368,0.36353529738743745,0.49305169538632576
113,Frederick,2997,Frederick Precinct 15-001,2874,535,960,123,2997,1,0.958958958958959,0.04104104104104104,1502,0.17851184517851185,0.3203203203203203,0.5011678345011679
114,Frederick,3794,Frederick Precinct 15-002,3627,606,1084,167,3794,1,0.955983131259884,0.04401686874011597,2104,0.15972588297311544,0.2857142857142857,0.5545598313125989
115,Frederick,1007,Frederick Precinct 04-001,964,157,351,43,1007,1,0.9572989076464746,0.04270109235352532,499,0.15590863952333664,0.3485600794438927,0.4955312810327706
116,Frederick,4025,Frederick Precinct 07-002,2268,1690,886,1757,4025,1,0.5634782608695652,0.4365217391304348,1449,0.41987577639751555,0.22012422360248446,0.36
117,Frederick,2425,Frederick Precinct 09-001,2177,994,1110,248,2425,1,0.8977319587628866,0.1022680412371134,321,0.40989690721649485,0.4577319587628866,0.13237113402061856
