,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,COMP14D,COMP14R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,COMP14None,COMP14D_pct,COMP14R_pct,COMP14None_pct
250,Garrett,746,Garrett Precinct 08-002,735,5,2,62,207,4,746,1,0.985254691689008,0.006702412868632708,0.002680965147453083,0.005361930294906166,477,0.08310991957104558,0.2774798927613941,0.6394101876675603
251,Garrett,572,Garrett Precinct 08-001,565,0,2,52,138,5,572,1,0.9877622377622378,0.0,0.0034965034965034965,0.008741258741258742,382,0.09090909090909091,0.24125874125874125,0.6678321678321678
252,Garrett,1056,Garrett Precinct 14-002,1037,6,4,123,278,9,1056,1,0.9820075757575758,0.005681818181818182,0.003787878787878788,0.008522727272727272,655,0.11647727272727272,0.26325757575757575,0.6202651515151515
253,Garrett,1898,Garrett Precinct 07-000,1852,7,15,200,450,24,1898,1,0.9757639620653319,0.0036880927291886197,0.007903055848261328,0.012644889357218124,1248,0.1053740779768177,0.23709167544783982,0.6575342465753424
254,Garrett,2642,Garrett Precinct 16-000,2604,7,15,283,606,16,2642,1,0.9856169568508706,0.0026495079485238456,0.005677517032551098,0.006056018168054504,1753,0.10711582134746404,0.22937168811506434,0.6635124905374716
255,Garrett,1535,Garrett Precinct 10-000,1521,2,9,175,419,3,1535,1,0.9908794788273616,0.0013029315960912053,0.005863192182410423,0.001954397394136808,941,0.11400651465798045,0.2729641693811075,0.613029315960912
256,Garrett,2412,Garrett Precinct 14-001,2373,4,14,266,562,21,2412,1,0.9838308457711443,0.001658374792703151,0.005804311774461028,0.008706467661691543,1584,0.11028192371475953,0.2330016583747927,0.6567164179104478
257,Garrett,1811,Garrett Precinct 06-000,1677,93,18,248,448,23,1811,1,0.9260077305356157,0.05135284373274434,0.009939260077305357,0.012700165654334622,1115,0.13694091662065158,0.2473771397018222,0.6156819436775263
258,Garrett,562,Garrett Precinct 13-000,558,0,1,69,113,3,562,1,0.9928825622775801,0.0,0.0017793594306049821,0.005338078291814947,380,0.12277580071174377,0.20106761565836298,0.6761565836298933
259,Garrett,1486,Garrett Precinct 01-000,1470,2,6,240,432,8,1486,1,0.9892328398384926,0.0013458950201884253,0.004037685060565276,0.005383580080753701,814,0.16150740242261102,0.29071332436069985,0.5477792732166891
260,Garrett,1547,Garrett Precinct 02-000,1514,4,11,165,373,18,1547,1,0.9786683904330963,0.002585649644473174,0.007110536522301228,0.011635423400129283,1009,0.10665804783451842,0.24111182934712347,0.6522301228183581
261,Garrett,1443,Garrett Precinct 05-000,1420,8,5,187,468,10,1443,1,0.9840609840609841,0.005544005544005544,0.003465003465003465,0.00693000693000693,788,0.1295911295911296,0.32432432432432434,0.546084546084546
262,Garrett,725,Garrett Precinct 12-000,708,15,0,84,206,2,725,1,0.976551724137931,0.020689655172413793,0.0,0.002758620689655172,435,0.11586206896551725,0.28413793103448276,0.6
263,Garrett,655,Garrett Precinct 04-000,637,14,3,68,188,1,655,1,0.9725190839694656,0.021374045801526718,0.004580152671755725,0.0015267175572519084,399,0.10381679389312977,0.2870229007633588,0.6091603053435114
264,Garrett,140,Garrett Precinct 11-000,136,2,1,14,29,1,140,1,0.9714285714285714,0.014285714285714285,0.007142857142857143,0.007142857142857143,97,0.1,0.20714285714285716,0.6928571428571428
269,Garrett,627,Garrett Precinct 03-002,615,1,5,89,157,6,627,1,0.9808612440191388,0.001594896331738437,0.007974481658692184,0.009569377990430622,381,0.1419457735247209,0.2503987240829346,0.6076555023923444
270,Garrett,2171,Garrett Precinct 03-001,2136,4,15,197,588,16,2171,1,0.9838783970520497,0.0018424689083371719,0.006909258406264394,0.007369875633348687,1386,0.09074159373560571,0.27084292952556427,0.63841547673883
271,Garrett,421,Garrett Precinct 15-000,419,0,1,88,147,1,421,1,0.995249406175772,0.0,0.0023752969121140144,0.0023752969121140144,186,0.20902612826603326,0.3491686460807601,0.4418052256532066
272,Garrett,988,Garrett Precinct 09-000,964,4,10,152,277,10,988,1,0.9757085020242915,0.004048582995951417,0.010121457489878543,0.010121457489878543,559,0.15384615384615385,0.28036437246963564,0.5657894736842105
