,COUNTY,VAP,NAME,WVAP,COMP18D,COMP18R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,COMP18None,COMP18D_pct,COMP18R_pct,COMP18None_pct
250,Garrett,746,Garrett Precinct 08-002,735,75,216,11,746,1,0.985254691689008,0.014745308310991957,455,0.10053619302949061,0.289544235924933,0.6099195710455764
251,Garrett,572,Garrett Precinct 08-001,565,77,167,7,572,1,0.9877622377622378,0.012237762237762238,328,0.1346153846153846,0.291958041958042,0.5734265734265734
252,Garrett,1056,Garrett Precinct 14-002,1037,131,303,19,1056,1,0.9820075757575758,0.017992424242424244,622,0.1240530303030303,0.2869318181818182,0.5890151515151515
253,Garrett,1898,Garrett Precinct 07-000,1852,302,422,46,1898,1,0.9757639620653319,0.02423603793466807,1174,0.15911485774499473,0.22233930453108536,0.6185458377239199
254,Garrett,2642,Garrett Precinct 16-000,2604,391,652,38,2642,1,0.9856169568508706,0.014383043149129448,1599,0.14799394398183194,0.24678274034822104,0.605223315669947
255,Garrett,1535,Garrett Precinct 10-000,1521,291,439,14,1535,1,0.9908794788273616,0.009120521172638436,805,0.18957654723127035,0.28599348534201957,0.5244299674267101
256,Garrett,2412,Garrett Precinct 14-001,2373,360,575,39,2412,1,0.9838308457711443,0.01616915422885572,1477,0.14925373134328357,0.23839137645107794,0.6123548922056384
257,Garrett,1811,Garrett Precinct 06-000,1677,378,483,134,1811,1,0.9260077305356157,0.07399226946438432,950,0.2087244616234125,0.26670347874102707,0.5245720596355604
258,Garrett,562,Garrett Precinct 13-000,558,85,135,4,562,1,0.9928825622775801,0.0071174377224199285,342,0.1512455516014235,0.2402135231316726,0.608540925266904
259,Garrett,1486,Garrett Precinct 01-000,1470,321,468,16,1486,1,0.9892328398384926,0.010767160161507403,697,0.21601615074024227,0.3149394347240915,0.4690444145356662
260,Garrett,1547,Garrett Precinct 02-000,1514,283,472,33,1547,1,0.9786683904330963,0.021331609566903685,792,0.18293471234647704,0.30510665804783454,0.5119586296056884
261,Garrett,1443,Garrett Precinct 05-000,1420,320,501,23,1443,1,0.9840609840609841,0.01593901593901594,622,0.22176022176022175,0.3471933471933472,0.43104643104643103
262,Garrett,725,Garrett Precinct 12-000,708,82,245,17,725,1,0.976551724137931,0.023448275862068966,398,0.11310344827586206,0.33793103448275863,0.5489655172413793
263,Garrett,655,Garrett Precinct 04-000,637,88,198,18,655,1,0.9725190839694656,0.02748091603053435,369,0.13435114503816795,0.30229007633587784,0.5633587786259542
264,Garrett,140,Garrett Precinct 11-000,136,16,39,4,140,1,0.9714285714285714,0.02857142857142857,85,0.11428571428571428,0.2785714285714286,0.6071428571428571
269,Garrett,627,Garrett Precinct 03-002,615,85,194,12,627,1,0.9808612440191388,0.019138755980861243,348,0.13556618819776714,0.3094098883572568,0.5550239234449761
270,Garrett,2171,Garrett Precinct 03-001,2136,302,581,35,2171,1,0.9838783970520497,0.016121602947950252,1288,0.13910640257945647,0.2676186089359742,0.5932749884845693
271,Garrett,421,Garrett Precinct 15-000,419,117,153,2,421,1,0.995249406175772,0.004750593824228029,151,0.27790973871733965,0.36342042755344417,0.3586698337292161
272,Garrett,988,Garrett Precinct 09-000,964,223,312,24,988,1,0.9757085020242915,0.024291497975708502,453,0.2257085020242915,0.3157894736842105,0.458502024291498
