,COUNTY,VAP,NAME,WVAP,GOV14D,GOV14R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV14None,GOV14D_pct,GOV14R_pct,GOV14None_pct
250,Garrett,746,Garrett Precinct 08-002,735,28,246,11,746,1,0.985254691689008,0.014745308310991957,472,0.03753351206434316,0.3297587131367292,0.6327077747989276
251,Garrett,572,Garrett Precinct 08-001,565,27,171,7,572,1,0.9877622377622378,0.012237762237762238,374,0.0472027972027972,0.29895104895104896,0.6538461538461539
252,Garrett,1056,Garrett Precinct 14-002,1037,71,348,19,1056,1,0.9820075757575758,0.017992424242424244,637,0.06723484848484848,0.32954545454545453,0.603219696969697
253,Garrett,1898,Garrett Precinct 07-000,1852,119,535,46,1898,1,0.9757639620653319,0.02423603793466807,1244,0.06269757639620653,0.28187565858798735,0.6554267650158061
254,Garrett,2642,Garrett Precinct 16-000,2604,177,717,38,2642,1,0.9856169568508706,0.014383043149129448,1748,0.06699470098410296,0.27138531415594247,0.6616199848599545
255,Garrett,1535,Garrett Precinct 10-000,1521,118,471,14,1535,1,0.9908794788273616,0.009120521172638436,946,0.07687296416938111,0.30684039087947884,0.61628664495114
256,Garrett,2412,Garrett Precinct 14-001,2373,158,682,39,2412,1,0.9838308457711443,0.01616915422885572,1572,0.06550580431177445,0.2827529021558872,0.6517412935323383
257,Garrett,1811,Garrett Precinct 06-000,1677,149,544,134,1811,1,0.9260077305356157,0.07399226946438432,1118,0.08227498619547212,0.3003865267807841,0.6173384870237438
258,Garrett,562,Garrett Precinct 13-000,558,48,134,4,562,1,0.9928825622775801,0.0071174377224199285,380,0.08540925266903915,0.23843416370106763,0.6761565836298933
259,Garrett,1486,Garrett Precinct 01-000,1470,135,535,16,1486,1,0.9892328398384926,0.010767160161507403,816,0.0908479138627187,0.36002691790040375,0.5491251682368775
260,Garrett,1547,Garrett Precinct 02-000,1514,111,432,33,1547,1,0.9786683904330963,0.021331609566903685,1004,0.07175177763413057,0.2792501616031028,0.6489980607627667
261,Garrett,1443,Garrett Precinct 05-000,1420,107,559,23,1443,1,0.9840609840609841,0.01593901593901594,777,0.07415107415107415,0.38738738738738737,0.5384615384615384
262,Garrett,725,Garrett Precinct 12-000,708,42,255,17,725,1,0.976551724137931,0.023448275862068966,428,0.057931034482758624,0.35172413793103446,0.5903448275862069
263,Garrett,655,Garrett Precinct 04-000,637,30,222,18,655,1,0.9725190839694656,0.02748091603053435,403,0.04580152671755725,0.33893129770992364,0.6152671755725191
264,Garrett,140,Garrett Precinct 11-000,136,7,39,4,140,1,0.9714285714285714,0.02857142857142857,94,0.05,0.2785714285714286,0.6714285714285714
269,Garrett,627,Garrett Precinct 03-002,615,53,195,12,627,1,0.9808612440191388,0.019138755980861243,379,0.08452950558213716,0.31100478468899523,0.6044657097288676
270,Garrett,2171,Garrett Precinct 03-001,2136,112,682,35,2171,1,0.9838783970520497,0.016121602947950252,1377,0.05158912943344081,0.3141409488714878,0.6342699216950713
271,Garrett,421,Garrett Precinct 15-000,419,50,188,2,421,1,0.995249406175772,0.004750593824228029,183,0.1187648456057007,0.44655581947743467,0.4346793349168646
272,Garrett,988,Garrett Precinct 09-000,964,83,356,24,988,1,0.9757085020242915,0.024291497975708502,549,0.0840080971659919,0.3603238866396761,0.555668016194332
