,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV18PDNone,GOV18PD_BJ_pct,GOV18PD_JS_pct,GOV18PD_KV_pct,GOV18PD_RM_pct,GOV18PD_RB_pct,GOV18PDNone_pct
250,Garrett,746,Garrett Precinct 08-002,735,5,2,8,0,2,0,1,4,746,1,0.985254691689008,0.006702412868632708,0.002680965147453083,0.005361930294906166,735,0.010723860589812333,0.0,0.002680965147453083,0.0,0.0013404825737265416,0.985254691689008
251,Garrett,572,Garrett Precinct 08-001,565,0,2,2,0,0,0,0,5,572,1,0.9877622377622378,0.0,0.0034965034965034965,0.008741258741258742,570,0.0034965034965034965,0.0,0.0,0.0,0.0,0.9965034965034965
252,Garrett,1056,Garrett Precinct 14-002,1037,6,4,13,5,1,1,3,9,1056,1,0.9820075757575758,0.005681818181818182,0.003787878787878788,0.008522727272727272,1033,0.01231060606060606,0.004734848484848485,0.000946969696969697,0.000946969696969697,0.002840909090909091,0.978219696969697
253,Garrett,1898,Garrett Precinct 07-000,1852,7,15,24,7,9,6,9,24,1898,1,0.9757639620653319,0.0036880927291886197,0.007903055848261328,0.012644889357218124,1843,0.012644889357218124,0.0036880927291886197,0.004741833508956797,0.003161222339304531,0.004741833508956797,0.9710221285563752
254,Garrett,2642,Garrett Precinct 16-000,2604,7,15,28,6,11,7,9,16,2642,1,0.9856169568508706,0.0026495079485238456,0.005677517032551098,0.006056018168054504,2581,0.010598031794095382,0.002271006813020439,0.004163512490537472,0.0026495079485238456,0.0034065102195306586,0.9769114307342922
255,Garrett,1535,Garrett Precinct 10-000,1521,2,9,15,2,5,4,11,3,1535,1,0.9908794788273616,0.0013029315960912053,0.005863192182410423,0.001954397394136808,1498,0.009771986970684038,0.0013029315960912053,0.003257328990228013,0.0026058631921824105,0.0071661237785016286,0.9758957654723127
256,Garrett,2412,Garrett Precinct 14-001,2373,4,14,36,4,25,6,11,21,2412,1,0.9838308457711443,0.001658374792703151,0.005804311774461028,0.008706467661691543,2330,0.014925373134328358,0.001658374792703151,0.010364842454394693,0.0024875621890547263,0.004560530679933665,0.9660033167495854
257,Garrett,1811,Garrett Precinct 06-000,1677,93,18,36,5,13,5,15,23,1811,1,0.9260077305356157,0.05135284373274434,0.009939260077305357,0.012700165654334622,1737,0.019878520154610713,0.0027609055770292656,0.00717835450027609,0.0027609055770292656,0.008282716731087797,0.9591385974599669
258,Garrett,562,Garrett Precinct 13-000,558,0,1,6,3,2,4,4,3,562,1,0.9928825622775801,0.0,0.0017793594306049821,0.005338078291814947,543,0.010676156583629894,0.005338078291814947,0.0035587188612099642,0.0071174377224199285,0.0071174377224199285,0.9661921708185054
259,Garrett,1486,Garrett Precinct 01-000,1470,2,6,29,5,9,7,11,8,1486,1,0.9892328398384926,0.0013458950201884253,0.004037685060565276,0.005383580080753701,1425,0.019515477792732168,0.0033647375504710633,0.006056527590847914,0.004710632570659489,0.007402422611036339,0.9589502018842531
260,Garrett,1547,Garrett Precinct 02-000,1514,4,11,26,6,9,6,9,18,1547,1,0.9786683904330963,0.002585649644473174,0.007110536522301228,0.011635423400129283,1491,0.01680672268907563,0.003878474466709761,0.005817711700064641,0.003878474466709761,0.005817711700064641,0.9638009049773756
261,Garrett,1443,Garrett Precinct 05-000,1420,8,5,32,8,9,3,7,10,1443,1,0.9840609840609841,0.005544005544005544,0.003465003465003465,0.00693000693000693,1384,0.022176022176022176,0.005544005544005544,0.006237006237006237,0.002079002079002079,0.004851004851004851,0.9591129591129591
262,Garrett,725,Garrett Precinct 12-000,708,15,0,7,1,2,0,6,2,725,1,0.976551724137931,0.020689655172413793,0.0,0.002758620689655172,709,0.009655172413793104,0.001379310344827586,0.002758620689655172,0.0,0.008275862068965517,0.9779310344827586
263,Garrett,655,Garrett Precinct 04-000,637,14,3,4,1,0,0,2,1,655,1,0.9725190839694656,0.021374045801526718,0.004580152671755725,0.0015267175572519084,648,0.0061068702290076335,0.0015267175572519084,0.0,0.0,0.0030534351145038168,0.9893129770992366
264,Garrett,140,Garrett Precinct 11-000,136,2,1,2,0,0,0,1,1,140,1,0.9714285714285714,0.014285714285714285,0.007142857142857143,0.007142857142857143,137,0.014285714285714285,0.0,0.0,0.0,0.007142857142857143,0.9785714285714285
269,Garrett,627,Garrett Precinct 03-002,615,1,5,7,0,2,1,6,6,627,1,0.9808612440191388,0.001594896331738437,0.007974481658692184,0.009569377990430622,611,0.011164274322169059,0.0,0.003189792663476874,0.001594896331738437,0.009569377990430622,0.9744816586921851
270,Garrett,2171,Garrett Precinct 03-001,2136,4,15,18,4,10,4,11,16,2171,1,0.9838783970520497,0.0018424689083371719,0.006909258406264394,0.007369875633348687,2124,0.008291110087517274,0.0018424689083371719,0.004606172270842929,0.0018424689083371719,0.005066789497927222,0.9783509903270382
271,Garrett,421,Garrett Precinct 15-000,419,0,1,10,3,4,0,2,1,421,1,0.995249406175772,0.0,0.0023752969121140144,0.0023752969121140144,402,0.023752969121140142,0.007125890736342043,0.009501187648456057,0.0,0.004750593824228029,0.9548693586698337
272,Garrett,988,Garrett Precinct 09-000,964,4,10,19,2,6,3,4,10,988,1,0.9757085020242915,0.004048582995951417,0.010121457489878543,0.010121457489878543,954,0.019230769230769232,0.0020242914979757085,0.006072874493927126,0.003036437246963563,0.004048582995951417,0.9655870445344129
