,COUNTY,VAP,NAME,WVAP,PRES16D,PRES16R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,PRES16None,PRES16D_pct,PRES16R_pct,PRES16None_pct
250,Garrett,746,Garrett Precinct 08-002,735,43,361,11,746,1,0.985254691689008,0.014745308310991957,342,0.057640750670241284,0.4839142091152815,0.4584450402144772
251,Garrett,572,Garrett Precinct 08-001,565,50,293,7,572,1,0.9877622377622378,0.012237762237762238,229,0.08741258741258741,0.5122377622377622,0.40034965034965037
252,Garrett,1056,Garrett Precinct 14-002,1037,85,556,19,1056,1,0.9820075757575758,0.017992424242424244,415,0.08049242424242424,0.5265151515151515,0.39299242424242425
253,Garrett,1898,Garrett Precinct 07-000,1852,192,677,46,1898,1,0.9757639620653319,0.02423603793466807,1029,0.101159114857745,0.3566912539515279,0.5421496311907271
254,Garrett,2642,Garrett Precinct 16-000,2604,237,1063,38,2642,1,0.9856169568508706,0.014383043149129448,1342,0.08970476911430735,0.4023467070401211,0.5079485238455715
255,Garrett,1535,Garrett Precinct 10-000,1521,169,718,14,1535,1,0.9908794788273616,0.009120521172638436,648,0.11009771986970684,0.4677524429967427,0.4221498371335505
256,Garrett,2412,Garrett Precinct 14-001,2373,236,911,39,2412,1,0.9838308457711443,0.01616915422885572,1265,0.0978441127694859,0.3776948590381426,0.5244610281923715
257,Garrett,1811,Garrett Precinct 06-000,1677,266,723,134,1811,1,0.9260077305356157,0.07399226946438432,822,0.14688017669795694,0.3992269464384318,0.45389287686361124
258,Garrett,562,Garrett Precinct 13-000,558,58,243,4,562,1,0.9928825622775801,0.0071174377224199285,261,0.10320284697508897,0.43238434163701067,0.46441281138790036
259,Garrett,1486,Garrett Precinct 01-000,1470,219,739,16,1486,1,0.9892328398384926,0.010767160161507403,528,0.14737550471063257,0.49730820995962316,0.3553162853297443
260,Garrett,1547,Garrett Precinct 02-000,1514,210,756,33,1547,1,0.9786683904330963,0.021331609566903685,581,0.13574660633484162,0.48868778280542985,0.3755656108597285
261,Garrett,1443,Garrett Precinct 05-000,1420,215,816,23,1443,1,0.9840609840609841,0.01593901593901594,412,0.14899514899514898,0.5654885654885655,0.2855162855162855
262,Garrett,725,Garrett Precinct 12-000,708,58,382,17,725,1,0.976551724137931,0.023448275862068966,285,0.08,0.526896551724138,0.3931034482758621
263,Garrett,655,Garrett Precinct 04-000,637,47,353,18,655,1,0.9725190839694656,0.02748091603053435,255,0.0717557251908397,0.5389312977099237,0.3893129770992366
264,Garrett,140,Garrett Precinct 11-000,136,9,80,4,140,1,0.9714285714285714,0.02857142857142857,51,0.06428571428571428,0.5714285714285714,0.36428571428571427
269,Garrett,627,Garrett Precinct 03-002,615,63,295,12,627,1,0.9808612440191388,0.019138755980861243,269,0.10047846889952153,0.4704944178628389,0.42902711323763953
270,Garrett,2171,Garrett Precinct 03-001,2136,188,955,35,2171,1,0.9838783970520497,0.016121602947950252,1028,0.08659603869184708,0.43988945186549977,0.47351450944265316
271,Garrett,421,Garrett Precinct 15-000,419,64,269,2,421,1,0.995249406175772,0.004750593824228029,88,0.15201900237529692,0.6389548693586699,0.20902612826603326
272,Garrett,988,Garrett Precinct 09-000,964,147,579,24,988,1,0.9757085020242915,0.024291497975708502,262,0.14878542510121456,0.5860323886639676,0.2651821862348178
