,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN12PD_BC,SEN12PD_CM,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN12PDNone,SEN12PD_BC_pct,SEN12PD_CM_pct,SEN12PDNone_pct
250,Garrett,746,Garrett Precinct 08-002,735,5,2,15,0,4,746,1,0.985254691689008,0.006702412868632708,0.002680965147453083,0.005361930294906166,731,0.020107238605898123,0.0,0.9798927613941019
251,Garrett,572,Garrett Precinct 08-001,565,0,2,8,0,5,572,1,0.9877622377622378,0.0,0.0034965034965034965,0.008741258741258742,564,0.013986013986013986,0.0,0.986013986013986
252,Garrett,1056,Garrett Precinct 14-002,1037,6,4,22,1,9,1056,1,0.9820075757575758,0.005681818181818182,0.003787878787878788,0.008522727272727272,1033,0.020833333333333332,0.000946969696969697,0.978219696969697
253,Garrett,1898,Garrett Precinct 07-000,1852,7,15,57,1,24,1898,1,0.9757639620653319,0.0036880927291886197,0.007903055848261328,0.012644889357218124,1840,0.030031612223393046,0.0005268703898840885,0.9694415173867229
254,Garrett,2642,Garrett Precinct 16-000,2604,7,15,48,6,16,2642,1,0.9856169568508706,0.0026495079485238456,0.005677517032551098,0.006056018168054504,2588,0.018168054504163512,0.002271006813020439,0.979560938682816
255,Garrett,1535,Garrett Precinct 10-000,1521,2,9,28,1,3,1535,1,0.9908794788273616,0.0013029315960912053,0.005863192182410423,0.001954397394136808,1506,0.018241042345276872,0.0006514657980456026,0.9811074918566776
256,Garrett,2412,Garrett Precinct 14-001,2373,4,14,75,2,21,2412,1,0.9838308457711443,0.001658374792703151,0.005804311774461028,0.008706467661691543,2335,0.03109452736318408,0.0008291873963515755,0.9680762852404643
257,Garrett,1811,Garrett Precinct 06-000,1677,93,18,44,0,23,1811,1,0.9260077305356157,0.05135284373274434,0.009939260077305357,0.012700165654334622,1767,0.024295969077857537,0.0,0.9757040309221424
258,Garrett,562,Garrett Precinct 13-000,558,0,1,13,0,3,562,1,0.9928825622775801,0.0,0.0017793594306049821,0.005338078291814947,549,0.023131672597864767,0.0,0.9768683274021353
259,Garrett,1486,Garrett Precinct 01-000,1470,2,6,60,1,8,1486,1,0.9892328398384926,0.0013458950201884253,0.004037685060565276,0.005383580080753701,1425,0.040376850605652756,0.0006729475100942127,0.9589502018842531
260,Garrett,1547,Garrett Precinct 02-000,1514,4,11,37,1,18,1547,1,0.9786683904330963,0.002585649644473174,0.007110536522301228,0.011635423400129283,1509,0.023917259211376857,0.0006464124111182935,0.9754363283775048
261,Garrett,1443,Garrett Precinct 05-000,1420,8,5,44,0,10,1443,1,0.9840609840609841,0.005544005544005544,0.003465003465003465,0.00693000693000693,1399,0.030492030492030493,0.0,0.9695079695079695
262,Garrett,725,Garrett Precinct 12-000,708,15,0,11,0,2,725,1,0.976551724137931,0.020689655172413793,0.0,0.002758620689655172,714,0.015172413793103448,0.0,0.9848275862068966
263,Garrett,655,Garrett Precinct 04-000,637,14,3,11,0,1,655,1,0.9725190839694656,0.021374045801526718,0.004580152671755725,0.0015267175572519084,644,0.016793893129770993,0.0,0.983206106870229
264,Garrett,140,Garrett Precinct 11-000,136,2,1,2,0,1,140,1,0.9714285714285714,0.014285714285714285,0.007142857142857143,0.007142857142857143,138,0.014285714285714285,0.0,0.9857142857142858
269,Garrett,627,Garrett Precinct 03-002,615,1,5,22,0,6,627,1,0.9808612440191388,0.001594896331738437,0.007974481658692184,0.009569377990430622,605,0.03508771929824561,0.0,0.9649122807017544
270,Garrett,2171,Garrett Precinct 03-001,2136,4,15,42,1,16,2171,1,0.9838783970520497,0.0018424689083371719,0.006909258406264394,0.007369875633348687,2128,0.019345923537540305,0.00046061722708429296,0.9801934592353754
271,Garrett,421,Garrett Precinct 15-000,419,0,1,24,2,1,421,1,0.995249406175772,0.0,0.0023752969121140144,0.0023752969121140144,395,0.057007125890736345,0.004750593824228029,0.9382422802850356
272,Garrett,988,Garrett Precinct 09-000,964,4,10,40,1,10,988,1,0.9757085020242915,0.004048582995951417,0.010121457489878543,0.010121457489878543,947,0.04048582995951417,0.0010121457489878543,0.958502024291498
