,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN18D,SEN18R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN18None,SEN18D_pct,SEN18R_pct,SEN18None_pct
250,Garrett,746,Garrett Precinct 08-002,735,5,2,47,260,4,746,1,0.985254691689008,0.006702412868632708,0.002680965147453083,0.005361930294906166,439,0.06300268096514745,0.3485254691689008,0.5884718498659517
251,Garrett,572,Garrett Precinct 08-001,565,0,2,46,208,5,572,1,0.9877622377622378,0.0,0.0034965034965034965,0.008741258741258742,318,0.08041958041958042,0.36363636363636365,0.5559440559440559
252,Garrett,1056,Garrett Precinct 14-002,1037,6,4,84,371,9,1056,1,0.9820075757575758,0.005681818181818182,0.003787878787878788,0.008522727272727272,601,0.07954545454545454,0.35132575757575757,0.5691287878787878
253,Garrett,1898,Garrett Precinct 07-000,1852,7,15,220,502,24,1898,1,0.9757639620653319,0.0036880927291886197,0.007903055848261328,0.012644889357218124,1176,0.11591148577449947,0.2644889357218124,0.6195995785036881
254,Garrett,2642,Garrett Precinct 16-000,2604,7,15,277,765,16,2642,1,0.9856169568508706,0.0026495079485238456,0.005677517032551098,0.006056018168054504,1600,0.10484481453444361,0.289553368660106,0.6056018168054504
255,Garrett,1535,Garrett Precinct 10-000,1521,2,9,202,530,3,1535,1,0.9908794788273616,0.0013029315960912053,0.005863192182410423,0.001954397394136808,803,0.13159609120521173,0.34527687296416937,0.5231270358306189
256,Garrett,2412,Garrett Precinct 14-001,2373,4,14,257,695,21,2412,1,0.9838308457711443,0.001658374792703151,0.005804311774461028,0.008706467661691543,1460,0.10655058043117745,0.28814262023217246,0.6053067993366501
257,Garrett,1811,Garrett Precinct 06-000,1677,93,18,295,567,23,1811,1,0.9260077305356157,0.05135284373274434,0.009939260077305357,0.012700165654334622,949,0.16289342904472667,0.3130866924351187,0.5240198785201546
258,Garrett,562,Garrett Precinct 13-000,558,0,1,62,158,3,562,1,0.9928825622775801,0.0,0.0017793594306049821,0.005338078291814947,342,0.1103202846975089,0.28113879003558717,0.608540925266904
259,Garrett,1486,Garrett Precinct 01-000,1470,2,6,243,549,8,1486,1,0.9892328398384926,0.0013458950201884253,0.004037685060565276,0.005383580080753701,694,0.16352624495289367,0.3694481830417227,0.4670255720053836
260,Garrett,1547,Garrett Precinct 02-000,1514,4,11,215,539,18,1547,1,0.9786683904330963,0.002585649644473174,0.007110536522301228,0.011635423400129283,793,0.1389786683904331,0.34841628959276016,0.5126050420168067
261,Garrett,1443,Garrett Precinct 05-000,1420,8,5,228,599,10,1443,1,0.9840609840609841,0.005544005544005544,0.003465003465003465,0.00693000693000693,616,0.158004158004158,0.4151074151074151,0.4268884268884269
262,Garrett,725,Garrett Precinct 12-000,708,15,0,55,280,2,725,1,0.976551724137931,0.020689655172413793,0.0,0.002758620689655172,390,0.07586206896551724,0.38620689655172413,0.5379310344827586
263,Garrett,655,Garrett Precinct 04-000,637,14,3,54,239,1,655,1,0.9725190839694656,0.021374045801526718,0.004580152671755725,0.0015267175572519084,362,0.08244274809160305,0.3648854961832061,0.5526717557251909
264,Garrett,140,Garrett Precinct 11-000,136,2,1,6,54,1,140,1,0.9714285714285714,0.014285714285714285,0.007142857142857143,0.007142857142857143,80,0.04285714285714286,0.38571428571428573,0.5714285714285714
269,Garrett,627,Garrett Precinct 03-002,615,1,5,69,222,6,627,1,0.9808612440191388,0.001594896331738437,0.007974481658692184,0.009569377990430622,336,0.11004784688995216,0.35406698564593303,0.5358851674641149
270,Garrett,2171,Garrett Precinct 03-001,2136,4,15,211,686,16,2171,1,0.9838783970520497,0.0018424689083371719,0.006909258406264394,0.007369875633348687,1274,0.09719023491478582,0.31598341777982497,0.5868263473053892
271,Garrett,421,Garrett Precinct 15-000,419,0,1,84,191,1,421,1,0.995249406175772,0.0,0.0023752969121140144,0.0023752969121140144,146,0.1995249406175772,0.45368171021377673,0.34679334916864607
272,Garrett,988,Garrett Precinct 09-000,964,4,10,152,375,10,988,1,0.9757085020242915,0.004048582995951417,0.010121457489878543,0.010121457489878543,461,0.15384615384615385,0.37955465587044535,0.4665991902834008
