,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,AG14PDNone,AG14PD_BFR_pct,AG14PD_ABR_pct,AG14PD_JCA_pct,AG14PDNone_pct
282,Harford,3035,Harford Precinct 03-023,2597,170,92,123,35,96,176,3035,1,0.8556836902800659,0.05601317957166392,0.030313014827018123,0.05799011532125206,2781,0.040527182866556835,0.011532125205930808,0.031630971993410216,0.9163097199341022
283,Harford,3016,Harford Precinct 03-022,2720,112,81,90,23,69,103,3016,1,0.9018567639257294,0.03713527851458886,0.026856763925729443,0.034151193633952255,2834,0.029840848806366047,0.007625994694960212,0.022877984084880638,0.9396551724137931
284,Harford,3085,Harford Precinct 04-001,2968,36,24,83,17,38,57,3085,1,0.9620745542949757,0.011669367909238249,0.007779578606158833,0.018476499189627228,2947,0.026904376012965966,0.005510534846029173,0.012317666126418152,0.9552674230145867
285,Harford,2129,Harford Precinct 04-006,2056,27,19,85,16,49,27,2129,1,0.9657116016909347,0.012682010333489901,0.008924377642085486,0.012682010333489901,1979,0.03992484734617191,0.007515265382808831,0.023015500234852042,0.9295443870361673
286,Harford,2731,Harford Precinct 04-003,2662,11,22,85,36,77,36,2731,1,0.9747345294763823,0.004027828634199927,0.008055657268399853,0.013181984621017943,2533,0.031124130355181252,0.013181984621017943,0.028194800439399488,0.9274990845844013
287,Harford,2632,Harford Precinct 04-004,2493,67,24,75,18,71,48,2632,1,0.9471884498480243,0.025455927051671733,0.00911854103343465,0.0182370820668693,2468,0.028495440729483283,0.006838905775075988,0.026975683890577508,0.9376899696048632
288,Harford,4062,Harford Precinct 03-005,3803,99,67,101,30,55,93,4062,1,0.9362383062530774,0.024372230428360415,0.016494337764647957,0.022895125553914326,3876,0.02486459871984244,0.007385524372230428,0.013540128015755786,0.9542097488921714
289,Harford,2376,Harford Precinct 05-002,2261,47,39,77,24,51,29,2376,1,0.9515993265993266,0.01978114478114478,0.016414141414141416,0.012205387205387205,2224,0.032407407407407406,0.010101010101010102,0.021464646464646464,0.936026936026936
290,Harford,1712,Harford Precinct 03-004,1595,66,25,53,16,46,26,1712,1,0.9316588785046729,0.038551401869158876,0.014602803738317757,0.015186915887850467,1597,0.030957943925233645,0.009345794392523364,0.026869158878504672,0.9328271028037384
291,Harford,2679,Harford Precinct 05-003,2566,25,27,72,23,60,61,2679,1,0.9578200821201941,0.00933184023889511,0.010078387458006719,0.02276969018290407,2524,0.026875699888017916,0.008585293019783502,0.022396416573348264,0.9421425905188503
292,Harford,1922,Harford Precinct 01-003,1115,562,172,49,28,56,73,1922,1,0.5801248699271592,0.2924037460978148,0.08949011446409989,0.03798126951092612,1789,0.025494276795005204,0.014568158168574402,0.029136316337148804,0.9308012486992716
293,Harford,2731,Harford Precinct 01-005,1671,760,170,86,58,103,130,2731,1,0.6118637861589161,0.27828634199926766,0.062248260710362505,0.04760161113145368,2484,0.03149029659465397,0.021237641889417794,0.03771512266569022,0.909556938850238
294,Harford,3854,Harford Precinct 01-010,2529,964,155,134,74,132,206,3854,1,0.656201349247535,0.25012973533990657,0.04021795537104307,0.05345096004151531,3514,0.03476907109496627,0.019200830306175403,0.034250129735339904,0.9117799688635184
295,Harford,3035,Harford Precinct 01-019,1562,1218,107,105,95,122,148,3035,1,0.514662273476112,0.40131795716639207,0.035255354200988465,0.04876441515650742,2713,0.03459637561779242,0.03130148270181219,0.040197693574958816,0.8939044481054366
296,Harford,1603,Harford Precinct 02-019,986,297,219,10,8,10,101,1603,1,0.6150966936993137,0.1852776044915783,0.13661883967560823,0.0630068621334997,1575,0.006238303181534623,0.004990642545227698,0.006238303181534623,0.982532751091703
297,Harford,2076,Harford Precinct 01-018,1562,400,44,82,35,84,70,2076,1,0.7524084778420038,0.1926782273603083,0.02119460500963391,0.03371868978805395,1875,0.0394990366088632,0.016859344894026976,0.04046242774566474,0.903179190751445
298,Harford,1794,Harford Precinct 01-017,1518,125,33,19,6,10,118,1794,1,0.8461538461538461,0.06967670011148272,0.01839464882943144,0.06577480490523968,1759,0.010590858416945374,0.0033444816053511705,0.005574136008918618,0.9804905239687849
299,Harford,3477,Harford Precinct 01-016,2382,746,187,119,53,113,162,3477,1,0.6850733390854185,0.21455277538107564,0.05378199597354041,0.04659188955996549,3192,0.03422490652861662,0.015243025596778832,0.03249928098935864,0.9180327868852459
300,Harford,3030,Harford Precinct 01-020,1753,850,175,124,85,100,252,3030,1,0.5785478547854785,0.28052805280528054,0.057755775577557754,0.08316831683168317,2721,0.04092409240924092,0.028052805280528052,0.033003300330033,0.898019801980198
301,Harford,2453,Harford Precinct 03-020,2282,100,26,95,17,75,45,2453,1,0.9302894415002039,0.040766408479412965,0.01059926620464737,0.018344883815735832,2266,0.03872808805544232,0.006930289441500204,0.030574806359559722,0.9237668161434978
