,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,AG14D,AG14R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,AG14None,AG14D_pct,AG14R_pct,AG14None_pct
282,Harford,3035,Harford Precinct 03-023,2597,170,92,558,948,176,3035,1,0.8556836902800659,0.05601317957166392,0.030313014827018123,0.05799011532125206,1529,0.18385502471169687,0.31235584843492586,0.5037891268533773
283,Harford,3016,Harford Precinct 03-022,2720,112,81,445,1126,103,3016,1,0.9018567639257294,0.03713527851458886,0.026856763925729443,0.034151193633952255,1445,0.14754641909814323,0.373342175066313,0.4791114058355438
284,Harford,3085,Harford Precinct 04-001,2968,36,24,353,1109,57,3085,1,0.9620745542949757,0.011669367909238249,0.007779578606158833,0.018476499189627228,1623,0.11442463533225283,0.3594813614262561,0.5260940032414911
285,Harford,2129,Harford Precinct 04-006,2056,27,19,262,837,27,2129,1,0.9657116016909347,0.012682010333489901,0.008924377642085486,0.012682010333489901,1030,0.1230624706434946,0.39314232033818697,0.48379520901831846
286,Harford,2731,Harford Precinct 04-003,2662,11,22,356,1135,36,2731,1,0.9747345294763823,0.004027828634199927,0.008055657268399853,0.013181984621017943,1240,0.13035518125228854,0.4155986818015379,0.4540461369461736
287,Harford,2632,Harford Precinct 04-004,2493,67,24,321,1013,48,2632,1,0.9471884498480243,0.025455927051671733,0.00911854103343465,0.0182370820668693,1298,0.12196048632218845,0.38487841945288753,0.493161094224924
288,Harford,4062,Harford Precinct 03-005,3803,99,67,527,1644,93,4062,1,0.9362383062530774,0.024372230428360415,0.016494337764647957,0.022895125553914326,1891,0.12973904480551451,0.40472673559822747,0.465534219596258
289,Harford,2376,Harford Precinct 05-002,2261,47,39,332,975,29,2376,1,0.9515993265993266,0.01978114478114478,0.016414141414141416,0.012205387205387205,1069,0.13973063973063973,0.41035353535353536,0.44991582491582494
290,Harford,1712,Harford Precinct 03-004,1595,66,25,253,713,26,1712,1,0.9316588785046729,0.038551401869158876,0.014602803738317757,0.015186915887850467,746,0.1477803738317757,0.41647196261682246,0.4357476635514019
291,Harford,2679,Harford Precinct 05-003,2566,25,27,310,1086,61,2679,1,0.9578200821201941,0.00933184023889511,0.010078387458006719,0.02276969018290407,1283,0.11571481896229936,0.4053751399776036,0.47891004106009705
292,Harford,1922,Harford Precinct 01-003,1115,562,172,308,253,73,1922,1,0.5801248699271592,0.2924037460978148,0.08949011446409989,0.03798126951092612,1361,0.16024973985431842,0.13163371488033299,0.7081165452653486
293,Harford,2731,Harford Precinct 01-005,1671,760,170,492,390,130,2731,1,0.6118637861589161,0.27828634199926766,0.062248260710362505,0.04760161113145368,1849,0.18015378982057853,0.14280483339436104,0.6770413767850604
294,Harford,3854,Harford Precinct 01-010,2529,964,155,816,816,206,3854,1,0.656201349247535,0.25012973533990657,0.04021795537104307,0.05345096004151531,2222,0.21172807472755578,0.21172807472755578,0.5765438505448884
295,Harford,3035,Harford Precinct 01-019,1562,1218,107,720,304,148,3035,1,0.514662273476112,0.40131795716639207,0.035255354200988465,0.04876441515650742,2011,0.2372322899505766,0.10016474464579901,0.6626029654036244
296,Harford,1603,Harford Precinct 02-019,986,297,219,100,75,101,1603,1,0.6150966936993137,0.1852776044915783,0.13661883967560823,0.0630068621334997,1428,0.06238303181534623,0.046787273861509666,0.8908296943231441
