,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,COMP14D,COMP14R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,COMP14None,COMP14D_pct,COMP14R_pct,COMP14None_pct
282,Harford,3035,Harford Precinct 03-023,2597,170,92,818,776,176,3035,1,0.8556836902800659,0.05601317957166392,0.030313014827018123,0.05799011532125206,1441,0.2695222405271829,0.2556836902800659,0.47479406919275124
283,Harford,3016,Harford Precinct 03-022,2720,112,81,698,935,103,3016,1,0.9018567639257294,0.03713527851458886,0.026856763925729443,0.034151193633952255,1383,0.23143236074270557,0.3100132625994695,0.45855437665782495
284,Harford,3085,Harford Precinct 04-001,2968,36,24,594,937,57,3085,1,0.9620745542949757,0.011669367909238249,0.007779578606158833,0.018476499189627228,1554,0.19254457050243112,0.30372771474878446,0.5037277147487844
285,Harford,2129,Harford Precinct 04-006,2056,27,19,453,692,27,2129,1,0.9657116016909347,0.012682010333489901,0.008924377642085486,0.012682010333489901,984,0.21277595115077502,0.3250352278064819,0.46218882104274306
286,Harford,2731,Harford Precinct 04-003,2662,11,22,571,999,36,2731,1,0.9747345294763823,0.004027828634199927,0.008055657268399853,0.013181984621017943,1161,0.20908092273892348,0.36580007323324787,0.42511900402782865
287,Harford,2632,Harford Precinct 04-004,2493,67,24,525,866,48,2632,1,0.9471884498480243,0.025455927051671733,0.00911854103343465,0.0182370820668693,1241,0.19946808510638298,0.3290273556231003,0.4715045592705167
288,Harford,4062,Harford Precinct 03-005,3803,99,67,879,1395,93,4062,1,0.9362383062530774,0.024372230428360415,0.016494337764647957,0.022895125553914326,1788,0.21639586410635156,0.3434268833087149,0.4401772525849335
289,Harford,2376,Harford Precinct 05-002,2261,47,39,548,814,29,2376,1,0.9515993265993266,0.01978114478114478,0.016414141414141416,0.012205387205387205,1014,0.23063973063973064,0.3425925925925926,0.42676767676767674
290,Harford,1712,Harford Precinct 03-004,1595,66,25,385,624,26,1712,1,0.9316588785046729,0.038551401869158876,0.014602803738317757,0.015186915887850467,703,0.22488317757009346,0.3644859813084112,0.41063084112149534
291,Harford,2679,Harford Precinct 05-003,2566,25,27,498,950,61,2679,1,0.9578200821201941,0.00933184023889511,0.010078387458006719,0.02276969018290407,1231,0.1858902575587906,0.3546099290780142,0.45949981336319523
292,Harford,1922,Harford Precinct 01-003,1115,562,172,388,222,73,1922,1,0.5801248699271592,0.2924037460978148,0.08949011446409989,0.03798126951092612,1312,0.20187304890738814,0.11550468262226847,0.6826222684703434
293,Harford,2731,Harford Precinct 01-005,1671,760,170,620,332,130,2731,1,0.6118637861589161,0.27828634199926766,0.062248260710362505,0.04760161113145368,1779,0.2270230684730868,0.12156719150494324,0.6514097400219699
294,Harford,3854,Harford Precinct 01-010,2529,964,155,1029,732,206,3854,1,0.656201349247535,0.25012973533990657,0.04021795537104307,0.05345096004151531,2093,0.26699532952776334,0.18993253762324858,0.543072132848988
295,Harford,3035,Harford Precinct 01-019,1562,1218,107,855,287,148,3035,1,0.514662273476112,0.40131795716639207,0.035255354200988465,0.04876441515650742,1893,0.28171334431630973,0.09456342668863262,0.6237232289950576
296,Harford,1603,Harford Precinct 02-019,986,297,219,123,69,101,1603,1,0.6150966936993137,0.1852776044915783,0.13661883967560823,0.0630068621334997,1411,0.07673112913287586,0.043044291952588895,0.8802245789145352
297,Harford,2076,Harford Precinct 01-018,1562,400,44,540,482,70,2076,1,0.7524084778420038,0.1926782273603083,0.02119460500963391,0.03371868978805395,1054,0.26011560693641617,0.2321772639691715,0.5077071290944123
298,Harford,1794,Harford Precinct 01-017,1518,125,33,328,441,118,1794,1,0.8461538461538461,0.06967670011148272,0.01839464882943144,0.06577480490523968,1025,0.18283166109253066,0.24581939799331104,0.5713489409141583
