,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV14D,GOV14R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV14None,GOV14D_pct,GOV14R_pct,GOV14None_pct
282,Harford,3035,Harford Precinct 03-023,2597,170,92,330,1272,176,3035,1,0.8556836902800659,0.05601317957166392,0.030313014827018123,0.05799011532125206,1433,0.10873146622734761,0.4191103789126853,0.47215815485996704
283,Harford,3016,Harford Precinct 03-022,2720,112,81,271,1434,103,3016,1,0.9018567639257294,0.03713527851458886,0.026856763925729443,0.034151193633952255,1311,0.08985411140583555,0.47546419098143233,0.4346816976127321
284,Harford,3085,Harford Precinct 04-001,2968,36,24,202,1378,57,3085,1,0.9620745542949757,0.011669367909238249,0.007779578606158833,0.018476499189627228,1505,0.06547811993517018,0.446677471636953,0.4878444084278768
285,Harford,2129,Harford Precinct 04-006,2056,27,19,135,1054,27,2129,1,0.9657116016909347,0.012682010333489901,0.008924377642085486,0.012682010333489901,940,0.06341005166744951,0.4950681070925317,0.4415218412400188
286,Harford,2731,Harford Precinct 04-003,2662,11,22,171,1471,36,2731,1,0.9747345294763823,0.004027828634199927,0.008055657268399853,0.013181984621017943,1089,0.06261442694983523,0.538630538264372,0.3987550347857928
287,Harford,2632,Harford Precinct 04-004,2493,67,24,180,1282,48,2632,1,0.9471884498480243,0.025455927051671733,0.00911854103343465,0.0182370820668693,1170,0.06838905775075987,0.4870820668693009,0.44452887537993924
288,Harford,4062,Harford Precinct 03-005,3803,99,67,258,2121,93,4062,1,0.9362383062530774,0.024372230428360415,0.016494337764647957,0.022895125553914326,1683,0.06351550960118169,0.5221565731166913,0.41432791728212703
289,Harford,2376,Harford Precinct 05-002,2261,47,39,180,1233,29,2376,1,0.9515993265993266,0.01978114478114478,0.016414141414141416,0.012205387205387205,963,0.07575757575757576,0.5189393939393939,0.4053030303030303
290,Harford,1712,Harford Precinct 03-004,1595,66,25,123,923,26,1712,1,0.9316588785046729,0.038551401869158876,0.014602803738317757,0.015186915887850467,666,0.07184579439252337,0.5391355140186916,0.38901869158878505
291,Harford,2679,Harford Precinct 05-003,2566,25,27,150,1358,61,2679,1,0.9578200821201941,0.00933184023889511,0.010078387458006719,0.02276969018290407,1171,0.055991041433370664,0.5069055617767824,0.43710339678984694
292,Harford,1922,Harford Precinct 01-003,1115,562,172,220,339,73,1922,1,0.5801248699271592,0.2924037460978148,0.08949011446409989,0.03798126951092612,1363,0.11446409989594172,0.17637877211238293,0.7091571279916753
293,Harford,2731,Harford Precinct 01-005,1671,760,170,371,510,130,2731,1,0.6118637861589161,0.27828634199926766,0.062248260710362505,0.04760161113145368,1850,0.13584767484437935,0.1867447821310875,0.6774075430245331
