,COUNTY,VAP,NAME,WVAP,PRES12D,PRES12R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,PRES12None,PRES12D_pct,PRES12R_pct,PRES12None_pct
282,Harford,3035,Harford Precinct 03-023,2597,783,1249,438,3035,1.0,0.8556836902800659,0.1443163097199341,1003,0.25799011532125204,0.4115321252059308,0.33047775947281716
283,Harford,3016,Harford Precinct 03-022,2720,717,1420,296,3016,1.0,0.9018567639257294,0.09814323607427056,879,0.23773209549071617,0.4708222811671088,0.29144562334217505
284,Harford,3085,Harford Precinct 04-001,2968,637,1723,117,3085,1.0,0.9620745542949757,0.03792544570502431,725,0.20648298217179903,0.5585089141004862,0.23500810372771475
285,Harford,2129,Harford Precinct 04-006,2056,471,1262,73,2129,1.0,0.9657116016909347,0.03428839830906529,396,0.22123062470643495,0.5927665570690465,0.18600281822451856
286,Harford,2731,Harford Precinct 04-003,2662,540,1577,69,2731,1.0,0.9747345294763823,0.025265470523617724,614,0.19772976931526914,0.5774441596484804,0.22482607103625046
287,Harford,2632,Harford Precinct 04-004,2493,527,1518,139,2632,1.0,0.9471884498480243,0.05281155015197568,587,0.20022796352583586,0.5767477203647416,0.2230243161094225
288,Harford,4062,Harford Precinct 03-005,3803,770,2229,259,4062,1.0,0.9362383062530774,0.0637616937469227,1063,0.189561792220581,0.5487444608567208,0.2616937469226982
289,Harford,2376,Harford Precinct 05-002,2261,477,1293,115,2376,1.0,0.9515993265993266,0.0484006734006734,606,0.20075757575757575,0.5441919191919192,0.255050505050505
290,Harford,1712,Harford Precinct 03-004,1595,366,931,117,1712,1.0,0.9316588785046729,0.0683411214953271,415,0.21378504672897197,0.5438084112149533,0.24240654205607476
291,Harford,2679,Harford Precinct 05-003,2566,462,1477,113,2679,1.0,0.9578200821201941,0.0421799178798059,740,0.17245240761478164,0.5513251213139231,0.2762224710712953
292,Harford,1922,Harford Precinct 01-003,1115,663,376,807,1922,1.0,0.5801248699271592,0.4198751300728408,883,0.34495317377731527,0.19562955254942768,0.459417273673257
293,Harford,2731,Harford Precinct 01-005,1671,943,618,1060,2731,1.0,0.6118637861589161,0.3881362138410839,1170,0.3452947638227755,0.22629073599414135,0.42841450018308314
294,Harford,3854,Harford Precinct 01-010,2529,1304,1156,1325,3854,1.0,0.656201349247535,0.34379865075246496,1394,0.33834976647638815,0.29994810586403736,0.3617021276595745
295,Harford,3035,Harford Precinct 01-019,1562,1377,533,1473,3035,1.0,0.514662273476112,0.48533772652388796,1125,0.45370675453047776,0.1756177924217463,0.37067545304777594
296,Harford,1603,Harford Precinct 02-019,986,143,100,617,1603,1.0,0.6150966936993137,0.3849033063006862,1360,0.0892077354959451,0.06238303181534623,0.8484092326887087
297,Harford,2076,Harford Precinct 01-018,1562,700,716,514,2076,1.0,0.7524084778420038,0.24759152215799615,660,0.3371868978805395,0.3448940269749518,0.3179190751445087
298,Harford,1794,Harford Precinct 01-017,1518,338,657,276,1794,1.0,0.8461538461538461,0.15384615384615385,799,0.18840579710144928,0.36622073578595316,0.44537346711259757
299,Harford,3477,Harford Precinct 01-016,2382,1135,849,1095,3477,1.0,0.6850733390854185,0.31492666091458155,1493,0.3264308311763014,0.2441760138050043,0.4293931550186943
300,Harford,3030,Harford Precinct 01-020,1753,1213,734,1277,3030,1.0,0.5785478547854785,0.42145214521452146,1083,0.40033003300330033,0.24224422442244226,0.3574257425742574
301,Harford,2453,Harford Precinct 03-020,2282,537,1276,171,2453,1.0,0.9302894415002039,0.06971055849979617,640,0.2189156135344476,0.5201793721973094,0.260905014268243
302,Harford,2703,Harford Precinct 03-002,2479,657,1360,224,2703,1.0,0.9171291157972623,0.0828708842027377,686,0.24306326304106549,0.5031446540880503,0.25379208287088423
303,Harford,1877,Harford Precinct 02-003,1397,632,497,480,1877,1.0,0.7442727757059137,0.2557272242940863,748,0.33670751198721366,0.26478423015450187,0.3985082578582845
304,Harford,327,Harford Precinct 02-001,263,121,155,64,327,1.0,0.8042813455657493,0.19571865443425077,51,0.37003058103975534,0.4740061162079511,0.1559633027522936
305,Harford,2551,Harford Precinct 02-015,1517,1085,495,1034,2551,1.0,0.5946687573500588,0.4053312426499412,971,0.4253234025872207,0.19404155233241865,0.38063504508036067
306,Harford,3443,Harford Precinct 02-010,1918,1196,574,1525,3443,1.0,0.5570723206505954,0.4429276793494046,1673,0.3473714783618937,0.16671507406331687,0.48591344757478944
307,Harford,2679,Harford Precinct 02-014,1630,813,358,1049,2679,1.0,0.6084359835759612,0.3915640164240388,1508,0.303471444568869,0.13363195222097798,0.562896603210153
308,Harford,2411,Harford Precinct 02-011,1702,833,851,709,2411,1.0,0.705931148900871,0.294068851099129,727,0.3454997926171713,0.3529655744504355,0.3015346329323932
309,Harford,264,Harford Precinct 02-004,242,51,91,22,264,1.0,0.9166666666666666,0.08333333333333333,122,0.19318181818181818,0.3446969696969697,0.4621212121212121
310,Harford,3615,Harford Precinct 02-002,3332,904,1694,283,3615,1.0,0.9217150760719225,0.07828492392807745,1017,0.2500691562932227,0.4686030428769018,0.2813278008298755
312,Harford,295,Harford Precinct 02-005,242,30,45,53,295,1.0,0.8203389830508474,0.17966101694915254,220,0.1016949152542373,0.15254237288135594,0.7457627118644068
313,Harford,160,Harford Precinct 06-005,67,110,49,93,160,1.1605839416058394,0.41875,0.58125,1,0.6875,0.30625,0.00625
314,Harford,794,Harford Precinct 06-007,641,96,142,153,794,1.0,0.8073047858942065,0.19269521410579346,556,0.12090680100755667,0.17884130982367757,0.7002518891687658
315,Harford,3367,Harford Precinct 06-006,2576,1211,1441,791,3367,1.0,0.7650727650727651,0.23492723492723494,715,0.3596673596673597,0.427977427977428,0.21235521235521235
316,Harford,2179,Harford Precinct 06-003,1655,807,663,524,2179,1.0,0.7595227168425883,0.24047728315741165,709,0.3703533731069298,0.30426801284993116,0.32537861404313906
317,Harford,2603,Harford Precinct 06-001,1942,809,493,661,2603,1.0,0.746062235881675,0.253937764118325,1301,0.3107952362658471,0.18939684978870533,0.49980791394544755
318,Harford,340,Harford Precinct 06-004,310,66,81,30,340,1.0,0.9117647058823529,0.08823529411764706,193,0.19411764705882353,0.23823529411764705,0.5676470588235294
319,Harford,1986,Harford Precinct 06-002,1564,830,919,422,1986,1.0,0.7875125881168177,0.21248741188318226,237,0.4179254783484391,0.46273917421953675,0.11933534743202417
320,Harford,1712,Harford Precinct 05-004,1537,377,713,175,1712,1.0,0.8977803738317757,0.1022196261682243,622,0.22021028037383178,0.41647196261682246,0.3633177570093458
321,Harford,2884,Harford Precinct 05-001,2747,550,1413,137,2884,1.0,0.95249653259362,0.04750346740638003,921,0.19070735090152566,0.48994452149791956,0.3193481276005548
441,Harford,2560,Harford Precinct 04-002,2438,541,1577,122,2560,1.0,0.95234375,0.04765625,442,0.211328125,0.616015625,0.17265625
443,Harford,2984,Harford Precinct 03-006,2861,612,1631,123,2984,1.0,0.9587801608579088,0.04121983914209115,741,0.20509383378016086,0.5465817694369973,0.24832439678284182
444,Harford,3240,Harford Precinct 04-005,3026,723,1782,214,3240,1.0,0.9339506172839506,0.06604938271604938,735,0.22314814814814815,0.55,0.22685185185185186
451,Harford,2747,Harford Precinct 01-045,2393,792,1080,354,2747,1.0,0.8711321441572625,0.12886785584273752,875,0.2883145249362941,0.3931561703676738,0.318529304696032
1738,Harford,2157,Harford Precinct 01-002,1667,629,838,490,2157,1.0,0.7728326379230412,0.22716736207695873,690,0.29160871580899395,0.3885025498377376,0.3198887343532684
