,COUNTY,VAP,NAME,WVAP,SEN12D,SEN12R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN12None,SEN12D_pct,SEN12R_pct,SEN12None_pct
282,Harford,3035,Harford Precinct 03-023,2597,696,782,438,3035,1,0.8556836902800659,0.1443163097199341,1557,0.22932454695222404,0.25766062602965406,0.513014827018122
283,Harford,3016,Harford Precinct 03-022,2720,618,905,296,3016,1,0.9018567639257294,0.09814323607427056,1493,0.20490716180371352,0.3000663129973475,0.49502652519893897
284,Harford,3085,Harford Precinct 04-001,2968,533,1178,117,3085,1,0.9620745542949757,0.03792544570502431,1374,0.17277147487844408,0.38184764991896275,0.4453808752025932
285,Harford,2129,Harford Precinct 04-006,2056,389,835,73,2129,1,0.9657116016909347,0.03428839830906529,905,0.1827148896195397,0.3922029121653358,0.4250821982151245
286,Harford,2731,Harford Precinct 04-003,2662,462,1054,69,2731,1,0.9747345294763823,0.025265470523617724,1215,0.16916880263639691,0.38593921640424755,0.44489198095935556
287,Harford,2632,Harford Precinct 04-004,2493,486,974,139,2632,1,0.9471884498480243,0.05281155015197568,1172,0.18465045592705168,0.3700607902735562,0.4452887537993921
288,Harford,4062,Harford Precinct 03-005,3803,670,1384,259,4062,1,0.9362383062530774,0.0637616937469227,2008,0.16494337764647957,0.34071885770556376,0.49433776464795665
289,Harford,2376,Harford Precinct 05-002,2261,438,847,115,2376,1,0.9515993265993266,0.0484006734006734,1091,0.18434343434343434,0.35648148148148145,0.4591750841750842
290,Harford,1712,Harford Precinct 03-004,1595,318,617,117,1712,1,0.9316588785046729,0.0683411214953271,777,0.18574766355140188,0.36039719626168226,0.45385514018691586
291,Harford,2679,Harford Precinct 05-003,2566,433,943,113,2679,1,0.9578200821201941,0.0421799178798059,1303,0.1616274729376633,0.3519970138111235,0.48637551325121314
292,Harford,1922,Harford Precinct 01-003,1115,568,219,807,1922,1,0.5801248699271592,0.4198751300728408,1135,0.29552549427679503,0.11394380853277836,0.5905306971904266
293,Harford,2731,Harford Precinct 01-005,1671,844,367,1060,2731,1,0.6118637861589161,0.3881362138410839,1520,0.3090443061149762,0.13438300988648846,0.5565726839985353
294,Harford,3854,Harford Precinct 01-010,2529,1146,716,1325,3854,1,0.656201349247535,0.34379865075246496,1992,0.2973533990659056,0.18578100674623768,0.5168655941878568
295,Harford,3035,Harford Precinct 01-019,1562,1186,300,1473,3035,1,0.514662273476112,0.48533772652388796,1549,0.39077429983525536,0.09884678747940692,0.5103789126853377
296,Harford,1603,Harford Precinct 02-019,986,122,78,617,1603,1,0.6150966936993137,0.3849033063006862,1403,0.07610729881472239,0.048658764815970056,0.8752339363693076
297,Harford,2076,Harford Precinct 01-018,1562,589,422,514,2076,1,0.7524084778420038,0.24759152215799615,1065,0.2837186897880539,0.20327552986512523,0.5130057803468208
298,Harford,1794,Harford Precinct 01-017,1518,309,399,276,1794,1,0.8461538461538461,0.15384615384615385,1086,0.17224080267558528,0.22240802675585283,0.6053511705685619
299,Harford,3477,Harford Precinct 01-016,2382,949,542,1095,3477,1,0.6850733390854185,0.31492666091458155,1986,0.272936439459304,0.1558815070463043,0.5711820534943917
300,Harford,3030,Harford Precinct 01-020,1753,1028,459,1277,3030,1,0.5785478547854785,0.42145214521452146,1543,0.33927392739273926,0.15148514851485148,0.5092409240924093
301,Harford,2453,Harford Precinct 03-020,2282,480,766,171,2453,1,0.9302894415002039,0.06971055849979617,1207,0.19567876070118223,0.3122706889523033,0.49205055034651446
302,Harford,2703,Harford Precinct 03-002,2479,572,885,224,2703,1,0.9171291157972623,0.0828708842027377,1246,0.21161672216056235,0.3274139844617092,0.46096929337772846
303,Harford,1877,Harford Precinct 02-003,1397,565,295,480,1877,1,0.7442727757059137,0.2557272242940863,1017,0.30101225359616407,0.15716568993074054,0.5418220564730953
304,Harford,327,Harford Precinct 02-001,263,108,94,64,327,1,0.8042813455657493,0.19571865443425077,125,0.3302752293577982,0.2874617737003058,0.382262996941896
305,Harford,2551,Harford Precinct 02-015,1517,922,294,1034,2551,1,0.5946687573500588,0.4053312426499412,1335,0.36142689141513135,0.11524892199137593,0.5233241865934928
306,Harford,3443,Harford Precinct 02-010,1918,1027,360,1525,3443,1,0.5570723206505954,0.4429276793494046,2056,0.2982863781585826,0.10455997676444961,0.5971536450769678
307,Harford,2679,Harford Precinct 02-014,1630,682,222,1049,2679,1,0.6084359835759612,0.3915640164240388,1775,0.2545726017170586,0.08286674132138858,0.6625606569615529
308,Harford,2411,Harford Precinct 02-011,1702,751,508,709,2411,1,0.705931148900871,0.294068851099129,1152,0.3114890087100788,0.21070095396101202,0.47781003732890914
309,Harford,264,Harford Precinct 02-004,242,41,57,22,264,1,0.9166666666666666,0.08333333333333333,166,0.1553030303030303,0.2159090909090909,0.6287878787878788
310,Harford,3615,Harford Precinct 02-002,3332,804,1037,283,3615,1,0.9217150760719225,0.07828492392807745,1774,0.22240663900414936,0.28686030428769016,0.4907330567081604
312,Harford,295,Harford Precinct 02-005,242,19,26,53,295,1,0.8203389830508474,0.17966101694915254,250,0.06440677966101695,0.08813559322033898,0.847457627118644
313,Harford,137,Harford Precinct 06-005,57,100,37,80,137,1,0.41605839416058393,0.583941605839416,0,0.7299270072992701,0.27007299270072993,0.0
314,Harford,794,Harford Precinct 06-007,641,88,71,153,794,1,0.8073047858942065,0.19269521410579346,635,0.11083123425692695,0.08942065491183879,0.7997481108312342
315,Harford,3367,Harford Precinct 06-006,2576,1035,928,791,3367,1,0.7650727650727651,0.23492723492723494,1404,0.3073953073953074,0.2756162756162756,0.416988416988417
316,Harford,2179,Harford Precinct 06-003,1655,718,371,524,2179,1,0.7595227168425883,0.24047728315741165,1090,0.3295089490592015,0.1702615878843506,0.5002294630564479
317,Harford,2603,Harford Precinct 06-001,1942,693,285,661,2603,1,0.746062235881675,0.253937764118325,1625,0.26623127160968113,0.10948905109489052,0.6242796772954283
318,Harford,340,Harford Precinct 06-004,310,66,49,30,340,1,0.9117647058823529,0.08823529411764706,225,0.19411764705882353,0.14411764705882352,0.6617647058823529
319,Harford,1986,Harford Precinct 06-002,1564,680,553,422,1986,1,0.7875125881168177,0.21248741188318226,753,0.3423967774420947,0.27844914400805637,0.37915407854984895
320,Harford,1712,Harford Precinct 05-004,1537,352,457,175,1712,1,0.8977803738317757,0.1022196261682243,903,0.205607476635514,0.2669392523364486,0.5274532710280374
321,Harford,2884,Harford Precinct 05-001,2747,479,882,137,2884,1,0.95249653259362,0.04750346740638003,1523,0.16608876560332872,0.3058252427184466,0.5280859916782247
441,Harford,2560,Harford Precinct 04-002,2438,502,1030,122,2560,1,0.95234375,0.04765625,1028,0.19609375,0.40234375,0.4015625
443,Harford,2984,Harford Precinct 03-006,2861,575,1019,123,2984,1,0.9587801608579088,0.04121983914209115,1390,0.19269436997319034,0.34148793565683644,0.46581769436997317
444,Harford,3240,Harford Precinct 04-005,3026,625,1152,214,3240,1,0.9339506172839506,0.06604938271604938,1463,0.19290123456790123,0.35555555555555557,0.45154320987654323
451,Harford,2747,Harford Precinct 01-045,2393,679,661,354,2747,1,0.8711321441572625,0.12886785584273752,1407,0.24717874044412086,0.24062613760465962,0.5121951219512195
1738,Harford,2157,Harford Precinct 01-002,1667,565,509,490,2157,1,0.7728326379230412,0.22716736207695873,1083,0.2619378766805749,0.23597589244320816,0.502086230876217
1739,Harford,2040,Harford Precinct 01-041,1629,649,429,411,2040,1,0.7985294117647059,0.20147058823529412,962,0.31813725490196076,0.21029411764705883,0.4715686274509804
1740,Harford,3676,Harford Precinct 01-001,1714,1256,244,1962,3676,1,0.4662676822633297,0.5337323177366703,2176,0.3416757344940152,0.06637649619151251,0.5919477693144722
1741,Harford,3478,Harford Precinct 01-004,2572,932,586,906,3478,1,0.7395054629097182,0.26049453709028175,1960,0.2679700977573318,0.16848763657274296,0.5635422656699253
1742,Harford,3873,Harford Precinct 01-006,1543,1264,212,2330,3873,1,0.3983991737671056,0.6016008262328943,2397,0.3263619932868577,0.054737929253808416,0.6189000774593338
1743,Harford,2164,Harford Precinct 03-007,1998,506,781,166,2164,1,0.9232902033271719,0.0767097966728281,877,0.23382624768946395,0.36090573012939003,0.40526802218114605
1744,Harford,2054,Harford Precinct 03-014,1919,408,574,135,2054,1,0.9342745861733204,0.06572541382667965,1072,0.19863680623174293,0.27945472249269715,0.5219084712755598
1745,Harford,3462,Harford Precinct 03-003,3325,672,1379,137,3462,1,0.9604274985557482,0.039572501444251874,1411,0.19410745233968804,0.39832466782206816,0.4075678798382438
1746,Harford,2794,Harford Precinct 03-008,2645,607,905,149,2794,1,0.9466714387974231,0.05332856120257695,1282,0.21725125268432355,0.32390837508947745,0.458840372226199
