,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV18D,GOV18R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV18None,GOV18D_pct,GOV18R_pct,GOV18None_pct
99,Howard,1720,Howard Precinct 04-003,1518,65,36,294,1386,101,1720,1.0,0.8825581395348837,0.0377906976744186,0.020930232558139535,0.05872093023255814,40,0.17093023255813952,0.8058139534883721,0.023255813953488372
129,Howard,1498,Howard Precinct 04-001,1349,40,68,235,1048,41,1498,1.0,0.9005340453938585,0.0267022696929239,0.04539385847797063,0.027369826435246995,215,0.1568758344459279,0.6995994659546061,0.14352469959946595
131,Howard,1494,Howard Precinct 04-005,1327,46,57,239,1253,64,1494,1.0361111111111112,0.8882195448460509,0.030789825970548863,0.03815261044176707,0.0428380187416332,2,0.15997322623828647,0.8386880856760375,0.0013386880856760374
688,Howard,1703,Howard Precinct 06-007,920,548,99,420,341,136,1703,1.0,0.540223135642983,0.3217850851438638,0.05813270698766882,0.07985907222548444,942,0.24662360540223136,0.2002348796241926,0.553141514973576
689,Howard,3903,Howard Precinct 06-029,1974,852,170,1384,1223,907,3903,1.0,0.5057647963105304,0.21829362029208302,0.04355623879067384,0.23238534460671278,1296,0.35459902638995644,0.31334870612349475,0.3320522674865488
690,Howard,1011,Howard Precinct 06-030,438,312,156,417,227,105,1011,1.0,0.4332344213649852,0.3086053412462908,0.1543026706231454,0.10385756676557864,367,0.4124629080118694,0.22453016815034618,0.3630069238377844
691,Howard,2972,Howard Precinct 01-006,1817,361,178,460,605,616,2972,1.0,0.6113728129205922,0.12146702557200538,0.059892328398384924,0.2072678331090175,1907,0.15477792732166892,0.20356662180349933,0.6416554508748318
694,Howard,4044,Howard Precinct 01-015,1543,1617,221,1648,1147,663,4044,1.0,0.3815529179030663,0.39985163204747776,0.054648862512364,0.163946587537092,1249,0.4075173095944609,0.28363006923837786,0.3088526211671612
926,Howard,2116,Howard Precinct 04-004,1753,171,39,355,1547,153,2116,1.0,0.8284499054820416,0.08081285444234404,0.018431001890359167,0.0723062381852552,214,0.16776937618147447,0.7310964083175804,0.10113421550094517
930,Howard,2328,Howard Precinct 03-002,1973,102,50,546,1780,203,2328,1.0543970988213962,0.8475085910652921,0.04381443298969072,0.02147766323024055,0.08719931271477663,2,0.2345360824742268,0.7646048109965635,0.000859106529209622
942,Howard,3762,Howard Precinct 03-005,2617,201,60,741,1665,884,3762,1.0,0.6956406166932483,0.05342902711323764,0.01594896331738437,0.2349813928761297,1356,0.19696969696969696,0.44258373205741625,0.36044657097288674
1349,Howard,2057,Howard Precinct 02-008,1283,171,67,566,1080,536,2057,1.0,0.6237238697131745,0.08313077297034516,0.032571706368497814,0.2605736509479825,411,0.27515799708313077,0.5250364608653378,0.19980554205153137
1358,Howard,2252,Howard Precinct 01-008,1565,276,136,497,749,275,2252,1.0,0.6949378330373002,0.12255772646536411,0.06039076376554174,0.12211367673179396,1006,0.22069271758436945,0.33259325044404975,0.4467140319715808
1359,Howard,1598,Howard Precinct 01-013,988,356,57,500,850,197,1598,1.0,0.6182728410513142,0.2227784730913642,0.03566958698372966,0.123279098873592,248,0.31289111389236546,0.5319148936170213,0.15519399249061328
1360,Howard,2627,Howard Precinct 01-001,2032,248,78,676,1395,269,2627,1.0,0.7735059002664636,0.09440426341834793,0.029691663494480394,0.10239817282070804,556,0.25732775028549676,0.5310239817282071,0.21164826798629616
1409,Howard,1452,Howard Precinct 02-005,1077,25,28,373,609,322,1452,1.0,0.7417355371900827,0.01721763085399449,0.01928374655647383,0.22176308539944903,470,0.2568870523415978,0.4194214876033058,0.3236914600550964
1410,Howard,2087,Howard Precinct 02-015,1499,82,42,458,811,464,2087,1.0,0.7182558696693819,0.0392908481073311,0.020124580737901295,0.22232870148538572,818,0.21945376137997125,0.3885960709151893,0.3919501677048395
1411,Howard,2065,Howard Precinct 02-018,1679,80,49,487,1059,257,2065,1.0,0.8130750605326876,0.0387409200968523,0.023728813559322035,0.12445520581113802,519,0.2358353510895884,0.5128329297820823,0.2513317191283293
1412,Howard,2274,Howard Precinct 02-011,1600,181,59,443,908,434,2274,1.0,0.7036059806508356,0.07959542656112577,0.025945470536499562,0.19085312225153914,923,0.1948109058927001,0.3992963940193492,0.40589270008795075
1413,Howard,1532,Howard Precinct 02-019,1154,100,30,315,852,248,1532,1.0,0.7532637075718016,0.06527415143603134,0.0195822454308094,0.1618798955613577,365,0.2056135770234987,0.556135770234987,0.23825065274151436
1414,Howard,327,Howard Precinct 02-021,278,3,10,92,144,36,327,1.0,0.8501529051987767,0.009174311926605505,0.03058103975535168,0.11009174311926606,91,0.28134556574923547,0.44036697247706424,0.2782874617737003
1415,Howard,2492,Howard Precinct 02-012,1768,140,62,584,1076,522,2492,1.0,0.709470304975923,0.056179775280898875,0.024879614767255216,0.20947030497592295,832,0.23434991974317818,0.4317817014446228,0.33386837881219905
