,COUNTY,VAP,NAME,WVAP,GOV18D,GOV18R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV18None,GOV18D_pct,GOV18R_pct,GOV18None_pct
99,Howard,1720,Howard Precinct 04-003,1518,294,1386,202,1720,1.0,0.8825581395348837,0.11744186046511627,40,0.17093023255813952,0.8058139534883721,0.023255813953488372
129,Howard,1498,Howard Precinct 04-001,1349,235,1048,149,1498,1.0,0.9005340453938585,0.09946595460614152,215,0.1568758344459279,0.6995994659546061,0.14352469959946595
131,Howard,1493,Howard Precinct 04-005,1327,239,1253,166,1493,1.0361111111111112,0.8888144675150703,0.11118553248492967,1,0.16008037508372405,0.8392498325519089,0.0006697923643670462
688,Howard,1703,Howard Precinct 06-007,920,420,341,783,1703,1.0,0.540223135642983,0.45977686435701703,942,0.24662360540223136,0.2002348796241926,0.553141514973576
689,Howard,3903,Howard Precinct 06-029,1974,1384,1223,1929,3903,1.0,0.5057647963105304,0.49423520368946966,1296,0.35459902638995644,0.31334870612349475,0.3320522674865488
690,Howard,1011,Howard Precinct 06-030,438,417,227,573,1011,1.0,0.4332344213649852,0.5667655786350149,367,0.4124629080118694,0.22453016815034618,0.3630069238377844
691,Howard,2972,Howard Precinct 01-006,1817,460,605,1155,2972,1.0,0.6113728129205922,0.3886271870794078,1907,0.15477792732166892,0.20356662180349933,0.6416554508748318
694,Howard,4044,Howard Precinct 01-015,1543,1648,1147,2501,4044,1.0,0.3815529179030663,0.6184470820969338,1249,0.4075173095944609,0.28363006923837786,0.3088526211671612
926,Howard,2116,Howard Precinct 04-004,1753,355,1547,363,2116,1.0,0.8284499054820416,0.1715500945179584,214,0.16776937618147447,0.7310964083175804,0.10113421550094517
930,Howard,2327,Howard Precinct 03-002,1973,546,1780,354,2327,1.0543970988213962,0.847872797593468,0.15212720240653202,1,0.2346368715083799,0.7649333906317146,0.0004297378599054577
942,Howard,3762,Howard Precinct 03-005,2617,741,1665,1145,3762,1.0,0.6956406166932483,0.3043593833067517,1356,0.19696969696969696,0.44258373205741625,0.36044657097288674
1349,Howard,2057,Howard Precinct 02-008,1283,566,1080,774,2057,1.0,0.6237238697131745,0.3762761302868255,411,0.27515799708313077,0.5250364608653378,0.19980554205153137
1358,Howard,2252,Howard Precinct 01-008,1565,497,749,687,2252,1.0,0.6949378330373002,0.30506216696269983,1006,0.22069271758436945,0.33259325044404975,0.4467140319715808
1359,Howard,1598,Howard Precinct 01-013,988,500,850,610,1598,1.0,0.6182728410513142,0.38172715894868586,248,0.31289111389236546,0.5319148936170213,0.15519399249061328
1360,Howard,2627,Howard Precinct 01-001,2032,676,1395,595,2627,1.0,0.7735059002664636,0.22649409973353635,556,0.25732775028549676,0.5310239817282071,0.21164826798629616
1409,Howard,1452,Howard Precinct 02-005,1077,373,609,375,1452,1.0,0.7417355371900827,0.25826446280991733,470,0.2568870523415978,0.4194214876033058,0.3236914600550964
1410,Howard,2087,Howard Precinct 02-015,1499,458,811,588,2087,1.0,0.7182558696693819,0.2817441303306181,818,0.21945376137997125,0.3885960709151893,0.3919501677048395
1411,Howard,2065,Howard Precinct 02-018,1679,487,1059,386,2065,1.0,0.8130750605326876,0.18692493946731234,519,0.2358353510895884,0.5128329297820823,0.2513317191283293
1412,Howard,2274,Howard Precinct 02-011,1600,443,908,674,2274,1.0,0.7036059806508356,0.2963940193491645,923,0.1948109058927001,0.3992963940193492,0.40589270008795075
1413,Howard,1532,Howard Precinct 02-019,1154,315,852,378,1532,1.0,0.7532637075718016,0.24673629242819844,365,0.2056135770234987,0.556135770234987,0.23825065274151436
1414,Howard,327,Howard Precinct 02-021,278,92,144,49,327,1.0,0.8501529051987767,0.14984709480122324,91,0.28134556574923547,0.44036697247706424,0.2782874617737003
1415,Howard,2492,Howard Precinct 02-012,1768,584,1076,724,2492,1.0,0.709470304975923,0.29052969502407705,832,0.23434991974317818,0.4317817014446228,0.33386837881219905
1416,Howard,1902,Howard Precinct 02-006,1286,381,672,616,1902,1.0,0.676130389064143,0.323869610935857,849,0.20031545741324921,0.35331230283911674,0.44637223974763407
1417,Howard,4633,Howard Precinct 02-009,1730,722,612,2903,4633,1.0,0.37340815886034967,0.6265918411396504,3299,0.15583854953593784,0.13209583423267862,0.7120656162313835
1418,Howard,1313,Howard Precinct 02-024,1031,317,662,282,1313,1.0,0.7852246763137852,0.21477532368621477,334,0.24143183549124142,0.5041888804265042,0.25437928408225435
1419,Howard,1532,Howard Precinct 02-007,1267,352,956,265,1532,1.0,0.827023498694517,0.17297650130548303,224,0.2297650130548303,0.6240208877284595,0.1462140992167102
1496,Howard,2112,Howard Precinct 05-011,1724,485,1080,388,2112,1.0,0.8162878787878788,0.18371212121212122,547,0.22964015151515152,0.5113636363636364,0.2589962121212121
1497,Howard,1558,Howard Precinct 05-020,1249,475,1079,309,1558,1.0,0.8016688061617459,0.19833119383825418,4,0.3048780487804878,0.6925545571245186,0.0025673940949935813
1498,Howard,1958,Howard Precinct 04-006,1621,378,1579,337,1958,1.1170091324200913,0.8278855975485189,0.1721144024514811,1,0.1930541368743616,0.806435137895812,0.0005107252298263534
1499,Howard,1534,Howard Precinct 04-002,1368,298,1235,166,1534,1.074281709880869,0.8917861799217731,0.10821382007822686,1,0.19426336375488917,0.8050847457627118,0.000651890482398957
1500,Howard,2228,Howard Precinct 05-019,1846,526,1462,382,2228,1.0,0.8285457809694794,0.17145421903052063,240,0.23608617594254938,0.6561938958707361,0.10771992818671454
1501,Howard,2504,Howard Precinct 05-001,1817,721,1634,687,2504,1.0,0.7256389776357828,0.2743610223642173,149,0.28793929712460065,0.652555910543131,0.05950479233226837
1502,Howard,1727,Howard Precinct 03-006,1346,363,1036,381,1727,1.0,0.7793862188766647,0.22061378112333527,328,0.21019108280254778,0.5998841922408802,0.1899247249565721
1509,Howard,2914,Howard Precinct 05-006,2040,1134,1779,874,2914,1.349860982391103,0.7000686341798216,0.29993136582017843,1,0.3891557995881949,0.6105010295126974,0.00034317089910775565
1510,Howard,2369,Howard Precinct 06-028,1575,735,1376,794,2369,1.0,0.6648374841705361,0.33516251582946394,258,0.31025749261291685,0.5808357956943858,0.10890671169269735
1511,Howard,1568,Howard Precinct 06-032,1213,401,825,355,1568,1.0,0.7735969387755102,0.2264030612244898,342,0.2557397959183674,0.5261479591836735,0.2181122448979592
1512,Howard,1414,Howard Precinct 06-003,1102,408,672,312,1414,1.0,0.7793493635077794,0.22065063649222066,334,0.28854314002828857,0.4752475247524752,0.2362093352192362
1513,Howard,2320,Howard Precinct 05-005,1501,740,1231,819,2320,1.0,0.6469827586206897,0.35301724137931034,349,0.31896551724137934,0.530603448275862,0.15043103448275863
1514,Howard,1265,Howard Precinct 05-013,838,346,390,427,1265,1.0,0.6624505928853754,0.3375494071146245,529,0.2735177865612648,0.308300395256917,0.41818181818181815
1570,Howard,1476,Howard Precinct 05-023,899,457,361,577,1476,1.0,0.6090785907859079,0.39092140921409213,658,0.30962059620596205,0.244579945799458,0.44579945799457993
1571,Howard,2674,Howard Precinct 05-009,883,641,408,1791,2674,1.0,0.33021690351533284,0.6697830964846672,1625,0.23971578160059837,0.1525804038893044,0.6077038145100973
1572,Howard,837,Howard Precinct 05-002,604,305,266,233,837,1.0,0.7216248506571087,0.27837514934289126,266,0.3643966547192354,0.31780167264038234,0.31780167264038234
1573,Howard,70,Howard Precinct 02-022,57,18,13,13,70,1.0,0.8142857142857143,0.18571428571428572,39,0.2571428571428571,0.18571428571428572,0.5571428571428572
1574,Howard,2055,Howard Precinct 03-003,1577,458,1104,478,2055,1.0,0.767396593673966,0.23260340632603407,493,0.22287104622871046,0.5372262773722628,0.23990267639902677
1575,Howard,1663,Howard Precinct 03-001,1335,328,896,328,1663,1.0,0.8027660853878533,0.19723391461214673,439,0.19723391461214673,0.5387853277209862,0.2639807576668671
1576,Howard,228,Howard Precinct 03-004,180,50,132,48,228,1.0,0.7894736842105263,0.21052631578947367,46,0.21929824561403508,0.5789473684210527,0.20175438596491227
1577,Howard,2119,Howard Precinct 02-017,1305,308,586,814,2119,1.0,0.6158565361019349,0.38414346389806514,1225,0.145351580934403,0.27654554034922135,0.5781028787163757
1578,Howard,2614,Howard Precinct 05-015,1651,953,755,963,2614,1.0,0.6315990818668707,0.3684009181331293,906,0.36457536342769703,0.2888293802601377,0.34659525631216526
1579,Howard,2031,Howard Precinct 05-008,1199,702,353,832,2031,1.0,0.5903495814869523,0.4096504185130478,976,0.345642540620384,0.1738060068931561,0.48055145248645986
1580,Howard,2609,Howard Precinct 05-004,1301,1142,632,1308,2609,1.0,0.49865848984285166,0.5013415101571483,835,0.43771559984668457,0.24223840551935608,0.3200459946339594
1581,Howard,802,Howard Precinct 06-012,491,309,245,311,802,1.0,0.6122194513715711,0.3877805486284289,248,0.385286783042394,0.3054862842892768,0.3092269326683292
1582,Howard,2061,Howard Precinct 06-008,763,594,316,1298,2061,1.0,0.37020863658418246,0.6297913634158175,1151,0.28820960698689957,0.15332362930616206,0.5584667637069384
1583,Howard,2606,Howard Precinct 06-017,1064,942,429,1542,2606,1.0,0.40828856485034537,0.5917114351496546,1235,0.3614735226400614,0.16462010744435918,0.47390636991557944
1584,Howard,2144,Howard Precinct 06-009,765,779,374,1379,2144,1.0,0.3568097014925373,0.6431902985074627,991,0.363339552238806,0.17444029850746268,0.46222014925373134
1585,Howard,850,Howard Precinct 05-014,658,246,309,192,850,1.0,0.7741176470588236,0.22588235294117648,295,0.28941176470588237,0.3635294117647059,0.34705882352941175
1586,Howard,1183,Howard Precinct 02-010,877,373,550,306,1183,1.0,0.7413355874894336,0.2586644125105664,260,0.3153000845308538,0.46491969568892644,0.21978021978021978
1587,Howard,3236,Howard Precinct 05-003,1699,1055,601,1537,3236,1.0,0.5250309023485785,0.47496909765142153,1580,0.32601977750309025,0.1857231149567367,0.48825710754017304
1588,Howard,2420,Howard Precinct 05-016,1314,626,467,1106,2420,1.0,0.5429752066115703,0.4570247933884298,1327,0.25867768595041324,0.19297520661157025,0.5483471074380165
1589,Howard,993,Howard Precinct 02-014,745,319,335,248,993,1.0,0.7502517623363545,0.2497482376636455,339,0.32124874118831825,0.337361530715005,0.3413897280966767
1590,Howard,1506,Howard Precinct 06-005,939,561,455,567,1506,1.0,0.6235059760956175,0.37649402390438247,490,0.37250996015936255,0.30212483399734397,0.3253652058432935
1591,Howard,1730,Howard Precinct 06-031,773,584,323,957,1730,1.0,0.44682080924855494,0.5531791907514451,823,0.3375722543352601,0.18670520231213872,0.47572254335260117
1592,Howard,1628,Howard Precinct 06-010,1035,641,543,593,1628,1.0,0.6357493857493858,0.3642506142506142,444,0.39373464373464373,0.33353808353808356,0.2727272727272727
1593,Howard,1514,Howard Precinct 06-011,851,650,572,663,1514,1.0,0.5620871862615587,0.4379128137384412,292,0.42932628797886396,0.37780713342140027,0.1928665785997358
1594,Howard,1798,Howard Precinct 06-021,607,476,204,1191,1798,1.0,0.3375973303670745,0.6624026696329255,1118,0.26473859844271413,0.11345939933259176,0.6218020022246941
1595,Howard,1657,Howard Precinct 06-014,910,659,421,747,1657,1.0,0.5491852745926373,0.4508147254073627,577,0.3977066988533494,0.2540736270368135,0.34821967410983706
1596,Howard,2698,Howard Precinct 06-016,1280,855,565,1418,2698,1.0,0.4744255003706449,0.5255744996293551,1278,0.31690140845070425,0.20941438102298,0.47368421052631576
1597,Howard,1142,Howard Precinct 06-006,821,464,438,321,1142,1.0,0.7189141856392294,0.28108581436077057,240,0.4063047285464098,0.38353765323992994,0.21015761821366025
1598,Howard,1146,Howard Precinct 02-020,847,270,334,299,1146,1.0,0.7390924956369983,0.26090750436300175,542,0.2356020942408377,0.2914485165794066,0.47294938917975565
1599,Howard,965,Howard Precinct 02-013,738,266,333,227,965,1.0,0.7647668393782383,0.23523316062176167,366,0.2756476683937824,0.3450777202072539,0.37927461139896373
1600,Howard,2258,Howard Precinct 02-004,994,601,521,1264,2258,1.0,0.4402125775022144,0.5597874224977857,1136,0.2661647475642161,0.23073516386182463,0.5031000885739593
1601,Howard,2706,Howard Precinct 02-003,2051,693,1282,655,2706,1.0,0.7579453067257945,0.24205469327420548,731,0.25609756097560976,0.4737620103473762,0.27014042867701404
1619,Howard,1701,Howard Precinct 01-010,1139,443,551,562,1701,1.0,0.6696061140505585,0.3303938859494415,707,0.260435038212816,0.3239271017048795,0.4156378600823045
1620,Howard,442,Howard Precinct 01-007,262,187,254,180,442,1.2049180327868851,0.5927601809954751,0.4072398190045249,1,0.4230769230769231,0.5746606334841629,0.0022624434389140274
1621,Howard,2763,Howard Precinct 01-003,1793,613,744,970,2763,1.0,0.6489323199420919,0.35106768005790806,1406,0.22186029677886354,0.2692725298588491,0.5088671733622874
1622,Howard,666,Howard Precinct 01-012,542,229,436,124,666,2.1661237785016287,0.8138138138138138,0.18618618618618618,1,0.34384384384384387,0.6546546546546547,0.0015015015015015015
1623,Howard,595,Howard Precinct 01-005,437,171,332,158,595,1.0,0.7344537815126051,0.26554621848739496,92,0.28739495798319326,0.5579831932773109,0.1546218487394958
1624,Howard,1106,Howard Precinct 02-025,895,341,668,211,1106,1.0,0.8092224231464737,0.19077757685352623,97,0.30831826401446655,0.6039783001808319,0.08770343580470162
1625,Howard,2449,Howard Precinct 02-016,1747,629,1101,702,2449,1.0,0.7133523887300939,0.28664761126990607,719,0.2568395263372805,0.4495712535728869,0.29358922008983257
1626,Howard,1747,Howard Precinct 01-009,1011,507,649,736,1747,1.0,0.5787063537492845,0.4212936462507155,591,0.29021179164281624,0.3714939896966228,0.338294218660561
1627,Howard,1552,Howard Precinct 01-014,1128,431,936,424,1552,1.0,0.7268041237113402,0.27319587628865977,185,0.2777061855670103,0.6030927835051546,0.11920103092783506
1628,Howard,2886,Howard Precinct 01-002,1980,259,638,906,2886,1.0,0.6860706860706861,0.31392931392931395,1989,0.08974358974358974,0.22106722106722107,0.6891891891891891
1629,Howard,2586,Howard Precinct 01-004,1819,786,1665,767,2586,1.0,0.7034029389017789,0.2965970610982212,135,0.3039443155452436,0.6438515081206496,0.052204176334106726
1630,Howard,1159,Howard Precinct 01-011,906,221,450,253,1159,1.0,0.7817083692838654,0.2182916307161346,488,0.1906816220880069,0.3882657463330457,0.42105263157894735
