,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN18D,SEN18R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN18None,SEN18D_pct,SEN18R_pct,SEN18None_pct
99,Howard,1720,Howard Precinct 04-003,1518,65,36,547,833,101,1720,1.0,0.8825581395348837,0.0377906976744186,0.020930232558139535,0.05872093023255814,340,0.31802325581395346,0.48430232558139535,0.19767441860465115
129,Howard,1498,Howard Precinct 04-001,1349,40,68,463,620,41,1498,1.0,0.9005340453938585,0.0267022696929239,0.04539385847797063,0.027369826435246995,415,0.3090787716955941,0.41388518024032045,0.27703604806408544
131,Howard,1440,Howard Precinct 04-005,1280,44,55,461,756,61,1440,1.0,0.8888888888888888,0.030555555555555555,0.03819444444444445,0.04236111111111111,223,0.32013888888888886,0.525,0.15486111111111112
688,Howard,1703,Howard Precinct 06-007,920,548,99,614,154,136,1703,1.0,0.540223135642983,0.3217850851438638,0.05813270698766882,0.07985907222548444,935,0.360540223135643,0.0904286553141515,0.5490311215502055
689,Howard,3903,Howard Precinct 06-029,1974,852,170,2103,507,907,3903,1.0,0.5057647963105304,0.21829362029208302,0.04355623879067384,0.23238534460671278,1293,0.5388162951575711,0.1299000768639508,0.3312836279784781
690,Howard,1011,Howard Precinct 06-030,438,312,156,592,93,105,1011,1.0,0.4332344213649852,0.3086053412462908,0.1543026706231454,0.10385756676557864,326,0.5855588526211671,0.09198813056379822,0.32245301681503463
691,Howard,2972,Howard Precinct 01-006,1817,361,178,708,298,616,2972,1.0,0.6113728129205922,0.12146702557200538,0.059892328398384924,0.2072678331090175,1966,0.23822341857335128,0.10026917900403769,0.6615074024226111
694,Howard,4044,Howard Precinct 01-015,1543,1617,221,2325,494,663,4044,1.0,0.3815529179030663,0.39985163204747776,0.054648862512364,0.163946587537092,1225,0.5749258160237388,0.1221562809099901,0.30291790306627103
926,Howard,2116,Howard Precinct 04-004,1753,171,39,646,903,153,2116,1.0,0.8284499054820416,0.08081285444234404,0.018431001890359167,0.0723062381852552,567,0.3052930056710775,0.42674858223062384,0.2679584120982987
930,Howard,2206,Howard Precinct 03-002,1871,96,47,980,987,192,2206,1.0,0.8481414324569356,0.043517679057116954,0.02130553037171351,0.08703535811423391,239,0.4442429737080689,0.44741613780598366,0.10834088848594742
942,Howard,3762,Howard Precinct 03-005,2617,201,60,1250,851,884,3762,1.0,0.6956406166932483,0.05342902711323764,0.01594896331738437,0.2349813928761297,1661,0.3322700691121744,0.2262094630515683,0.4415204678362573
1349,Howard,2057,Howard Precinct 02-008,1283,171,67,971,522,536,2057,1.0,0.6237238697131745,0.08313077297034516,0.032571706368497814,0.2605736509479825,564,0.4720466699076325,0.25376762275158,0.27418570734078757
1358,Howard,2252,Howard Precinct 01-008,1565,276,136,802,371,275,2252,1.0,0.6949378330373002,0.12255772646536411,0.06039076376554174,0.12211367673179396,1079,0.3561278863232682,0.16474245115452932,0.47912966252220246
1359,Howard,1598,Howard Precinct 01-013,988,356,57,804,418,197,1598,1.0,0.6182728410513142,0.2227784730913642,0.03566958698372966,0.123279098873592,376,0.5031289111389237,0.2615769712140175,0.23529411764705882
1360,Howard,2627,Howard Precinct 01-001,2032,248,78,1180,720,269,2627,1.0,0.7735059002664636,0.09440426341834793,0.029691663494480394,0.10239817282070804,727,0.4491815759421393,0.27407689379520367,0.276741530262657
1409,Howard,1452,Howard Precinct 02-005,1077,25,28,618,293,322,1452,1.0,0.7417355371900827,0.01721763085399449,0.01928374655647383,0.22176308539944903,541,0.4256198347107438,0.20179063360881544,0.3725895316804408
