,COUNTY,VAP,NAME,WVAP,AG18D,AG18R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,AG18None,AG18D_pct,AG18R_pct,AG18None_pct
74,Montgomery,3490,Montgomery Precinct 04-007,1550,1307,361,1940,3490,1.0,0.44412607449856734,0.5558739255014327,1822,0.37449856733524356,0.10343839541547278,0.5220630372492837
75,Montgomery,2962,Montgomery Precinct 04-006,1536,1219,368,1426,2962,1.0,0.5185685347738015,0.4814314652261985,1375,0.41154625253207294,0.12424037812288993,0.46421336934503715
76,Montgomery,1587,Montgomery Precinct 04-027,360,352,42,1227,1587,1.0,0.22684310018903592,0.7731568998109641,1193,0.22180214240705734,0.026465028355387523,0.7517328292375551
77,Montgomery,1951,Montgomery Precinct 04-009,995,886,236,956,1951,1.0,0.5099948744233727,0.4900051255766274,829,0.45412608918503333,0.12096360840594567,0.424910302409021
78,Montgomery,3199,Montgomery Precinct 13-051,2034,1644,505,1165,3199,1.0,0.6358236949046577,0.36417630509534227,1050,0.5139105970615817,0.1578618318224445,0.3282275711159737
79,Montgomery,1806,Montgomery Precinct 04-034,1249,845,434,557,1806,1.0,0.6915836101882613,0.30841638981173863,527,0.4678848283499446,0.24031007751937986,0.2918050941306755
80,Montgomery,2832,Montgomery Precinct 13-043,911,1090,265,1921,2832,1.0,0.321680790960452,0.678319209039548,1477,0.3848870056497175,0.09357344632768362,0.5215395480225988
81,Montgomery,2301,Montgomery Precinct 13-045,911,900,253,1390,2301,1.0,0.3959148196436332,0.6040851803563668,1148,0.39113428943937417,0.1099521946979574,0.4989135158626684
82,Montgomery,4265,Montgomery Precinct 13-036,1040,1270,255,3225,4265,1.0,0.24384525205158264,0.7561547479484173,2740,0.2977725674091442,0.059788980070339975,0.6424384525205158
83,Montgomery,3162,Montgomery Precinct 13-037,1002,924,236,2160,3162,1.0,0.31688804554079697,0.683111954459203,2002,0.2922201138519924,0.07463630613535736,0.6331435800126503
84,Montgomery,3854,Montgomery Precinct 13-035,962,1248,294,2892,3854,1.0,0.24961079398028022,0.7503892060197198,2312,0.32381940840685003,0.07628437986507525,0.5998962117280747
85,Montgomery,5497,Montgomery Precinct 13-064,833,1588,138,4664,5497,1.0,0.15153720211024194,0.8484627978897581,3771,0.288884846279789,0.02510460251046025,0.6860105512097507
86,Montgomery,2249,Montgomery Precinct 13-052,1568,1103,423,681,2249,1.0,0.6971987550022232,0.3028012449977768,723,0.4904401956425078,0.18808359270787017,0.32147621164962203
87,Montgomery,2706,Montgomery Precinct 08-003,2131,1374,761,575,2706,1.0,0.7875092387287509,0.21249076127124908,571,0.5077605321507761,0.2812269031781227,0.21101256467110124
88,Montgomery,2330,Montgomery Precinct 13-046,1386,981,470,944,2330,1.0,0.5948497854077254,0.4051502145922747,879,0.4210300429184549,0.2017167381974249,0.37725321888412017
89,Montgomery,1337,Montgomery Precinct 08-004,1020,594,368,317,1337,1.0,0.762902019446522,0.23709798055347794,375,0.4442782348541511,0.275243081525804,0.28047868362004486
90,Montgomery,2775,Montgomery Precinct 08-008,1990,1346,692,785,2775,1.0,0.7171171171171171,0.2828828828828829,737,0.48504504504504503,0.24936936936936938,0.2655855855855856
91,Montgomery,3472,Montgomery Precinct 08-009,2306,1622,716,1166,3472,1.0,0.6641705069124424,0.3358294930875576,1134,0.4671658986175115,0.20622119815668202,0.32661290322580644
92,Montgomery,3315,Montgomery Precinct 08-001,2336,1707,689,979,3315,1.0,0.7046757164404224,0.2953242835595777,919,0.5149321266968325,0.20784313725490197,0.2772247360482655
93,Montgomery,2576,Montgomery Precinct 08-012,1661,1272,644,915,2576,1.0,0.6447981366459627,0.35520186335403725,660,0.4937888198757764,0.25,0.2562111801242236
94,Montgomery,2565,Montgomery Precinct 08-005,2188,1147,795,377,2565,1.0,0.8530214424951267,0.1469785575048733,623,0.44717348927875245,0.30994152046783624,0.24288499025341131
95,Montgomery,3510,Montgomery Precinct 01-002,2324,885,676,1186,3510,1.0,0.6621082621082621,0.3378917378917379,1949,0.25213675213675213,0.1925925925925926,0.5552706552706552
96,Montgomery,3657,Montgomery Precinct 12-003,2956,1231,1156,701,3657,1.0,0.8083128247197157,0.1916871752802844,1270,0.33661471151216843,0.316106097894449,0.3472791905933826
97,Montgomery,2213,Montgomery Precinct 12-001,1875,644,807,338,2213,1.0,0.8472661545413466,0.1527338454586534,762,0.2910076818798012,0.36466335291459556,0.34432896520560324
98,Montgomery,2541,Montgomery Precinct 01-001,2052,765,814,489,2541,1.0,0.807556080283353,0.19244391971664698,962,0.3010625737898465,0.3203463203463203,0.37859110586383315
353,Montgomery,2107,Montgomery Precinct 03-002,1792,988,853,315,2107,1.0,0.8504983388704319,0.14950166112956811,266,0.46891314665401046,0.4048410061699098,0.12624584717607973
354,Montgomery,2553,Montgomery Precinct 03-001,2159,1250,900,394,2553,1.0,0.8456717587152369,0.15432824128476302,403,0.48962005483744614,0.3525264394829612,0.15785350567959264
355,Montgomery,1784,Montgomery Precinct 11-000,1537,757,568,247,1784,1.0,0.8615470852017937,0.1384529147982063,459,0.42432735426008966,0.3183856502242152,0.25728699551569506
357,Montgomery,2683,Montgomery Precinct 10-010,2126,1308,609,557,2683,1.0,0.7923965710026091,0.20760342899739098,766,0.4875139768915393,0.22698471859858368,0.285501304509877
358,Montgomery,2533,Montgomery Precinct 10-002,1848,853,654,685,2533,1.0,0.7295696802210817,0.2704303197789183,1026,0.336754836162653,0.2581918673509672,0.4050532964863798
359,Montgomery,1582,Montgomery Precinct 10-001,1196,565,374,386,1582,1.0,0.7560050568900126,0.24399494310998734,643,0.35714285714285715,0.23640960809102401,0.40644753476611883
360,Montgomery,1642,Montgomery Precinct 10-013,1102,709,238,540,1642,1.0,0.6711327649208283,0.32886723507917176,695,0.4317904993909866,0.14494518879415347,0.4232643118148599
361,Montgomery,2293,Montgomery Precinct 10-006,1631,1028,340,662,2293,1.0,0.7112952464020933,0.28870475359790665,925,0.44832097688617534,0.14827736589620585,0.40340165721761884
362,Montgomery,2754,Montgomery Precinct 10-007,2119,1295,527,635,2754,1.0,0.7694262890341321,0.23057371096586782,932,0.4702251270878722,0.19135802469135801,0.3384168482207698
363,Montgomery,2878,Montgomery Precinct 07-003,2258,1872,368,620,2878,1.0,0.7845726198749131,0.21542738012508686,638,0.65045170257123,0.12786657400972898,0.221681723419041
364,Montgomery,2119,Montgomery Precinct 07-022,1760,1420,262,359,2119,1.0,0.830580462482303,0.16941953751769703,437,0.6701274185936763,0.12364322793770646,0.20622935346861726
365,Montgomery,2648,Montgomery Precinct 10-009,1916,951,631,732,2648,1.0,0.7235649546827795,0.2764350453172205,1066,0.35913897280966767,0.23829305135951662,0.4025679758308157
366,Montgomery,1510,Montgomery Precinct 10-004,1093,732,237,417,1510,1.0,0.723841059602649,0.276158940397351,541,0.4847682119205298,0.15695364238410597,0.35827814569536426
367,Montgomery,2274,Montgomery Precinct 10-005,1625,1010,364,649,2274,1.0,0.7145998240985049,0.2854001759014952,900,0.4441512752858399,0.1600703605980651,0.39577836411609496
368,Montgomery,3358,Montgomery Precinct 04-012,2173,1582,530,1185,3358,1.0,0.6471113758189398,0.35288862418106015,1246,0.47111375818939843,0.15783204288266825,0.3710541989279333
369,Montgomery,2320,Montgomery Precinct 10-003,1721,1129,472,599,2320,1.0,0.7418103448275862,0.25818965517241377,719,0.4866379310344828,0.20344827586206896,0.3099137931034483
370,Montgomery,3272,Montgomery Precinct 07-015,2621,1887,508,651,3272,1.0,0.801039119804401,0.19896088019559902,877,0.5767114914425427,0.1552567237163814,0.2680317848410758
414,Montgomery,1927,Montgomery Precinct 07-005,1663,1256,297,264,1927,1.0,0.8629994810586403,0.13700051894135962,374,0.651790347690711,0.15412558380902958,0.19408406850025947
415,Montgomery,2403,Montgomery Precinct 13-039,1605,1467,193,798,2403,1.0,0.6679151061173533,0.33208489388264667,743,0.6104868913857678,0.08031627132750728,0.3091968372867249
416,Montgomery,4752,Montgomery Precinct 13-047,2084,2370,130,2668,4752,1.0,0.4385521885521885,0.5614478114478114,2252,0.49873737373737376,0.027356902356902357,0.4739057239057239
417,Montgomery,2398,Montgomery Precinct 13-004,1617,2005,94,781,2398,1.0,0.6743119266055045,0.3256880733944954,299,0.8361134278565471,0.03919933277731443,0.12468723936613844
418,Montgomery,3101,Montgomery Precinct 13-008,1299,1417,99,1802,3101,1.0,0.41889712995807804,0.581102870041922,1585,0.45694937117059015,0.03192518542405676,0.5111254434053532
419,Montgomery,2029,Montgomery Precinct 13-003,1652,1355,315,377,2029,1.0,0.8141941843272548,0.1858058156727452,359,0.6678166584524396,0.15524889107934944,0.17693445046821094
420,Montgomery,3334,Montgomery Precinct 13-016,768,1405,112,2566,3334,1.0,0.23035392921415718,0.7696460707858428,1817,0.42141571685662865,0.033593281343731254,0.5449910017996401
421,Montgomery,2788,Montgomery Precinct 13-065,1261,931,51,1527,2788,1.0,0.45229555236728836,0.5477044476327116,1806,0.33393113342898134,0.018292682926829267,0.6477761836441894
422,Montgomery,2551,Montgomery Precinct 13-007,1648,1704,177,903,2551,1.0,0.6460211681693454,0.35397883183065465,670,0.6679733437867503,0.06938455507644062,0.2626421011368091
423,Montgomery,2274,Montgomery Precinct 13-024,1361,1453,234,913,2274,1.0,0.5985048372911169,0.401495162708883,587,0.63896218117854,0.10290237467018469,0.25813544415127526
1110,Montgomery,1766,Montgomery Precinct 07-028,1362,1037,286,404,1766,1.0,0.7712344280860702,0.2287655719139298,443,0.587202718006795,0.16194790486976218,0.2508493771234428
1111,Montgomery,3027,Montgomery Precinct 10-012,1945,1354,442,1082,3027,1.0,0.6425503799141064,0.35744962008589365,1231,0.44730756524611825,0.14601916088536504,0.4066732738685167
1112,Montgomery,1301,Montgomery Precinct 04-032,978,698,215,323,1301,1.0,0.7517294388931591,0.2482705611068409,388,0.536510376633359,0.1652574942352037,0.2982321291314374
1113,Montgomery,2349,Montgomery Precinct 10-011,1333,906,207,1016,2349,1.0,0.56747552149851,0.43252447850149,1236,0.38569604086845466,0.08812260536398467,0.5261813537675607
1114,Montgomery,1957,Montgomery Precinct 04-013,1683,1370,408,274,1957,1.0,0.8599897802759325,0.14001021972406746,179,0.7000510986203372,0.20848237097598366,0.0914665304036791
1115,Montgomery,2330,Montgomery Precinct 07-018,2050,1743,306,280,2330,1.0,0.8798283261802575,0.12017167381974249,281,0.748068669527897,0.1313304721030043,0.12060085836909872
1116,Montgomery,2454,Montgomery Precinct 07-024,2091,1457,426,363,2454,1.0,0.8520782396088019,0.14792176039119803,571,0.5937245313773432,0.17359413202933985,0.23268133659331702
1117,Montgomery,1711,Montgomery Precinct 07-027,1486,1042,321,225,1711,1.0,0.8684979544126242,0.1315020455873758,348,0.609000584453536,0.18760958503798947,0.2033898305084746
1118,Montgomery,3393,Montgomery Precinct 07-013,2701,1744,567,692,3393,1.0,0.7960506926024168,0.20394930739758327,1082,0.5139994105511347,0.16710875331564987,0.3188918361332154
1119,Montgomery,2602,Montgomery Precinct 07-012,2240,1684,334,362,2602,1.0,0.8608762490392006,0.13912375096079937,584,0.6471944657955419,0.12836279784780938,0.22444273635664874
1120,Montgomery,4520,Montgomery Precinct 07-004,3440,2352,441,1080,4520,1.0,0.7610619469026548,0.23893805309734514,1727,0.5203539823008849,0.09756637168141592,0.3820796460176991
1121,Montgomery,1823,Montgomery Precinct 07-007,1553,1238,221,270,1823,1.0,0.8518924849149753,0.14810751508502468,364,0.6791003839824465,0.12122874382885354,0.19967087218869994
1122,Montgomery,3525,Montgomery Precinct 07-011,2810,1901,274,715,3525,1.0,0.7971631205673759,0.2028368794326241,1350,0.539290780141844,0.0777304964539007,0.3829787234042553
1123,Montgomery,5321,Montgomery Precinct 07-026,3875,2183,335,1446,5321,1.0,0.7282465701935726,0.27175342980642736,2803,0.4102612290922759,0.0629580905844766,0.5267806803232475
1124,Montgomery,2181,Montgomery Precinct 07-001,1599,924,191,582,2181,1.0,0.7331499312242091,0.2668500687757909,1066,0.4236588720770289,0.08757450710683173,0.48876662081613936
1125,Montgomery,1793,Montgomery Precinct 07-002,1663,1236,354,130,1793,1.0,0.9274958170663692,0.07250418293363078,203,0.6893474623535973,0.19743446737311768,0.113218070273285
1126,Montgomery,2058,Montgomery Precinct 07-006,1844,1172,261,214,2058,1.0,0.8960155490767736,0.10398445092322643,625,0.5694849368318756,0.12682215743440234,0.30369290573372204
1127,Montgomery,1085,Montgomery Precinct 07-021,993,740,230,92,1085,1.0,0.9152073732718894,0.0847926267281106,115,0.6820276497695853,0.2119815668202765,0.10599078341013825
1128,Montgomery,2548,Montgomery Precinct 07-020,1786,1334,392,762,2548,1.0,0.7009419152276295,0.2990580847723705,822,0.5235478806907379,0.15384615384615385,0.3226059654631083
1129,Montgomery,2356,Montgomery Precinct 07-025,1718,1428,361,638,2356,1.0,0.7292020373514432,0.2707979626485569,567,0.6061120543293718,0.1532258064516129,0.24066213921901528
1130,Montgomery,3378,Montgomery Precinct 07-010,2587,1750,361,791,3378,1.0,0.7658377738306691,0.23416222616933097,1267,0.5180580224985198,0.1068679692125518,0.37507400828892834
1131,Montgomery,1339,Montgomery Precinct 07-031,1068,732,155,271,1339,1.0,0.7976101568334578,0.20238984316654218,452,0.5466766243465273,0.1157580283793876,0.33756534727408516
1132,Montgomery,3359,Montgomery Precinct 04-018,2439,1506,462,920,3359,1.0,0.7261089610002978,0.2738910389997023,1391,0.4483477225364692,0.13754093480202442,0.4141113426615064
