,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV18PDNone,GOV18PD_BJ_pct,GOV18PD_JS_pct,GOV18PD_KV_pct,GOV18PD_RM_pct,GOV18PD_RB_pct,GOV18PDNone_pct
74,Montgomery,3490,Montgomery Precinct 04-007,1550,258,1105,183,16,29,58,137,577,3490,1,0.44412607449856734,0.07392550143266476,0.3166189111747851,0.16532951289398282,3067,0.052435530085959886,0.004584527220630372,0.00830945558739255,0.0166189111747851,0.03925501432664757,0.8787965616045845
75,Montgomery,2962,Montgomery Precinct 04-006,1536,136,922,143,9,36,53,99,368,2962,1,0.5185685347738015,0.04591492234976367,0.3112761647535449,0.12424037812288993,2622,0.04827819041188386,0.003038487508440243,0.012153950033760972,0.01789331532748143,0.033423362592842676,0.8852126941255908
76,Montgomery,1587,Montgomery Precinct 04-027,360,206,510,37,1,6,9,17,511,1587,1,0.22684310018903592,0.12980466288594833,0.32136105860113423,0.3219911783238815,1517,0.023314429741650915,0.000630119722747322,0.003780718336483932,0.005671077504725898,0.010712035286704474,0.9558916194076874
77,Montgomery,1951,Montgomery Precinct 04-009,995,122,505,141,12,32,57,90,329,1951,1,0.5099948744233727,0.06253203485392107,0.25884161968221425,0.16863147104049206,1619,0.07227063044592516,0.006150691952844695,0.016401845207585853,0.0292157867760123,0.04613018964633521,0.8298308559712968
78,Montgomery,3199,Montgomery Precinct 13-051,2034,239,525,250,22,58,117,233,401,3199,1,0.6358236949046577,0.07471084713973117,0.16411378555798686,0.12535167239762426,2519,0.07814942169427946,0.006877149109096593,0.018130665833072834,0.036573929352922786,0.07283526101906845,0.7874335729915599
79,Montgomery,1806,Montgomery Precinct 04-034,1249,126,158,146,15,39,41,105,273,1806,1,0.6915836101882613,0.06976744186046512,0.08748615725359911,0.1511627906976744,1460,0.08084163898117387,0.008305647840531562,0.02159468438538206,0.022702104097452935,0.05813953488372093,0.8084163898117387
80,Montgomery,2832,Montgomery Precinct 13-043,911,192,1240,125,10,37,50,109,489,2832,1,0.321680790960452,0.06779661016949153,0.4378531073446328,0.17266949152542374,2501,0.04413841807909605,0.0035310734463276836,0.013064971751412429,0.01765536723163842,0.03848870056497175,0.8831214689265536
81,Montgomery,2301,Montgomery Precinct 13-045,911,211,756,108,11,28,41,99,423,2301,1,0.3959148196436332,0.09169926119078661,0.3285528031290743,0.18383311603650587,2014,0.0469361147327249,0.0047805302042590175,0.012168622338113864,0.017818339852238158,0.04302477183833116,0.8752716210343329
82,Montgomery,4265,Montgomery Precinct 13-036,1040,440,1881,140,10,39,72,103,904,4265,1,0.24384525205158264,0.10316529894490035,0.441031652989449,0.211957796014068,3901,0.032825322391559206,0.0023446658851113715,0.00914419695193435,0.016881594372801876,0.024150058616647128,0.914654161781946
83,Montgomery,3162,Montgomery Precinct 13-037,1002,276,1409,104,10,27,51,89,475,3162,1,0.31688804554079697,0.0872865275142315,0.44560404807084125,0.15022137887413028,2881,0.03289057558507274,0.0031625553447185324,0.008538899430740038,0.016129032258064516,0.028146742567994938,0.9111321948134092
