,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV18D,GOV18R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV18None,GOV18D_pct,GOV18R_pct,GOV18None_pct
74,Montgomery,3490,Montgomery Precinct 04-007,1550,258,1105,929,717,577,3490,1.0,0.44412607449856734,0.07392550143266476,0.3166189111747851,0.16532951289398282,1844,0.266189111747851,0.20544412607449858,0.5283667621776504
75,Montgomery,2962,Montgomery Precinct 04-006,1536,136,922,854,750,368,2962,1.0,0.5185685347738015,0.04591492234976367,0.3112761647535449,0.12424037812288993,1358,0.28831870357866307,0.25320729237002026,0.45847400405131666
76,Montgomery,1587,Montgomery Precinct 04-027,360,206,510,285,96,511,1587,1.0,0.22684310018903592,0.12980466288594833,0.32136105860113423,0.3219911783238815,1206,0.17958412098298676,0.06049149338374291,0.7599243856332704
77,Montgomery,1951,Montgomery Precinct 04-009,995,122,505,634,470,329,1951,1.0,0.5099948744233727,0.06253203485392107,0.25884161968221425,0.16863147104049206,847,0.3249615581752947,0.24090210148641722,0.4341363403382881
78,Montgomery,3199,Montgomery Precinct 13-051,2034,239,525,1138,1034,401,3199,1.0,0.6358236949046577,0.07471084713973117,0.16411378555798686,0.12535167239762426,1027,0.3557361675523601,0.3232260081275399,0.32103782432010003
79,Montgomery,1806,Montgomery Precinct 04-034,1249,126,158,568,805,273,1806,1.0,0.6915836101882613,0.06976744186046512,0.08748615725359911,0.1511627906976744,433,0.31450719822812845,0.44573643410852715,0.2397563676633444
80,Montgomery,2832,Montgomery Precinct 13-043,911,192,1240,851,506,489,2832,1.0,0.321680790960452,0.06779661016949153,0.4378531073446328,0.17266949152542374,1475,0.3004943502824859,0.1786723163841808,0.5208333333333334
81,Montgomery,2301,Montgomery Precinct 13-045,911,211,756,661,476,423,2301,1.0,0.3959148196436332,0.09169926119078661,0.3285528031290743,0.18383311603650587,1164,0.2872664059104737,0.20686657974793568,0.5058670143415906
82,Montgomery,4265,Montgomery Precinct 13-036,1040,440,1881,992,490,904,4265,1.0,0.24384525205158264,0.10316529894490035,0.441031652989449,0.211957796014068,2783,0.23259085580304806,0.11488862837045721,0.6525205158264947
83,Montgomery,3162,Montgomery Precinct 13-037,1002,276,1409,694,474,475,3162,1.0,0.31688804554079697,0.0872865275142315,0.44560404807084125,0.15022137887413028,1994,0.21948134092346616,0.14990512333965844,0.6306135357368754
84,Montgomery,3854,Montgomery Precinct 13-035,962,457,1733,984,549,702,3854,1.0,0.24961079398028022,0.11857810067462377,0.4496626881162429,0.18214841722885314,2321,0.2553191489361702,0.14244940321743643,0.6022314478463934
85,Montgomery,5497,Montgomery Precinct 13-064,833,2253,1847,1261,331,564,5497,1.0,0.15153720211024194,0.40985992359468804,0.33600145533927595,0.10260141895579407,3905,0.22939785337456794,0.060214662543205386,0.7103874840822266
86,Montgomery,2249,Montgomery Precinct 13-052,1568,153,273,751,821,255,2249,1.0,0.6971987550022232,0.06803023566029347,0.12138728323699421,0.11338372610048911,677,0.3339261894175189,0.365051133837261,0.3010226767452201
87,Montgomery,2706,Montgomery Precinct 08-003,2131,125,127,861,1455,323,2706,1.0,0.7875092387287509,0.046193643754619367,0.04693274205469328,0.11936437546193644,390,0.3181818181818182,0.5376940133037694,0.14412416851441243
88,Montgomery,2330,Montgomery Precinct 13-046,1386,209,414,650,914,321,2330,1.0,0.5948497854077254,0.08969957081545064,0.17768240343347638,0.13776824034334764,766,0.27896995708154504,0.392274678111588,0.32875536480686696
89,Montgomery,1337,Montgomery Precinct 08-004,1020,77,72,370,701,168,1337,1.0,0.762902019446522,0.05759162303664921,0.05385190725504862,0.1256544502617801,266,0.27673896783844426,0.5243081525804039,0.19895287958115182
90,Montgomery,2775,Montgomery Precinct 08-008,1990,217,170,846,1360,398,2775,1.0,0.7171171171171171,0.0781981981981982,0.06126126126126126,0.14342342342342343,569,0.30486486486486486,0.4900900900900901,0.20504504504504503
91,Montgomery,3472,Montgomery Precinct 08-009,2306,348,411,1104,1365,407,3472,1.0,0.6641705069124424,0.10023041474654378,0.11837557603686635,0.11722350230414746,1003,0.31797235023041476,0.39314516129032256,0.2888824884792627
92,Montgomery,3315,Montgomery Precinct 08-001,2336,356,270,1146,1359,353,3315,1.0,0.7046757164404224,0.10739064856711915,0.08144796380090498,0.10648567119155354,810,0.34570135746606334,0.4099547511312217,0.24434389140271492
93,Montgomery,2576,Montgomery Precinct 08-012,1661,311,153,825,1241,451,2576,1.0,0.6447981366459627,0.12072981366459627,0.0593944099378882,0.1750776397515528,510,0.3202639751552795,0.4817546583850932,0.19798136645962733
