,COUNTY,VAP,NAME,WVAP,GOV18D,GOV18R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV18None,GOV18D_pct,GOV18R_pct,GOV18None_pct
74,Montgomery,3490,Montgomery Precinct 04-007,1550,929,717,1940,3490,1.0,0.44412607449856734,0.5558739255014327,1844,0.266189111747851,0.20544412607449858,0.5283667621776504
75,Montgomery,2962,Montgomery Precinct 04-006,1536,854,750,1426,2962,1.0,0.5185685347738015,0.4814314652261985,1358,0.28831870357866307,0.25320729237002026,0.45847400405131666
76,Montgomery,1587,Montgomery Precinct 04-027,360,285,96,1227,1587,1.0,0.22684310018903592,0.7731568998109641,1206,0.17958412098298676,0.06049149338374291,0.7599243856332704
77,Montgomery,1951,Montgomery Precinct 04-009,995,634,470,956,1951,1.0,0.5099948744233727,0.4900051255766274,847,0.3249615581752947,0.24090210148641722,0.4341363403382881
78,Montgomery,3199,Montgomery Precinct 13-051,2034,1138,1034,1165,3199,1.0,0.6358236949046577,0.36417630509534227,1027,0.3557361675523601,0.3232260081275399,0.32103782432010003
79,Montgomery,1806,Montgomery Precinct 04-034,1249,568,805,557,1806,1.0,0.6915836101882613,0.30841638981173863,433,0.31450719822812845,0.44573643410852715,0.2397563676633444
80,Montgomery,2832,Montgomery Precinct 13-043,911,851,506,1921,2832,1.0,0.321680790960452,0.678319209039548,1475,0.3004943502824859,0.1786723163841808,0.5208333333333334
81,Montgomery,2301,Montgomery Precinct 13-045,911,661,476,1390,2301,1.0,0.3959148196436332,0.6040851803563668,1164,0.2872664059104737,0.20686657974793568,0.5058670143415906
82,Montgomery,4265,Montgomery Precinct 13-036,1040,992,490,3225,4265,1.0,0.24384525205158264,0.7561547479484173,2783,0.23259085580304806,0.11488862837045721,0.6525205158264947
83,Montgomery,3162,Montgomery Precinct 13-037,1002,694,474,2160,3162,1.0,0.31688804554079697,0.683111954459203,1994,0.21948134092346616,0.14990512333965844,0.6306135357368754
84,Montgomery,3854,Montgomery Precinct 13-035,962,984,549,2892,3854,1.0,0.24961079398028022,0.7503892060197198,2321,0.2553191489361702,0.14244940321743643,0.6022314478463934
85,Montgomery,5497,Montgomery Precinct 13-064,833,1261,331,4664,5497,1.0,0.15153720211024194,0.8484627978897581,3905,0.22939785337456794,0.060214662543205386,0.7103874840822266
86,Montgomery,2249,Montgomery Precinct 13-052,1568,751,821,681,2249,1.0,0.6971987550022232,0.3028012449977768,677,0.3339261894175189,0.365051133837261,0.3010226767452201
87,Montgomery,2706,Montgomery Precinct 08-003,2131,861,1455,575,2706,1.0,0.7875092387287509,0.21249076127124908,390,0.3181818181818182,0.5376940133037694,0.14412416851441243
88,Montgomery,2330,Montgomery Precinct 13-046,1386,650,914,944,2330,1.0,0.5948497854077254,0.4051502145922747,766,0.27896995708154504,0.392274678111588,0.32875536480686696
89,Montgomery,1337,Montgomery Precinct 08-004,1020,370,701,317,1337,1.0,0.762902019446522,0.23709798055347794,266,0.27673896783844426,0.5243081525804039,0.19895287958115182
90,Montgomery,2775,Montgomery Precinct 08-008,1990,846,1360,785,2775,1.0,0.7171171171171171,0.2828828828828829,569,0.30486486486486486,0.4900900900900901,0.20504504504504503
91,Montgomery,3472,Montgomery Precinct 08-009,2306,1104,1365,1166,3472,1.0,0.6641705069124424,0.3358294930875576,1003,0.31797235023041476,0.39314516129032256,0.2888824884792627
92,Montgomery,3315,Montgomery Precinct 08-001,2336,1146,1359,979,3315,1.0,0.7046757164404224,0.2953242835595777,810,0.34570135746606334,0.4099547511312217,0.24434389140271492
93,Montgomery,2576,Montgomery Precinct 08-012,1661,825,1241,915,2576,1.0,0.6447981366459627,0.35520186335403725,510,0.3202639751552795,0.4817546583850932,0.19798136645962733
94,Montgomery,2565,Montgomery Precinct 08-005,2188,726,1443,377,2565,1.0,0.8530214424951267,0.1469785575048733,396,0.2830409356725146,0.5625730994152047,0.1543859649122807
95,Montgomery,3510,Montgomery Precinct 01-002,2324,585,1174,1186,3510,1.0,0.6621082621082621,0.3378917378917379,1751,0.16666666666666666,0.33447293447293447,0.49886039886039885
96,Montgomery,3657,Montgomery Precinct 12-003,2956,778,2001,701,3657,1.0,0.8083128247197157,0.1916871752802844,878,0.212742685261143,0.5471698113207547,0.24008750341810228
97,Montgomery,2213,Montgomery Precinct 12-001,1875,407,1320,338,2213,1.0,0.8472661545413466,0.1527338454586534,486,0.18391323994577496,0.596475372797108,0.21961138725711704
98,Montgomery,2541,Montgomery Precinct 01-001,2052,478,1365,489,2541,1.0,0.807556080283353,0.19244391971664698,698,0.18811491538764266,0.5371900826446281,0.2746950019677292
353,Montgomery,2107,Montgomery Precinct 03-002,1792,626,1452,315,2107,1.0,0.8504983388704319,0.14950166112956811,29,0.2971048884670147,0.6891314665401044,0.013763644992880873
354,Montgomery,2553,Montgomery Precinct 03-001,2159,794,1608,394,2553,1.0,0.8456717587152369,0.15432824128476302,151,0.3110066588327458,0.6298472385428907,0.05914610262436349
