,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,PRES12D,PRES12R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,PRES12None,PRES12D_pct,PRES12R_pct,PRES12None_pct
74,Montgomery,3490,Montgomery Precinct 04-007,1550,258,1105,1265,490,577,3490,1.0,0.44412607449856734,0.07392550143266476,0.3166189111747851,0.16532951289398282,1735,0.3624641833810888,0.14040114613180515,0.497134670487106
75,Montgomery,2962,Montgomery Precinct 04-006,1536,136,922,1149,453,368,2962,1.0,0.5185685347738015,0.04591492234976367,0.3112761647535449,0.12424037812288993,1360,0.38791357191087106,0.15293720459149224,0.4591492234976367
76,Montgomery,1587,Montgomery Precinct 04-027,360,206,510,331,65,511,1587,1.0,0.22684310018903592,0.12980466288594833,0.32136105860113423,0.3219911783238815,1191,0.2085696282293636,0.04095778197857593,0.7504725897920604
77,Montgomery,1951,Montgomery Precinct 04-009,995,122,505,835,281,329,1951,1.0,0.5099948744233727,0.06253203485392107,0.25884161968221425,0.16863147104049206,835,0.42798564838544334,0.14402870322911326,0.42798564838544334
78,Montgomery,3199,Montgomery Precinct 13-051,2034,239,525,1473,643,401,3199,1.0,0.6358236949046577,0.07471084713973117,0.16411378555798686,0.12535167239762426,1083,0.4604563926226946,0.20100031259768678,0.33854329477961864
79,Montgomery,1806,Montgomery Precinct 04-034,1249,126,158,918,576,273,1806,1.0,0.6915836101882613,0.06976744186046512,0.08748615725359911,0.1511627906976744,312,0.5083056478405316,0.31893687707641194,0.17275747508305647
80,Montgomery,2832,Montgomery Precinct 13-043,911,192,1240,1133,385,489,2832,1.0,0.321680790960452,0.06779661016949153,0.4378531073446328,0.17266949152542374,1314,0.4000706214689266,0.1359463276836158,0.4639830508474576
81,Montgomery,2301,Montgomery Precinct 13-045,911,211,756,886,331,423,2301,1.0,0.3959148196436332,0.09169926119078661,0.3285528031290743,0.18383311603650587,1084,0.38504997827031723,0.14385049978270317,0.47109952194697957
82,Montgomery,4265,Montgomery Precinct 13-036,1040,440,1881,1307,327,904,4265,1.0,0.24384525205158264,0.10316529894490035,0.441031652989449,0.211957796014068,2631,0.3064478311840563,0.07667057444314185,0.6168815943728019
83,Montgomery,3162,Montgomery Precinct 13-037,1002,276,1409,923,337,475,3162,1.0,0.31688804554079697,0.0872865275142315,0.44560404807084125,0.15022137887413028,1902,0.2919038583175206,0.10657811511701455,0.6015180265654649
84,Montgomery,3854,Montgomery Precinct 13-035,962,457,1733,1397,364,702,3854,1.0,0.24961079398028022,0.11857810067462377,0.4496626881162429,0.18214841722885314,2093,0.362480539699014,0.09444732745199792,0.543072132848988
85,Montgomery,5497,Montgomery Precinct 13-064,833,2253,1847,1745,187,564,5497,1.0,0.15153720211024194,0.40985992359468804,0.33600145533927595,0.10260141895579407,3565,0.31744587957067494,0.0340185555757686,0.6485355648535565
86,Montgomery,2249,Montgomery Precinct 13-052,1568,153,273,999,511,255,2249,1.0,0.6971987550022232,0.06803023566029347,0.12138728323699421,0.11338372610048911,739,0.44419742107603377,0.2272120942641174,0.3285904846598488
87,Montgomery,2706,Montgomery Precinct 08-003,2131,125,127,1257,943,323,2706,1.0,0.7875092387287509,0.046193643754619367,0.04693274205469328,0.11936437546193644,506,0.46452328159645234,0.3484848484848485,0.18699186991869918
88,Montgomery,2330,Montgomery Precinct 13-046,1386,209,414,932,603,321,2330,1.0,0.5948497854077254,0.08969957081545064,0.17768240343347638,0.13776824034334764,795,0.4,0.2587982832618026,0.34120171673819744
89,Montgomery,1337,Montgomery Precinct 08-004,1020,77,72,598,500,168,1337,1.0,0.762902019446522,0.05759162303664921,0.05385190725504862,0.1256544502617801,239,0.4472700074794316,0.3739715781600598,0.1787584143605086
90,Montgomery,2775,Montgomery Precinct 08-008,1990,217,170,1254,966,398,2775,1.0,0.7171171171171171,0.0781981981981982,0.06126126126126126,0.14342342342342343,555,0.4518918918918919,0.3481081081081081,0.2
91,Montgomery,3472,Montgomery Precinct 08-009,2306,348,411,1706,956,407,3472,1.0,0.6641705069124424,0.10023041474654378,0.11837557603686635,0.11722350230414746,810,0.4913594470046083,0.27534562211981567,0.23329493087557604
92,Montgomery,3315,Montgomery Precinct 08-001,2336,356,270,1747,993,353,3315,1.0,0.7046757164404224,0.10739064856711915,0.08144796380090498,0.10648567119155354,575,0.5269984917043741,0.2995475113122172,0.17345399698340874
93,Montgomery,2576,Montgomery Precinct 08-012,1661,311,153,1257,824,451,2576,1.0,0.6447981366459627,0.12072981366459627,0.0593944099378882,0.1750776397515528,495,0.4879658385093168,0.3198757763975155,0.1921583850931677
94,Montgomery,2565,Montgomery Precinct 08-005,2188,142,117,1203,1055,118,2565,1.0,0.8530214424951267,0.055360623781676416,0.0456140350877193,0.04600389863547758,307,0.46900584795321637,0.41130604288499023,0.11968810916179337
95,Montgomery,3510,Montgomery Precinct 01-002,2324,496,378,1324,1106,312,3510,1.0,0.6621082621082621,0.1413105413105413,0.1076923076923077,0.08888888888888889,1080,0.3772079772079772,0.31509971509971507,0.3076923076923077
96,Montgomery,3657,Montgomery Precinct 12-003,2956,189,252,1513,1725,260,3657,1.0,0.8083128247197157,0.051681706316652996,0.06890894175553733,0.07109652720809406,419,0.4137270987147936,0.4716981132075472,0.11457478807765928
97,Montgomery,2213,Montgomery Precinct 12-001,1875,77,195,767,1101,66,2213,1.0,0.8472661545413466,0.034794396746497966,0.08811568007230004,0.0298237686398554,345,0.3465883416177135,0.4975146859466787,0.15589697243560777
98,Montgomery,2541,Montgomery Precinct 01-001,2052,172,149,860,1107,168,2541,1.0,0.807556080283353,0.06768988587170405,0.05863833136560409,0.06611570247933884,574,0.3384494293585203,0.43565525383707204,0.22589531680440772
353,Montgomery,2107,Montgomery Precinct 03-002,1792,103,147,938,960,65,2107,1.0,0.8504983388704319,0.04888467014712862,0.06976744186046512,0.030849549121974372,209,0.44518272425249167,0.45562411010915993,0.09919316563834836
354,Montgomery,2553,Montgomery Precinct 03-001,2159,166,142,1131,1092,86,2553,1.0,0.8456717587152369,0.06502154328241284,0.055620838229533884,0.033685859772816296,330,0.44300822561692127,0.42773207990599293,0.12925969447708577
355,Montgomery,1784,Montgomery Precinct 11-000,1537,130,72,784,703,45,1784,1.0,0.8615470852017937,0.07286995515695067,0.04035874439461883,0.02522421524663677,297,0.43946188340807174,0.39405829596412556,0.1664798206278027
357,Montgomery,2683,Montgomery Precinct 10-010,2126,73,89,1371,925,395,2683,1.0,0.7923965710026091,0.02720834886321282,0.03317182258665673,0.14722325754752144,387,0.5109951546775997,0.3447633246366008,0.14424152068579948
358,Montgomery,2533,Montgomery Precinct 10-002,1848,50,137,1031,1051,498,2533,1.0,0.7295696802210817,0.01973943939992104,0.05408606395578366,0.1966048164232136,451,0.4070272404263719,0.4149230161863403,0.1780497433872878
359,Montgomery,1582,Montgomery Precinct 10-001,1196,49,44,590,578,293,1582,1.0,0.7560050568900126,0.030973451327433628,0.02781289506953224,0.18520859671302148,414,0.3729456384323641,0.36536030341340076,0.26169405815423513
360,Montgomery,1642,Montgomery Precinct 10-013,1102,47,62,901,433,431,1642,1.0,0.6711327649208283,0.028623629719853837,0.037758830694275276,0.2624847746650426,308,0.548721071863581,0.26370280146163216,0.18757612667478685
361,Montgomery,2293,Montgomery Precinct 10-006,1631,68,130,1319,583,464,2293,1.0,0.7112952464020933,0.02965547317924117,0.056694286960314,0.2023549934583515,391,0.5752289576973397,0.25425207152202356,0.1705189707806367
362,Montgomery,2754,Montgomery Precinct 10-007,2119,112,120,1383,872,403,2754,1.0,0.7694262890341321,0.04066811909949165,0.04357298474945534,0.14633260711692084,499,0.5021786492374728,0.3166303558460421,0.1811909949164851
363,Montgomery,2878,Montgomery Precinct 07-003,2258,107,131,1905,578,382,2878,1.0,0.7845726198749131,0.03717859624739402,0.04551772063933287,0.13273106323835998,395,0.6619179986101459,0.20083391243919388,0.13724808895066018
364,Montgomery,2119,Montgomery Precinct 07-022,1760,67,106,1512,382,186,2119,1.0,0.830580462482303,0.03161868806040585,0.05002359603586597,0.0877772534214252,225,0.7135441245870694,0.1802737140160453,0.10618216139688533
365,Montgomery,2648,Montgomery Precinct 10-009,1916,105,133,1072,1063,494,2648,1.0,0.7235649546827795,0.03965256797583082,0.05022658610271903,0.1865558912386707,513,0.40483383685800606,0.4014350453172205,0.19373111782477342
366,Montgomery,1510,Montgomery Precinct 10-004,1093,60,74,867,416,283,1510,1.0,0.723841059602649,0.039735099337748346,0.04900662251655629,0.18741721854304635,227,0.5741721854304636,0.27549668874172184,0.15033112582781458
367,Montgomery,2274,Montgomery Precinct 10-005,1625,65,107,1249,685,477,2274,1.0,0.7145998240985049,0.028583992963940194,0.047053649956024624,0.20976253298153033,340,0.5492524186455585,0.30123131046613894,0.14951627088830255
368,Montgomery,3358,Montgomery Precinct 04-012,2173,110,277,1828,820,798,3358,1.0,0.6471113758189398,0.03275759380583681,0.0824895771292436,0.23764145324597974,710,0.5443716497915426,0.24419297200714712,0.2114353782013103
369,Montgomery,2320,Montgomery Precinct 10-003,1721,91,176,1165,675,332,2320,1.0,0.7418103448275862,0.039224137931034485,0.07586206896551724,0.14310344827586208,480,0.5021551724137931,0.29094827586206895,0.20689655172413793
370,Montgomery,3272,Montgomery Precinct 07-015,2621,86,174,1923,827,391,3272,1.0,0.801039119804401,0.02628361858190709,0.053178484107579464,0.11949877750611247,522,0.5877139364303179,0.25275061124694376,0.15953545232273839
414,Montgomery,1927,Montgomery Precinct 07-005,1663,77,75,1383,393,112,1927,1.0,0.8629994810586403,0.03995848469122989,0.038920601971977165,0.05812143227815257,151,0.7176959003632589,0.20394395433316034,0.0783601453035807
415,Montgomery,2403,Montgomery Precinct 13-039,1605,319,264,1462,278,215,2403,1.0,0.6679151061173533,0.13275072825634623,0.10986267166042447,0.08947149396587599,663,0.6084061589679567,0.11568872243029546,0.2759051186017478
416,Montgomery,4752,Montgomery Precinct 13-047,2084,1670,390,2023,183,608,4752,1.0,0.4385521885521885,0.3514309764309764,0.08207070707070707,0.12794612794612795,2546,0.4257154882154882,0.03851010101010101,0.5357744107744108
417,Montgomery,2398,Montgomery Precinct 13-004,1617,354,254,1828,103,173,2398,1.0,0.6743119266055045,0.14762301918265222,0.10592160133444536,0.07214345287739783,467,0.762301918265221,0.042952460383653045,0.19474562135112594
418,Montgomery,3101,Montgomery Precinct 13-008,1299,1083,432,1462,119,287,3101,1.0,0.41889712995807804,0.3492421799419542,0.13930990003224766,0.09255079006772009,1520,0.47146081909061593,0.03837471783295711,0.49016446307642697
419,Montgomery,2340,Montgomery Precinct 13-003,1904,189,116,1718,620,131,2340,1.1522917693445047,0.8136752136752137,0.08076923076923077,0.04957264957264957,0.055982905982905985,2,0.7341880341880341,0.26495726495726496,0.0008547008547008547
