,COUNTY,VAP,NAME,WVAP,PRES16D,PRES16R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,PRES16None,PRES16D_pct,PRES16R_pct,PRES16None_pct
74,Montgomery,3490,Montgomery Precinct 04-007,1550,1352,407,1940,3490,1.0,0.44412607449856734,0.5558739255014327,1731,0.38739255014326646,0.1166189111747851,0.4959885386819484
75,Montgomery,2962,Montgomery Precinct 04-006,1536,1360,400,1426,2962,1.0,0.5185685347738015,0.4814314652261985,1202,0.4591492234976367,0.1350438892640108,0.40580688723835245
76,Montgomery,1587,Montgomery Precinct 04-027,360,489,102,1227,1587,1.0,0.22684310018903592,0.7731568998109641,996,0.30812854442344045,0.06427221172022685,0.6275992438563327
77,Montgomery,1951,Montgomery Precinct 04-009,995,1005,224,956,1951,1.0,0.5099948744233727,0.4900051255766274,722,0.5151204510507432,0.11481291645310097,0.37006663249615585
78,Montgomery,3199,Montgomery Precinct 13-051,2034,1895,550,1165,3199,1.0,0.6358236949046577,0.36417630509534227,754,0.5923726164426383,0.17192872772741483,0.23569865582994687
79,Montgomery,1806,Montgomery Precinct 04-034,1249,1015,456,557,1806,1.0,0.6915836101882613,0.30841638981173863,335,0.562015503875969,0.25249169435215946,0.18549280177187155
80,Montgomery,2832,Montgomery Precinct 13-043,911,1216,286,1921,2832,1.0,0.321680790960452,0.678319209039548,1330,0.4293785310734463,0.10098870056497175,0.4696327683615819
81,Montgomery,2301,Montgomery Precinct 13-045,911,1048,292,1390,2301,1.0,0.3959148196436332,0.6040851803563668,961,0.4554541503694046,0.12690134724033028,0.4176445023902651
82,Montgomery,4265,Montgomery Precinct 13-036,1040,1538,284,3225,4265,1.0,0.24384525205158264,0.7561547479484173,2443,0.36060961313012896,0.06658851113716295,0.5728018757327081
83,Montgomery,3162,Montgomery Precinct 13-037,1002,1104,268,2160,3162,1.0,0.31688804554079697,0.683111954459203,1790,0.349146110056926,0.08475648323845668,0.5660974067046173
84,Montgomery,3854,Montgomery Precinct 13-035,962,1514,310,2892,3854,1.0,0.24961079398028022,0.7503892060197198,2030,0.3928386092371562,0.08043591074208614,0.5267254800207577
85,Montgomery,5497,Montgomery Precinct 13-064,833,1822,158,4664,5497,1.0,0.15153720211024194,0.8484627978897581,3517,0.33145352010187373,0.028742950700382026,0.6398035291977442
86,Montgomery,2249,Montgomery Precinct 13-052,1568,1275,453,681,2249,1.0,0.6971987550022232,0.3028012449977768,521,0.5669186305024455,0.20142285460204534,0.23165851489550912
87,Montgomery,2706,Montgomery Precinct 08-003,2131,1596,768,575,2706,1.0,0.7875092387287509,0.21249076127124908,342,0.5898004434589801,0.2838137472283814,0.12638580931263857
88,Montgomery,2330,Montgomery Precinct 13-046,1386,1134,511,944,2330,1.0,0.5948497854077254,0.4051502145922747,685,0.48669527896995707,0.21931330472103006,0.2939914163090129
89,Montgomery,1337,Montgomery Precinct 08-004,1020,704,399,317,1337,1.0,0.762902019446522,0.23709798055347794,234,0.5265519820493643,0.29842931937172773,0.175018698578908
90,Montgomery,2775,Montgomery Precinct 08-008,1990,1528,751,785,2775,1.0,0.7171171171171171,0.2828828828828829,496,0.5506306306306307,0.27063063063063064,0.17873873873873874
91,Montgomery,3472,Montgomery Precinct 08-009,2306,1976,821,1166,3472,1.0,0.6641705069124424,0.3358294930875576,675,0.5691244239631337,0.236463133640553,0.19441244239631336
92,Montgomery,3315,Montgomery Precinct 08-001,2336,2054,807,979,3315,1.0,0.7046757164404224,0.2953242835595777,454,0.6196078431372549,0.24343891402714932,0.1369532428355958
93,Montgomery,2576,Montgomery Precinct 08-012,1661,1541,674,915,2576,1.0,0.6447981366459627,0.35520186335403725,361,0.5982142857142857,0.26164596273291924,0.14013975155279504
94,Montgomery,2565,Montgomery Precinct 08-005,2188,1400,933,377,2565,1.0,0.8530214424951267,0.1469785575048733,232,0.5458089668615984,0.36374269005847953,0.09044834307992203
95,Montgomery,3510,Montgomery Precinct 01-002,2324,985,729,1186,3510,1.0,0.6621082621082621,0.3378917378917379,1796,0.28062678062678065,0.2076923076923077,0.5116809116809117
96,Montgomery,3657,Montgomery Precinct 12-003,2956,1393,1282,701,3657,1.0,0.8083128247197157,0.1916871752802844,982,0.3809133169264424,0.35056056877221764,0.2685261143013399
97,Montgomery,2213,Montgomery Precinct 12-001,1875,666,849,338,2213,1.0,0.8472661545413466,0.1527338454586534,698,0.3009489380930863,0.3836421147763217,0.315408947130592
98,Montgomery,2541,Montgomery Precinct 01-001,2052,860,898,489,2541,1.0,0.807556080283353,0.19244391971664698,783,0.3384494293585203,0.35340417158598975,0.30814639905548996
353,Montgomery,2107,Montgomery Precinct 03-002,1792,1130,870,315,2107,1.0,0.8504983388704319,0.14950166112956811,107,0.5363075462743236,0.4129093497864262,0.05078310393925012
354,Montgomery,2553,Montgomery Precinct 03-001,2159,1397,1028,394,2553,1.0,0.8456717587152369,0.15432824128476302,128,0.5471993732863298,0.4026635330983157,0.05013709361535448
355,Montgomery,1784,Montgomery Precinct 11-000,1537,915,658,247,1784,1.0,0.8615470852017937,0.1384529147982063,211,0.5128923766816144,0.3688340807174888,0.11827354260089686
357,Montgomery,2683,Montgomery Precinct 10-010,2126,1439,559,557,2683,1.0,0.7923965710026091,0.20760342899739098,685,0.5363399180022363,0.20834886321282148,0.25531121878494223
358,Montgomery,2533,Montgomery Precinct 10-002,1848,1060,682,685,2533,1.0,0.7295696802210817,0.2704303197789183,791,0.4184761152783261,0.269245953414923,0.3122779313067509
