,COUNTY,VAP,NAME,WVAP,SEN16PD_CV,SEN16PD_DE,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN16PDNone,SEN16PD_CV_pct,SEN16PD_DE_pct,SEN16PDNone_pct
74,Montgomery,3490,Montgomery Precinct 04-007,1550,519,120,1940,3490,1,0.44412607449856734,0.5558739255014327,2851,0.1487106017191977,0.034383954154727794,0.8169054441260745
75,Montgomery,2962,Montgomery Precinct 04-006,1536,457,112,1426,2962,1,0.5185685347738015,0.4814314652261985,2393,0.15428764348413235,0.03781228899392303,0.8079000675219447
76,Montgomery,1587,Montgomery Precinct 04-027,360,89,26,1227,1587,1,0.22684310018903592,0.7731568998109641,1472,0.056080655324511654,0.01638311279143037,0.927536231884058
77,Montgomery,1951,Montgomery Precinct 04-009,995,398,83,956,1951,1,0.5099948744233727,0.4900051255766274,1470,0.20399794976934904,0.04254228600717581,0.7534597642234752
78,Montgomery,3199,Montgomery Precinct 13-051,2034,804,195,1165,3199,1,0.6358236949046577,0.36417630509534227,2200,0.25132854016880274,0.06095654892153798,0.6877149109096593
79,Montgomery,1806,Montgomery Precinct 04-034,1249,417,105,557,1806,1,0.6915836101882613,0.30841638981173863,1284,0.23089700996677742,0.05813953488372093,0.7109634551495017
80,Montgomery,2832,Montgomery Precinct 13-043,911,418,93,1921,2832,1,0.321680790960452,0.678319209039548,2321,0.1475988700564972,0.03283898305084746,0.8195621468926554
81,Montgomery,2301,Montgomery Precinct 13-045,911,357,84,1390,2301,1,0.3959148196436332,0.6040851803563668,1860,0.15514993481095177,0.03650586701434159,0.8083441981747066
82,Montgomery,4265,Montgomery Precinct 13-036,1040,521,126,3225,4265,1,0.24384525205158264,0.7561547479484173,3618,0.12215709261430246,0.029542790152403284,0.8483001172332942
83,Montgomery,3162,Montgomery Precinct 13-037,1002,327,104,2160,3162,1,0.31688804554079697,0.683111954459203,2731,0.10341555977229601,0.03289057558507274,0.8636938646426312
84,Montgomery,3854,Montgomery Precinct 13-035,962,560,135,2892,3854,1,0.24961079398028022,0.7503892060197198,3159,0.14530358069538143,0.03502854177477945,0.8196678775298392
85,Montgomery,5497,Montgomery Precinct 13-064,833,542,193,4664,5497,1,0.15153720211024194,0.8484627978897581,4762,0.09859923594688012,0.03511006003274513,0.8662907040203748
86,Montgomery,2249,Montgomery Precinct 13-052,1568,512,142,681,2249,1,0.6971987550022232,0.3028012449977768,1595,0.22765673632725655,0.06313917296576256,0.7092040907069809
87,Montgomery,2706,Montgomery Precinct 08-003,2131,685,147,575,2706,1,0.7875092387287509,0.21249076127124908,1874,0.2531411677753141,0.05432372505543237,0.6925351071692535
88,Montgomery,2330,Montgomery Precinct 13-046,1386,442,120,944,2330,1,0.5948497854077254,0.4051502145922747,1768,0.18969957081545064,0.05150214592274678,0.7587982832618025
89,Montgomery,1337,Montgomery Precinct 08-004,1020,249,75,317,1337,1,0.762902019446522,0.23709798055347794,1013,0.1862378459237098,0.05609573672400898,0.7576664173522812
90,Montgomery,2775,Montgomery Precinct 08-008,1990,589,151,785,2775,1,0.7171171171171171,0.2828828828828829,2035,0.21225225225225225,0.054414414414414414,0.7333333333333333
91,Montgomery,3472,Montgomery Precinct 08-009,2306,734,237,1166,3472,1,0.6641705069124424,0.3358294930875576,2501,0.21140552995391704,0.06826036866359447,0.7203341013824884
92,Montgomery,3315,Montgomery Precinct 08-001,2336,762,305,979,3315,1,0.7046757164404224,0.2953242835595777,2248,0.22986425339366515,0.09200603318250378,0.6781297134238311
93,Montgomery,2576,Montgomery Precinct 08-012,1661,493,165,915,2576,1,0.6447981366459627,0.35520186335403725,1918,0.19138198757763975,0.0640527950310559,0.7445652173913043
94,Montgomery,2565,Montgomery Precinct 08-005,2188,507,164,377,2565,1,0.8530214424951267,0.1469785575048733,1894,0.1976608187134503,0.06393762183235867,0.7384015594541911
95,Montgomery,3510,Montgomery Precinct 01-002,2324,352,117,1186,3510,1,0.6621082621082621,0.3378917378917379,3041,0.10028490028490028,0.03333333333333333,0.8663817663817663
96,Montgomery,3657,Montgomery Precinct 12-003,2956,515,140,701,3657,1,0.8083128247197157,0.1916871752802844,3002,0.14082581350834017,0.038282745419742956,0.8208914410719169
97,Montgomery,2213,Montgomery Precinct 12-001,1875,247,61,338,2213,1,0.8472661545413466,0.1527338454586534,1905,0.11161319475824673,0.027564392227745142,0.8608224130140081
98,Montgomery,2541,Montgomery Precinct 01-001,2052,261,84,489,2541,1,0.807556080283353,0.19244391971664698,2196,0.10271546635182999,0.03305785123966942,0.8642266824085005
353,Montgomery,2107,Montgomery Precinct 03-002,1792,386,84,315,2107,1,0.8504983388704319,0.14950166112956811,1637,0.18319886093972473,0.03986710963455149,0.7769340294257238
354,Montgomery,2553,Montgomery Precinct 03-001,2159,429,113,394,2553,1,0.8456717587152369,0.15432824128476302,2011,0.16803760282021152,0.04426165295730513,0.7877007442224834
355,Montgomery,1784,Montgomery Precinct 11-000,1537,345,69,247,1784,1,0.8615470852017937,0.1384529147982063,1370,0.19338565022421525,0.03867713004484305,0.7679372197309418
357,Montgomery,2683,Montgomery Precinct 10-010,2126,666,88,557,2683,1,0.7923965710026091,0.20760342899739098,1929,0.2482295937383526,0.032799105478941486,0.7189713007827059
358,Montgomery,2533,Montgomery Precinct 10-002,1848,440,75,685,2533,1,0.7295696802210817,0.2704303197789183,2018,0.17370706671930516,0.029609159099881564,0.7966837741808133
359,Montgomery,1582,Montgomery Precinct 10-001,1196,253,54,386,1582,1,0.7560050568900126,0.24399494310998734,1275,0.15992414664981036,0.03413400758533502,0.8059418457648546
360,Montgomery,1642,Montgomery Precinct 10-013,1102,355,47,540,1642,1,0.6711327649208283,0.32886723507917176,1240,0.21619975639464067,0.028623629719853837,0.7551766138855055
361,Montgomery,2293,Montgomery Precinct 10-006,1631,544,68,662,2293,1,0.7112952464020933,0.28870475359790665,1681,0.23724378543392935,0.02965547317924117,0.7331007413868295
362,Montgomery,2754,Montgomery Precinct 10-007,2119,679,108,635,2754,1,0.7694262890341321,0.23057371096586782,1967,0.24655047204066813,0.0392156862745098,0.7142338416848221
363,Montgomery,2878,Montgomery Precinct 07-003,2258,1045,157,620,2878,1,0.7845726198749131,0.21542738012508686,1676,0.3630993745656706,0.05455177206393329,0.5823488533703961
364,Montgomery,2119,Montgomery Precinct 07-022,1760,827,105,359,2119,1,0.830580462482303,0.16941953751769703,1187,0.3902784332232185,0.049551675318546484,0.560169891458235
365,Montgomery,2648,Montgomery Precinct 10-009,1916,463,69,732,2648,1,0.7235649546827795,0.2764350453172205,2116,0.1748489425981873,0.026057401812688823,0.7990936555891238
366,Montgomery,1510,Montgomery Precinct 10-004,1093,398,59,417,1510,1,0.723841059602649,0.276158940397351,1053,0.2635761589403974,0.0390728476821192,0.6973509933774834
367,Montgomery,2274,Montgomery Precinct 10-005,1625,524,78,649,2274,1,0.7145998240985049,0.2854001759014952,1672,0.23043095866314864,0.03430079155672823,0.7352682497801232
368,Montgomery,3358,Montgomery Precinct 04-012,2173,884,117,1185,3358,1,0.6471113758189398,0.35288862418106015,2357,0.26325193567599764,0.03484216795711733,0.701905896366885
369,Montgomery,2320,Montgomery Precinct 10-003,1721,565,99,599,2320,1,0.7418103448275862,0.25818965517241377,1656,0.2435344827586207,0.04267241379310345,0.7137931034482758
370,Montgomery,3272,Montgomery Precinct 07-015,2621,1043,121,651,3272,1,0.801039119804401,0.19896088019559902,2108,0.31876528117359415,0.03698044009779951,0.6442542787286064
414,Montgomery,1927,Montgomery Precinct 07-005,1663,771,100,264,1927,1,0.8629994810586403,0.13700051894135962,1056,0.4001037882719253,0.05189413596263622,0.5480020757654385
415,Montgomery,2403,Montgomery Precinct 13-039,1605,800,154,798,2403,1,0.6679151061173533,0.33208489388264667,1449,0.3329171868497711,0.06408655846858094,0.602996254681648
416,Montgomery,4752,Montgomery Precinct 13-047,2084,770,376,2668,4752,1,0.4385521885521885,0.5614478114478114,3606,0.16203703703703703,0.07912457912457913,0.7588383838383839
417,Montgomery,2398,Montgomery Precinct 13-004,1617,1053,247,781,2398,1,0.6743119266055045,0.3256880733944954,1098,0.439115929941618,0.10300250208507089,0.4578815679733111
418,Montgomery,3101,Montgomery Precinct 13-008,1299,646,245,1802,3101,1,0.41889712995807804,0.581102870041922,2210,0.20831989680748145,0.07900677200902935,0.7126733311834892
419,Montgomery,2029,Montgomery Precinct 13-003,1652,751,105,377,2029,1,0.8141941843272548,0.1858058156727452,1173,0.37013307047806804,0.051749630359783146,0.5781172991621488
420,Montgomery,3334,Montgomery Precinct 13-016,768,645,146,2566,3334,1,0.23035392921415718,0.7696460707858428,2543,0.1934613077384523,0.04379124175164967,0.762747450509898
421,Montgomery,2788,Montgomery Precinct 13-065,1261,337,150,1527,2788,1,0.45229555236728836,0.5477044476327116,2301,0.1208751793400287,0.05380200860832138,0.8253228120516499
422,Montgomery,2551,Montgomery Precinct 13-007,1648,927,199,903,2551,1,0.6460211681693454,0.35397883183065465,1425,0.3633869070952568,0.07800862406899255,0.5586044688357507
423,Montgomery,2274,Montgomery Precinct 13-024,1361,757,126,913,2274,1,0.5985048372911169,0.401495162708883,1391,0.33289357959542654,0.055408970976253295,0.6116974494283202
1110,Montgomery,1766,Montgomery Precinct 07-028,1362,551,67,404,1766,1,0.7712344280860702,0.2287655719139298,1148,0.31200453001132505,0.037938844847112116,0.6500566251415628
1111,Montgomery,3027,Montgomery Precinct 10-012,1945,735,119,1082,3027,1,0.6425503799141064,0.35744962008589365,2173,0.24281466798810702,0.03931285100759828,0.7178724810042947
1112,Montgomery,1301,Montgomery Precinct 04-032,978,344,38,323,1301,1,0.7517294388931591,0.2482705611068409,919,0.2644119907763259,0.029208301306687164,0.7063797079169869
1113,Montgomery,2349,Montgomery Precinct 10-011,1333,351,81,1016,2349,1,0.56747552149851,0.43252447850149,1917,0.14942528735632185,0.034482758620689655,0.8160919540229885
1114,Montgomery,1957,Montgomery Precinct 04-013,1683,768,98,274,1957,1,0.8599897802759325,0.14001021972406746,1091,0.3924374041900869,0.050076647930505876,0.5574859478794073
1115,Montgomery,2330,Montgomery Precinct 07-018,2050,935,120,280,2330,1,0.8798283261802575,0.12017167381974249,1275,0.4012875536480687,0.05150214592274678,0.5472103004291845
1116,Montgomery,2454,Montgomery Precinct 07-024,2091,802,107,363,2454,1,0.8520782396088019,0.14792176039119803,1545,0.32681336593317034,0.04360228198859006,0.6295843520782396
1117,Montgomery,1711,Montgomery Precinct 07-027,1486,581,67,225,1711,1,0.8684979544126242,0.1315020455873758,1063,0.3395675043834015,0.03915838690824079,0.6212741087083576
1118,Montgomery,3393,Montgomery Precinct 07-013,2701,958,122,692,3393,1,0.7960506926024168,0.20394930739758327,2313,0.28234600648393754,0.03595638078396699,0.6816976127320955
1119,Montgomery,2602,Montgomery Precinct 07-012,2240,941,114,362,2602,1,0.8608762490392006,0.13912375096079937,1547,0.36164488854727134,0.043812451960030745,0.5945426594926979
1120,Montgomery,4520,Montgomery Precinct 07-004,3440,1111,207,1080,4520,1,0.7610619469026548,0.23893805309734514,3202,0.24579646017699114,0.04579646017699115,0.7084070796460177
1121,Montgomery,1823,Montgomery Precinct 07-007,1553,689,97,270,1823,1,0.8518924849149753,0.14810751508502468,1037,0.37794843664289635,0.053208996160175534,0.5688425671969282
1122,Montgomery,3525,Montgomery Precinct 07-011,2810,1102,156,715,3525,1,0.7971631205673759,0.2028368794326241,2267,0.3126241134751773,0.04425531914893617,0.6431205673758865
1123,Montgomery,5321,Montgomery Precinct 07-026,3875,1121,215,1446,5321,1,0.7282465701935726,0.27175342980642736,3985,0.21067468520954707,0.0404059387333208,0.7489193760571321
1124,Montgomery,2181,Montgomery Precinct 07-001,1599,462,92,582,2181,1,0.7331499312242091,0.2668500687757909,1627,0.21182943603851445,0.04218248509857864,0.745988078862907
1125,Montgomery,1793,Montgomery Precinct 07-002,1663,710,90,130,1793,1,0.9274958170663692,0.07250418293363078,993,0.39598438371444505,0.0501952035694367,0.5538204127161183
1126,Montgomery,2058,Montgomery Precinct 07-006,1844,651,93,214,2058,1,0.8960155490767736,0.10398445092322643,1314,0.3163265306122449,0.04518950437317784,0.6384839650145773
1127,Montgomery,1085,Montgomery Precinct 07-021,993,425,59,92,1085,1,0.9152073732718894,0.0847926267281106,601,0.391705069124424,0.054377880184331796,0.5539170506912442
1128,Montgomery,2548,Montgomery Precinct 07-020,1786,688,106,762,2548,1,0.7009419152276295,0.2990580847723705,1754,0.27001569858712715,0.041601255886970175,0.6883830455259027
1129,Montgomery,2356,Montgomery Precinct 07-025,1718,669,111,638,2356,1,0.7292020373514432,0.2707979626485569,1576,0.28395585738539897,0.04711375212224109,0.6689303904923599
1130,Montgomery,3378,Montgomery Precinct 07-010,2587,907,136,791,3378,1,0.7658377738306691,0.23416222616933097,2335,0.26850207223209,0.04026050917702783,0.6912374185908822
1131,Montgomery,1339,Montgomery Precinct 07-031,1068,345,54,271,1339,1,0.7976101568334578,0.20238984316654218,940,0.2576549663928305,0.040328603435399554,0.70201643017177
1132,Montgomery,3359,Montgomery Precinct 04-018,2439,830,114,920,3359,1,0.7261089610002978,0.2738910389997023,2415,0.24709735040190534,0.03393867222387616,0.7189639773742185
1133,Montgomery,2203,Montgomery Precinct 04-028,1437,265,80,766,2203,1,0.6522923286427599,0.3477076713572401,1858,0.12029051293690422,0.03631411711302769,0.8433953699500681
1134,Montgomery,3906,Montgomery Precinct 04-031,2703,700,120,1203,3906,1,0.6920122887864824,0.30798771121351765,3086,0.17921146953405018,0.030721966205837174,0.7900665642601127
1135,Montgomery,3257,Montgomery Precinct 04-010,2452,638,121,805,3257,1,0.7528400368437212,0.24715996315627878,2498,0.19588578446423088,0.037150752225974824,0.7669634633097943
1136,Montgomery,2490,Montgomery Precinct 04-017,1774,717,139,716,2490,1,0.7124497991967872,0.28755020080321286,1634,0.28795180722891567,0.05582329317269076,0.6562248995983936
1137,Montgomery,3550,Montgomery Precinct 04-008,2235,1188,207,1315,3550,1,0.6295774647887324,0.3704225352112676,2155,0.3346478873239437,0.058309859154929575,0.6070422535211267
1264,Montgomery,3965,Montgomery Precinct 07-008,2981,739,172,984,3965,1,0.7518284993694829,0.24817150063051702,3054,0.18638083228247163,0.04337957124842371,0.7702395964691047
1265,Montgomery,2847,Montgomery Precinct 07-009,2231,740,117,616,2847,1,0.7836318932209343,0.21636810677906568,1990,0.2599227256761503,0.0410958904109589,0.6989813839128908
1266,Montgomery,1400,Montgomery Precinct 07-032,1222,337,46,178,1400,1,0.8728571428571429,0.12714285714285714,1017,0.24071428571428571,0.032857142857142856,0.7264285714285714
1267,Montgomery,1964,Montgomery Precinct 07-016,1563,709,108,401,1964,1,0.7958248472505092,0.20417515274949083,1147,0.3609979633401222,0.054989816700611,0.5840122199592668
1268,Montgomery,3443,Montgomery Precinct 04-004,2536,560,120,907,3443,1,0.7365669474295672,0.26343305257043276,2763,0.1626488527446994,0.03485332558814987,0.8024978216671508
1269,Montgomery,5607,Montgomery Precinct 04-015,2542,274,64,3065,5607,1,0.45336186909220616,0.5466381309077938,5269,0.04886748706973426,0.01141430354913501,0.9397182093811307
1270,Montgomery,4958,Montgomery Precinct 13-025,1182,631,132,3776,4958,1,0.23840258168616377,0.7615974183138362,4195,0.127269060104881,0.026623638563937072,0.846107301331182
1271,Montgomery,2485,Montgomery Precinct 13-034,1903,778,118,582,2485,1,0.7657947686116701,0.23420523138833,1589,0.3130784708249497,0.04748490945674044,0.6394366197183099
1272,Montgomery,2625,Montgomery Precinct 13-040,1669,643,130,956,2625,1,0.6358095238095238,0.3641904761904762,1852,0.24495238095238095,0.049523809523809526,0.7055238095238096
1273,Montgomery,1874,Montgomery Precinct 06-009,1464,426,86,410,1874,1,0.7812166488794023,0.21878335112059766,1362,0.22732123799359658,0.04589114194236926,0.7267876200640342
1274,Montgomery,2092,Montgomery Precinct 06-001,1647,358,71,445,2092,1,0.7872848948374761,0.2127151051625239,1663,0.1711281070745698,0.033938814531548754,0.7949330783938815
1275,Montgomery,4802,Montgomery Precinct 06-011,1585,15,2,3217,4802,1,0.33007080383173676,0.6699291961682632,4785,0.003123698458975427,0.00041649312786339027,0.9964598084131612
1276,Montgomery,3610,Montgomery Precinct 06-007,1633,561,196,1977,3610,1,0.4523545706371191,0.5476454293628809,2853,0.1554016620498615,0.054293628808864264,0.7903047091412743
1277,Montgomery,4116,Montgomery Precinct 06-010,1639,537,198,2477,4116,1,0.39820213799805637,0.6017978620019436,3381,0.130466472303207,0.048104956268221574,0.8214285714285714
1278,Montgomery,4374,Montgomery Precinct 02-004,2221,632,272,2153,4374,1,0.5077732053040696,0.4922267946959305,3470,0.1444901691815272,0.06218564243255601,0.7933241883859168
1279,Montgomery,3017,Montgomery Precinct 06-006,1327,576,117,1690,3017,1,0.4398409015578389,0.560159098442161,2324,0.19091813059330462,0.038780245276765,0.7703016241299304
1280,Montgomery,2009,Montgomery Precinct 06-005,1479,766,166,530,2009,1,0.7361871577899453,0.26381284221005474,1077,0.3812842210054754,0.08262817322050771,0.5360876057740169
1281,Montgomery,1603,Montgomery Precinct 06-014,922,268,46,681,1603,1,0.5751715533374921,0.4248284466625078,1289,0.1671865252651279,0.028696194635059263,0.8041172800998129
1282,Montgomery,1874,Montgomery Precinct 06-013,1179,391,77,695,1874,1,0.6291355389541089,0.37086446104589116,1406,0.20864461045891142,0.04108858057630736,0.7502668089647813
1283,Montgomery,2208,Montgomery Precinct 06-004,1418,656,93,790,2208,1,0.6422101449275363,0.35778985507246375,1459,0.2971014492753623,0.042119565217391304,0.6607789855072463
1284,Montgomery,3777,Montgomery Precinct 09-027,2856,815,131,921,3777,1,0.756155679110405,0.24384432088959493,2831,0.21577971935398466,0.034683611331744774,0.7495366693142705
