,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,AG14PDNone,AG14PD_BFR_pct,AG14PD_ABR_pct,AG14PD_JCA_pct,AG14PDNone_pct
388,Prince George's,1692,Prince George's Precinct 08-001,980,639,19,83,49,30,54,1692,1,0.5791962174940898,0.3776595744680851,0.011229314420803783,0.031914893617021274,1530,0.04905437352245863,0.028959810874704492,0.01773049645390071,0.9042553191489362
389,Prince George's,2531,Prince George's Precinct 11-002,511,1777,95,172,206,110,148,2531,1,0.20189648360331885,0.7020940339786645,0.0375345713156855,0.05847491110233109,2043,0.06795732911892532,0.08139075464243382,0.043461082576056895,0.8071908336625839
390,Prince George's,3507,Prince George's Precinct 15-001,574,2678,90,210,296,144,165,3507,1,0.16367265469061876,0.763615625891075,0.02566295979469632,0.04704875962360992,2857,0.059880239520958084,0.08440262332477902,0.041060735671514116,0.8146564014827488
391,Prince George's,3267,Prince George's Precinct 15-004,469,2577,60,158,287,133,161,3267,1,0.1435567799204163,0.7887970615243343,0.018365472910927456,0.04928068564432201,2689,0.04836241199877563,0.08784817875726966,0.04071013161922253,0.8230792776247322
392,Prince George's,2065,Prince George's Precinct 04-001,1341,584,66,124,74,62,74,2065,1,0.6493946731234866,0.2828087167070218,0.031961259079903145,0.03583535108958838,1805,0.06004842615012106,0.03583535108958838,0.03002421307506053,0.87409200968523
394,Prince George's,1133,Prince George's Precinct 03-001,419,631,33,74,74,48,50,1133,1,0.3698146513680494,0.5569285083848191,0.02912621359223301,0.0441306266548985,937,0.06531332744924978,0.06531332744924978,0.04236540158870256,0.8270079435127978
400,Prince George's,1983,Prince George's Precinct 12-002,167,1491,201,70,147,57,124,1983,1,0.08421583459404942,0.7518910741301059,0.10136157337367625,0.06253151790216843,1709,0.03530005042864347,0.07413010590015129,0.028744326777609682,0.8618255168935955
401,Prince George's,4528,Prince George's Precinct 12-009,53,4012,371,59,179,58,92,4528,1,0.011704946996466431,0.8860424028268551,0.08193462897526502,0.020318021201413426,4232,0.013030035335689047,0.039531802120141346,0.012809187279151944,0.9346289752650176
402,Prince George's,4488,Prince George's Precinct 12-004,126,3691,498,114,226,107,173,4488,1,0.02807486631016043,0.8224153297682709,0.11096256684491979,0.03854723707664884,4041,0.02540106951871658,0.05035650623885918,0.023841354723707665,0.9004010695187166
403,Prince George's,4072,Prince George's Precinct 12-006,80,3758,150,91,211,78,84,4072,1,0.019646365422396856,0.9228880157170923,0.03683693516699411,0.0206286836935167,3692,0.022347740667976426,0.05181728880157171,0.019155206286836934,0.906679764243615
