,COUNTY,VAP,NAME,WVAP,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,AG14PDNone,AG14PD_BFR_pct,AG14PD_ABR_pct,AG14PD_JCA_pct,AG14PDNone_pct
388,Prince George's,1692,Prince George's Precinct 08-001,980,83,49,30,712,1692,1,0.5791962174940898,0.42080378250591016,1530,0.04905437352245863,0.028959810874704492,0.01773049645390071,0.9042553191489362
389,Prince George's,2531,Prince George's Precinct 11-002,511,172,206,110,2020,2531,1,0.20189648360331885,0.7981035163966812,2043,0.06795732911892532,0.08139075464243382,0.043461082576056895,0.8071908336625839
390,Prince George's,3507,Prince George's Precinct 15-001,574,210,296,144,2933,3507,1,0.16367265469061876,0.8363273453093812,2857,0.059880239520958084,0.08440262332477902,0.041060735671514116,0.8146564014827488
391,Prince George's,3267,Prince George's Precinct 15-004,469,158,287,133,2798,3267,1,0.1435567799204163,0.8564432200795837,2689,0.04836241199877563,0.08784817875726966,0.04071013161922253,0.8230792776247322
392,Prince George's,2065,Prince George's Precinct 04-001,1341,124,74,62,724,2065,1,0.6493946731234866,0.3506053268765133,1805,0.06004842615012106,0.03583535108958838,0.03002421307506053,0.87409200968523
394,Prince George's,1133,Prince George's Precinct 03-001,419,74,74,48,714,1133,1,0.3698146513680494,0.6301853486319505,937,0.06531332744924978,0.06531332744924978,0.04236540158870256,0.8270079435127978
400,Prince George's,1983,Prince George's Precinct 12-002,167,70,147,57,1816,1983,1,0.08421583459404942,0.9157841654059505,1709,0.03530005042864347,0.07413010590015129,0.028744326777609682,0.8618255168935955
401,Prince George's,4528,Prince George's Precinct 12-009,53,59,179,58,4475,4528,1,0.011704946996466431,0.9882950530035336,4232,0.013030035335689047,0.039531802120141346,0.012809187279151944,0.9346289752650176
402,Prince George's,4488,Prince George's Precinct 12-004,126,114,226,107,4362,4488,1,0.02807486631016043,0.9719251336898396,4041,0.02540106951871658,0.05035650623885918,0.023841354723707665,0.9004010695187166
403,Prince George's,4072,Prince George's Precinct 12-006,80,91,211,78,3992,4072,1,0.019646365422396856,0.9803536345776032,3692,0.022347740667976426,0.05181728880157171,0.019155206286836934,0.906679764243615
404,Prince George's,3288,Prince George's Precinct 12-012,212,113,200,70,3076,3288,1,0.06447688564476886,0.9355231143552312,2905,0.034367396593673966,0.06082725060827251,0.021289537712895375,0.8835158150851582
405,Prince George's,2724,Prince George's Precinct 12-016,113,49,144,50,2611,2724,1,0.041483113069016156,0.9585168869309838,2481,0.017988252569750368,0.05286343612334802,0.018355359765051395,0.9107929515418502
406,Prince George's,3144,Prince George's Precinct 12-003,178,68,182,68,2966,3144,1,0.056615776081424936,0.943384223918575,2826,0.021628498727735368,0.05788804071246819,0.021628498727735368,0.898854961832061
407,Prince George's,1980,Prince George's Precinct 12-007,69,56,177,77,1911,1980,1,0.03484848484848485,0.9651515151515152,1670,0.028282828282828285,0.0893939393939394,0.03888888888888889,0.8434343434343434
408,Prince George's,1110,Prince George's Precinct 12-017,127,18,41,29,983,1110,1,0.11441441441441441,0.8855855855855855,1022,0.016216216216216217,0.036936936936936934,0.026126126126126126,0.9207207207207208
409,Prince George's,3753,Prince George's Precinct 12-013,94,146,277,134,3659,3753,1,0.025046629363176125,0.9749533706368239,3196,0.038902211564082065,0.0738076205702105,0.035704769517719157,0.8515853983479883
410,Prince George's,2131,Prince George's Precinct 06-008,57,81,186,68,2074,2131,1,0.02674800563115908,0.9732519943688409,1796,0.038010323791647115,0.08728296574378226,0.031909901454716096,0.8427968090098545
411,Prince George's,4750,Prince George's Precinct 06-017,139,127,268,115,4611,4750,1,0.02926315789473684,0.9707368421052631,4240,0.02673684210526316,0.05642105263157895,0.024210526315789474,0.8926315789473684
412,Prince George's,2691,Prince George's Precinct 06-009,88,98,148,66,2603,2691,1,0.032701597918989224,0.9672984020810108,2379,0.03641768859160163,0.054998141954663696,0.024526198439241916,0.8840579710144928
413,Prince George's,2205,Prince George's Precinct 06-012,55,61,134,55,2150,2205,1,0.024943310657596373,0.9750566893424036,1955,0.027664399092970523,0.060770975056689346,0.024943310657596373,0.8866213151927438
452,Prince George's,2194,Prince George's Precinct 12-008,175,93,182,80,2019,2194,1,0.07976298997265269,0.9202370100273473,1839,0.04238833181403829,0.0829535095715588,0.03646308113035551,0.8381950774840474
453,Prince George's,2657,Prince George's Precinct 12-015,108,136,218,111,2549,2657,1,0.04064734663153933,0.9593526533684607,2192,0.05118554761008656,0.08204742190440346,0.04177643959352653,0.8249905908919835
470,Prince George's,3323,Prince George's Precinct 09-007,221,333,239,127,3102,3323,1,0.06650616912428528,0.9334938308757147,2624,0.10021065302437557,0.07192296117965694,0.038218477279566655,0.7896479085164009
471,Prince George's,2034,Prince George's Precinct 09-004,273,195,121,85,1761,2034,1,0.13421828908554573,0.8657817109144543,1633,0.09587020648967552,0.059488692232055065,0.04178957718780728,0.8028515240904621
472,Prince George's,3032,Prince George's Precinct 09-005,266,131,287,112,2766,3032,1,0.08773087071240106,0.912269129287599,2502,0.04320580474934037,0.09465699208443272,0.036939313984168866,0.825197889182058
473,Prince George's,3691,Prince George's Precinct 09-001,425,144,458,143,3266,3691,1,0.11514494716878895,0.884855052831211,2946,0.039013817393660256,0.12408561365483609,0.03874288810620428,0.7981576808452994
474,Prince George's,2377,Prince George's Precinct 09-010,356,91,269,87,2021,2377,1,0.14976861590239798,0.850231384097602,1930,0.03828355069415229,0.11316785864535128,0.036600757257046694,0.8119478334034498
475,Prince George's,3501,Prince George's Precinct 09-002,398,51,164,60,3103,3501,1,0.11368180519851472,0.8863181948014853,3226,0.01456726649528706,0.046843758926021134,0.01713796058269066,0.9214510139960012
476,Prince George's,4703,Prince George's Precinct 09-008,452,373,319,221,4251,4703,1,0.09610886668084201,0.9038911333191579,3790,0.07931107803529662,0.06782904529024027,0.046991282160323194,0.80586859451414
477,Prince George's,2747,Prince George's Precinct 09-006,357,131,397,140,2390,2747,1,0.12995995631598106,0.8700400436840189,2079,0.04768838733163451,0.14452129595922825,0.050964688751365124,0.7568256279577721
478,Prince George's,2862,Prince George's Precinct 11-004,854,233,236,123,2008,2862,1,0.2983927323549965,0.7016072676450035,2270,0.0814116002795248,0.08245981830887492,0.0429769392033543,0.793151642208246
479,Prince George's,2840,Prince George's Precinct 11-001,589,173,183,116,2251,2840,1,0.2073943661971831,0.7926056338028169,2368,0.06091549295774648,0.06443661971830986,0.04084507042253521,0.8338028169014085
480,Prince George's,4018,Prince George's Precinct 09-011,519,222,207,116,3499,4018,1,0.12916874066699852,0.8708312593330015,3473,0.055251368840219015,0.05151816824290692,0.02887008461921354,0.8643603782976605
481,Prince George's,1565,Prince George's Precinct 09-009,577,39,137,40,988,1565,1,0.36869009584664536,0.6313099041533546,1349,0.024920127795527155,0.08753993610223643,0.025559105431309903,0.8619808306709266
482,Prince George's,3439,Prince George's Precinct 11-003,484,191,229,146,2955,3439,1,0.14073858679848794,0.8592614132015121,2873,0.0555394009886595,0.06658912474556557,0.042454201802849666,0.8354172724629253
483,Prince George's,2108,Prince George's Precinct 15-003,209,130,217,109,1899,2108,1,0.099146110056926,0.900853889943074,1652,0.061669829222011384,0.10294117647058823,0.051707779886148005,0.7836812144212524
484,Prince George's,662,Prince George's Precinct 01-007,394,208,55,96,268,662,1,0.595166163141994,0.40483383685800606,303,0.31419939577039274,0.08308157099697885,0.14501510574018128,0.45770392749244715
485,Prince George's,2108,Prince George's Precinct 06-014,231,16,49,15,1877,2108,1,0.10958254269449716,0.8904174573055028,2028,0.007590132827324478,0.023244781783681213,0.007115749525616698,0.9620493358633776
486,Prince George's,1176,Prince George's Precinct 06-002,134,66,130,59,1042,1176,1,0.11394557823129252,0.8860544217687075,921,0.05612244897959184,0.11054421768707483,0.050170068027210885,0.7831632653061225
487,Prince George's,2560,Prince George's Precinct 06-013,365,160,235,106,2195,2560,1,0.142578125,0.857421875,2059,0.0625,0.091796875,0.04140625,0.804296875
