,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,AG18D,AG18R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,AG18None,AG18D_pct,AG18R_pct,AG18None_pct
388,Prince George's,1692,Prince George's Precinct 08-001,980,639,19,475,279,54,1692,1.0,0.5791962174940898,0.3776595744680851,0.011229314420803783,0.031914893617021274,938,0.28073286052009455,0.16489361702127658,0.5543735224586288
389,Prince George's,2531,Prince George's Precinct 11-002,511,1777,95,1646,167,148,2531,1.0,0.20189648360331885,0.7020940339786645,0.0375345713156855,0.05847491110233109,718,0.6503358356380877,0.06598182536546819,0.2836823389964441
390,Prince George's,3507,Prince George's Precinct 15-001,574,2678,90,2267,186,165,3507,1.0,0.16367265469061876,0.763615625891075,0.02566295979469632,0.04704875962360992,1054,0.6464214428286285,0.05303678357570573,0.3005417735956658
391,Prince George's,3267,Prince George's Precinct 15-004,469,2577,60,1952,166,161,3267,1.0,0.1435567799204163,0.7887970615243343,0.018365472910927456,0.04928068564432201,1149,0.5974900520355065,0.05081114172023263,0.3516988062442608
392,Prince George's,2065,Prince George's Precinct 04-001,1341,584,66,690,444,74,2065,1.0,0.6493946731234866,0.2828087167070218,0.031961259079903145,0.03583535108958838,931,0.3341404358353511,0.21501210653753028,0.45084745762711864
394,Prince George's,1133,Prince George's Precinct 03-001,419,631,33,569,135,50,1133,1.0,0.3698146513680494,0.5569285083848191,0.02912621359223301,0.0441306266548985,429,0.502206531332745,0.11915269196822595,0.3786407766990291
400,Prince George's,1983,Prince George's Precinct 12-002,167,1491,201,874,57,124,1983,1.0,0.08421583459404942,0.7518910741301059,0.10136157337367625,0.06253151790216843,1052,0.44074634392334844,0.028744326777609682,0.5305093292990418
401,Prince George's,4528,Prince George's Precinct 12-009,53,4012,371,1276,28,92,4528,1.0,0.011704946996466431,0.8860424028268551,0.08193462897526502,0.020318021201413426,3224,0.28180212014134276,0.006183745583038869,0.7120141342756183
402,Prince George's,4488,Prince George's Precinct 12-004,126,3691,498,1704,52,173,4488,1.0,0.02807486631016043,0.8224153297682709,0.11096256684491979,0.03854723707664884,2732,0.37967914438502676,0.011586452762923352,0.6087344028520499
403,Prince George's,4072,Prince George's Precinct 12-006,80,3758,150,1509,47,84,4072,1.0,0.019646365422396856,0.9228880157170923,0.03683693516699411,0.0206286836935167,2516,0.3705795677799607,0.011542239685658153,0.6178781925343811
