,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,COMP14D,COMP14R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,COMP14None,COMP14D_pct,COMP14R_pct,COMP14None_pct
388,Prince George's,1692,Prince George's Precinct 08-001,980,639,19,315,243,54,1692,1.0,0.5791962174940898,0.3776595744680851,0.011229314420803783,0.031914893617021274,1134,0.18617021276595744,0.14361702127659576,0.6702127659574468
389,Prince George's,2531,Prince George's Precinct 11-002,511,1777,95,1182,206,148,2531,1.0,0.20189648360331885,0.7020940339786645,0.0375345713156855,0.05847491110233109,1143,0.4670090873172659,0.08139075464243382,0.4516001580403003
390,Prince George's,3507,Prince George's Precinct 15-001,574,2678,90,1520,206,165,3507,1.0,0.16367265469061876,0.763615625891075,0.02566295979469632,0.04704875962360992,1781,0.433418876532649,0.05873966353008269,0.5078414599372684
391,Prince George's,3267,Prince George's Precinct 15-004,469,2577,60,1333,172,161,3267,1.0,0.1435567799204163,0.7887970615243343,0.018365472910927456,0.04928068564432201,1762,0.40801958983777165,0.052647689011325376,0.5393327211509029
392,Prince George's,2065,Prince George's Precinct 04-001,1341,584,66,567,423,74,2065,1.0,0.6493946731234866,0.2828087167070218,0.031961259079903145,0.03583535108958838,1075,0.2745762711864407,0.20484261501210654,0.5205811138014528
394,Prince George's,1133,Prince George's Precinct 03-001,419,631,33,377,131,50,1133,1.0,0.3698146513680494,0.5569285083848191,0.02912621359223301,0.0441306266548985,625,0.3327449249779347,0.11562224183583407,0.5516328331862312
400,Prince George's,1983,Prince George's Precinct 12-002,167,1491,201,591,61,124,1983,1.0,0.08421583459404942,0.7518910741301059,0.10136157337367625,0.06253151790216843,1331,0.2980332829046899,0.030761472516389308,0.6712052445789208
401,Prince George's,4528,Prince George's Precinct 12-009,53,4012,371,734,21,92,4528,1.0,0.011704946996466431,0.8860424028268551,0.08193462897526502,0.020318021201413426,3773,0.16210247349823323,0.004637809187279152,0.8332597173144877
402,Prince George's,4488,Prince George's Precinct 12-004,126,3691,498,1106,55,173,4488,1.0,0.02807486631016043,0.8224153297682709,0.11096256684491979,0.03854723707664884,3327,0.2464349376114082,0.012254901960784314,0.7413101604278075
403,Prince George's,4072,Prince George's Precinct 12-006,80,3758,150,921,50,84,4072,1.0,0.019646365422396856,0.9228880157170923,0.03683693516699411,0.0206286836935167,3101,0.22617878192534382,0.012278978388998035,0.7615422396856582
404,Prince George's,3288,Prince George's Precinct 12-012,212,2713,147,901,62,216,3288,1.0,0.06447688564476886,0.8251216545012166,0.04470802919708029,0.06569343065693431,2325,0.27402676399026765,0.018856447688564478,0.7071167883211679
405,Prince George's,2724,Prince George's Precinct 12-016,113,2335,185,608,30,91,2724,1.0,0.041483113069016156,0.8571953010279001,0.06791483113069016,0.03340675477239354,2086,0.22320117474302498,0.011013215859030838,0.7657856093979442
406,Prince George's,3144,Prince George's Precinct 12-003,178,2672,156,789,37,138,3144,1.0,0.056615776081424936,0.8498727735368957,0.04961832061068702,0.04389312977099236,2318,0.25095419847328243,0.011768447837150127,0.7372773536895675
407,Prince George's,1980,Prince George's Precinct 12-007,69,1759,91,745,52,61,1980,1.0,0.03484848484848485,0.8883838383838384,0.04595959595959596,0.03080808080808081,1183,0.37626262626262624,0.026262626262626262,0.5974747474747475
408,Prince George's,1110,Prince George's Precinct 12-017,127,920,20,181,8,43,1110,1.0,0.11441441441441441,0.8288288288288288,0.018018018018018018,0.03873873873873874,921,0.16306306306306306,0.007207207207207207,0.8297297297297297
409,Prince George's,3753,Prince George's Precinct 12-013,94,3516,77,1204,41,66,3753,1.0,0.025046629363176125,0.9368505195843325,0.02051691979749534,0.017585931254996003,2508,0.32081001865174524,0.010924593658406609,0.6682653876898481
410,Prince George's,2131,Prince George's Precinct 06-008,57,1967,67,701,20,40,2131,1.0,0.02674800563115908,0.9230408259033318,0.03144063819802909,0.018770530267480056,1410,0.328953542937588,0.009385265133740028,0.661661191928672
411,Prince George's,4750,Prince George's Precinct 06-017,139,4336,177,1112,52,98,4750,1.0,0.02926315789473684,0.9128421052631579,0.037263157894736845,0.02063157894736842,3586,0.23410526315789473,0.010947368421052631,0.7549473684210526
412,Prince George's,2691,Prince George's Precinct 06-009,88,2440,88,736,30,75,2691,1.0,0.032701597918989224,0.9067261241174285,0.032701597918989224,0.027870680044593088,1925,0.27350427350427353,0.011148272017837236,0.7153474544778893
413,Prince George's,2205,Prince George's Precinct 06-012,55,2031,62,611,33,57,2205,1.0,0.024943310657596373,0.9210884353741496,0.028117913832199547,0.02585034013605442,1561,0.27709750566893426,0.014965986394557823,0.707936507936508
452,Prince George's,2194,Prince George's Precinct 12-008,175,1753,177,763,41,89,2194,1.0,0.07976298997265269,0.7989972652689152,0.08067456700091158,0.04056517775752051,1390,0.3477666362807657,0.018687329079307202,0.6335460346399271
453,Prince George's,2657,Prince George's Precinct 12-015,108,2244,184,930,54,121,2657,1.0,0.04064734663153933,0.8445615355664283,0.06925103500188182,0.045540082800150546,1673,0.35001881821603315,0.020323673315769664,0.6296575084681972
470,Prince George's,3323,Prince George's Precinct 09-007,221,2830,139,1487,122,133,3323,1.0,0.06650616912428528,0.8516400842612097,0.041829671983147756,0.04002407463135721,1714,0.4474872103520915,0.0367138128197412,0.5157989768281673
471,Prince George's,2034,Prince George's Precinct 09-004,273,1568,114,881,89,79,2034,1.0,0.13421828908554573,0.7708947885939036,0.05604719764011799,0.03883972468043265,1064,0.4331366764995084,0.04375614552605703,0.5231071779744346
472,Prince George's,3032,Prince George's Precinct 09-005,266,2338,248,1183,77,180,3032,1.0,0.08773087071240106,0.771108179419525,0.08179419525065963,0.059366754617414245,1772,0.39017150395778366,0.025395778364116096,0.5844327176781002
473,Prince George's,3691,Prince George's Precinct 09-001,425,2903,169,1546,127,194,3691,1.0,0.11514494716878895,0.7865077214846925,0.04578704958005961,0.05256028176645895,2018,0.4188566784069358,0.034408019506908694,0.5467353020861555
474,Prince George's,2377,Prince George's Precinct 09-010,356,1758,129,912,89,134,2377,1.0,0.14976861590239798,0.7395877156079091,0.05427008834665545,0.05637358014303744,1376,0.38367690366007573,0.037442153975599496,0.5788809423643247
475,Prince George's,3501,Prince George's Precinct 09-002,398,2796,163,1135,82,144,3501,1.0,0.11368180519851472,0.7986289631533847,0.04655812624964296,0.04113110539845758,2284,0.32419308768923166,0.023421879463010567,0.6523850328477577
476,Prince George's,4703,Prince George's Precinct 09-008,452,3857,186,2016,149,208,4703,1.0,0.09610886668084201,0.8201148203274505,0.03954922389963853,0.04422708909206889,2538,0.42866255581543694,0.031681905166914735,0.5396555390176483
477,Prince George's,2747,Prince George's Precinct 09-006,357,2124,147,1452,110,119,2747,1.0,0.12995995631598106,0.7732071350564252,0.05351292318893338,0.043319985438660356,1185,0.5285766290498726,0.04004368401892974,0.43137968693119766
478,Prince George's,2862,Prince George's Precinct 11-004,854,1799,71,1570,275,138,2862,1.0,0.2983927323549965,0.6285814116002795,0.02480782669461915,0.04821802935010482,1017,0.5485674353598882,0.09608665269042628,0.3553459119496855
479,Prince George's,2840,Prince George's Precinct 11-001,589,2020,123,1074,152,108,2840,1.0,0.2073943661971831,0.7112676056338029,0.043309859154929575,0.038028169014084505,1614,0.37816901408450704,0.05352112676056338,0.5683098591549296
480,Prince George's,4018,Prince George's Precinct 09-011,519,3105,204,1223,129,190,4018,1.0,0.12916874066699852,0.7727725236436038,0.0507715281234445,0.04728720756595321,2666,0.3043802887008462,0.03210552513688402,0.6635141861622698
481,Prince George's,1565,Prince George's Precinct 09-009,577,815,107,484,79,66,1565,1.0,0.36869009584664536,0.5207667731629393,0.068370607028754,0.042172523961661344,1002,0.3092651757188498,0.05047923322683706,0.6402555910543131
482,Prince George's,3439,Prince George's Precinct 11-003,484,2717,73,1406,125,165,3439,1.0,0.14073858679848794,0.7900552486187845,0.021227100901424833,0.047979063681302704,1908,0.4088397790055249,0.036347775516138416,0.5548124454783367
483,Prince George's,2108,Prince George's Precinct 15-003,209,1767,51,1093,75,81,2108,1.0,0.099146110056926,0.8382352941176471,0.024193548387096774,0.03842504743833017,940,0.5185009487666035,0.03557874762808349,0.4459203036053131
484,Prince George's,821,Prince George's Precinct 01-007,488,223,75,621,198,35,821,1.2371601208459215,0.5943970767356882,0.27161997563946405,0.09135200974421437,0.04263093788063337,2,0.756394640682095,0.24116930572472595,0.00243605359317905
485,Prince George's,2108,Prince George's Precinct 06-014,231,1714,85,533,41,78,2108,1.0,0.10958254269449716,0.8130929791271347,0.04032258064516129,0.03700189753320683,1534,0.2528462998102467,0.019449715370018977,0.7277039848197343
486,Prince George's,1176,Prince George's Precinct 06-002,134,919,75,525,46,48,1176,1.0,0.11394557823129252,0.7814625850340136,0.06377551020408163,0.04081632653061224,605,0.44642857142857145,0.0391156462585034,0.5144557823129252
