,COUNTY,VAP,NAME,WVAP,COMP18D,COMP18R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,COMP18None,COMP18D_pct,COMP18R_pct,COMP18None_pct
388,Prince George's,1692,Prince George's Precinct 08-001,980,502,245,712,1692,1.0,0.5791962174940898,0.42080378250591016,945,0.2966903073286052,0.14479905437352245,0.5585106382978723
389,Prince George's,2531,Prince George's Precinct 11-002,511,1645,163,2020,2531,1.0,0.20189648360331885,0.7981035163966812,723,0.6499407348873962,0.06440142236270249,0.28565784274990125
390,Prince George's,3507,Prince George's Precinct 15-001,574,2233,190,2933,3507,1.0,0.16367265469061876,0.8363273453093812,1084,0.6367265469061876,0.054177359566581124,0.3090960935272313
391,Prince George's,3267,Prince George's Precinct 15-004,469,1917,173,2798,3267,1.0,0.1435567799204163,0.8564432200795837,1177,0.5867768595041323,0.0529537802265075,0.3602693602693603
392,Prince George's,2065,Prince George's Precinct 04-001,1341,735,401,724,2065,1.0,0.6493946731234866,0.3506053268765133,929,0.3559322033898305,0.19418886198547217,0.44987893462469736
394,Prince George's,1133,Prince George's Precinct 03-001,419,574,128,714,1133,1.0,0.3698146513680494,0.6301853486319505,431,0.5066195939982348,0.11297440423654016,0.38040600176522504
400,Prince George's,1983,Prince George's Precinct 12-002,167,873,58,1816,1983,1.0,0.08421583459404942,0.9157841654059505,1052,0.4402420574886536,0.02924861321230459,0.5305093292990418
401,Prince George's,4528,Prince George's Precinct 12-009,53,1269,38,4475,4528,1.0,0.011704946996466431,0.9882950530035336,3221,0.28025618374558303,0.008392226148409895,0.711351590106007
402,Prince George's,4488,Prince George's Precinct 12-004,126,1691,61,4362,4488,1.0,0.02807486631016043,0.9719251336898396,2736,0.3767825311942959,0.013591800356506239,0.6096256684491979
403,Prince George's,4072,Prince George's Precinct 12-006,80,1501,48,3992,4072,1.0,0.019646365422396856,0.9803536345776032,2523,0.36861493123772104,0.011787819253438114,0.6195972495088409
404,Prince George's,3288,Prince George's Precinct 12-012,212,1351,61,3076,3288,1.0,0.06447688564476886,0.9355231143552312,1876,0.41088807785888076,0.018552311435523116,0.5705596107055961
405,Prince George's,2724,Prince George's Precinct 12-016,113,1059,43,2611,2724,1.0,0.041483113069016156,0.9585168869309838,1622,0.38876651982378857,0.0157856093979442,0.5954478707782672
406,Prince George's,3144,Prince George's Precinct 12-003,178,1271,39,2966,3144,1.0,0.056615776081424936,0.943384223918575,1834,0.4042620865139949,0.012404580152671756,0.5833333333333334
407,Prince George's,1980,Prince George's Precinct 12-007,69,1170,70,1911,1980,1.0,0.03484848484848485,0.9651515151515152,740,0.5909090909090909,0.03535353535353535,0.37373737373737376
408,Prince George's,1110,Prince George's Precinct 12-017,127,284,6,983,1110,1.0,0.11441441441441441,0.8855855855855855,820,0.25585585585585585,0.005405405405405406,0.7387387387387387
409,Prince George's,3753,Prince George's Precinct 12-013,94,1689,57,3659,3753,1.0,0.025046629363176125,0.9749533706368239,2007,0.45003996802557955,0.015187849720223821,0.5347721822541966
410,Prince George's,2131,Prince George's Precinct 06-008,57,1044,33,2074,2131,1.0,0.02674800563115908,0.9732519943688409,1054,0.4899108399812295,0.015485687470671047,0.4946034725480995
411,Prince George's,4750,Prince George's Precinct 06-017,139,1723,48,4611,4750,1.0,0.02926315789473684,0.9707368421052631,2979,0.36273684210526314,0.010105263157894737,0.6271578947368421
412,Prince George's,2691,Prince George's Precinct 06-009,88,1108,38,2603,2691,1.0,0.032701597918989224,0.9672984020810108,1545,0.41174284652545523,0.014121144555927164,0.5741360089186176
