,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV18PDNone,GOV18PD_BJ_pct,GOV18PD_JS_pct,GOV18PD_KV_pct,GOV18PD_RM_pct,GOV18PD_RB_pct,GOV18PDNone_pct
388,Prince George's,1692,Prince George's Precinct 08-001,980,639,19,75,2,12,3,106,54,1692,1,0.5791962174940898,0.3776595744680851,0.011229314420803783,0.031914893617021274,1494,0.044326241134751775,0.001182033096926714,0.0070921985815602835,0.0017730496453900709,0.06264775413711583,0.8829787234042553
389,Prince George's,2531,Prince George's Precinct 11-002,511,1777,95,324,16,28,10,401,148,2531,1,0.20189648360331885,0.7020940339786645,0.0375345713156855,0.05847491110233109,1752,0.12801264322402212,0.006321612011062821,0.011062821019359936,0.0039510075069142635,0.15843540102726195,0.692216515211379
390,Prince George's,3507,Prince George's Precinct 15-001,574,2678,90,399,10,35,13,530,165,3507,1,0.16367265469061876,0.763615625891075,0.02566295979469632,0.04704875962360992,2520,0.11377245508982035,0.00285143997718848,0.00998003992015968,0.0037068719703450244,0.15112631879098945,0.718562874251497
391,Prince George's,3267,Prince George's Precinct 15-004,469,2577,60,347,12,35,11,487,161,3267,1,0.1435567799204163,0.7887970615243343,0.018365472910927456,0.04928068564432201,2375,0.10621365166819713,0.0036730945821854912,0.010713192531374349,0.003367003367003367,0.14906642179369453,0.7269666360575452
392,Prince George's,2065,Prince George's Precinct 04-001,1341,584,66,109,5,17,3,173,74,2065,1,0.6493946731234866,0.2828087167070218,0.031961259079903145,0.03583535108958838,1758,0.05278450363196126,0.002421307506053269,0.008232445520581114,0.0014527845036319612,0.0837772397094431,0.8513317191283293
394,Prince George's,1133,Prince George's Precinct 03-001,419,631,33,100,5,12,5,133,50,1133,1,0.3698146513680494,0.5569285083848191,0.02912621359223301,0.0441306266548985,878,0.088261253309797,0.00441306266548985,0.01059135039717564,0.00441306266548985,0.11738746690203,0.7749338040600177
400,Prince George's,1983,Prince George's Precinct 12-002,167,1491,201,146,5,11,3,149,124,1983,1,0.08421583459404942,0.7518910741301059,0.10136157337367625,0.06253151790216843,1669,0.07362581946545638,0.0025214321734745334,0.005547150781643974,0.0015128593040847202,0.0751386787695411,0.8416540595057993
401,Prince George's,4528,Prince George's Precinct 12-009,53,4012,371,155,4,12,3,209,92,4528,1,0.011704946996466431,0.8860424028268551,0.08193462897526502,0.020318021201413426,4145,0.034231448763250884,0.0008833922261484099,0.00265017667844523,0.0006625441696113075,0.04615724381625442,0.9154151943462897
402,Prince George's,4488,Prince George's Precinct 12-004,126,3691,498,262,6,17,10,325,173,4488,1,0.02807486631016043,0.8224153297682709,0.11096256684491979,0.03854723707664884,3868,0.05837789661319073,0.001336898395721925,0.003787878787878788,0.0022281639928698753,0.07241532976827095,0.8618538324420677
403,Prince George's,4072,Prince George's Precinct 12-006,80,3758,150,196,6,25,8,295,84,4072,1,0.019646365422396856,0.9228880157170923,0.03683693516699411,0.0206286836935167,3542,0.0481335952848723,0.0014734774066797642,0.006139489194499017,0.0019646365422396855,0.07244597249508841,0.8698428290766208
404,Prince George's,3288,Prince George's Precinct 12-012,212,2713,147,217,6,14,8,274,216,3288,1,0.06447688564476886,0.8251216545012166,0.04470802919708029,0.06569343065693431,2769,0.06599756690997567,0.0018248175182481751,0.004257907542579075,0.0024330900243309003,0.08333333333333333,0.8421532846715328
405,Prince George's,2724,Prince George's Precinct 12-016,113,2335,185,137,2,17,2,218,91,2724,1,0.041483113069016156,0.8571953010279001,0.06791483113069016,0.03340675477239354,2348,0.050293685756240825,0.0007342143906020558,0.006240822320117474,0.0007342143906020558,0.08002936857562408,0.8619676945668135
406,Prince George's,3144,Prince George's Precinct 12-003,178,2672,156,153,8,13,2,235,138,3144,1,0.056615776081424936,0.8498727735368957,0.04961832061068702,0.04389312977099236,2733,0.04866412213740458,0.002544529262086514,0.004134860050890585,0.0006361323155216285,0.07474554707379134,0.8692748091603053
407,Prince George's,1980,Prince George's Precinct 12-007,69,1759,91,161,4,17,4,225,61,1980,1,0.03484848484848485,0.8883838383838384,0.04595959595959596,0.03080808080808081,1569,0.08131313131313131,0.00202020202020202,0.008585858585858586,0.00202020202020202,0.11363636363636363,0.7924242424242425
408,Prince George's,1110,Prince George's Precinct 12-017,127,920,20,49,0,4,0,54,43,1110,1,0.11441441441441441,0.8288288288288288,0.018018018018018018,0.03873873873873874,1003,0.044144144144144144,0.0,0.0036036036036036037,0.0,0.04864864864864865,0.9036036036036036
409,Prince George's,3753,Prince George's Precinct 12-013,94,3516,77,288,10,16,10,376,66,3753,1,0.025046629363176125,0.9368505195843325,0.02051691979749534,0.017585931254996003,3053,0.07673860911270983,0.002664535038635758,0.004263256061817213,0.002664535038635758,0.1001865174527045,0.813482547295497
410,Prince George's,2131,Prince George's Precinct 06-008,57,1967,67,169,6,9,7,220,40,2131,1,0.02674800563115908,0.9230408259033318,0.03144063819802909,0.018770530267480056,1720,0.07930549038010323,0.0028155795401220087,0.004223369310183012,0.00328484279680901,0.1032379164711403,0.8071328015016425
411,Prince George's,4750,Prince George's Precinct 06-017,139,4336,177,278,6,21,11,337,98,4750,1,0.02926315789473684,0.9128421052631579,0.037263157894736845,0.02063157894736842,4097,0.05852631578947368,0.0012631578947368421,0.004421052631578947,0.0023157894736842107,0.07094736842105263,0.8625263157894737
412,Prince George's,2691,Prince George's Precinct 06-009,88,2440,88,182,5,14,4,203,75,2691,1,0.032701597918989224,0.9067261241174285,0.032701597918989224,0.027870680044593088,2283,0.06763285024154589,0.0018580453363062058,0.005202526941657376,0.0014864362690449647,0.07543664065403195,0.8483835005574136
413,Prince George's,2205,Prince George's Precinct 06-012,55,2031,62,129,5,13,8,177,57,2205,1,0.024943310657596373,0.9210884353741496,0.028117913832199547,0.02585034013605442,1873,0.058503401360544216,0.0022675736961451248,0.0058956916099773245,0.0036281179138321997,0.08027210884353742,0.8494331065759637
452,Prince George's,2194,Prince George's Precinct 12-008,175,1753,177,214,5,16,7,208,89,2194,1,0.07976298997265269,0.7989972652689152,0.08067456700091158,0.04056517775752051,1744,0.097538742023701,0.0022789425706472195,0.007292616226071103,0.0031905195989061076,0.09480401093892434,0.7948951686417502
