,COUNTY,VAP,NAME,WVAP,GOV18D,GOV18R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV18None,GOV18D_pct,GOV18R_pct,GOV18None_pct
388,Prince George's,1692,Prince George's Precinct 08-001,980,338,692,712,1692,1.0,0.5791962174940898,0.42080378250591016,662,0.19976359338061467,0.408983451536643,0.3912529550827423
389,Prince George's,2531,Prince George's Precinct 11-002,511,1276,541,2020,2531,1.0,0.20189648360331885,0.7981035163966812,714,0.50414855788226,0.21374950612406163,0.2821019359936784
390,Prince George's,3507,Prince George's Precinct 15-001,574,1760,662,2933,3507,1.0,0.16367265469061876,0.8363273453093812,1085,0.5018534359851725,0.1887653264898774,0.3093812375249501
391,Prince George's,3267,Prince George's Precinct 15-004,469,1518,582,2798,3267,1.0,0.1435567799204163,0.8564432200795837,1167,0.46464646464646464,0.1781450872359963,0.35720844811753905
392,Prince George's,2065,Prince George's Precinct 04-001,1341,462,1074,724,2065,1.0,0.6493946731234866,0.3506053268765133,529,0.22372881355932203,0.5200968523002422,0.25617433414043583
394,Prince George's,1133,Prince George's Precinct 03-001,419,405,381,714,1133,1.0,0.3698146513680494,0.6301853486319505,347,0.3574580759046778,0.33627537511032657,0.3062665489849956
400,Prince George's,1983,Prince George's Precinct 12-002,167,690,216,1816,1983,1.0,0.08421583459404942,0.9157841654059505,1077,0.34795763993948564,0.10892586989409984,0.5431164901664145
401,Prince George's,4528,Prince George's Precinct 12-009,53,1065,149,4475,4528,1.0,0.011704946996466431,0.9882950530035336,3314,0.23520318021201414,0.032906360424028266,0.7318904593639576
402,Prince George's,4488,Prince George's Precinct 12-004,126,1371,284,4362,4488,1.0,0.02807486631016043,0.9719251336898396,2833,0.3054812834224599,0.06327985739750445,0.6312388591800356
403,Prince George's,4072,Prince George's Precinct 12-006,80,1214,236,3992,4072,1.0,0.019646365422396856,0.9803536345776032,2622,0.2981335952848723,0.05795677799607073,0.6439096267190569
404,Prince George's,3288,Prince George's Precinct 12-012,212,1097,237,3076,3288,1.0,0.06447688564476886,0.9355231143552312,1954,0.3336374695863747,0.07208029197080291,0.5942822384428224
405,Prince George's,2724,Prince George's Precinct 12-016,113,867,157,2611,2724,1.0,0.041483113069016156,0.9585168869309838,1700,0.31828193832599116,0.05763582966226138,0.6240822320117474
406,Prince George's,3144,Prince George's Precinct 12-003,178,1001,211,2966,3144,1.0,0.056615776081424936,0.943384223918575,1932,0.31838422391857507,0.0671119592875318,0.6145038167938931
407,Prince George's,1980,Prince George's Precinct 12-007,69,943,244,1911,1980,1.0,0.03484848484848485,0.9651515151515152,793,0.4762626262626263,0.12323232323232323,0.40050505050505053
408,Prince George's,1110,Prince George's Precinct 12-017,127,218,54,983,1110,1.0,0.11441441441441441,0.8855855855855855,838,0.1963963963963964,0.04864864864864865,0.7549549549549549
409,Prince George's,3753,Prince George's Precinct 12-013,94,1363,242,3659,3753,1.0,0.025046629363176125,0.9749533706368239,2148,0.36317612576605385,0.06448174793498535,0.5723421262989609
410,Prince George's,2131,Prince George's Precinct 06-008,57,848,168,2074,2131,1.0,0.02674800563115908,0.9732519943688409,1115,0.3979352416705772,0.07883622712341623,0.5232285312060065
411,Prince George's,4750,Prince George's Precinct 06-017,139,1399,220,4611,4750,1.0,0.02926315789473684,0.9707368421052631,3131,0.2945263157894737,0.04631578947368421,0.659157894736842
412,Prince George's,2691,Prince George's Precinct 06-009,88,901,166,2603,2691,1.0,0.032701597918989224,0.9672984020810108,1624,0.3348197696023783,0.06168710516536603,0.6034931252322556
