,COUNTY,VAP,NAME,WVAP,PRES12D,PRES12R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,PRES12None,PRES12D_pct,PRES12R_pct,PRES12None_pct
388,Prince George's,1692,Prince George's Precinct 08-001,980,718,370,712,1692,1.0,0.5791962174940898,0.42080378250591016,604,0.4243498817966903,0.2186761229314421,0.35697399527186763
389,Prince George's,2531,Prince George's Precinct 11-002,511,2010,226,2020,2531,1.0,0.20189648360331885,0.7981035163966812,295,0.7941525088897669,0.08929276965626234,0.11655472145397076
390,Prince George's,3507,Prince George's Precinct 15-001,574,2639,248,2933,3507,1.0,0.16367265469061876,0.8363273453093812,620,0.7524950099800399,0.07071571143427431,0.17678927858568577
391,Prince George's,3267,Prince George's Precinct 15-004,469,2083,184,2798,3267,1.0,0.1435567799204163,0.8564432200795837,1000,0.6375880012243649,0.056320783593510865,0.3060912151821243
392,Prince George's,2065,Prince George's Precinct 04-001,1341,906,626,724,2065,1.0,0.6493946731234866,0.3506053268765133,533,0.4387409200968523,0.30314769975786926,0.25811138014527846
394,Prince George's,1133,Prince George's Precinct 03-001,419,653,198,714,1133,1.0,0.3698146513680494,0.6301853486319505,282,0.5763459841129744,0.17475728155339806,0.24889673433362755
400,Prince George's,1983,Prince George's Precinct 12-002,167,1233,63,1816,1983,1.0,0.08421583459404942,0.9157841654059505,687,0.6217851739788199,0.03177004538577912,0.3464447806354009
401,Prince George's,4528,Prince George's Precinct 12-009,53,1984,20,4475,4528,1.0,0.011704946996466431,0.9882950530035336,2524,0.4381625441696113,0.00441696113074205,0.5574204946996466
402,Prince George's,4488,Prince George's Precinct 12-004,126,2393,55,4362,4488,1.0,0.02807486631016043,0.9719251336898396,2040,0.5331996434937611,0.012254901960784314,0.45454545454545453
403,Prince George's,4072,Prince George's Precinct 12-006,80,2115,37,3992,4072,1.0,0.019646365422396856,0.9803536345776032,1920,0.5194007858546169,0.009086444007858546,0.4715127701375246
404,Prince George's,3288,Prince George's Precinct 12-012,212,1947,70,3076,3288,1.0,0.06447688564476886,0.9355231143552312,1271,0.5921532846715328,0.021289537712895375,0.3865571776155718
405,Prince George's,2724,Prince George's Precinct 12-016,113,1307,34,2611,2724,1.0,0.041483113069016156,0.9585168869309838,1383,0.4798091042584435,0.012481644640234948,0.5077092511013216
406,Prince George's,3144,Prince George's Precinct 12-003,178,1805,43,2966,3144,1.0,0.056615776081424936,0.943384223918575,1296,0.5741094147582697,0.013676844783715014,0.4122137404580153
