,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,PRES16D,PRES16R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,PRES16None,PRES16D_pct,PRES16R_pct,PRES16None_pct
388,Prince George's,1692,Prince George's Precinct 08-001,980,639,19,561,355,54,1692,1.0,0.5791962174940898,0.3776595744680851,0.011229314420803783,0.031914893617021274,776,0.33156028368794327,0.20981087470449172,0.458628841607565
389,Prince George's,2531,Prince George's Precinct 11-002,511,1777,95,1917,203,148,2531,1.0,0.20189648360331885,0.7020940339786645,0.0375345713156855,0.05847491110233109,411,0.7574081390754642,0.08020545239035955,0.1623864085341762
390,Prince George's,3507,Prince George's Precinct 15-001,574,2678,90,2656,187,165,3507,1.0,0.16367265469061876,0.763615625891075,0.02566295979469632,0.04704875962360992,664,0.7573424579412603,0.05332192757342458,0.18933561448531508
391,Prince George's,3267,Prince George's Precinct 15-004,469,2577,60,2122,183,161,3267,1.0,0.1435567799204163,0.7887970615243343,0.018365472910927456,0.04928068564432201,962,0.6495255586164677,0.05601469237832874,0.29445974900520355
392,Prince George's,2065,Prince George's Precinct 04-001,1341,584,66,797,576,74,2065,1.0,0.6493946731234866,0.2828087167070218,0.031961259079903145,0.03583535108958838,692,0.38595641646489104,0.27893462469733654,0.3351089588377724
394,Prince George's,1133,Prince George's Precinct 03-001,419,631,33,664,162,50,1133,1.0,0.3698146513680494,0.5569285083848191,0.02912621359223301,0.0441306266548985,307,0.5860547219770521,0.14298323036187113,0.2709620476610768
400,Prince George's,1983,Prince George's Precinct 12-002,167,1491,201,1085,61,124,1983,1.0,0.08421583459404942,0.7518910741301059,0.10136157337367625,0.06253151790216843,837,0.5471507816439738,0.030761472516389308,0.42208774583963693
401,Prince George's,4528,Prince George's Precinct 12-009,53,4012,371,1769,32,92,4528,1.0,0.011704946996466431,0.8860424028268551,0.08193462897526502,0.020318021201413426,2727,0.3906802120141343,0.007067137809187279,0.6022526501766784
402,Prince George's,4488,Prince George's Precinct 12-004,126,3691,498,2210,65,173,4488,1.0,0.02807486631016043,0.8224153297682709,0.11096256684491979,0.03854723707664884,2213,0.49242424242424243,0.014483065953654188,0.4930926916221034
403,Prince George's,4072,Prince George's Precinct 12-006,80,3758,150,1959,46,84,4072,1.0,0.019646365422396856,0.9228880157170923,0.03683693516699411,0.0206286836935167,2067,0.481090373280943,0.011296660117878193,0.5076129666011788
404,Prince George's,3288,Prince George's Precinct 12-012,212,2713,147,1742,51,216,3288,1.0,0.06447688564476886,0.8251216545012166,0.04470802919708029,0.06569343065693431,1495,0.5298053527980535,0.01551094890510949,0.45468369829683697
405,Prince George's,2724,Prince George's Precinct 12-016,113,2335,185,1268,37,91,2724,1.0,0.041483113069016156,0.8571953010279001,0.06791483113069016,0.03340675477239354,1419,0.4654919236417034,0.013582966226138032,0.5209251101321586
406,Prince George's,3144,Prince George's Precinct 12-003,178,2672,156,1540,44,138,3144,1.0,0.056615776081424936,0.8498727735368957,0.04961832061068702,0.04389312977099236,1560,0.48982188295165396,0.013994910941475827,0.4961832061068702
407,Prince George's,1980,Prince George's Precinct 12-007,69,1759,91,1495,64,61,1980,1.0,0.03484848484848485,0.8883838383838384,0.04595959595959596,0.03080808080808081,421,0.7550505050505051,0.03232323232323232,0.21262626262626264
408,Prince George's,1110,Prince George's Precinct 12-017,127,920,20,325,8,43,1110,1.0,0.11441441441441441,0.8288288288288288,0.018018018018018018,0.03873873873873874,777,0.2927927927927928,0.007207207207207207,0.7
409,Prince George's,3753,Prince George's Precinct 12-013,94,3516,77,2074,52,66,3753,1.0,0.025046629363176125,0.9368505195843325,0.02051691979749534,0.017585931254996003,1627,0.5526245670130562,0.013855582200905941,0.43351985078603783
410,Prince George's,2131,Prince George's Precinct 06-008,57,1967,67,1289,33,40,2131,1.0,0.02674800563115908,0.9230408259033318,0.03144063819802909,0.018770530267480056,809,0.6048803378695448,0.015485687470671047,0.37963397465978416
411,Prince George's,4750,Prince George's Precinct 06-017,139,4336,177,2227,45,98,4750,1.0,0.02926315789473684,0.9128421052631579,0.037263157894736845,0.02063157894736842,2478,0.4688421052631579,0.009473684210526316,0.5216842105263158
412,Prince George's,2691,Prince George's Precinct 06-009,88,2440,88,1399,37,75,2691,1.0,0.032701597918989224,0.9067261241174285,0.032701597918989224,0.027870680044593088,1255,0.5198810850984764,0.013749535488665924,0.46636937941285767
413,Prince George's,2205,Prince George's Precinct 06-012,55,2031,62,1315,38,57,2205,1.0,0.024943310657596373,0.9210884353741496,0.028117913832199547,0.02585034013605442,852,0.5963718820861678,0.017233560090702947,0.38639455782312926
452,Prince George's,2194,Prince George's Precinct 12-008,175,1753,177,1253,50,89,2194,1.0,0.07976298997265269,0.7989972652689152,0.08067456700091158,0.04056517775752051,891,0.5711030082041932,0.022789425706472195,0.40610756608933457
453,Prince George's,2657,Prince George's Precinct 12-015,108,2244,184,1668,70,121,2657,1.0,0.04064734663153933,0.8445615355664283,0.06925103500188182,0.045540082800150546,919,0.6277756868648852,0.026345502446368085,0.3458788106887467
470,Prince George's,3323,Prince George's Precinct 09-007,221,2830,139,2470,118,133,3323,1.0,0.06650616912428528,0.8516400842612097,0.041829671983147756,0.04002407463135721,735,0.7433042431537767,0.03551008125188083,0.22118567559434246
471,Prince George's,2034,Prince George's Precinct 09-004,273,1568,114,1516,106,79,2034,1.0,0.13421828908554573,0.7708947885939036,0.05604719764011799,0.03883972468043265,412,0.7453294001966568,0.05211406096361849,0.2025565388397247
472,Prince George's,3032,Prince George's Precinct 09-005,266,2338,248,1836,87,180,3032,1.0,0.08773087071240106,0.771108179419525,0.08179419525065963,0.059366754617414245,1109,0.6055408970976254,0.028693931398416885,0.36576517150395776
473,Prince George's,3691,Prince George's Precinct 09-001,425,2903,169,2510,145,194,3691,1.0,0.11514494716878895,0.7865077214846925,0.04578704958005961,0.05256028176645895,1036,0.6800325115144947,0.03928474668111623,0.28068274180438907
474,Prince George's,2377,Prince George's Precinct 09-010,356,1758,129,1593,119,134,2377,1.0,0.14976861590239798,0.7395877156079091,0.05427008834665545,0.05637358014303744,665,0.6701724863273033,0.05006310475389146,0.2797644089188052
475,Prince George's,3501,Prince George's Precinct 09-002,398,2796,163,1490,77,144,3501,1.0,0.11368180519851472,0.7986289631533847,0.04655812624964296,0.04113110539845758,1934,0.4255926878034847,0.02199371608111968,0.5524135961153956
476,Prince George's,4703,Prince George's Precinct 09-008,452,3857,186,3450,171,208,4703,1.0,0.09610886668084201,0.8201148203274505,0.03954922389963853,0.04422708909206889,1082,0.7335743142674889,0.0363597703593451,0.23006591537316606
477,Prince George's,2747,Prince George's Precinct 09-006,357,2124,147,2362,123,119,2747,1.0,0.12995995631598106,0.7732071350564252,0.05351292318893338,0.043319985438660356,262,0.8598471059337459,0.04477611940298507,0.09537677466326902
478,Prince George's,3408,Prince George's Precinct 11-004,1017,2141,85,3076,330,165,3408,1.1900768693221524,0.2984154929577465,0.6282276995305164,0.02494131455399061,0.04841549295774648,2,0.9025821596244131,0.09683098591549295,0.0005868544600938967
479,Prince George's,2840,Prince George's Precinct 11-001,589,2020,123,1753,212,108,2840,1.0,0.2073943661971831,0.7112676056338029,0.043309859154929575,0.038028169014084505,875,0.6172535211267606,0.07464788732394366,0.30809859154929575
480,Prince George's,4018,Prince George's Precinct 09-011,519,3105,204,2303,204,190,4018,1.0,0.12916874066699852,0.7727725236436038,0.0507715281234445,0.04728720756595321,1511,0.573170731707317,0.0507715281234445,0.37605774016923843
481,Prince George's,1565,Prince George's Precinct 09-009,577,815,107,870,125,66,1565,1.0,0.36869009584664536,0.5207667731629393,0.068370607028754,0.042172523961661344,570,0.5559105431309904,0.07987220447284345,0.36421725239616615
