,COUNTY,VAP,NAME,WVAP,SEN12D,SEN12R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN12None,SEN12D_pct,SEN12R_pct,SEN12None_pct
388,Prince George's,1692,Prince George's Precinct 08-001,980,583,200,712,1692,1.0,0.5791962174940898,0.42080378250591016,909,0.34456264775413714,0.1182033096926714,0.5372340425531915
389,Prince George's,2531,Prince George's Precinct 11-002,511,1743,146,2020,2531,1.0,0.20189648360331885,0.7981035163966812,642,0.6886606084551561,0.05768470960094824,0.2536546819438957
390,Prince George's,3507,Prince George's Precinct 15-001,574,2286,150,2933,3507,1.0,0.16367265469061876,0.8363273453093812,1071,0.6518391787852865,0.0427715996578272,0.30538922155688625
391,Prince George's,3267,Prince George's Precinct 15-004,469,1791,125,2798,3267,1.0,0.1435567799204163,0.8564432200795837,1351,0.5482093663911846,0.038261401897765536,0.4135292317110499
392,Prince George's,2065,Prince George's Precinct 04-001,1341,775,396,724,2065,1.0,0.6493946731234866,0.3506053268765133,894,0.37530266343825663,0.19176755447941887,0.43292978208232447
394,Prince George's,1133,Prince George's Precinct 03-001,419,569,127,714,1133,1.0,0.3698146513680494,0.6301853486319505,437,0.502206531332745,0.11209179170344219,0.3857016769638129
400,Prince George's,1983,Prince George's Precinct 12-002,167,1060,43,1816,1983,1.0,0.08421583459404942,0.9157841654059505,880,0.5345436207766011,0.02168431669188099,0.4437720625315179
401,Prince George's,4528,Prince George's Precinct 12-009,53,1700,16,4475,4528,1.0,0.011704946996466431,0.9882950530035336,2812,0.3754416961130742,0.0035335689045936395,0.6210247349823321
402,Prince George's,4488,Prince George's Precinct 12-004,126,2103,55,4362,4488,1.0,0.02807486631016043,0.9719251336898396,2330,0.46858288770053474,0.012254901960784314,0.5191622103386809
403,Prince George's,4072,Prince George's Precinct 12-006,80,1837,32,3992,4072,1.0,0.019646365422396856,0.9803536345776032,2203,0.45112966601178783,0.007858546168958742,0.5410117878192534
404,Prince George's,3288,Prince George's Precinct 12-012,212,1737,45,3076,3288,1.0,0.06447688564476886,0.9355231143552312,1506,0.5282846715328468,0.013686131386861315,0.458029197080292
405,Prince George's,2724,Prince George's Precinct 12-016,113,1106,31,2611,2724,1.0,0.041483113069016156,0.9585168869309838,1587,0.40602055800293685,0.011380323054331865,0.5825991189427313
406,Prince George's,3144,Prince George's Precinct 12-003,178,1584,35,2966,3144,1.0,0.056615776081424936,0.943384223918575,1525,0.5038167938931297,0.0111323155216285,0.48505089058524176
407,Prince George's,1980,Prince George's Precinct 12-007,69,1063,34,1911,1980,1.0,0.03484848484848485,0.9651515151515152,883,0.5368686868686868,0.01717171717171717,0.44595959595959594
408,Prince George's,1110,Prince George's Precinct 12-017,127,603,17,983,1110,1.0,0.11441441441441441,0.8855855855855855,490,0.5432432432432432,0.015315315315315315,0.44144144144144143
409,Prince George's,3753,Prince George's Precinct 12-013,94,1948,32,3659,3753,1.0,0.025046629363176125,0.9749533706368239,1773,0.5190514255262457,0.008526512123634426,0.4724220623501199
410,Prince George's,2131,Prince George's Precinct 06-008,57,1204,20,2074,2131,1.0,0.02674800563115908,0.9732519943688409,907,0.5649929610511497,0.009385265133740028,0.4256217738151103
411,Prince George's,4750,Prince George's Precinct 06-017,139,2101,30,4611,4750,1.0,0.02926315789473684,0.9707368421052631,2619,0.4423157894736842,0.00631578947368421,0.5513684210526316
412,Prince George's,2691,Prince George's Precinct 06-009,88,1327,26,2603,2691,1.0,0.032701597918989224,0.9672984020810108,1338,0.493125232255667,0.00966183574879227,0.4972129319955407
413,Prince George's,2205,Prince George's Precinct 06-012,55,1244,21,2150,2205,1.0,0.024943310657596373,0.9750566893424036,940,0.5641723356009071,0.009523809523809525,0.42630385487528344
452,Prince George's,2194,Prince George's Precinct 12-008,175,1364,39,2019,2194,1.0,0.07976298997265269,0.9202370100273473,791,0.6216955332725616,0.017775752051048314,0.36052871467639014
453,Prince George's,2657,Prince George's Precinct 12-015,108,1604,37,2549,2657,1.0,0.04064734663153933,0.9593526533684607,1016,0.6036883703424916,0.013925479864508844,0.3823861497929996
470,Prince George's,3323,Prince George's Precinct 09-007,221,2298,68,3102,3323,1.0,0.06650616912428528,0.9334938308757147,957,0.6915437857357809,0.02046343665362624,0.28799277761059283
471,Prince George's,2034,Prince George's Precinct 09-004,273,1393,63,1761,2034,1.0,0.13421828908554573,0.8657817109144543,578,0.6848574237954769,0.030973451327433628,0.28416912487708945
472,Prince George's,3032,Prince George's Precinct 09-005,266,1864,62,2766,3032,1.0,0.08773087071240106,0.912269129287599,1106,0.6147757255936676,0.020448548812664908,0.36477572559366755
473,Prince George's,3691,Prince George's Precinct 09-001,425,2379,106,3266,3691,1.0,0.11514494716878895,0.884855052831211,1206,0.6445407748577622,0.028718504470333243,0.3267407206719046
474,Prince George's,2377,Prince George's Precinct 09-010,356,1457,79,2021,2377,1.0,0.14976861590239798,0.850231384097602,841,0.612957509465713,0.03323517038283551,0.3538073201514514
475,Prince George's,3501,Prince George's Precinct 09-002,398,1708,66,3103,3501,1.0,0.11368180519851472,0.8863181948014853,1727,0.48786061125392743,0.018851756640959727,0.49328763210511284
476,Prince George's,4703,Prince George's Precinct 09-008,452,2950,95,4251,4703,1.0,0.09610886668084201,0.9038911333191579,1658,0.6272591962577079,0.02019987242185839,0.3525409313204338
477,Prince George's,2747,Prince George's Precinct 09-006,357,1875,82,2390,2747,1.0,0.12995995631598106,0.8700400436840189,790,0.6825627957772115,0.029850746268656716,0.2875864579541318
478,Prince George's,2862,Prince George's Precinct 11-004,854,2223,202,2008,2862,1.0,0.2983927323549965,0.7016072676450035,437,0.7767295597484277,0.07058001397624039,0.15269042627533194
