,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN18D,SEN18R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN18None,SEN18D_pct,SEN18R_pct,SEN18None_pct
388,Prince George's,1692,Prince George's Precinct 08-001,980,639,19,476,241,54,1692,1.0,0.5791962174940898,0.3776595744680851,0.011229314420803783,0.031914893617021274,975,0.28132387706855794,0.14243498817966904,0.5762411347517731
389,Prince George's,2531,Prince George's Precinct 11-002,511,1777,95,1658,150,148,2531,1.0,0.20189648360331885,0.7020940339786645,0.0375345713156855,0.05847491110233109,723,0.6550770446463848,0.05926511260371395,0.28565784274990125
390,Prince George's,3507,Prince George's Precinct 15-001,574,2678,90,2269,159,165,3507,1.0,0.16367265469061876,0.763615625891075,0.02566295979469632,0.04704875962360992,1079,0.6469917308240661,0.045337895637296836,0.307670373538637
391,Prince George's,3267,Prince George's Precinct 15-004,469,2577,60,1956,143,161,3267,1.0,0.1435567799204163,0.7887970615243343,0.018365472910927456,0.04928068564432201,1168,0.5987144168962351,0.04377104377104377,0.35751453933272115
392,Prince George's,2065,Prince George's Precinct 04-001,1341,584,66,705,396,74,2065,1.0,0.6493946731234866,0.2828087167070218,0.031961259079903145,0.03583535108958838,964,0.3414043583535109,0.19176755447941887,0.4668280871670702
394,Prince George's,1133,Prince George's Precinct 03-001,419,631,33,567,123,50,1133,1.0,0.3698146513680494,0.5569285083848191,0.02912621359223301,0.0441306266548985,443,0.500441306266549,0.10856134157105031,0.3909973521624007
400,Prince George's,1983,Prince George's Precinct 12-002,167,1491,201,876,48,124,1983,1.0,0.08421583459404942,0.7518910741301059,0.10136157337367625,0.06253151790216843,1059,0.44175491679273826,0.024205748865355523,0.5340393343419062
401,Prince George's,4528,Prince George's Precinct 12-009,53,4012,371,1274,27,92,4528,1.0,0.011704946996466431,0.8860424028268551,0.08193462897526502,0.020318021201413426,3227,0.28136042402826855,0.005962897526501767,0.7126766784452296
402,Prince George's,4488,Prince George's Precinct 12-004,126,3691,498,1704,47,173,4488,1.0,0.02807486631016043,0.8224153297682709,0.11096256684491979,0.03854723707664884,2737,0.37967914438502676,0.010472370766488414,0.6098484848484849
403,Prince George's,4072,Prince George's Precinct 12-006,80,3758,150,1507,39,84,4072,1.0,0.019646365422396856,0.9228880157170923,0.03683693516699411,0.0206286836935167,2526,0.3700884086444008,0.009577603143418467,0.6203339882121808
404,Prince George's,3288,Prince George's Precinct 12-012,212,2713,147,1367,46,216,3288,1.0,0.06447688564476886,0.8251216545012166,0.04470802919708029,0.06569343065693431,1875,0.41575425790754256,0.013990267639902677,0.5702554744525548
