,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,AG14PDNone,AG14PD_BFR_pct,AG14PD_ABR_pct,AG14PD_JCA_pct,AG14PDNone_pct
108,Washington,2005,Washington Precinct 07-002,1820,74,68,39,7,39,43,2005,1,0.9077306733167082,0.03690773067331671,0.03391521197007481,0.02144638403990025,1920,0.01945137157107232,0.003491271820448878,0.01945137157107232,0.9576059850374065
109,Washington,2584,Washington Precinct 07-001,2474,27,53,45,10,35,30,2584,1,0.9574303405572755,0.01044891640866873,0.020510835913312694,0.011609907120743035,2494,0.01741486068111455,0.003869969040247678,0.013544891640866873,0.9651702786377709
110,Washington,883,Washington Precinct 14-001,858,4,13,23,3,9,8,883,1,0.9716874292185731,0.004530011325028313,0.014722536806342015,0.009060022650056626,848,0.026047565118912798,0.0033975084937712344,0.010192525481313703,0.9603624009060022
111,Washington,1184,Washington Precinct 14-002,1120,27,11,15,5,11,26,1184,1,0.9459459459459459,0.022804054054054054,0.009290540540540541,0.02195945945945946,1153,0.01266891891891892,0.004222972972972973,0.009290540540540541,0.9738175675675675
164,Washington,1945,Washington Precinct 08-000,1896,12,22,61,13,41,15,1945,1,0.9748071979434447,0.006169665809768638,0.011311053984575836,0.007712082262210797,1830,0.031362467866323906,0.006683804627249357,0.021079691516709513,0.9408740359897172
167,Washington,1846,Washington Precinct 19-000,1762,32,26,41,8,38,26,1846,1,0.9544962080173348,0.01733477789815818,0.014084507042253521,0.014084507042253521,1759,0.022210184182015168,0.004333694474539545,0.020585048754062838,0.9528710725893824
168,Washington,2585,Washington Precinct 06-002,2446,42,53,73,16,55,44,2585,1,0.9462282398452612,0.016247582205029015,0.020502901353965184,0.01702127659574468,2441,0.028239845261121856,0.006189555125725338,0.02127659574468085,0.944294003868472
169,Washington,2120,Washington Precinct 06-001,2021,32,40,56,16,47,27,2120,1,0.9533018867924529,0.01509433962264151,0.018867924528301886,0.012735849056603774,2001,0.026415094339622643,0.007547169811320755,0.022169811320754716,0.9438679245283019
170,Washington,2992,Washington Precinct 16-000,2783,43,50,74,18,48,116,2992,1,0.9301470588235294,0.014371657754010695,0.016711229946524065,0.03877005347593583,2852,0.024732620320855617,0.006016042780748663,0.016042780748663103,0.9532085561497327
171,Washington,3446,Washington Precinct 02-000,3270,71,36,71,25,89,69,3446,1,0.9489262913522926,0.02060359837492745,0.01044689495066744,0.020023215322112594,3261,0.02060359837492745,0.007254788160185722,0.025827045850261174,0.9463145676146256
172,Washington,3981,Washington Precinct 23-000,3821,55,63,67,14,72,42,3981,1,0.9598090931926652,0.013815624215021352,0.015825169555388093,0.010550113036925395,3828,0.016829942225571465,0.0035167043456417984,0.01808590806330068,0.9615674453654861
173,Washington,2569,Washington Precinct 26-003,2433,34,35,60,14,74,67,2569,1,0.9470611132736473,0.013234721681588166,0.013623978201634877,0.026080186843129623,2421,0.023355391202802646,0.005449591280653951,0.028804982483456597,0.9423900350330868
174,Washington,3543,Washington Precinct 26-001,3247,126,82,69,28,51,88,3543,1,0.9164549816539656,0.03556308213378493,0.02314422805532035,0.024837708156929157,3395,0.01947502116850127,0.007902907140841095,0.014394580863674851,0.9582274908269828
