,COUNTY,VAP,NAME,WVAP,GOV14D,GOV14R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV14None,GOV14D_pct,GOV14R_pct,GOV14None_pct
108,Washington,2005,Washington Precinct 07-002,1820,183,634,185,2005,1,0.9077306733167082,0.09226932668329177,1188,0.0912718204488778,0.3162094763092269,0.5925187032418953
109,Washington,2584,Washington Precinct 07-001,2474,200,917,110,2584,1,0.9574303405572755,0.04256965944272446,1467,0.07739938080495357,0.35487616099071206,0.5677244582043344
110,Washington,883,Washington Precinct 14-001,858,75,324,25,883,1,0.9716874292185731,0.028312570781426953,484,0.08493771234428087,0.3669309173272933,0.5481313703284258
111,Washington,1184,Washington Precinct 14-002,1120,76,251,64,1184,1,0.9459459459459459,0.05405405405405406,857,0.06418918918918919,0.21199324324324326,0.7238175675675675
164,Washington,1945,Washington Precinct 08-000,1896,216,658,49,1945,1,0.9748071979434447,0.02519280205655527,1071,0.11105398457583547,0.33830334190231365,0.5506426735218509
167,Washington,1846,Washington Precinct 19-000,1762,209,736,84,1846,1,0.9544962080173348,0.04550379198266522,901,0.11321776814734562,0.39869989165763814,0.48808234019501623
168,Washington,2585,Washington Precinct 06-002,2446,292,772,139,2585,1,0.9462282398452612,0.053771760154738876,1521,0.11295938104448743,0.2986460348162476,0.588394584139265
169,Washington,2120,Washington Precinct 06-001,2021,242,746,99,2120,1,0.9533018867924529,0.046698113207547166,1132,0.11415094339622642,0.35188679245283017,0.5339622641509434
170,Washington,2992,Washington Precinct 16-000,2783,299,1035,209,2992,1,0.9301470588235294,0.06985294117647059,1658,0.0999331550802139,0.34592245989304815,0.554144385026738
171,Washington,3446,Washington Precinct 02-000,3270,309,987,176,3446,1,0.9489262913522926,0.05107370864770749,2150,0.08966918165989553,0.2864190365641323,0.6239117817759722
172,Washington,3981,Washington Precinct 23-000,3821,224,1270,160,3981,1,0.9598090931926652,0.04019090680733484,2487,0.056267269530268775,0.3190153227832203,0.624717407686511
173,Washington,2569,Washington Precinct 26-003,2433,243,792,136,2569,1,0.9470611132736473,0.05293888672635266,1534,0.09458933437135073,0.30829116387699496,0.5971195017516543
174,Washington,3543,Washington Precinct 26-001,3247,260,881,296,3543,1,0.9164549816539656,0.08354501834603444,2402,0.0733841377363816,0.24865932825289302,0.6779565340107254
175,Washington,2281,Washington Precinct 26-002,2020,233,597,261,2281,1,0.8855765015344147,0.11442349846558526,1451,0.10214818062253397,0.2617273125822008,0.6361245067952652
176,Washington,2361,Washington Precinct 10-002,1969,298,774,392,2361,1,0.833968657348581,0.1660313426514189,1289,0.12621770436255825,0.3278271918678526,0.5459551037695891
177,Washington,1736,Washington Precinct 03-004,1327,86,132,409,1736,1,0.7644009216589862,0.23559907834101382,1518,0.04953917050691244,0.07603686635944701,0.8744239631336406
178,Washington,2009,Washington Precinct 03-003,1620,130,299,389,2009,1,0.8063713290194127,0.19362867098058736,1580,0.06470881035340965,0.1488302638128422,0.7864609258337482
179,Washington,1404,Washington Precinct 03-002,1228,140,192,176,1404,1,0.8746438746438746,0.12535612535612536,1072,0.09971509971509972,0.13675213675213677,0.7635327635327636
180,Washington,2964,Washington Precinct 13-001,2854,188,996,110,2964,1,0.9628879892037787,0.037112010796221326,1780,0.06342780026990553,0.3360323886639676,0.6005398110661269
181,Washington,2396,Washington Precinct 25-004,1777,215,389,619,2396,1,0.741652754590985,0.25834724540901505,1792,0.08973288814691152,0.16235392320534223,0.7479131886477463
182,Washington,2917,Washington Precinct 25-002,2460,198,330,457,2917,1,0.8433321906067878,0.1566678093932122,2389,0.06787795680493658,0.11312992800822763,0.8189921151868358
183,Washington,1556,Washington Precinct 13-002,1358,152,436,198,1556,1,0.8727506426735219,0.12724935732647816,968,0.09768637532133675,0.2802056555269923,0.622107969151671
184,Washington,947,Washington Precinct 10-004,919,94,288,28,947,1,0.9704329461457233,0.029567053854276663,565,0.09926082365364308,0.3041182682154171,0.5966209081309398
185,Washington,4870,Washington Precinct 10-001,3171,277,767,1699,4870,1,0.651129363449692,0.34887063655030803,3826,0.0568788501026694,0.15749486652977412,0.7856262833675565
186,Washington,1255,Washington Precinct 03-001,1023,101,107,232,1255,1,0.8151394422310757,0.1848605577689243,1047,0.0804780876494024,0.08525896414342629,0.8342629482071713
187,Washington,1160,Washington Precinct 25-001,490,146,36,670,1160,1,0.4224137931034483,0.5775862068965517,978,0.12586206896551724,0.03103448275862069,0.843103448275862
188,Washington,2628,Washington Precinct 22-001,1978,231,209,650,2628,1,0.7526636225266362,0.24733637747336376,2188,0.08789954337899543,0.07952815829528158,0.832572298325723
189,Washington,2275,Washington Precinct 22-002,1694,214,378,581,2275,1,0.7446153846153846,0.2553846153846154,1683,0.09406593406593407,0.16615384615384615,0.7397802197802198
190,Washington,1661,Washington Precinct 10-003,1445,171,497,216,1661,1,0.8699578567128236,0.1300421432871764,993,0.10295003010234799,0.2992173389524383,0.5978326309452138
191,Washington,2430,Washington Precinct 21-002,1997,266,464,433,2430,1,0.8218106995884774,0.17818930041152264,1700,0.1094650205761317,0.19094650205761318,0.6995884773662552
192,Washington,1170,Washington Precinct 21-003,1051,210,333,119,1170,1,0.8982905982905983,0.10170940170940171,627,0.1794871794871795,0.2846153846153846,0.5358974358974359
193,Washington,2431,Washington Precinct 27-001,2230,345,884,201,2431,1,0.9173179761415056,0.08268202385849445,1202,0.14191690662278897,0.36363636363636365,0.4944467297408474
194,Washington,2591,Washington Precinct 21-001,2125,324,569,466,2591,1,0.8201466615206484,0.17985333847935162,1698,0.12504824392126593,0.2196063296024701,0.655345426476264
195,Washington,3190,Washington Precinct 27-002,2627,288,850,563,3190,1,0.8235109717868339,0.17648902821316614,2052,0.090282131661442,0.2664576802507837,0.6432601880877743
196,Washington,2782,Washington Precinct 18-002,2491,275,756,291,2782,1,0.8953989935298347,0.10460100647016535,1751,0.09884974838245866,0.2717469446441409,0.6294033069734004
197,Washington,3320,Washington Precinct 18-003,2539,332,559,781,3320,1,0.7647590361445783,0.23524096385542168,2429,0.1,0.16837349397590362,0.7316265060240964
198,Washington,2141,Washington Precinct 18-001,2034,162,772,107,2141,1,0.9500233535730966,0.04997664642690332,1207,0.07566557683325549,0.36057916861279776,0.5637552545539467
199,Washington,2206,Washington Precinct 09-000,2147,195,788,59,2206,1,0.9732547597461468,0.02674524025385313,1223,0.0883952855847688,0.357207615593835,0.5543970988213962
241,Washington,2643,Washington Precinct 05-000,2584,134,886,59,2643,1,0.9776768823306848,0.022323117669315173,1623,0.05069996216420734,0.33522512296632617,0.6140749148694665
243,Washington,1589,Washington Precinct 15-000,1563,78,567,26,1589,1,0.9836375078665828,0.016362492133417242,944,0.04908747640025173,0.3568281938325991,0.5940843297671492
244,Washington,2398,Washington Precinct 04-000,2339,146,963,59,2398,1,0.9753961634695579,0.024603836530442035,1289,0.060884070058381985,0.40158465387823183,0.5375312760633861
245,Washington,563,Washington Precinct 11-002,546,57,173,17,563,1,0.9698046181172292,0.03019538188277087,333,0.10124333925399645,0.30728241563055064,0.5914742451154529
246,Washington,2586,Washington Precinct 01-000,2492,291,930,94,2586,1,0.9636504253673627,0.03634957463263728,1365,0.11252900232018562,0.35962877030162416,0.5278422273781903
247,Washington,1721,Washington Precinct 20-000,1673,134,649,48,1721,1,0.9721092388146426,0.02789076118535735,938,0.0778617083091226,0.37710633352701917,0.5450319581638582
248,Washington,6302,Washington Precinct 12-000,3018,164,744,3284,6302,1,0.4788955887019994,0.5211044112980007,5394,0.026023484608060934,0.11805775944144715,0.8559187559504919
249,Washington,929,Washington Precinct 11-001,892,114,313,37,929,1,0.9601722282023681,0.03982777179763186,502,0.12271259418729817,0.3369214208826695,0.5403659849300323
1804,Washington,1117,Washington Precinct 24-001,918,34,160,199,1117,1,0.8218442256042973,0.17815577439570277,923,0.03043867502238138,0.1432408236347359,0.8263205013428827
1805,Washington,5439,Washington Precinct 17-001,4429,388,658,1010,5439,1,0.8143041000183857,0.18569589998161426,4393,0.07133664276521419,0.12097812097812098,0.8076852362566648
