,COUNTY,VAP,NAME,WVAP,PRES12D,PRES12R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,PRES12None,PRES12D_pct,PRES12R_pct,PRES12None_pct
108,Washington,2005,Washington Precinct 07-002,1820,473,856,185,2005,1,0.9077306733167082,0.09226932668329177,676,0.23591022443890275,0.42693266832917703,0.3371571072319202
109,Washington,2584,Washington Precinct 07-001,2474,497,1142,110,2584,1,0.9574303405572755,0.04256965944272446,945,0.1923374613003096,0.4419504643962848,0.3657120743034056
110,Washington,883,Washington Precinct 14-001,858,190,399,25,883,1,0.9716874292185731,0.028312570781426953,294,0.21517553793884484,0.45186862967157415,0.332955832389581
111,Washington,1184,Washington Precinct 14-002,1120,233,387,64,1184,1,0.9459459459459459,0.05405405405405406,564,0.19679054054054054,0.3268581081081081,0.47635135135135137
164,Washington,1945,Washington Precinct 08-000,1896,510,865,49,1945,1,0.9748071979434447,0.02519280205655527,570,0.2622107969151671,0.44473007712082263,0.2930591259640103
167,Washington,1846,Washington Precinct 19-000,1762,488,886,84,1846,1,0.9544962080173348,0.04550379198266522,472,0.26435536294691225,0.4799566630552546,0.25568797399783316
168,Washington,2585,Washington Precinct 06-002,2446,727,994,139,2585,1,0.9462282398452612,0.053771760154738876,864,0.28123791102514506,0.38452611218568666,0.3342359767891683
169,Washington,2120,Washington Precinct 06-001,2021,528,927,99,2120,1,0.9533018867924529,0.046698113207547166,665,0.2490566037735849,0.4372641509433962,0.3136792452830189
170,Washington,2992,Washington Precinct 16-000,2783,657,1254,209,2992,1,0.9301470588235294,0.06985294117647059,1081,0.2195855614973262,0.41911764705882354,0.36129679144385024
171,Washington,3446,Washington Precinct 02-000,3270,753,1230,176,3446,1,0.9489262913522926,0.05107370864770749,1463,0.21851421938479396,0.3569355774811376,0.4245502031340685
172,Washington,3981,Washington Precinct 23-000,3821,614,1719,160,3981,1,0.9598090931926652,0.04019090680733484,1648,0.15423260487314744,0.43180105501130367,0.41396634011554884
173,Washington,2569,Washington Precinct 26-003,2433,599,988,136,2569,1,0.9470611132736473,0.05293888672635266,982,0.23316465550797977,0.38458544180615023,0.38224990268587
174,Washington,3543,Washington Precinct 26-001,3247,765,1128,296,3543,1,0.9164549816539656,0.08354501834603444,1650,0.21591871295512277,0.31837425910245554,0.4657070279424217
175,Washington,2281,Washington Precinct 26-002,2020,610,744,261,2281,1,0.8855765015344147,0.11442349846558526,927,0.26742656729504605,0.3261727312582201,0.4064007014467339
176,Washington,2361,Washington Precinct 10-002,1969,707,959,392,2361,1,0.833968657348581,0.1660313426514189,695,0.29944938585345193,0.40618382041507833,0.29436679373146973
177,Washington,1736,Washington Precinct 03-004,1327,457,214,409,1736,1,0.7644009216589862,0.23559907834101382,1065,0.2632488479262673,0.12327188940092165,0.613479262672811
178,Washington,2009,Washington Precinct 03-003,1620,497,424,389,2009,1,0.8063713290194127,0.19362867098058736,1088,0.24738675958188153,0.2110502737680438,0.5415629666500746
179,Washington,1404,Washington Precinct 03-002,1228,396,288,176,1404,1,0.8746438746438746,0.12535612535612536,720,0.28205128205128205,0.20512820512820512,0.5128205128205128
180,Washington,2964,Washington Precinct 13-001,2854,506,1308,110,2964,1,0.9628879892037787,0.037112010796221326,1150,0.17071524966261808,0.44129554655870445,0.38798920377867746
181,Washington,2396,Washington Precinct 25-004,1777,672,568,619,2396,1,0.741652754590985,0.25834724540901505,1156,0.28046744574290483,0.2370617696160267,0.48247078464106846
182,Washington,2917,Washington Precinct 25-002,2460,617,458,457,2917,1,0.8433321906067878,0.1566678093932122,1842,0.21151868357901954,0.1570106273568735,0.631470689064107
183,Washington,1556,Washington Precinct 13-002,1358,342,570,198,1556,1,0.8727506426735219,0.12724935732647816,644,0.21979434447300772,0.36632390745501286,0.4138817480719794
184,Washington,947,Washington Precinct 10-004,919,202,344,28,947,1,0.9704329461457233,0.029567053854276663,401,0.2133051742344245,0.3632523759239704,0.42344244984160506
185,Washington,4870,Washington Precinct 10-001,3171,691,1030,1699,4870,1,0.651129363449692,0.34887063655030803,3149,0.14188911704312115,0.21149897330595482,0.6466119096509241
186,Washington,1255,Washington Precinct 03-001,1023,289,136,232,1255,1,0.8151394422310757,0.1848605577689243,830,0.2302788844621514,0.10836653386454183,0.6613545816733067
187,Washington,1160,Washington Precinct 25-001,490,423,53,670,1160,1,0.4224137931034483,0.5775862068965517,684,0.3646551724137931,0.045689655172413794,0.5896551724137931
188,Washington,2628,Washington Precinct 22-001,1978,672,354,650,2628,1,0.7526636225266362,0.24733637747336376,1602,0.2557077625570776,0.13470319634703196,0.6095890410958904
189,Washington,2275,Washington Precinct 22-002,1694,553,408,581,2275,1,0.7446153846153846,0.2553846153846154,1314,0.24307692307692308,0.17934065934065935,0.5775824175824176
190,Washington,1661,Washington Precinct 10-003,1445,406,583,216,1661,1,0.8699578567128236,0.1300421432871764,672,0.24443106562311862,0.3509933774834437,0.4045755568934377
191,Washington,2430,Washington Precinct 21-002,1997,661,605,433,2430,1,0.8218106995884774,0.17818930041152264,1164,0.2720164609053498,0.24897119341563786,0.47901234567901235
192,Washington,1170,Washington Precinct 21-003,1051,398,413,119,1170,1,0.8982905982905983,0.10170940170940171,359,0.3401709401709402,0.352991452991453,0.30683760683760686
193,Washington,2431,Washington Precinct 27-001,2230,639,1061,201,2431,1,0.9173179761415056,0.08268202385849445,731,0.26285479226655695,0.4364459070341423,0.3006993006993007
194,Washington,2591,Washington Precinct 21-001,2125,615,566,466,2591,1,0.8201466615206484,0.17985333847935162,1410,0.23736009262832883,0.21844847549208798,0.5441914318795832
195,Washington,3190,Washington Precinct 27-002,2627,767,1020,563,3190,1,0.8235109717868339,0.17648902821316614,1403,0.24043887147335424,0.31974921630094044,0.4398119122257053
196,Washington,2782,Washington Precinct 18-002,2491,651,852,291,2782,1,0.8953989935298347,0.10460100647016535,1279,0.2340043134435658,0.306254493170381,0.4597411933860532
197,Washington,3320,Washington Precinct 18-003,2539,830,768,781,3320,1,0.7647590361445783,0.23524096385542168,1722,0.25,0.23132530120481928,0.5186746987951807
198,Washington,2141,Washington Precinct 18-001,2034,449,982,107,2141,1,0.9500233535730966,0.04997664642690332,710,0.20971508640822045,0.4586641756188697,0.33162073797290986
199,Washington,2206,Washington Precinct 09-000,2147,484,937,59,2206,1,0.9732547597461468,0.02674524025385313,785,0.21940163191296463,0.4247506799637353,0.3558476881233001
241,Washington,2643,Washington Precinct 05-000,2584,372,1186,59,2643,1,0.9776768823306848,0.022323117669315173,1085,0.14074914869466515,0.44873250094589484,0.41051835035944
243,Washington,1589,Washington Precinct 15-000,1563,234,756,26,1589,1,0.9836375078665828,0.016362492133417242,599,0.1472624292007552,0.47577092511013214,0.37696664568911264
244,Washington,2398,Washington Precinct 04-000,2339,421,1181,59,2398,1,0.9753961634695579,0.024603836530442035,796,0.1755629691409508,0.4924937447873228,0.33194328607172646
245,Washington,563,Washington Precinct 11-002,546,141,182,17,563,1,0.9698046181172292,0.03019538188277087,240,0.25044404973357015,0.32326820603907636,0.42628774422735344
246,Washington,2586,Washington Precinct 01-000,2492,694,1064,94,2586,1,0.9636504253673627,0.03634957463263728,828,0.26836813611755606,0.411446249033256,0.32018561484918795
247,Washington,1721,Washington Precinct 20-000,1673,358,778,48,1721,1,0.9721092388146426,0.02789076118535735,585,0.20801859384079024,0.45206275421266706,0.3399186519465427
248,Washington,6302,Washington Precinct 12-000,3018,425,894,3284,6302,1,0.4788955887019994,0.5211044112980007,4983,0.06743890828308473,0.14185972707077119,0.790701364646144
249,Washington,929,Washington Precinct 11-001,892,284,357,37,929,1,0.9601722282023681,0.03982777179763186,288,0.30570505920344454,0.38428417653390745,0.310010764262648
1804,Washington,1117,Washington Precinct 24-001,918,128,212,199,1117,1,0.8218442256042973,0.17815577439570277,777,0.11459265890778872,0.18979409131602507,0.6956132497761862
1805,Washington,5439,Washington Precinct 17-001,4429,1103,830,1010,5439,1,0.8143041000183857,0.18569589998161426,3506,0.20279463136605994,0.15260158117300973,0.6446037874609303
