,COUNTY,VAP,NAME,WVAP,SEN12PD_BC,SEN12PD_CM,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN12PDNone,SEN12PD_BC_pct,SEN12PD_CM_pct,SEN12PDNone_pct
108,Washington,2005,Washington Precinct 07-002,1820,77,7,185,2005,1,0.9077306733167082,0.09226932668329177,1921,0.038403990024937655,0.003491271820448878,0.9581047381546135
109,Washington,2584,Washington Precinct 07-001,2474,89,3,110,2584,1,0.9574303405572755,0.04256965944272446,2492,0.03444272445820434,0.0011609907120743034,0.9643962848297214
110,Washington,883,Washington Precinct 14-001,858,25,0,25,883,1,0.9716874292185731,0.028312570781426953,858,0.028312570781426953,0.0,0.9716874292185731
111,Washington,1184,Washington Precinct 14-002,1120,34,0,64,1184,1,0.9459459459459459,0.05405405405405406,1150,0.028716216216216218,0.0,0.9712837837837838
164,Washington,1945,Washington Precinct 08-000,1896,111,5,49,1945,1,0.9748071979434447,0.02519280205655527,1829,0.0570694087403599,0.002570694087403599,0.9403598971722366
167,Washington,1846,Washington Precinct 19-000,1762,94,5,84,1846,1,0.9544962080173348,0.04550379198266522,1747,0.050920910075839654,0.0027085590465872156,0.9463705308775732
168,Washington,2585,Washington Precinct 06-002,2446,146,5,139,2585,1,0.9462282398452612,0.053771760154738876,2434,0.05647969052224371,0.0019342359767891683,0.9415860735009671
169,Washington,2120,Washington Precinct 06-001,2021,126,2,99,2120,1,0.9533018867924529,0.046698113207547166,1992,0.059433962264150944,0.0009433962264150943,0.939622641509434
170,Washington,2992,Washington Precinct 16-000,2783,136,3,209,2992,1,0.9301470588235294,0.06985294117647059,2853,0.045454545454545456,0.001002673796791444,0.953542780748663
171,Washington,3446,Washington Precinct 02-000,3270,153,4,176,3446,1,0.9489262913522926,0.05107370864770749,3289,0.044399303540336624,0.0011607661056297156,0.9544399303540336
172,Washington,3981,Washington Precinct 23-000,3821,118,5,160,3981,1,0.9598090931926652,0.04019090680733484,3858,0.029640793770409443,0.0012559658377292139,0.9691032403918614
173,Washington,2569,Washington Precinct 26-003,2433,138,4,136,2569,1,0.9470611132736473,0.05293888672635266,2427,0.053717399766446086,0.001557026080186843,0.9447255741533671
174,Washington,3543,Washington Precinct 26-001,3247,143,7,296,3543,1,0.9164549816539656,0.08354501834603444,3393,0.040361275755009876,0.0019757267852102737,0.9576629974597799
175,Washington,2281,Washington Precinct 26-002,2020,127,6,261,2281,1,0.8855765015344147,0.11442349846558526,2148,0.055677334502411226,0.00263042525208242,0.9416922402455064
176,Washington,2361,Washington Precinct 10-002,1969,135,4,392,2361,1,0.833968657348581,0.1660313426514189,2222,0.05717916137229987,0.0016941973739940702,0.941126641253706
177,Washington,1736,Washington Precinct 03-004,1327,39,4,409,1736,1,0.7644009216589862,0.23559907834101382,1693,0.022465437788018433,0.002304147465437788,0.9752304147465438
178,Washington,2009,Washington Precinct 03-003,1620,80,2,389,2009,1,0.8063713290194127,0.19362867098058736,1927,0.039820806371329016,0.0009955201592832255,0.9591836734693877
179,Washington,1404,Washington Precinct 03-002,1228,77,0,176,1404,1,0.8746438746438746,0.12535612535612536,1327,0.054843304843304845,0.0,0.9451566951566952
180,Washington,2964,Washington Precinct 13-001,2854,131,7,110,2964,1,0.9628879892037787,0.037112010796221326,2826,0.0441970310391363,0.0023616734143049934,0.9534412955465587
181,Washington,2396,Washington Precinct 25-004,1777,100,7,619,2396,1,0.741652754590985,0.25834724540901505,2289,0.041736227045075125,0.002921535893155259,0.9553422370617696
182,Washington,2917,Washington Precinct 25-002,2460,73,2,457,2917,1,0.8433321906067878,0.1566678093932122,2842,0.025025711347274597,0.0006856359273225917,0.9742886527254028
