,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN12D,SEN12R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN12None,SEN12D_pct,SEN12R_pct,SEN12None_pct
108,Washington,2005,Washington Precinct 07-002,1820,74,68,368,718,43,2005,1,0.9077306733167082,0.03690773067331671,0.03391521197007481,0.02144638403990025,919,0.18354114713216957,0.35810473815461347,0.45835411471321696
109,Washington,2584,Washington Precinct 07-001,2474,27,53,383,889,30,2584,1,0.9574303405572755,0.01044891640866873,0.020510835913312694,0.011609907120743035,1312,0.14821981424148606,0.34404024767801855,0.5077399380804953
110,Washington,883,Washington Precinct 14-001,858,4,13,133,329,8,883,1,0.9716874292185731,0.004530011325028313,0.014722536806342015,0.009060022650056626,421,0.1506228765571914,0.3725934314835787,0.47678369195922987
111,Washington,1184,Washington Precinct 14-002,1120,27,11,188,309,26,1184,1,0.9459459459459459,0.022804054054054054,0.009290540540540541,0.02195945945945946,687,0.15878378378378377,0.2609797297297297,0.5802364864864865
164,Washington,1945,Washington Precinct 08-000,1896,12,22,418,696,15,1945,1,0.9748071979434447,0.006169665809768638,0.011311053984575836,0.007712082262210797,831,0.21491002570694087,0.357840616966581,0.4272493573264782
167,Washington,1846,Washington Precinct 19-000,1762,32,26,393,710,26,1846,1,0.9544962080173348,0.01733477789815818,0.014084507042253521,0.014084507042253521,743,0.21289274106175515,0.38461538461538464,0.40249187432286027
168,Washington,2585,Washington Precinct 06-002,2446,42,53,546,828,44,2585,1,0.9462282398452612,0.016247582205029015,0.020502901353965184,0.01702127659574468,1211,0.21121856866537717,0.32030947775628626,0.46847195357833654
169,Washington,2120,Washington Precinct 06-001,2021,32,40,416,735,27,2120,1,0.9533018867924529,0.01509433962264151,0.018867924528301886,0.012735849056603774,969,0.19622641509433963,0.3466981132075472,0.4570754716981132
170,Washington,2992,Washington Precinct 16-000,2783,43,50,519,969,116,2992,1,0.9301470588235294,0.014371657754010695,0.016711229946524065,0.03877005347593583,1504,0.17346256684491979,0.32386363636363635,0.5026737967914439
171,Washington,3446,Washington Precinct 02-000,3270,71,36,585,954,69,3446,1,0.9489262913522926,0.02060359837492745,0.01044689495066744,0.020023215322112594,1907,0.1697620429483459,0.2768427161926872,0.553395240858967
172,Washington,3981,Washington Precinct 23-000,3821,55,63,501,1301,42,3981,1,0.9598090931926652,0.013815624215021352,0.015825169555388093,0.010550113036925395,2179,0.12584777694046723,0.3268023109771414,0.5473499120823914
173,Washington,2569,Washington Precinct 26-003,2433,34,35,455,735,67,2569,1,0.9470611132736473,0.013234721681588166,0.013623978201634877,0.026080186843129623,1379,0.1771117166212534,0.28610354223433243,0.5367847411444142
174,Washington,3543,Washington Precinct 26-001,3247,126,82,593,838,88,3543,1,0.9164549816539656,0.03556308213378493,0.02314422805532035,0.024837708156929157,2112,0.16737228337567034,0.23652272085802992,0.5961049957662997
175,Washington,2281,Washington Precinct 26-002,2020,88,94,468,579,79,2281,1,0.8855765015344147,0.03857957036387549,0.041209995615957916,0.03463393248575186,1234,0.20517316966242877,0.2538360368259535,0.5409907935116177
176,Washington,2361,Washington Precinct 10-002,1969,175,111,561,738,106,2361,1,0.833968657348581,0.07412113511224058,0.04701397712833545,0.04489623041084286,1062,0.23761118170266837,0.312579415501906,0.4498094027954257
177,Washington,1736,Washington Precinct 03-004,1327,274,72,356,171,63,1736,1,0.7644009216589862,0.1578341013824885,0.041474654377880185,0.036290322580645164,1209,0.20506912442396313,0.09850230414746544,0.6964285714285714
178,Washington,2009,Washington Precinct 03-003,1620,255,77,384,317,57,2009,1,0.8063713290194127,0.12692882030861125,0.03832752613240418,0.028372324539571926,1308,0.1911398705823793,0.15778994524639123,0.6510701841712294
179,Washington,1404,Washington Precinct 03-002,1228,100,40,311,213,36,1404,1,0.8746438746438746,0.07122507122507123,0.02849002849002849,0.02564102564102564,880,0.2215099715099715,0.1517094017094017,0.6267806267806267
180,Washington,2964,Washington Precinct 13-001,2854,30,40,421,991,40,2964,1,0.9628879892037787,0.010121457489878543,0.01349527665317139,0.01349527665317139,1552,0.1420377867746289,0.3343454790823212,0.5236167341430499
181,Washington,2396,Washington Precinct 25-004,1777,366,127,536,408,126,2396,1,0.741652754590985,0.15275459098497496,0.05300500834724541,0.052587646076794656,1452,0.22370617696160267,0.17028380634390652,0.6060100166944908
182,Washington,2917,Washington Precinct 25-002,2460,282,102,476,310,73,2917,1,0.8433321906067878,0.09667466575248543,0.03496743229345218,0.025025711347274597,2131,0.1631813507027768,0.10627356873500171,0.7305450805622214
183,Washington,1556,Washington Precinct 13-002,1358,96,49,294,448,53,1556,1,0.8727506426735219,0.061696658097686374,0.031491002570694086,0.03406169665809768,814,0.18894601542416453,0.2879177377892031,0.5231362467866324
184,Washington,947,Washington Precinct 10-004,919,12,5,166,257,11,947,1,0.9704329461457233,0.012671594508975714,0.005279831045406547,0.011615628299894404,524,0.17529039070749736,0.2713833157338965,0.5533262935586061
185,Washington,4870,Washington Precinct 10-001,3171,1495,98,540,795,106,4870,1,0.651129363449692,0.3069815195071869,0.020123203285420943,0.021765913757700206,3535,0.11088295687885011,0.16324435318275154,0.7258726899383984
186,Washington,1255,Washington Precinct 03-001,1023,168,31,202,102,33,1255,1,0.8151394422310757,0.13386454183266933,0.024701195219123506,0.026294820717131476,951,0.1609561752988048,0.08127490039840637,0.7577689243027889
187,Washington,1160,Washington Precinct 25-001,490,577,48,326,52,45,1160,1,0.4224137931034483,0.4974137931034483,0.041379310344827586,0.03879310344827586,782,0.2810344827586207,0.04482758620689655,0.6741379310344827
188,Washington,2628,Washington Precinct 22-001,1978,424,139,508,275,87,2628,1,0.7526636225266362,0.1613394216133942,0.05289193302891933,0.033105022831050226,1845,0.1933028919330289,0.10464231354642313,0.702054794520548
189,Washington,2275,Washington Precinct 22-002,1694,315,147,425,321,119,2275,1,0.7446153846153846,0.13846153846153847,0.06461538461538462,0.052307692307692305,1529,0.18681318681318682,0.1410989010989011,0.6720879120879121
190,Washington,1661,Washington Precinct 10-003,1445,83,79,337,435,54,1661,1,0.8699578567128236,0.049969897652016856,0.047561709813365445,0.0325105358217941,889,0.2028898254063817,0.26189042745334135,0.535219747140277
191,Washington,2430,Washington Precinct 21-002,1997,227,123,520,484,83,2430,1,0.8218106995884774,0.0934156378600823,0.050617283950617285,0.034156378600823045,1426,0.2139917695473251,0.1991769547325103,0.5868312757201646
192,Washington,1170,Washington Precinct 21-003,1051,71,17,321,340,31,1170,1,0.8982905982905983,0.06068376068376068,0.01452991452991453,0.026495726495726495,509,0.2743589743589744,0.2905982905982906,0.43504273504273505
193,Washington,2431,Washington Precinct 27-001,2230,72,37,519,898,92,2431,1,0.9173179761415056,0.029617441382147263,0.015220074043603456,0.03784450843274373,1014,0.2134923899629782,0.36939531057178115,0.41711229946524064
194,Washington,2591,Washington Precinct 21-001,2125,242,125,495,441,99,2591,1,0.8201466615206484,0.09340023157082207,0.048243921265920496,0.03820918564260903,1655,0.19104592821304517,0.1702045542261675,0.6387495175607873
195,Washington,3190,Washington Precinct 27-002,2627,246,156,635,814,161,3190,1,0.8235109717868339,0.07711598746081505,0.04890282131661442,0.05047021943573668,1741,0.19905956112852666,0.25517241379310346,0.5457680250783699
196,Washington,2782,Washington Precinct 18-002,2491,174,50,519,682,67,2782,1,0.8953989935298347,0.0625449317038102,0.017972681524083392,0.024083393242271746,1581,0.18655643421998563,0.24514737598849748,0.5682961897915169
197,Washington,3320,Washington Precinct 18-003,2539,355,168,652,650,258,3320,1,0.7647590361445783,0.10692771084337349,0.05060240963855422,0.07771084337349397,2018,0.1963855421686747,0.19578313253012047,0.6078313253012049
198,Washington,2141,Washington Precinct 18-001,2034,34,29,361,769,44,2141,1,0.9500233535730966,0.015880429705744978,0.0135450723960766,0.020551144325081736,1011,0.168612797758057,0.3591779542269967,0.4722092480149463
199,Washington,2206,Washington Precinct 09-000,2147,19,13,361,765,27,2206,1,0.9732547597461468,0.008612873980054397,0.0058930190389845875,0.012239347234814143,1080,0.16364460562103356,0.3467815049864007,0.48957388939256574
241,Washington,2643,Washington Precinct 05-000,2584,10,9,326,868,40,2643,1,0.9776768823306848,0.0037835792659856224,0.00340522133938706,0.01513431706394249,1449,0.12334468407113129,0.328414680287552,0.5482406356413166
243,Washington,1589,Washington Precinct 15-000,1563,2,10,174,567,14,1589,1,0.9836375078665828,0.0012586532410320957,0.0062932662051604785,0.00881057268722467,848,0.10950283196979232,0.3568281938325991,0.5336689741976086
244,Washington,2398,Washington Precinct 04-000,2339,11,17,345,932,31,2398,1,0.9753961634695579,0.0045871559633027525,0.007089241034195163,0.01292743953294412,1121,0.1438698915763136,0.3886572143452877,0.46747289407839865
245,Washington,563,Washington Precinct 11-002,546,6,1,113,142,10,563,1,0.9698046181172292,0.010657193605683837,0.0017761989342806395,0.017761989342806393,308,0.20071047957371227,0.2522202486678508,0.5470692717584369
246,Washington,2586,Washington Precinct 01-000,2492,7,28,554,844,59,2586,1,0.9636504253673627,0.0027068832173240526,0.01082753286929621,0.022815158546017015,1188,0.21423047177107502,0.32637277648878577,0.4593967517401392
247,Washington,1721,Washington Precinct 20-000,1673,6,12,280,587,30,1721,1,0.9721092388146426,0.003486345148169669,0.006972690296339338,0.017431725740848343,854,0.16269610691458455,0.3410807669959326,0.4962231260894829
