,COUNTY,VAP,NAME,WVAP,SEN16D,SEN16R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN16None,SEN16D_pct,SEN16R_pct,SEN16None_pct
108,Washington,2005,Washington Precinct 07-002,1820,440,965,185,2005,1,0.9077306733167082,0.09226932668329177,600,0.2194513715710723,0.48129675810473815,0.29925187032418954
109,Washington,2584,Washington Precinct 07-001,2474,485,1233,110,2584,1,0.9574303405572755,0.04256965944272446,866,0.1876934984520124,0.4771671826625387,0.3351393188854489
110,Washington,883,Washington Precinct 14-001,858,189,443,25,883,1,0.9716874292185731,0.028312570781426953,251,0.21404303510758776,0.5016987542468856,0.2842582106455266
111,Washington,1184,Washington Precinct 14-002,1120,193,426,64,1184,1,0.9459459459459459,0.05405405405405406,565,0.16300675675675674,0.3597972972972973,0.47719594594594594
164,Washington,1945,Washington Precinct 08-000,1896,492,878,49,1945,1,0.9748071979434447,0.02519280205655527,575,0.25295629820051413,0.45141388174807195,0.29562982005141386
167,Washington,1846,Washington Precinct 19-000,1762,461,953,84,1846,1,0.9544962080173348,0.04550379198266522,432,0.24972914409534128,0.5162513542795233,0.23401950162513543
168,Washington,2585,Washington Precinct 06-002,2446,715,1095,139,2585,1,0.9462282398452612,0.053771760154738876,775,0.2765957446808511,0.42359767891682787,0.29980657640232106
169,Washington,2120,Washington Precinct 06-001,2021,514,1019,99,2120,1,0.9533018867924529,0.046698113207547166,587,0.24245283018867925,0.48066037735849054,0.2768867924528302
170,Washington,2992,Washington Precinct 16-000,2783,616,1286,209,2992,1,0.9301470588235294,0.06985294117647059,1090,0.20588235294117646,0.4298128342245989,0.3643048128342246
171,Washington,3446,Washington Precinct 02-000,3270,669,1257,176,3446,1,0.9489262913522926,0.05107370864770749,1520,0.19413813116656994,0.3647707486941381,0.4410911201392919
172,Washington,3981,Washington Precinct 23-000,3821,529,1674,160,3981,1,0.9598090931926652,0.04019090680733484,1778,0.1328811856317508,0.42049736247174074,0.4466214518965084
173,Washington,2569,Washington Precinct 26-003,2433,501,908,136,2569,1,0.9470611132736473,0.05293888672635266,1160,0.1950175165434021,0.3534449202024134,0.4515375632541845
174,Washington,3543,Washington Precinct 26-001,3247,681,1129,296,3543,1,0.9164549816539656,0.08354501834603444,1733,0.1922099915325995,0.31865650578605703,0.4891335026813435
175,Washington,2281,Washington Precinct 26-002,2020,527,762,261,2281,1,0.8855765015344147,0.11442349846558526,992,0.23103901797457255,0.3340640070144673,0.4348969750109601
176,Washington,2361,Washington Precinct 10-002,1969,783,1049,392,2361,1,0.833968657348581,0.1660313426514189,529,0.33163913595933925,0.44430326132994497,0.2240576027107158
177,Washington,1736,Washington Precinct 03-004,1327,364,197,409,1736,1,0.7644009216589862,0.23559907834101382,1175,0.20967741935483872,0.11347926267281105,0.6768433179723502
178,Washington,2009,Washington Precinct 03-003,1620,427,400,389,2009,1,0.8063713290194127,0.19362867098058736,1182,0.21254355400696864,0.1991040318566451,0.5883524141363863
179,Washington,1404,Washington Precinct 03-002,1228,364,276,176,1404,1,0.8746438746438746,0.12535612535612536,764,0.25925925925925924,0.19658119658119658,0.5441595441595442
180,Washington,2964,Washington Precinct 13-001,2854,440,1326,110,2964,1,0.9628879892037787,0.037112010796221326,1198,0.1484480431848853,0.4473684210526316,0.4041835357624831
181,Washington,2396,Washington Precinct 25-004,1777,631,537,619,2396,1,0.741652754590985,0.25834724540901505,1228,0.26335559265442404,0.22412353923205341,0.5125208681135225
182,Washington,2917,Washington Precinct 25-002,2460,674,515,457,2917,1,0.8433321906067878,0.1566678093932122,1728,0.2310593075077134,0.17655125128556737,0.5923894412067192
183,Washington,1556,Washington Precinct 13-002,1358,373,643,198,1556,1,0.8727506426735219,0.12724935732647816,540,0.2397172236503856,0.41323907455012854,0.34704370179948585
184,Washington,947,Washington Precinct 10-004,919,239,333,28,947,1,0.9704329461457233,0.029567053854276663,375,0.25237592397043296,0.35163674762407604,0.395987328405491
185,Washington,4870,Washington Precinct 10-001,3171,656,978,1699,4870,1,0.651129363449692,0.34887063655030803,3236,0.1347022587268994,0.20082135523613964,0.664476386036961
186,Washington,1255,Washington Precinct 03-001,1023,269,148,232,1255,1,0.8151394422310757,0.1848605577689243,838,0.21434262948207172,0.11792828685258964,0.6677290836653387
