,County,VAP,BVAP,WVAP,HVAP,EL12G_GV_D,EL12G_GV_R,OVAP,TOT_VOTES,factor,BVAP_pct,WVAP_pct,HVAP_pct,OVAP_pct,GOV12None,EL12G_GV_D_pct,EL12G_GV_R_pct,GOV12None_pct
0,37001,1505,338,899,211,306,355,57,1505,1.0,0.2245847176079734,0.59734219269103,0.14019933554817277,0.03787375415282392,844,0.20332225913621263,0.23588039867109634,0.5607973421926911
1,37001,2503,712,1085,622,540,374,84,2503,1.0,0.2844586496204555,0.4334798242109469,0.24850179784258888,0.033559728326008786,1589,0.21574111066719937,0.14942069516580103,0.6348381941669996
2,37001,2156,243,1740,121,538,793,52,2156,1.0,0.11270871985157699,0.8070500927643784,0.05612244897959184,0.02411873840445269,825,0.24953617810760667,0.3678107606679035,0.3826530612244898
3,37001,3167,1027,1450,623,864,481,67,3167,1.0,0.3242816545626776,0.45784654246921375,0.1967161351436691,0.021155667824439534,1822,0.2728133880644143,0.1518787496053047,0.575307862330281
4,37001,1713,50,1609,30,397,1032,24,1713,1.0,0.02918855808523059,0.9392877991827204,0.017513134851138354,0.014010507880910683,284,0.23175715119673088,0.6024518388791593,0.16579100992410975
5,37001,1948,276,1481,145,487,751,46,1948,1.0,0.14168377823408623,0.7602669404517454,0.07443531827515401,0.023613963039014373,710,0.25,0.385523613963039,0.364476386036961
6,37001,2127,494,1404,145,479,596,84,2127,1.0,0.23225199811941702,0.6600846262341326,0.06817113305124589,0.039492242595204514,1052,0.22519981194170194,0.28020686412787965,0.49459332393041844
7,37001,4955,350,4378,96,957,1736,131,4955,1.0,0.07063572149344097,0.8835519677093845,0.019374369323915237,0.026437941473259334,2262,0.19313824419778003,0.35035317860746723,0.4565085771947528
8,37001,3483,81,3321,40,361,1981,41,3483,1.0,0.023255813953488372,0.9534883720930233,0.011484352569623888,0.011771461383864484,1141,0.10364628194085558,0.5687625610106231,0.3275911570485214
9,37001,2371,578,1542,196,627,770,55,2371,1.0,0.24377899620413326,0.6503584985238297,0.08266554196541544,0.023196963306621677,974,0.26444538169548715,0.3247574862927035,0.41079713201180934
10,37001,3130,469,2368,186,580,1188,107,3130,1.0,0.14984025559105432,0.7565495207667732,0.05942492012779553,0.034185303514377,1362,0.1853035143769968,0.3795527156549521,0.4351437699680511
11,37001,3498,1037,1449,940,897,628,72,3498,1.0,0.2964551172098342,0.4142367066895369,0.2687249857061178,0.02058319039451115,1973,0.2564322469982847,0.17953116066323613,0.5640365923384791
12,37001,4530,2457,1162,823,1909,315,88,4530,1.0,0.5423841059602649,0.2565121412803532,0.1816777041942605,0.019426048565121413,2306,0.42141280353200883,0.0695364238410596,0.5090507726269315
13,37001,3686,257,3309,79,436,1679,41,3686,1.0,0.06972327726532827,0.8977211068909386,0.021432447097124253,0.01112316874660879,1571,0.11828540423223007,0.45550732501356483,0.4262072707542051
14,37001,2197,201,1817,125,420,930,54,2197,1.0,0.09148839326354119,0.8270368684569868,0.05689576695493855,0.024578971324533454,847,0.19116977696859352,0.42330450614474285,0.38552571688666365
15,37001,1630,141,1359,71,291,773,59,1630,1.0,0.08650306748466258,0.8337423312883435,0.043558282208588955,0.03619631901840491,566,0.1785276073619632,0.4742331288343558,0.347239263803681
16,37001,5580,729,4240,260,1173,2210,351,5580,1.0,0.13064516129032258,0.7598566308243727,0.04659498207885305,0.06290322580645161,2197,0.21021505376344085,0.3960573476702509,0.39372759856630823
17,37001,1694,70,1541,52,254,694,31,1694,1.0,0.04132231404958678,0.9096812278630461,0.030696576151121605,0.01829988193624557,746,0.14994096812278632,0.40968122786304606,0.44037780401416765
18,37001,3476,1342,1836,220,1178,942,78,3476,1.0,0.3860759493670886,0.5281933256616801,0.06329113924050633,0.02243958573072497,1356,0.33889528193325663,0.2710011507479862,0.39010356731875717
19,37001,5931,1310,4202,249,1826,2237,170,5931,1.0,0.2208733771707975,0.7084808632608329,0.041982802225594334,0.02866295734277525,1868,0.3078738829876918,0.37717079750463667,0.3149553195076716
20,37001,3118,255,2590,233,568,1164,40,3118,1.0,0.081783194355356,0.8306606799230276,0.07472738935214882,0.012828736369467608,1386,0.18216805644644002,0.37331622835150735,0.4445157152020526
21,37001,4345,476,3126,626,792,1813,117,4345,1.0,0.1095512082853855,0.7194476409666283,0.14407364787111623,0.026927502876869965,1740,0.18227848101265823,0.41726121979286535,0.4004602991944764
22,37001,2757,951,1223,480,724,390,103,2757,1.0,0.34494015233949943,0.4435981138919115,0.17410228509249184,0.03735944867609721,1643,0.26260428001450853,0.14145810663764963,0.5959376133478419
23,37001,2408,198,2080,72,467,1188,58,2408,1.0,0.08222591362126246,0.8637873754152824,0.029900332225913623,0.02408637873754153,753,0.19393687707641197,0.49335548172757476,0.3127076411960133
24,37001,3146,267,2486,335,488,1233,58,3146,1.0,0.08486967577876668,0.7902097902097902,0.10648442466624285,0.018436109345200253,1425,0.1551176096630642,0.3919262555626192,0.45295613477431657
25,37001,4661,519,3664,386,969,1714,92,4661,1.0,0.11134949581634843,0.7860974039905599,0.08281484659944217,0.019738253593649432,1978,0.20789530143745977,0.36773224629907747,0.42437245226346276
26,37001,3292,503,2586,137,819,1551,66,3292,1.0,0.15279465370595383,0.7855407047387606,0.041616038882138516,0.020048602673147023,922,0.2487849331713244,0.47114216281895505,0.2800729040097205
27,37001,3307,149,3011,104,375,1605,43,3307,1.0,0.04505594194133656,0.9104928938615059,0.03144844269730874,0.013002721499848805,1327,0.11339582703356517,0.4853341397036589,0.40127003326277594
28,37001,1860,602,758,423,491,238,77,1860,1.0,0.32365591397849464,0.4075268817204301,0.22741935483870968,0.04139784946236559,1131,0.2639784946236559,0.12795698924731183,0.6080645161290322
29,37001,2681,152,2455,48,333,1373,26,2681,1.0,0.0566952629615815,0.9157030958597538,0.017903767251025736,0.00969787392763894,975,0.12420738530399104,0.5121223424095487,0.36367027228646026
30,37001,4070,1178,2311,521,1064,1019,60,4070,1.0,0.28943488943488943,0.5678132678132678,0.12800982800982802,0.014742014742014743,1987,0.26142506142506144,0.2503685503685504,0.48820638820638823
31,37001,5660,421,4927,166,707,1462,146,5660,1.0,0.07438162544169612,0.870494699646643,0.029328621908127208,0.025795053003533568,3491,0.12491166077738516,0.25830388692579503,0.6167844522968198
32,37001,4194,420,3642,88,574,1990,44,4194,1.0,0.10014306151645208,0.8683834048640916,0.020982355746304245,0.010491177873152123,1630,0.1368621840724845,0.4744873628993801,0.38865045302813545
33,37001,2153,148,1884,44,430,1391,77,2153,1.0,0.06874129122155133,0.8750580585229911,0.020436600092893636,0.035764050162563864,332,0.19972131908964236,0.6460752438457965,0.15420343706456108
34,37001,1834,329,1414,59,429,791,32,1834,1.0,0.17938931297709923,0.7709923664122137,0.0321701199563795,0.017448200654307525,614,0.23391494002181026,0.4312977099236641,0.33478735005452565
35,37001,4922,2325,1739,736,1874,657,122,4922,1.0,0.47236895570906134,0.35331166192604635,0.14953271028037382,0.02478667208451849,2391,0.38073953677366923,0.13348232425843154,0.48577813896789923
36,37003,2871,14,2771,29,317,1728,57,2871,1.0,0.004876349703935911,0.965168930686172,0.010101010101010102,0.019853709508881923,826,0.11041448972483456,0.6018808777429467,0.28770463253221873
37,37003,3528,24,3380,54,384,1861,70,3528,1.0,0.006802721088435374,0.9580498866213152,0.015306122448979591,0.01984126984126984,1283,0.10884353741496598,0.5274943310657596,0.3636621315192744
38,37003,2567,121,2399,26,384,1271,21,2567,1.0,0.047136735488897546,0.9345539540319439,0.01012855473315154,0.008180755746007013,912,0.14959096221269966,0.4951305025321387,0.3552785352551617
39,37003,769,5,751,7,93,402,6,769,1.0,0.006501950585175552,0.976592977893368,0.009102730819245773,0.007802340702210663,274,0.12093628088426528,0.5227568270481144,0.3563068920676203
40,37003,940,39,857,35,178,429,9,940,1.0,0.04148936170212766,0.9117021276595745,0.03723404255319149,0.009574468085106383,333,0.18936170212765957,0.4563829787234043,0.35425531914893615
41,37003,1133,33,1066,17,168,611,17,1133,1.0,0.02912621359223301,0.940864960282436,0.01500441306266549,0.01500441306266549,354,0.14827890556045895,0.5392762577228597,0.3124448367166814
42,37003,1973,138,1679,102,260,836,54,1973,1.0,0.06994424733907754,0.8509883426254435,0.051697921946274705,0.027369488089204256,877,0.13177901672579828,0.4237202230106437,0.44450076026355806
43,37003,2417,67,2153,172,296,998,25,2417,1.0,0.02772031443938767,0.8907736863880844,0.07116259826230864,0.01034340091021928,1123,0.12246586677699628,0.4129085643359537,0.4646255688870501
44,37003,1019,61,904,44,189,414,10,1019,1.0,0.05986261040235525,0.887144259077527,0.04317958783120707,0.009813542688910697,416,0.18547595682041218,0.40628066732090284,0.408243375858685
45,37003,929,1,905,17,97,519,6,929,1.0,0.001076426264800861,0.9741657696447793,0.01829924650161464,0.006458557588805167,313,0.10441334768568353,0.5586652314316469,0.3369214208826695
46,37003,2802,569,2053,108,155,767,72,2802,1.0,0.2030692362598144,0.7326909350463955,0.03854389721627409,0.02569593147751606,1880,0.05531763026409707,0.2737330478229836,0.6709493219129193
47,37003,1758,246,1331,130,351,639,51,1758,1.0,0.13993174061433447,0.7571103526734926,0.07394766780432309,0.02901023890784983,768,0.19965870307167236,0.363481228668942,0.43686006825938567
48,37003,1384,49,1293,23,225,640,19,1384,1.0,0.03540462427745665,0.9342485549132948,0.016618497109826588,0.013728323699421965,519,0.16257225433526012,0.4624277456647399,0.375
49,37003,1737,230,1418,52,344,639,37,1737,1.0,0.13241220495106507,0.816350028785262,0.029936672423719057,0.021301093839953943,754,0.1980426021876799,0.36787564766839376,0.4340817501439263
50,37003,1092,74,956,46,144,487,16,1092,1.0,0.06776556776556776,0.8754578754578755,0.04212454212454213,0.014652014652014652,461,0.13186813186813187,0.445970695970696,0.42216117216117216
51,37003,1826,10,1752,34,183,975,30,1826,1.0,0.00547645125958379,0.9594742606790799,0.018619934282584884,0.01642935377875137,668,0.10021905805038335,0.5339539978094195,0.3658269441401972
52,37005,702,0,672,25,121,296,5,702,1.0,0.0,0.9572649572649573,0.03561253561253561,0.007122507122507123,285,0.17236467236467237,0.42165242165242167,0.405982905982906
53,37005,718,5,647,56,154,240,10,718,1.0,0.006963788300835654,0.9011142061281338,0.07799442896935933,0.013927576601671309,324,0.21448467966573817,0.3342618384401114,0.45125348189415043
54,37005,1214,3,1163,32,180,610,16,1214,1.0,0.002471169686985173,0.9579901153212521,0.026359143327841845,0.013179571663920923,424,0.14827018121911037,0.5024711696869851,0.34925864909390447
55,37005,3532,71,3055,362,679,1129,44,3532,1.0,0.020101925254813136,0.8649490373725934,0.10249150622876557,0.01245753114382786,1724,0.192242355605889,0.31964892412231033,0.4881087202718007
56,37005,1567,10,1413,132,219,691,12,1567,1.0,0.006381620931716656,0.9017230376515635,0.08423739629865985,0.007657945118059987,657,0.13975749840459475,0.4409700063816209,0.4192724952137843
57,37005,325,4,288,33,41,143,0,325,1.0,0.012307692307692308,0.8861538461538462,0.10153846153846154,0.0,141,0.12615384615384614,0.44,0.4338461538461538
58,37005,862,4,824,24,106,295,10,862,1.0,0.004640371229698376,0.9559164733178654,0.027842227378190254,0.01160092807424594,461,0.12296983758700696,0.3422273781902552,0.5348027842227379
59,37007,1595,217,1297,41,225,621,40,1595,1.0,0.1360501567398119,0.8131661442006269,0.025705329153605017,0.025078369905956112,749,0.14106583072100312,0.38934169278996866,0.4695924764890282
60,37007,353,117,199,31,92,103,6,353,1.0,0.3314447592067989,0.5637393767705382,0.08781869688385269,0.0169971671388102,158,0.26062322946175637,0.29178470254957506,0.4475920679886686
61,37007,2672,1373,1229,25,1111,552,45,2672,1.0,0.5138473053892215,0.45995508982035926,0.0093562874251497,0.016841317365269462,1009,0.4157934131736527,0.20658682634730538,0.37761976047904194
62,37007,2623,1725,817,30,1263,439,51,2623,1.0,0.6576439191765154,0.3114754098360656,0.011437285550895921,0.019443385436523065,921,0.4815097216927183,0.16736561189477697,0.3511246664125048
63,37007,4109,2391,1325,279,768,365,114,4109,1.0,0.5818934047213434,0.32246288634704307,0.06789973229496228,0.027743976636651253,2976,0.1869067899732295,0.0888293988805062,0.7242638111462643
64,37007,2887,1149,1645,26,907,694,67,2887,1.0,0.3979909941115345,0.5697956356078975,0.009005888465535157,0.023207481815032908,1286,0.314166955316938,0.2403879459646692,0.4454450987183928
65,37007,1431,937,407,59,752,184,28,1431,1.0,0.6547868623340322,0.28441649196366176,0.04122990915443746,0.019566736547868623,495,0.5255066387141859,0.12858141160027953,0.34591194968553457
66,37007,1513,237,1226,18,223,655,32,1513,1.0,0.1566424322538004,0.8103106411103768,0.011896893588896233,0.021150033046926635,635,0.14738929279576998,0.43291473892927956,0.4196959682749504
67,37007,1289,502,736,18,385,358,33,1289,1.0,0.3894491854150504,0.5709852598913887,0.013964313421256789,0.02560124127230411,546,0.2986811481768813,0.27773467804499613,0.4235841737781226
68,37007,1224,681,510,23,502,275,10,1224,1.0,0.5563725490196079,0.4166666666666667,0.018790849673202614,0.008169934640522876,447,0.41013071895424835,0.2246732026143791,0.36519607843137253
69,37007,1286,528,709,8,363,315,41,1286,1.0,0.4105754276827372,0.5513219284603421,0.006220839813374806,0.03188180404354588,608,0.2822706065318818,0.24494556765163297,0.4727838258164852
70,37009,930,3,889,31,127,404,7,930,1.0,0.0032258064516129032,0.9559139784946237,0.03333333333333333,0.007526881720430108,399,0.13655913978494624,0.4344086021505376,0.4290322580645161
71,37009,710,2,684,14,112,304,10,710,1.0,0.0028169014084507044,0.9633802816901409,0.01971830985915493,0.014084507042253521,294,0.15774647887323945,0.428169014084507,0.4140845070422535
72,37009,487,1,465,14,60,248,7,487,1.0,0.002053388090349076,0.9548254620123203,0.028747433264887063,0.014373716632443531,179,0.12320328542094455,0.5092402464065708,0.3675564681724846
73,37009,332,0,316,9,40,101,7,332,1.0,0.0,0.9518072289156626,0.02710843373493976,0.02108433734939759,191,0.12048192771084337,0.3042168674698795,0.5753012048192772
74,37009,1439,0,1391,31,220,568,17,1439,1.0,0.0,0.9666435024322446,0.021542738012508687,0.0118137595552467,651,0.15288394718554552,0.39471855455177207,0.45239749826268244
75,37009,2129,14,1996,105,417,777,14,2129,1.0,0.006575857209957727,0.9375293565054016,0.04931892907468295,0.006575857209957727,935,0.19586660403945513,0.36496007515265383,0.439173320807891
76,37009,985,1,958,18,113,428,8,985,1.0,0.0010152284263959391,0.9725888324873097,0.018274111675126905,0.008121827411167513,444,0.11472081218274112,0.43451776649746193,0.45076142131979696
77,37009,535,0,522,6,91,143,7,535,1.0,0.0,0.9757009345794393,0.011214953271028037,0.013084112149532711,301,0.17009345794392525,0.2672897196261682,0.5626168224299065
78,37009,585,2,572,6,82,236,5,585,1.0,0.003418803418803419,0.9777777777777777,0.010256410256410256,0.008547008547008548,267,0.14017094017094017,0.40341880341880343,0.4564102564102564
79,37009,200,1,191,2,23,78,6,200,1.0,0.005,0.955,0.01,0.03,99,0.115,0.39,0.495
80,37009,252,1,247,0,47,74,4,252,1.0,0.003968253968253968,0.9801587301587301,0.0,0.015873015873015872,131,0.1865079365079365,0.29365079365079366,0.5198412698412699
81,37009,500,1,491,6,89,204,2,500,1.0,0.002,0.982,0.012,0.004,207,0.178,0.408,0.414
82,37009,2094,11,1971,84,334,926,28,2094,1.0,0.0052531041069723014,0.9412607449856734,0.04011461318051576,0.013371537726838587,834,0.15950334288443171,0.44221585482330467,0.3982808022922636
83,37009,1122,4,1044,64,191,509,10,1122,1.0,0.0035650623885918,0.93048128342246,0.0570409982174688,0.008912655971479501,422,0.17023172905525846,0.4536541889483066,0.3761140819964349
84,37009,2172,2,2102,48,379,1071,20,2172,1.0,0.0009208103130755065,0.9677716390423573,0.022099447513812154,0.009208103130755065,722,0.17449355432780847,0.4930939226519337,0.3324125230202578
85,37009,3681,33,3290,290,643,1279,68,3681,1.0,0.008964955175224124,0.8937788644390111,0.07878293941863625,0.018473240967128497,1759,0.17468079326270036,0.3474599293670198,0.47785927737027983
86,37009,3827,41,3552,182,691,1379,52,3827,1.0,0.010713352495427228,0.9281421478965247,0.04755683302848184,0.01358766657956624,1757,0.18055918474000524,0.3603344656388816,0.45910634962111313
87,37011,320,0,314,3,28,162,3,320,1.0,0.0,0.98125,0.009375,0.009375,130,0.0875,0.50625,0.40625
88,37011,996,5,879,97,121,496,15,996,1.0,0.0050200803212851405,0.8825301204819277,0.09738955823293173,0.015060240963855422,379,0.1214859437751004,0.4979919678714859,0.38052208835341367
89,37011,547,0,535,9,43,255,3,547,1.0,0.0,0.9780621572212066,0.016453382084095063,0.005484460694698354,249,0.07861060329067641,0.46617915904936014,0.45521023765996343
90,37011,2538,65,2314,102,427,936,57,2538,1.0,0.0256107171000788,0.9117415287628053,0.04018912529550828,0.022458628841607566,1175,0.16824271079590228,0.36879432624113473,0.46296296296296297
91,37011,501,4,489,3,18,173,5,501,1.0,0.007984031936127744,0.9760479041916168,0.005988023952095809,0.00998003992015968,310,0.03592814371257485,0.34530938123752497,0.6187624750499002
92,37011,365,0,356,8,17,232,1,365,1.0,0.0,0.9753424657534246,0.021917808219178082,0.0027397260273972603,116,0.04657534246575343,0.6356164383561644,0.3178082191780822
93,37011,395,0,380,11,29,192,4,395,1.0,0.0,0.9620253164556962,0.027848101265822784,0.010126582278481013,174,0.07341772151898734,0.4860759493670886,0.44050632911392407
94,37011,384,0,380,1,15,192,3,384,1.0,0.0,0.9895833333333334,0.0026041666666666665,0.0078125,177,0.0390625,0.5,0.4609375
95,37011,2709,577,2001,91,76,413,40,2709,1.0,0.2129937246216316,0.7386489479512736,0.03359173126614987,0.014765596160944998,2220,0.028054632705795498,0.1524547803617571,0.8194905869324474
96,37011,105,3,100,0,13,32,2,105,1.0,0.02857142857142857,0.9523809523809523,0.0,0.01904761904761905,60,0.12380952380952381,0.3047619047619048,0.5714285714285714
97,37011,555,7,540,7,35,311,1,555,1.0,0.012612612612612612,0.972972972972973,0.012612612612612612,0.0018018018018018018,209,0.06306306306306306,0.5603603603603604,0.37657657657657656
98,37011,992,7,939,40,69,330,6,992,1.0,0.007056451612903226,0.9465725806451613,0.04032258064516129,0.006048387096774193,593,0.06955645161290322,0.3326612903225806,0.5977822580645161
99,37011,345,1,319,21,27,192,4,345,1.0,0.002898550724637681,0.9246376811594202,0.06086956521739131,0.011594202898550725,126,0.0782608695652174,0.5565217391304348,0.3652173913043478
100,37011,930,4,889,29,99,479,8,930,1.0,0.004301075268817204,0.9559139784946237,0.03118279569892473,0.008602150537634409,352,0.1064516129032258,0.5150537634408602,0.37849462365591396
101,37011,538,0,518,15,81,245,5,538,1.0,0.0,0.9628252788104089,0.027881040892193308,0.00929368029739777,212,0.15055762081784388,0.45539033457249073,0.3940520446096654
102,37011,1031,2,966,55,191,607,8,1031,1.0,0.0019398642095053346,0.9369544131910766,0.0533462657613967,0.007759456838021339,233,0.18525703200775945,0.588748787584869,0.2259941804073715
103,37011,899,1,833,51,85,374,14,899,1.0,0.0011123470522803114,0.9265850945494994,0.05672969966629588,0.01557285873192436,440,0.09454949944382647,0.41601779755283647,0.489432703003337
104,37011,235,4,228,2,10,138,1,235,1.0,0.01702127659574468,0.9702127659574468,0.00851063829787234,0.00425531914893617,87,0.0425531914893617,0.5872340425531914,0.3702127659574468
105,37011,353,0,322,17,72,251,14,353,1.0,0.0,0.9121813031161473,0.04815864022662889,0.039660056657223795,30,0.20396600566572237,0.7110481586402266,0.08498583569405099
106,37013,2478,475,1602,385,500,928,16,2478,1.0,0.1916868442292171,0.6464891041162227,0.1553672316384181,0.00645682001614205,1050,0.20177562550443906,0.3744955609362389,0.423728813559322
107,37013,1305,575,685,30,503,345,15,1305,1.0,0.44061302681992337,0.524904214559387,0.022988505747126436,0.011494252873563218,457,0.3854406130268199,0.26436781609195403,0.35019157088122604
