,COUNTYFP,VAP,NAME,WVAP,BVAP,HVAP,TRES14D,TRES14R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,TRE14None,TRES14D_pct,TRES14R_pct,TRE14None_pct
0,55001,484,Adams,463,9,8,91,70,4,484,1.0,0.9566115702479339,0.01859504132231405,0.01652892561983471,0.008264462809917356,323,0.18801652892561985,0.1446280991735537,0.6673553719008265
1,55001,463,Adams,435,4,7,88,68,17,463,1.0,0.9395248380129589,0.008639308855291577,0.01511879049676026,0.0367170626349892,307,0.1900647948164147,0.1468682505399568,0.6630669546436285
2,55001,241,Adams,234,4,2,40,31,1,241,1.0,0.970954356846473,0.016597510373443983,0.008298755186721992,0.004149377593360996,170,0.16597510373443983,0.12863070539419086,0.7053941908713693
3,55001,306,Adams,298,1,2,49,38,5,306,1.0,0.9738562091503268,0.0032679738562091504,0.006535947712418301,0.016339869281045753,219,0.16013071895424835,0.12418300653594772,0.7156862745098039
4,55001,736,Adams,704,2,21,145,145,9,736,1.0,0.9565217391304348,0.002717391304347826,0.028532608695652172,0.012228260869565218,446,0.19701086956521738,0.19701086956521738,0.6059782608695652
5,55001,256,Adams,244,2,6,54,54,4,256,1.0,0.953125,0.0078125,0.0234375,0.015625,148,0.2109375,0.2109375,0.578125
6,55001,95,Adams,92,1,0,17,18,2,95,1.0,0.968421052631579,0.010526315789473684,0.0,0.021052631578947368,60,0.17894736842105263,0.18947368421052632,0.631578947368421
7,55001,293,Big Flats,275,2,10,59,56,6,293,1.0,0.9385665529010239,0.006825938566552901,0.034129692832764506,0.020477815699658702,178,0.20136518771331058,0.19112627986348124,0.6075085324232082
8,55001,566,Big Flats,547,2,10,118,112,7,566,1.0,0.9664310954063604,0.0035335689045936395,0.0176678445229682,0.012367491166077738,336,0.20848056537102475,0.1978798586572438,0.5936395759717314
9,55001,205,Colburn,201,1,1,33,60,2,205,1.0,0.9804878048780488,0.004878048780487805,0.004878048780487805,0.00975609756097561,112,0.16097560975609757,0.2926829268292683,0.5463414634146342
10,55001,324,Dell Prairie,316,1,2,69,86,5,324,1.0,0.9753086419753086,0.0030864197530864196,0.006172839506172839,0.015432098765432098,169,0.21296296296296297,0.2654320987654321,0.5216049382716049
11,55001,786,Dell Prairie,744,7,15,167,208,20,786,1.0,0.9465648854961832,0.008905852417302799,0.019083969465648856,0.02544529262086514,411,0.21246819338422393,0.26463104325699743,0.5229007633587787
12,55001,151,Dell Prairie,137,3,5,30,38,6,151,1.0,0.9072847682119205,0.019867549668874173,0.033112582781456956,0.039735099337748346,83,0.1986754966887417,0.25165562913907286,0.5496688741721855
13,55001,488,Easton,465,1,16,83,98,6,488,1.0,0.9528688524590164,0.0020491803278688526,0.03278688524590164,0.012295081967213115,307,0.17008196721311475,0.20081967213114754,0.6290983606557377
14,55001,397,Easton,388,1,7,71,84,1,397,1.0,0.9773299748110831,0.0025188916876574307,0.017632241813602016,0.0025188916876574307,242,0.17884130982367757,0.21158690176322417,0.6095717884130982
15,55001,591,Friendship,556,12,15,104,82,8,591,1.0,0.9407783417935702,0.02030456852791878,0.025380710659898477,0.01353637901861252,405,0.17597292724196278,0.13874788494077833,0.6852791878172588
16,55001,434,Jackson,421,3,6,96,107,4,434,1.0,0.9700460829493087,0.0069124423963133645,0.013824884792626729,0.009216589861751152,231,0.22119815668202766,0.2465437788018433,0.532258064516129
17,55001,434,Jackson,416,3,7,99,111,8,434,1.0,0.9585253456221198,0.0069124423963133645,0.016129032258064516,0.018433179723502304,224,0.22811059907834103,0.2557603686635945,0.5161290322580645
18,55001,256,Leola,248,0,7,27,75,1,256,1.0,0.96875,0.0,0.02734375,0.00390625,154,0.10546875,0.29296875,0.6015625
19,55001,249,Lincoln,240,0,6,66,66,3,249,1.0,0.963855421686747,0.0,0.024096385542168676,0.012048192771084338,117,0.26506024096385544,0.26506024096385544,0.46987951807228917
20,55001,365,Monroe,361,0,2,104,95,2,365,1.0,0.989041095890411,0.0,0.005479452054794521,0.005479452054794521,166,0.28493150684931506,0.2602739726027397,0.4547945205479452
21,55001,381,New Chester,362,4,9,29,24,6,381,1.0,0.9501312335958005,0.010498687664041995,0.023622047244094488,0.015748031496062992,328,0.07611548556430446,0.06299212598425197,0.8608923884514436
22,55001,350,New Chester,335,2,6,28,24,7,350,1.0,0.9571428571428572,0.005714285714285714,0.017142857142857144,0.02,298,0.08,0.06857142857142857,0.8514285714285714
23,55001,1329,New Chester,397,506,329,84,68,97,1329,1.0,0.2987208427389014,0.38073739653875094,0.24755455229495862,0.07298720842738901,1177,0.06320541760722348,0.051166290443942816,0.8856282919488337
24,55001,517,New Haven,497,3,11,132,118,6,517,1.0,0.9613152804642167,0.005802707930367505,0.02127659574468085,0.01160541586073501,267,0.2553191489361702,0.22823984526112184,0.5164410058027079
25,55001,852,Preston,810,8,19,195,168,15,852,1.0,0.9507042253521126,0.009389671361502348,0.022300469483568074,0.017605633802816902,489,0.22887323943661972,0.19718309859154928,0.573943661971831
26,55001,307,Preston,295,1,5,69,60,6,307,1.0,0.9609120521172638,0.003257328990228013,0.016286644951140065,0.019543973941368076,178,0.2247557003257329,0.19543973941368079,0.5798045602605864
27,55001,807,Quincy,789,3,6,203,162,9,807,1.0,0.9776951672862454,0.0037174721189591076,0.007434944237918215,0.011152416356877323,442,0.25154894671623296,0.20074349442379183,0.5477075588599752
28,55001,124,Quincy,119,1,4,32,25,0,124,1.0,0.9596774193548387,0.008064516129032258,0.03225806451612903,0.0,67,0.25806451612903225,0.20161290322580644,0.5403225806451613
29,55001,83,Quincy,83,0,0,20,16,0,83,1.0,1.0,0.0,0.0,0.0,47,0.24096385542168675,0.1927710843373494,0.5662650602409639
30,55001,135,Richfield,128,0,6,30,28,1,135,1.0,0.9481481481481482,0.0,0.044444444444444446,0.007407407407407408,77,0.2222222222222222,0.2074074074074074,0.5703703703703704
31,55001,434,Rome,426,1,1,122,157,6,434,1.0,0.9815668202764977,0.002304147465437788,0.002304147465437788,0.013824884792626729,155,0.28110599078341014,0.3617511520737327,0.35714285714285715
32,55001,488,Rome,481,1,2,131,169,4,488,1.0,0.985655737704918,0.0020491803278688526,0.004098360655737705,0.00819672131147541,188,0.26844262295081966,0.3463114754098361,0.38524590163934425
33,55001,513,Rome,505,0,0,138,178,8,513,1.0,0.9844054580896686,0.0,0.0,0.015594541910331383,197,0.26900584795321636,0.3469785575048733,0.3840155945419103
34,55001,399,Rome,392,0,2,113,146,5,399,1.0,0.9824561403508771,0.0,0.005012531328320802,0.012531328320802004,140,0.2832080200501253,0.3659147869674185,0.3508771929824561
35,55001,545,Rome,536,1,4,157,202,4,545,1.0,0.9834862385321101,0.001834862385321101,0.007339449541284404,0.007339449541284404,186,0.28807339449541286,0.3706422018348624,0.3412844036697248
36,55001,342,Springville,335,1,1,65,83,5,342,1.0,0.97953216374269,0.0029239766081871343,0.0029239766081871343,0.014619883040935672,194,0.19005847953216373,0.24269005847953215,0.5672514619883041
37,55001,717,Springville,680,3,15,119,153,19,717,1.0,0.9483960948396095,0.0041841004184100415,0.02092050209205021,0.026499302649930265,445,0.16596931659693165,0.21338912133891214,0.6206415620641562
38,55001,421,Strongs Prairie,405,1,6,97,105,9,421,1.0,0.9619952494061758,0.0023752969121140144,0.014251781472684086,0.021377672209026127,219,0.23040380047505937,0.2494061757719715,0.5201900237529691
39,55001,431,Strongs Prairie,418,2,7,97,104,4,431,1.0,0.9698375870069605,0.004640371229698376,0.016241299303944315,0.009280742459396751,230,0.22505800464037123,0.24129930394431554,0.5336426914153132
40,55001,109,Strongs Prairie,104,1,3,25,27,1,109,1.0,0.9541284403669725,0.009174311926605505,0.027522935779816515,0.009174311926605505,57,0.22935779816513763,0.24770642201834864,0.5229357798165137
41,55001,50,Wisconsin Dells,50,0,0,8,3,0,50,1.0,1.0,0.0,0.0,0.0,39,0.16,0.06,0.78
43,55003,338,Agenda,331,1,3,72,98,3,338,1.0,0.9792899408284024,0.0029585798816568047,0.008875739644970414,0.008875739644970414,168,0.21301775147928995,0.28994082840236685,0.4970414201183432
44,55003,602,Ashland,551,0,3,170,164,48,602,1.0,0.915282392026578,0.0,0.0049833887043189366,0.07973421926910298,268,0.2823920265780731,0.2724252491694352,0.44518272425249167
45,55003,618,Ashland,538,3,5,146,49,72,618,1.0,0.8705501618122977,0.0048543689320388345,0.008090614886731391,0.11650485436893204,423,0.23624595469255663,0.07928802588996764,0.6844660194174758
46,55003,577,Ashland,510,3,14,159,65,50,577,1.0,0.8838821490467937,0.005199306759098787,0.024263431542461005,0.08665511265164645,353,0.2755632582322357,0.11265164644714037,0.6117850953206239
47,55003,570,Ashland,531,1,12,216,121,26,570,1.0,0.9315789473684211,0.0017543859649122807,0.021052631578947368,0.0456140350877193,233,0.37894736842105264,0.21228070175438596,0.4087719298245614
48,55003,537,Ashland,484,3,10,222,74,40,537,1.0,0.9013035381750466,0.00558659217877095,0.0186219739292365,0.074487895716946,241,0.4134078212290503,0.1378026070763501,0.44878957169459965
49,55003,631,Ashland,533,3,10,163,46,85,631,1.0,0.8446909667194928,0.004754358161648178,0.01584786053882726,0.1347068145800317,422,0.2583201267828843,0.07290015847860538,0.6687797147385103
