,COUNTYFP,VAP,NAME,WVAP,BVAP,HVAP,LG18P_BARN,LG18P_KOBE,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,LG18PNone,LG18P_BARN_pct,LG18P_KOBE_pct,LG18PNone_pct
0,55001,427,Adams,378,12,19,20,11,18,427,1.0,0.8852459016393442,0.02810304449648712,0.04449648711943794,0.04215456674473068,396,0.0468384074941452,0.02576112412177986,0.927400468384075
1,55001,471,Adams,437,5,14,19,11,15,471,1.0,0.9278131634819533,0.010615711252653927,0.029723991507430998,0.03184713375796178,441,0.040339702760084924,0.02335456475583864,0.9363057324840764
2,55001,199,Adams,192,0,6,10,5,1,199,1.0,0.964824120603015,0.0,0.03015075376884422,0.005025125628140704,184,0.05025125628140704,0.02512562814070352,0.9246231155778895
3,55001,297,Adams,280,0,12,13,7,5,297,1.0,0.9427609427609428,0.0,0.04040404040404041,0.016835016835016835,277,0.04377104377104377,0.02356902356902357,0.9326599326599326
4,55001,769,Adams,725,0,23,28,26,21,769,1.0,0.9427828348504551,0.0,0.02990897269180754,0.027308192457737322,715,0.036410923276983094,0.033810143042912875,0.929778933680104
5,55001,288,Adams,258,3,16,9,9,11,288,1.0,0.8958333333333334,0.010416666666666666,0.05555555555555555,0.03819444444444445,270,0.03125,0.03125,0.9375
6,55001,91,Adams,88,0,2,3,3,1,91,1.0,0.967032967032967,0.0,0.02197802197802198,0.01098901098901099,85,0.03296703296703297,0.03296703296703297,0.9340659340659341
7,55001,271,Big Flats,247,4,12,15,12,8,271,1.0,0.9114391143911439,0.014760147601476014,0.04428044280442804,0.02952029520295203,244,0.055350553505535055,0.04428044280442804,0.9003690036900369
8,55001,545,Big Flats,527,1,7,28,23,10,545,1.0,0.9669724770642202,0.001834862385321101,0.012844036697247707,0.01834862385321101,494,0.05137614678899083,0.04220183486238532,0.9064220183486239
9,55001,195,Colburn,185,0,6,7,10,4,195,1.0,0.9487179487179487,0.0,0.03076923076923077,0.020512820512820513,178,0.035897435897435895,0.05128205128205128,0.9128205128205128
